i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
0,GTEX-111CU-1426-SM-5GZYP,0.9984749519923299,0.0003437534017771916,1.1461715332200413e-05,0.001072287995189331,1.7822035941857255e-05,2.4114712446803812e-05,3.795152896178576e-05,1.765661802086092e-05
1,GTEX-111FC-0226-SM-5N9B8,0.7292263172258092,0.08864588644024589,0.0007266638056851604,0.01902553710832636,0.02176358498216937,0.0009695615073200271,0.13231723615872448,0.007325212771719538
2,GTEX-111YS-0006-SM-5NQBE,2.0867922007359467e-05,9.761668275809377e-06,0.4631023601421716,3.139680353279065e-05,3.970988144462442e-06,4.200963238137732e-06,0.5368197911577287,7.650354901220038e-06
3,GTEX-111YS-0326-SM-5GZZ3,5.482711039238626e-05,9.52038380076019e-05,1.4264910099093265e-05,2.5693894658233042e-05,0.0003458949201703855,0.9904377669505307,1.634171755059785e-05,0.009010006658591203
4,GTEX-111YS-2426-SM-5GZZQ,0.9048262072986898,0.021918848654844832,0.0005667966456288754,0.009076809715822845,0.0013194124037104501,0.0002679176612298469,0.06147755432643249,0.0005464532936407719
5,GTEX-1122O-0005-SM-5O99J,0.00038869566548411616,6.4628063425859e-05,0.12564644633383973,0.00011547839804316782,4.941144632558256e-06,8.46403647092591e-06,0.8737610320046345,1.031435346910536e-05
6,GTEX-1122O-0426-SM-5H12G,0.9234743476470588,0.0393114572485566,0.0001949014574645028,0.011471592491388512,0.004470350414257967,0.0014395227805809963,0.015334598654677236,0.004303229306015312
7,GTEX-1122O-0626-SM-5N9B9,0.00012354143961325586,0.0003225071988028246,1.8101697747240027e-05,2.6167608754192283e-05,0.00021359533903188868,0.9971637030715057,3.1081734378125866e-05,0.0021013019101667843
8,GTEX-1122O-1026-SM-9WYSF,0.0015440134919610612,0.0011922040407949144,1.6622429327714504e-05,0.9967862642584673,0.00021933467827127474,3.2658205292984914e-05,0.00016363830147110187,4.5264594413756e-05
9,GTEX-1122O-1526-SM-5N9CL,0.9982185891704488,0.0011629310109709191,1.5715286936003835e-05,0.00046936419335209535,1.610449204606712e-05,1.7989248334436663e-05,8.422444043202291e-05,1.5082157479515658e-05
10,GTEX-1122O-2426-SM-5GIDN,0.0013155453480427827,0.0003129609478017651,3.0646165136245076e-05,0.0006524651727366642,0.986918068189789,0.0004506854967110757,5.402373429302635e-05,0.010265604945489499
11,GTEX-1128S-0005-SM-5P9HI,0.04774628654348406,7.82261291822406e-05,0.5604032216832933,7.045577691815271e-06,4.543824405209116e-06,6.151153843778079e-06,0.3917493313350558,5.1937530438416e-06
12,GTEX-113IC-0006-SM-5NQ9C,0.02472921131937044,0.00020273968338198846,0.3614869576627551,8.903597010478047e-05,7.060530035814109e-05,1.1337898377898487e-05,0.6133896984437063,2.0413721945382334e-05
