,Topic 1
ENSG00000268903,18070.033355730186
ENSG00000269981,26813.38667371019
ENSG00000250575,113.31437769983822
ENSG00000225972,289427.1137654404
ENSG00000229344,33421.80878846364
ENSG00000198744,70466.76750335742
ENSG00000205116,2152.2243527464866
ENSG00000178821,11430.32868991179
ENSG00000233542,1936.3222530414448
ENSG00000187730,12047.603632477989
ENSG00000169717,73.64732373273866
ENSG00000226374,113.73032600803657
ENSG00000232208,130.99060755060526
ENSG00000235263,2555.911514698959
ENSG00000171819,10692.814201815298
ENSG00000242349,3688.6603224981377
ENSG00000175206,1415420.2239094013
ENSG00000120937,243446.590601252
ENSG00000283789,12.987886337648266
ENSG00000204518,143.50769915072968
ENSG00000188984,192.98412648047918
ENSG00000157330,101.79903474324912
ENSG00000162438,721.3243493438624
ENSG00000142615,975.0091556639602
ENSG00000215704,317.9491238548909
ENSG00000277344,5.985933370568673
ENSG00000142623,9457.559495282689
ENSG00000142619,1449.9239747616236
ENSG00000159339,16734.68582901319
ENSG00000158748,221.047154606257
ENSG00000188784,58.68918965763778
ENSG00000117215,141.32080032360378
ENSG00000158816,114.21113841707053
ENSG00000158825,46978.127854234335
ENSG00000162551,75354.46872964097
ENSG00000219073,1385.3742641566196
ENSG00000142789,4264.460305054643
ENSG00000278124,22.70970552853297
ENSG00000227868,112.63196523514624
ENSG00000230023,71.99004969176104
ENSG00000158055,10512.829544553455
ENSG00000264443,182.81236079537382
ENSG00000020633,13341.011928420721
ENSG00000233755,69.8045187630286
ENSG00000284309,185.24985650324405
ENSG00000158022,128964.31797892999
ENSG00000169442,33873.2764900162
ENSG00000000938,66273.8117234406
ENSG00000169403,10378.115908829817
ENSG00000260386,93.21789865038976
ENSG00000284543,149.37385635829173
ENSG00000182866,10722.490515406143
ENSG00000121905,33893.13252097182
ENSG00000176256,102.75712684467022
ENSG00000231163,14.383987762385669
ENSG00000189280,15885.47252230571
ENSG00000188910,17266.987275936368
ENSG00000020129,50341.1694936342
ENSG00000119535,207784.03589760282
ENSG00000223944,51.3341850621596
ENSG00000116983,9968.866954220304
ENSG00000188800,83.2887496200816
ENSG00000044012,5603.39827563341
ENSG00000197273,27335.339487447956
ENSG00000117399,11220.545393954231
ENSG00000229444,12166.679943488323
ENSG00000171872,225.7571712053964
ENSG00000117472,36241.448363000156
ENSG00000250719,54.600742798989415
ENSG00000162456,76.52189149891653
ENSG00000186118,182.95095952344136
ENSG00000142700,136.34808298547816
ENSG00000225030,125.14180588946266
ENSG00000226938,8.601590963413056
ENSG00000143006,46.697241771713294
ENSG00000211452,15248.698339914741
ENSG00000203985,53.51054455464832
ENSG00000162398,873.0181718654494
ENSG00000157131,39.201370133764556
ENSG00000184292,105778.85100442734
ENSG00000162598,202.75591965184844
ENSG00000132855,149.29263320357484
ENSG00000172410,452.24717773153293
ENSG00000275678,73.56163653061496
ENSG00000162594,136.71585022074456
ENSG00000116745,164.56814607021025
ENSG00000229639,14.076064479046932
ENSG00000235782,143.0707103604923
ENSG00000154007,25.646230577707684
ENSG00000234184,553.7495541262285
ENSG00000233290,35.945880415124044
ENSG00000153898,4441.257499033511
ENSG00000137975,11921.560082373198
ENSG00000016490,14480.288367747842
ENSG00000016602,41951.1373017524
ENSG00000224466,76.03112394665922
ENSG00000224235,75.13970600961855
ENSG00000154451,4925.954959533444
ENSG00000183347,19845.885731215312
ENSG00000143032,1235.1270064511054
ENSG00000225446,112.65932052798429
ENSG00000137948,41.319888763123274
ENSG00000228504,24.707365110122552
ENSG00000228971,468.43989169417085
ENSG00000269998,209.95181147031354
ENSG00000181656,3718.8617577672417
ENSG00000231671,281.5699709953933
ENSG00000060718,2513.5744924590285
ENSG00000243480,651.2769065344967
ENSG00000203897,106.30086905205945
ENSG00000179902,1500.294835868471
ENSG00000221986,4443.3809352658145
ENSG00000198758,6058.992331188775
ENSG00000186150,216.61692764354365
ENSG00000143119,102159.82626520077
ENSG00000064886,10706.276405766715
ENSG00000134216,190.896297711254
ENSG00000116748,24817.944779470174
ENSG00000134200,368.6162807518809
ENSG00000134258,434.19573862224075
ENSG00000239216,182.29615474347864
ENSG00000116882,319.25426801983593
