Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
ENSG00000211890,ENSG00000042832,ENSG00000244734,ENSG00000171401,ENSG00000105048,ENSG00000175206,ENSG00000244734,ENSG00000197616
ENSG00000211594,ENSG00000131095,ENSG00000163221,ENSG00000170477,ENSG00000180209,ENSG00000106631,ENSG00000163221,ENSG00000106631
ENSG00000211595,ENSG00000123560,ENSG00000086506,ENSG00000186847,ENSG00000109061,ENSG00000120937,ENSG00000119535,ENSG00000165887
ENSG00000233041,ENSG00000197971,ENSG00000119535,ENSG00000163209,ENSG00000164879,ENSG00000198336,ENSG00000115590,ENSG00000120937
ENSG00000211593,ENSG00000115705,ENSG00000162747,ENSG00000172867,ENSG00000125414,ENSG00000197616,ENSG00000171051,ENSG00000164879
ENSG00000211896,ENSG00000240237,ENSG00000163464,ENSG00000205420,ENSG00000196296,ENSG00000163217,ENSG00000112303,ENSG00000105048
ENSG00000211675,ENSG00000125618,ENSG00000143546,ENSG00000188508,ENSG00000086967,ENSG00000105697,ENSG00000188404,ENSG00000140986
ENSG00000171747,ENSG00000132639,ENSG00000171051,ENSG00000143536,ENSG00000185482,ENSG00000187550,ENSG00000162551,ENSG00000180209
ENSG00000162896,ENSG00000087250,ENSG00000090382,ENSG00000178372,ENSG00000240045,ENSG00000179914,ENSG00000187116,ENSG00000134571
ENSG00000132465,ENSG00000101200,ENSG00000158578,ENSG00000140519,ENSG00000183091,ENSG00000221986,ENSG00000163563,ENSG00000163092
ENSG00000163661,ENSG00000136352,ENSG00000188404,ENSG00000203782,ENSG00000143318,ENSG00000134571,ENSG00000163464,ENSG00000075886
ENSG00000239951,ENSG00000101405,ENSG00000187116,ENSG00000161634,ENSG00000159173,ENSG00000124701,ENSG00000008516,ENSG00000124701
ENSG00000120708,ENSG00000147606,ENSG00000112303,ENSG00000169474,ENSG00000158022,ENSG00000170439,ENSG00000132965,ENSG00000172399
ENSG00000163586,ENSG00000074317,ENSG00000008516,ENSG00000203785,ENSG00000120729,ENSG00000225972,ENSG00000197249,ENSG00000261701
ENSG00000211899,ENSG00000160781,ENSG00000183019,ENSG00000169469,ENSG00000182676,ENSG00000138100,ENSG00000066336,ENSG00000138100
ENSG00000211598,ENSG00000183036,ENSG00000169877,ENSG00000121552,ENSG00000196218,ENSG00000172399,ENSG00000110876,ENSG00000196296
ENSG00000091138,ENSG00000155980,ENSG00000163421,ENSG00000105427,ENSG00000157119,ENSG00000118785,ENSG00000204936,ENSG00000143318
ENSG00000211679,ENSG00000009765,ENSG00000268734,ENSG00000241794,ENSG00000111046,ENSG00000257017,ENSG00000103569,ENSG00000109061
ENSG00000136999,ENSG00000021300,ENSG00000085265,ENSG00000125780,ENSG00000250978,ENSG00000170807,ENSG00000101336,ENSG00000185847
ENSG00000243466,ENSG00000121905,ENSG00000100985,ENSG00000169509,ENSG00000163157,ENSG00000140986,ENSG00000162747,ENSG00000125414
ENSG00000211949,ENSG00000104833,ENSG00000123405,ENSG00000126233,ENSG00000108878,ENSG00000118702,ENSG00000100985,ENSG00000170807
