i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29
0,GTEX-111CU-1426-SM-5GZYP,0.8207206030579404,2.006623239391052e-05,1.145859502849084e-05,1.806851620284953e-05,1.1539006844876295e-05,1.1783543979174902e-05,1.1749306132561055e-05,1.168578017933693e-05,5.985696439278583e-05,1.4931010005223881e-05,1.1482225396298542e-05,3.957295985983249e-05,0.1772807556762455,8.42704542400757e-05,0.0011293557764297166,1.4281907896978533e-05,1.1393278472122332e-05,1.814763286218411e-05,1.5766075583325627e-05,1.1835270285626528e-05,0.0002618643802029901,2.1181620063655765e-05,3.9724669884915945e-05,1.1410220417183021e-05,1.3986309481234374e-05,1.808335030134728e-05,2.501035505010429e-05,8.871518510119553e-05,1.142063912632588e-05
1,GTEX-111FC-0226-SM-5N9B8,0.004495623369997162,0.005151831965832694,0.00039985490274041595,0.0018493029086737675,0.0004863758982526967,0.0011368571517663215,0.001042361394294464,0.0007734246252586542,0.028236733709831346,0.00025862966180053833,0.0004131999107794701,0.060086549245552616,0.0216218620673325,0.007402512193916317,0.06061472429428487,0.00759616134698723,0.0003237364682235223,0.00934497485761928,0.009735220822118086,0.001032998556552462,0.3172388706421729,0.0013669922694562076,0.34344210347807075,0.00034359850136782494,0.005310027873934452,0.017701258159681897,0.0024543904970264407,0.08977415358679569,0.00036566963967954636
2,GTEX-111YS-0006-SM-5NQBE,4.570866788996728e-06,6.889798934569146e-06,0.07238116840102349,3.331738066675625e-06,0.07045046356227955,0.0621005056429319,0.0673095113076794,0.07149139613994025,0.00012393750854625257,3.3001154047126448e-06,0.07209857732573159,0.11933852007595773,3.2989097098989025e-06,4.013483127002519e-06,0.0003230771499859165,3.289182448307847e-06,0.07268749963036841,0.13642638209756683,3.362457609063506e-06,0.077505170258321,3.548965830133215e-05,5.237549738588692e-06,1.718908477159962e-05,0.07263937646258112,0.034225306135231774,3.6376188806705308e-06,2.5600811226464342e-05,1.0552672060215193e-05,0.07076934435478671
3,GTEX-111YS-0326-SM-5GZZ3,6.644779419621068e-05,4.1241930386991875e-05,1.457690421058806e-05,5.7362723052297415e-05,1.4665519824874639e-05,1.4973350154560153e-05,1.495028299876153e-05,1.492570114043032e-05,0.0022089838243108703,0.9835576652244707,1.4599806695933135e-05,2.3874348167698057e-05,2.4389241946681216e-05,2.638464652352107e-05,2.3490919716576983e-05,0.007182328093216989,1.448146999887633e-05,1.9237152231096576e-05,0.00020342264995198433,1.5049076742306482e-05,2.8517729649299407e-05,0.006113783998692057,9.462237955829257e-05,1.4499603732693968e-05,1.5382847630268827e-05,8.799790977846471e-05,4.052817546475245e-05,3.7101346353764404e-05,1.4515349202725856e-05
4,GTEX-111YS-2426-SM-5GZZQ,0.0010406131999634075,0.0009467293474655188,0.00021201239763304653,0.0007160229873696614,0.0002473882383026135,0.00040652625477846123,0.0004127009013065709,0.00035427686770773183,0.001379828550211673,0.0001131119729999508,0.0002229290058892443,0.012282000549582214,0.019385408530303145,0.0012854250039147973,0.006961108036717071,0.00016218219172466894,0.00018248427106582542,0.004510281183326297,0.00038413697086833157,0.0004521789123446358,0.9309658463741581,0.0007109378658552263,0.005888913382387792,0.0001884858320263438,0.0008616415840460344,0.0009268812522512749,0.0025147881110101373,0.006089444107093494,0.00019571611769665293
5,GTEX-1122O-0005-SM-5O99J,2.5363404356817717e-05,3.210553173877673e-05,0.03294423835377563,6.0817185474668195e-06,0.03491404618882189,0.03695820288416343,0.04403092440242344,0.04385149017182437,0.0002939757650707254,4.862184960477859e-06,0.03351326322459224,0.3742875085938706,1.782198301948271e-05,1.024173335956976e-05,0.002595817542903381,4.393775386798686e-06,0.029896938157089714,0.2235865067495962,4.5088682128296286e-06,0.057563275580126964,0.00012702868776072034,9.669965070816816e-06,7.485227223648354e-05,0.03067554766132304,0.02408962174570301,6.6791198157579485e-06,6.425002779848829e-05,2.612629017070478e-05,0.030384657416280037
6,GTEX-1122O-0426-SM-5H12G,0.0014162515976009794,0.0023288453792482252,0.00013783243540485006,0.0013304164491564116,0.00014204756227118232,0.00016398241456639105,0.00016617564817076417,0.0001568197972919399,0.0030634953518550168,0.0002846080998731875,0.0001391690986310273,0.004931587108755387,0.06070827216436157,0.0025455379451395474,0.010514268731108143,0.0003488792068218666,0.00013455210849104557,0.0013566272410750059,0.0007138058109422082,0.0001729141922861225,0.019709010095133192,0.0007518988116133429,0.8628483587768916,0.00013513052404697635,0.0002827414854637325,0.004032434383155515,0.0036897407391330147,0.017658843886295437,0.0001357529552161836
7,GTEX-1122O-0626-SM-5N9B9,3.3443650289826874e-05,0.0001389585697890879,1.8894413300664765e-05,2.1927233297930574e-05,1.9034655412652025e-05,2.0089445373696023e-05,1.9729010246288288e-05,2.000395733103857e-05,0.0028432189905276207,0.9776827684954515,1.893999245988014e-05,5.095035943394559e-05,1.9749362422303347e-05,3.7339095861328115e-05,4.208620032299212e-05,0.00026934670625211143,1.8716800670995506e-05,3.246558482728808e-05,0.00022730630858224985,1.9855853513870192e-05,0.0012418442578389281,0.016503508583087283,0.00035876013218451443,1.8732293297340963e-05,2.096852979176084e-05,0.0001831532117237782,3.0217870747154067e-05,6.922062604394722e-05,1.8769809917987223e-05
8,GTEX-1122O-1026-SM-9WYSF,0.0005583710324324241,0.0001621628170588616,1.689875897564789e-05,0.9913049924461935,1.716942292696305e-05,1.824660124268368e-05,1.8275919948651e-05,1.794659323803199e-05,0.000521818025501385,1.9498039985414494e-05,1.6995266185137133e-05,0.00020859534066695448,3.1745897400679905e-05,0.00019440004721501378,0.0002358167477645696,2.76987168558846e-05,1.6668844704406764e-05,6.49549912196649e-05,8.181063025952039e-05,1.8942795028035788e-05,0.00021994898966482625,4.5256160498309516e-05,0.0010283053501456893,1.6728545095133036e-05,2.044049972885061e-05,0.00011985257796188236,0.0016181918686162735,0.0033615081475989483,1.6758925886846553e-05
9,GTEX-1122O-1526-SM-5N9CL,0.9114043074859772,3.0890321113012466e-05,1.5203700735713151e-05,1.6510814180907436e-05,1.5368906621179633e-05,1.6075044005765467e-05,1.5895537948439337e-05,1.5692321347182928e-05,5.451509790894646e-05,1.584303222005946e-05,1.5253907921260917e-05,9.022283417801665e-05,0.08590269234865337,0.00021156507123598812,0.0013080839073867064,1.4732939084468237e-05,1.5081076438198658e-05,2.8510311292683016e-05,1.588415236627816e-05,1.6065040673440317e-05,0.0005527667462961787,1.763260859028082e-05,5.5174071349450034e-05,1.5122730859882443e-05,2.2937835280196983e-05,3.5376117414581016e-05,1.7306941999884187e-05,5.0143307344391044e-05,1.5145789576149186e-05
