i_doc,doc,Topic 1
0,GTEX-111CU-0626-SM-5EGHL,1.0
1,GTEX-111CU-1226-SM-5EGIN,1.0
2,GTEX-111CU-1426-SM-5GZYP,1.0
3,GTEX-111VG-1626-SM-5EGIO,1.0
4,GTEX-111YS-2426-SM-5GZZQ,1.0
5,GTEX-1128S-0926-SM-5GZZU,1.0
6,GTEX-1128S-2126-SM-5H12U,1.0
7,GTEX-113IC-0426-SM-5HL5O,1.0
8,GTEX-117YW-0008-SM-5QGRD,1.0
9,GTEX-117YW-0326-SM-5N9CY,1.0
10,GTEX-117YW-1926-SM-5H121,1.0
11,GTEX-117YX-0626-SM-5EGJI,1.0
12,GTEX-11DXW-0008-SM-5Q59V,1.0
13,GTEX-11DXW-0011-R5b-SM-DO11D,1.0
14,GTEX-11DXX-0526-SM-5PNVR,1.0
15,GTEX-11DXY-0426-SM-5H12R,1.0
16,GTEX-11DXZ-0426-SM-5987Y,1.0
17,GTEX-11DXZ-2426-SM-5N9DT,1.0
18,GTEX-11DXZ-2626-SM-59882,1.0
19,GTEX-11DYG-0011-R5a-SM-DO928,1.0
20,GTEX-11EI6-0011-R8a-SM-DO93M,1.0
21,GTEX-11EI6-0126-SM-5985R,1.0
22,GTEX-11EI6-0326-SM-5EQ6G,1.0
23,GTEX-11EI6-2626-SM-5PNVT,1.0
24,GTEX-11EI6-2826-SM-5H11D,1.0
25,GTEX-11EI6-2926-SM-5985U,1.0
26,GTEX-11EM3-0226-SM-5985Y,1.0
27,GTEX-11EM3-0426-SM-5N9BZ,1.0
28,GTEX-11EQ8-0226-SM-5EQ5G,1.0
29,GTEX-11EQ8-0826-SM-5N9FG,1.0
30,GTEX-11EQ8-1326-SM-5EGJQ,1.0
31,GTEX-11GS4-0226-SM-5HL77,1.0
32,GTEX-11GS4-2626-SM-5A5LD,1.0
33,GTEX-11GSP-0126-SM-5A5KU,1.0
34,GTEX-11GSP-1326-SM-5A5KY,1.0
35,GTEX-11H98-0126-SM-5EGHG,1.0
36,GTEX-11I78-1226-SM-5A5K6,1.0
37,GTEX-11I78-1326-SM-5PNY9,1.0
38,GTEX-11I78-1426-SM-5PNVY,1.0
39,GTEX-11LCK-0008-SM-5Q5BB,1.0
40,GTEX-11LCK-1026-SM-5A5KB,1.0
41,GTEX-11LCK-1626-SM-5PNYB,1.0
42,GTEX-11LCK-1726-SM-5S2OQ,1.0
43,GTEX-11NSD-0126-SM-5987F,1.0
44,GTEX-11NV4-0005-SM-5N9EX,1.0
45,GTEX-11O72-0008-SM-5Q5DN,1.0
46,GTEX-11O72-0226-SM-59869,1.0
47,GTEX-11O72-2226-SM-5PNW2,1.0
48,GTEX-11OC5-0008-SM-5S2OH,1.0
49,GTEX-11OF3-0011-R6b-SM-57WBG,1.0
50,GTEX-11OF3-2526-SM-5P9JL,1.0
51,GTEX-11P7K-0003-SM-5S2OU,1.0
52,GTEX-11P7K-0226-SM-5986Z,1.0
53,GTEX-11P81-2426-SM-5GU65,1.0
54,GTEX-11P82-0526-SM-5986P,1.0
55,GTEX-11PRG-0011-R4a-SM-DNZZR,1.0
56,GTEX-11PRG-0626-SM-5BC56,1.0
57,GTEX-11TT1-1326-SM-5PNYM,1.0
58,GTEX-11TTK-0005-SM-5O9BX,1.0
59,GTEX-11TUW-2026-SM-5EQL8,1.0
60,GTEX-11TUW-2526-SM-5EQKN,1.0
61,GTEX-11VI4-0006-SM-5N9D8,1.0
62,GTEX-11VI4-1226-SM-5EQMP,1.0
63,GTEX-11VI4-1726-SM-5CVLH,1.0
64,GTEX-11ZTT-0002-SM-5S2PA,1.0
65,GTEX-11ZTT-2526-SM-5EQM9,1.0
66,GTEX-11ZU8-1126-SM-5EQ5K,1.0
67,GTEX-1211K-0626-SM-5FQUZ,1.0
68,GTEX-1211K-0726-SM-5FQUW,1.0
69,GTEX-1212Z-0726-SM-5EGI5,1.0
70,GTEX-1212Z-2426-SM-5EQ5D,1.0
71,GTEX-12696-1926-SM-5EGJT,1.0
72,GTEX-1269C-2826-SM-5EQ5O,1.0
73,GTEX-12BJ1-0008-SM-5TDBZ,1.0
74,GTEX-12BJ1-0226-SM-5LUA2,1.0
75,GTEX-12BJ1-0326-SM-5FQUB,1.0
76,GTEX-12BJ1-0826-SM-5EQ5P,1.0
77,GTEX-12KS4-0005-SM-5SI94,1.0
78,GTEX-12WSA-1426-SM-5EGJU,1.0
79,GTEX-12WSC-1726-SM-5GCN3,1.0
80,GTEX-12WSD-0005-SM-5N9FZ,1.0
81,GTEX-12WSD-0926-SM-5GCNL,1.0
82,GTEX-12WSD-2626-SM-5EGJE,1.0
83,GTEX-12WSE-1126-SM-7DUEH,1.0
