Topic 1,Topic 2
ENSG00000244734,ENSG00000244734
ENSG00000188536,ENSG00000104879
ENSG00000223609,ENSG00000188536
ENSG00000206172,ENSG00000111245
ENSG00000104879,ENSG00000186395
ENSG00000111245,ENSG00000198125
ENSG00000198125,ENSG00000042832
ENSG00000186395,ENSG00000101470
ENSG00000042832,ENSG00000167768
ENSG00000175206,ENSG00000114854
ENSG00000163221,ENSG00000105048
ENSG00000133392,ENSG00000092054
ENSG00000114854,ENSG00000171401
ENSG00000171401,ENSG00000133392
ENSG00000239839,ENSG00000175206
ENSG00000167768,ENSG00000115414
ENSG00000101470,ENSG00000186081
ENSG00000149591,ENSG00000196091
ENSG00000119535,ENSG00000186847
ENSG00000115414,ENSG00000163017
ENSG00000092054,ENSG00000223609
