,Topic 1
ENSG00000268903,17917.774414476517
ENSG00000269981,26916.69958264741
ENSG00000225972,279942.86165708845
ENSG00000237973,149017.64446796052
ENSG00000229344,21908.071827220967
ENSG00000272512,4876.847911041518
ENSG00000188290,26196.65537965512
ENSG00000187608,48067.95438165987
ENSG00000186891,5353.143405119754
ENSG00000184163,2912.6986562667244
ENSG00000131584,58049.81721361675
ENSG00000179403,28281.04831530585
ENSG00000215915,2166.880704148758
ENSG00000205090,6323.870776231292
ENSG00000228594,6046.2324737297595
ENSG00000189409,885.1102441120329
ENSG00000169885,2839.54806767606
ENSG00000178821,10876.754105143336
ENSG00000067606,7094.5442448452095
ENSG00000182873,5383.672932876788
ENSG00000116151,2139.2693064842497
ENSG00000272420,2533.5509324584273
ENSG00000149527,14382.013512241194
ENSG00000238164,2970.8181593188274
ENSG00000228037,1619.975517186118
ENSG00000162591,28886.8025470628
ENSG00000078900,1631.0406976796648
ENSG00000235169,5828.518004622966
ENSG00000069424,16870.96713748678
ENSG00000097021,20263.911297445906
ENSG00000215788,24739.66361191704
ENSG00000171680,21711.48481261519
ENSG00000049246,15558.050784600668
ENSG00000142583,4272.589390275938
ENSG00000180758,8488.228853228478
ENSG00000171608,16571.3022162238
ENSG00000178585,44135.057995213465
ENSG00000162444,55392.88724579758
ENSG00000142657,142900.04700296215
ENSG00000241563,2517.0925404682084
ENSG00000130940,12523.72132771868
ENSG00000116661,27764.7992320018
ENSG00000132879,32369.01281751482
ENSG00000177674,39956.8100977531
ENSG00000242349,3113.848535217458
ENSG00000175206,1823564.3021019672
ENSG00000120937,243567.07795462396
ENSG00000028137,76090.79073833572
ENSG00000162493,13068.819895080145
ENSG00000189337,8556.187807404658
ENSG00000175147,1323.357916490752
ENSG00000142634,88280.48450424962
ENSG00000162438,968.1498557510239
ENSG00000142615,1178.629959020921
ENSG00000215704,369.03321587950825
ENSG00000272510,440.2865410734512
ENSG00000162461,7120.628720522757
ENSG00000224459,1860.2066206939198
ENSG00000162458,61239.35106356061
ENSG00000142627,25413.31392604581
ENSG00000142632,10471.227434313832
ENSG00000186301,5304.564960016246
ENSG00000186715,1973.578146667985
ENSG00000226526,209.64345133468706
ENSG00000117115,37623.47962630219
ENSG00000169991,32003.980690621316
ENSG00000211454,1394.0275245154794
ENSG00000162482,3592.3878541378203
ENSG00000188257,257598.62458593847
ENSG00000127472,13019.495040111611
ENSG00000162545,60804.57370448295
ENSG00000158825,45362.07942111075
ENSG00000162551,65163.66033708049
ENSG00000076864,47210.068221428824
ENSG00000219073,1882.4868759428127
ENSG00000142789,6165.544066423727
ENSG00000173372,78185.98916354786
ENSG00000159189,80603.39605071023
ENSG00000173369,90897.79314360191
ENSG00000204219,40482.614229580955
ENSG00000117308,8257.753947964193
ENSG00000001461,8979.51471361623
ENSG00000020633,12271.11747161752
ENSG00000187010,604.5728886085882
ENSG00000259984,3.9852881549459713
ENSG00000188672,1009.1751597523827
ENSG00000117632,28941.196466344125
ENSG00000158022,119708.79965921701
ENSG00000142684,37.65901493075965
ENSG00000142675,13634.242509370948
ENSG00000169442,36908.3290325653
ENSG00000117676,30031.161249228688
ENSG00000204160,26584.20294198179
ENSG00000175793,255635.9034516235
ENSG00000253368,28576.622820599336
ENSG00000158246,49599.00795028681
ENSG00000142765,31589.945532859434
ENSG00000142748,16275.430136883808
ENSG00000000938,56361.525634158264
ENSG00000126709,122895.77957176042
ENSG00000130775,25901.84026645887
ENSG00000180198,13716.398099643815
ENSG00000188060,1485.0751019135498
ENSG00000162511,165672.0657349132
ENSG00000121769,343720.00797893514
ENSG00000168528,27185.858046194928
ENSG00000160050,8604.064592631834
ENSG00000224066,1576.759327930869
ENSG00000183615,10894.37889103839
ENSG00000175130,89007.71718476637
ENSG00000162522,29887.153356379866
ENSG00000160097,16517.767652479528
ENSG00000121900,48235.20046172311
ENSG00000236065,124.36437279258087
ENSG00000187513,47395.93604289352
ENSG00000020129,48543.07772818033
ENSG00000116819,3720.1667852756595
