i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
0,GTEX-111CU-0626-SM-5EGHL,0.0010796539399123553,0.0034779918065064655,0.00016897333632959262,0.8987067214852322,0.00033087938195284957,0.0016894517756752398,0.03866096619000875,0.05588536208438261
1,GTEX-111CU-1226-SM-5EGIN,0.0012454935052364639,0.0017112413398724536,6.794658070265811e-05,0.8426714654893911,0.00016506383394468288,0.0014454543430432194,0.051571089171449806,0.10112224573635953
2,GTEX-111CU-1426-SM-5GZYP,0.01786693898227468,0.000661450490040893,9.34788095627075e-05,0.011834850014765403,8.680404807432552e-05,0.030317706178140877,0.9128296603233066,0.026309111153834473
3,GTEX-111VG-1626-SM-5EGIO,0.0010258594213873938,6.251052511796277e-05,5.177804394654966e-06,0.00029655202874350834,1.115167240216755e-05,0.9971358338542936,0.0009910233469179353,0.00047189134674273294
4,GTEX-111YS-2426-SM-5GZZQ,0.0012624698328374821,0.0033546315567608556,0.0020866231437727846,0.1267482038497186,0.0003189806265761798,0.003248068370849362,0.5927005444097307,0.270280478209754
5,GTEX-1128S-0926-SM-5GZZU,0.002647684510302215,0.0008976542680779737,0.024336766212353846,0.23768811089725128,6.697736007003356e-05,0.002492412545606115,0.16221514811405593,0.5696552460922827
6,GTEX-1128S-2126-SM-5H12U,0.0008786903440475756,0.001632339756096503,0.04346558851716359,0.08346553782138699,0.00012951634066418969,0.0017570483355083938,0.6738849196213192,0.19478635926381352
7,GTEX-113IC-0426-SM-5HL5O,0.0013125218302036572,0.000890976689696047,0.0007571573430376277,0.7578698002734413,0.00022432828521208825,0.0015011984083167583,0.08877024390666734,0.14867377326342507
8,GTEX-117YW-0008-SM-5QGRD,5.1254579005986136e-05,2.5799534641450335e-05,7.3044112673078476e-06,0.009055314264990457,8.616153178515894e-06,0.0003909483866721519,0.002612676016285945,0.9878480866539581
9,GTEX-117YW-0326-SM-5N9CY,0.0952594693874385,0.008836679613258448,0.0059818683693219285,0.11300969647683819,0.6357733246844504,0.001740461884992841,0.0890331817235667,0.05036531786013306
10,GTEX-117YW-1926-SM-5H121,0.9256422210491286,2.268094502436415e-05,0.00016023580477759358,0.0009467065094751764,3.6890678620045507e-06,0.0693446836573946,0.0016198394223857554,0.0022599435439516814
11,GTEX-117YX-0626-SM-5EGJI,0.6829779026566827,0.021245462393775612,4.272422805630148e-05,0.02601049813489842,0.2372707873901814,0.0002536223102324449,0.016435683635832678,0.015763319250340697
12,GTEX-11DXW-0008-SM-5Q59V,6.71193909142152e-05,2.3280945562430533e-05,7.011993858777403e-06,0.00655392676164525,7.73009717472795e-06,0.0003962300006205745,0.002100635646856466,0.9908440651633675
13,GTEX-11DXW-0011-R5b-SM-DO11D,0.0008352069128278569,0.0023694870707660445,0.0026328033539359946,0.016837687026437308,0.0007742597173080748,0.0016018087984985684,0.9696927772236914,0.005255969896534845
14,GTEX-11DXX-0526-SM-5PNVR,0.7345437531421449,0.024011959523927807,0.00040536935105127907,0.05418054970777766,0.12760561252184258,0.00029766557109133613,0.03375595658739526,0.02519913359476922
15,GTEX-11DXY-0426-SM-5H12R,0.002567692748167903,0.0015596496394920589,0.002033353649755074,0.2550095888249592,0.00039650446459140506,0.006044857776807406,0.6604467828397904,0.07194157005643642
16,GTEX-11DXZ-0426-SM-5987Y,0.0009020793065498831,0.00047292280716369154,0.00018867224050101821,0.8623312985157955,0.0001526291015292565,0.0007686564184289197,0.02577018184852662,0.10941355976150507
17,GTEX-11DXZ-2426-SM-5N9DT,3.7362571604975625e-05,0.7856862981052529,7.711446318245135e-06,0.0004916431631567102,0.21265024406930025,1.829304230148478e-05,0.0007141413164672145,0.000394306285598144
18,GTEX-11DXZ-2626-SM-59882,0.0012631997014280276,0.0009652614685149983,0.00035501871122173057,0.8971987237725599,0.00035335763428439443,0.0010599295322600254,0.015834826556124858,0.082969682623606
19,GTEX-11DYG-0011-R5a-SM-DO928,0.0007831028632019592,0.002173349990387508,0.0010001400464078715,0.009428206175505976,0.0011897802306629645,0.0010907414158347944,0.9808225861985557,0.003512093079443293
20,GTEX-11EI6-0011-R8a-SM-DO93M,0.0005098933128825947,0.0023675545584269752,0.02040393919973006,0.015478956196469771,0.0009658552251097445,0.0009404810237531063,0.9510712611933054,0.008262059290322348
21,GTEX-11EI6-0126-SM-5985R,0.001086092923456832,0.00031146450285148025,1.553804385611232e-05,0.005478842810927862,3.766408997847689e-05,0.976233629811872,0.007090348787598845,0.009746419029458277
22,GTEX-11EI6-0326-SM-5EQ6G,0.00016722917760863632,0.7402222809291041,5.408006334509614e-05,0.00332750715344113,0.24975225622548183,0.00017113512989421362,0.0037399169999516027,0.0025655943211733453
23,GTEX-11EI6-2626-SM-5PNVT,0.0005731041121678747,0.0021746767120760014,0.003356705257484902,0.8853589170453596,0.00036393694906863806,0.0012099664106768515,0.07008205525943553,0.03688063825373056
24,GTEX-11EI6-2826-SM-5H11D,0.006014257329555973,0.0006599808512271577,0.0001174806093513051,0.05551074972525512,8.063171772614011e-05,0.8764344166454273,0.03684409952632843,0.024338383595128608
25,GTEX-11EI6-2926-SM-5985U,0.0012296405413370348,0.002827234702608951,0.006188172850577208,0.016142003668678986,0.0009716565036799168,0.00361963328660041,0.9647440653961072,0.004277593050410236
26,GTEX-11EM3-0226-SM-5985Y,0.0011220859096399433,0.0010473247920204719,0.00010728206392207368,0.8742632772641218,0.00041021954599078483,0.0008958523557156643,0.020323048839986264,0.10183090922860302
27,GTEX-11EM3-0426-SM-5N9BZ,0.5782326905241145,0.0342510477523113,0.00019612089880829316,0.08616809075648314,0.1829587034117831,0.0005944092844341876,0.05512403981163682,0.06247489756042861
28,GTEX-11EQ8-0226-SM-5EQ5G,0.0031676855215780723,0.002648434217653173,0.0022646420474043065,0.17999888240026227,0.0003201390684465291,0.007635366231422507,0.431059218324105,0.37290563218912803
29,GTEX-11EQ8-0826-SM-5N9FG,0.002760252826191742,0.002268133085656082,0.011793034612739929,0.07803171025639685,0.00026847280671167144,0.009534637294290072,0.8240252036957024,0.0713185554223113
30,GTEX-11EQ8-1326-SM-5EGJQ,0.5543380433819697,0.027289961554588186,0.004116183628180636,0.1218892954812159,0.09389529109484929,0.0017819707078202693,0.10097723804233898,0.09571201610903707
31,GTEX-11GS4-0226-SM-5HL77,0.0008141605776821522,0.00021603097664467695,5.4429097435746134e-05,0.002857701786476849,2.574106188771119e-05,0.9800190000207616,0.009134049586537567,0.006878886892573786
32,GTEX-11GS4-2626-SM-5A5LD,0.0012447034990389976,0.0015883134075616607,0.014441328735018471,0.26838950232896885,0.00020924508622346142,0.007312301919220876,0.35813392748410916,0.3486806775398587
33,GTEX-11GSP-0126-SM-5A5KU,0.001599579294899464,0.07112877002795326,0.025128614450999908,0.1847478583494218,0.058641442022419554,0.0017272993945577015,0.6032541213613923,0.05377231509835595
