i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29
0,GTEX-111CU-0626-SM-5EGHL,0.008357028304052515,0.0353508169408999,4.747457053863646e-05,0.007026997917590878,0.0003585712650375092,0.01680785628090469,0.006907049335299299,0.016763901968074056,0.00031004770042572055,0.020878355412887503,0.008631265773638116,0.0011876226535538366,0.010816493199112823,0.013441119528828281,2.5995206670926782e-05,0.018856423294132202,0.00011337457890746228,0.004970056721911286,3.6469997186353543e-05,0.01998649190582606,0.019023132478419757,0.7493529494833381,0.0032504931997903,0.004746665897828489,0.0028558897800349094,4.958252659156481e-05,1.4885709189850123e-05,0.00018306287218046257,0.0296499254971484
1,GTEX-111CU-1226-SM-5EGIN,0.010626711636681148,0.02750103057710071,2.4641663131466144e-05,0.007987630757760242,0.00017869732106972307,0.01843866874508185,0.01101311325288826,0.033118559324517294,0.00028577339909145456,0.04734037709496264,0.004367980381630658,0.0022406168144152006,0.0107099435307769,0.01510049949005665,1.5612378903404626e-05,0.03248273298121809,0.00012405975544054162,0.005010777494831406,2.1763743191913804e-05,0.02395225208396177,0.018282554217185762,0.68968762057821,0.003608443733481072,0.004887348093023675,0.004869986807465038,2.9866553882327093e-05,1.1722387923704248e-05,0.00014216583378022613,0.027938849368336988
2,GTEX-111CU-1426-SM-5GZYP,0.0023317010493330353,0.00495149048461122,2.2380418200326375e-05,0.011159106248176407,6.777836612149708e-05,0.011205807453188868,0.003734607275123235,0.006486474098806699,7.597878706133667e-05,0.004061726745688859,0.0010061125971044327,0.8718448146670195,0.01795141004563588,0.002556070599378941,1.372338829145464e-05,0.006854106764184424,0.0024145876583135197,0.011976237059126765,1.8489509571215578e-05,0.0068161606470618025,0.0018785862814369532,0.0013722242743021264,0.01875487113897491,0.004915454652461632,0.0027516505086246723,2.0928437137158347e-05,1.1193192206287474e-05,0.0013397737206186572,0.0034065539322382524
3,GTEX-111VG-1626-SM-5EGIO,0.00019494480856792635,0.0004732556736985946,5.135169390933463e-06,0.00023014509021897036,1.9430835858002393e-05,0.005583277244839293,4.8333266612939394e-05,8.290449261377161e-05,8.250031470267524e-06,9.595584850915561e-05,6.0862107157534176e-05,0.00010887155353536537,0.016571740692323964,0.00043376587440413294,4.877043697359746e-06,0.0001613592643182468,0.003998570427934356,0.0007652813117895199,5.098212448560207e-06,0.0002442360614256687,7.070999331264055e-05,2.6069337204039628e-05,0.009328887823070118,0.00018000837629529487,4.130953735971661e-05,7.348398421169861e-06,4.667095371885963e-06,0.9611195726528718,0.00012513177527879326
4,GTEX-111YS-2426-SM-5GZZQ,0.00600547795656005,0.024799509692641532,0.00024427365730471607,0.006432572061666902,0.00015607913747957993,0.01986739327096476,0.5813342407742436,0.14800866574661017,0.00012136371551526314,0.011340809014889281,0.005859118545912506,0.002406411024399503,0.005685035696717297,0.004459700369598567,0.00011880044097736952,0.05731404052069708,0.0001276314793551095,0.010190532854242824,0.0001855650270952738,0.05033772025185864,0.0173057289244546,0.0069763272188063585,0.00233294662790609,0.013086416142993698,0.010242699143152649,3.197164684902996e-05,2.3896514274394526e-05,0.0002140500058157807,0.014791022537017586
5,GTEX-1128S-0926-SM-5GZZU,0.002501889615019301,0.024769126353832105,0.003812422761780608,0.011023925737792909,7.360208784764342e-05,0.027703907633311858,0.07575809623298659,0.253743709458995,0.00020232527103323502,0.12239355876296378,0.002171156486979877,0.0012674218724339776,0.008118745045614294,0.0030626282599746594,0.0027102454619118382,0.19977454367462177,8.917570137147399e-05,0.012184344399472679,0.0035931724804390626,0.06546808227444989,0.07045452431815823,0.012452603568013544,0.004982219104508227,0.019586618231301697,0.028835872314048883,1.1960559239081134e-05,0.0010283099152289658,0.0001207636335596404,0.042105048783109264
6,GTEX-1128S-2126-SM-5H12U,0.001128524643214145,0.009927551580309838,0.010093169211461694,0.0014993318806019928,7.190162402679579e-05,0.014005672108026052,0.7138418619208796,0.12046429778559396,8.34217978834058e-05,0.004591994168827133,0.002248664317383923,0.00029554484135159686,0.002607743594428683,0.0008840362774528743,0.009374841339448029,0.029555368701314994,7.721924718138649e-05,0.002378279020912653,0.009761257294092971,0.026614052725476,0.010172214627107766,0.002263638023012043,0.0012909775266493615,0.00498503372005192,0.0065832422691588805,1.2974441810237022e-05,0.008881579462770935,8.852840141130383e-05,0.006217077448159856
7,GTEX-113IC-0426-SM-5HL5O,0.00367451948153789,0.028342289484881798,6.300846406092869e-05,0.010734199071688154,7.13718558096933e-05,0.015114296803777919,0.009982516623901363,0.04401689465971522,0.0010699999942627718,0.051354324265869895,0.0023127612896082688,0.01667401760991441,0.007926103869485631,0.0037768703182087986,3.2701905291127744e-05,0.061618891975426485,1.7215562922378497e-05,0.01820969330026476,5.190556055543408e-05,0.04145435427391666,0.22770068794599385,0.31983486240866643,0.0021583328618702546,0.010021514675150516,0.004410814936307008,1.905683691145404e-05,9.094197770195211e-06,0.00012220401586060785,0.11922549575036993
8,GTEX-117YW-0008-SM-5QGRD,0.00065497209696541,0.003018796441029447,7.91519790995134e-06,0.001141030777511048,1.568626108067182e-05,0.0034855337347714636,0.0012811392827773366,0.008210783738913553,3.5667372046459276e-05,0.942276857911676,0.0002894169541683131,0.00010808829073456691,0.0016273182146126811,0.0012040611663548253,7.019489492333516e-06,0.016757425506760466,1.3703310597225044e-05,0.001378784244708719,7.398959595333558e-06,0.0028343334372421354,0.00712654434495892,0.002096797169293195,0.0003472510506571205,0.0006446284887067774,0.00018892745666747814,8.886316982043225e-06,6.607674672663228e-06,6.150723744557429e-05,0.005162917871668361
9,GTEX-117YW-0326-SM-5N9CY,0.00490205814620071,0.01905812131203903,0.001333213825751481,0.008609979926874713,0.0011471436354699553,0.012947868230489958,0.01547658307701489,0.02134816412322151,0.363923043509204,0.004236938266654198,0.007620124638618635,0.0005925842230583419,0.00989296562768054,0.010089491524664134,0.0008288696725789194,0.01979675694295828,6.65835368984742e-05,0.0070250385514594145,0.0011909324404057475,0.028961082270222975,0.01981297911120833,0.00710419938480582,0.002494231758285507,0.007927025511384704,0.002303193110641524,0.39040582210890495,0.0005030563885976933,0.00014902890548878893,0.03025292023921694
