i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38
0,GTEX-1KWVE-2326-SM-D4P3N,0.00042117583802421294,0.003277807080682187,0.0003042660985114121,0.0037566189780162953,0.0005252983694154698,0.000929460483063584,0.000498181404856738,0.00041849992383308855,0.00024970586669907305,0.0013759115051696427,0.0010540363319985944,3.052191776227315e-05,0.2996070088335483,0.4191891814127766,0.0005773915189101773,0.0027288023149610735,0.0002583694317122171,0.000605654759639556,8.70550231665805e-05,0.14577651030374714,0.006887309534296192,0.0004421325627574404,2.115562088143748e-05,0.001403419667298944,6.800978654728186e-05,0.0009804033061350957,0.0001918979748996682,0.007486096272185192,2.7353511373815943e-05,0.09641959891767264,2.9257683441216768e-05,0.00020864123809051662,7.09090485249641e-05,0.0028287145586120737,0.0005885263809785807,7.827247070203761e-05,0.00042746440873373746,0.00016937966037517465
1,GTEX-1H23P-0011-R6b-SM-A9G1H,0.001682958563356662,0.005937965976815207,0.03191396390566422,0.01126132173020055,0.0009688331383156911,0.0022986637818765174,0.0014848495966143724,0.0031246830864375785,0.003945961290495276,0.009450689035929114,0.004848165367748657,5.4752091124152224e-05,0.24263741455385462,0.21481017590985038,0.005597948453071011,0.01058884142327714,0.0009560040768247908,0.0013419789859355146,0.0003137968779866674,0.24591581351100936,0.011182166316594348,0.0018582024462264703,5.450650075186203e-05,0.006888309451696449,0.0001472751112464361,0.003362485297270377,0.07342975015136362,0.009365828044665543,5.849599973493412e-05,0.0882063419058205,6.111318078969681e-05,0.0013266843879088726,9.480977898821427e-05,0.0016975684494027641,0.0017962010430720942,9.457238233780358e-05,0.0006191623929510787,0.0006217458027910565
2,GTEX-14C39-0011-R5b-SM-5ZZV1,0.0015380615606222035,0.00654710298180218,0.0036989491674296626,0.010290174537550132,0.0012656734256804238,0.0016726332167882087,0.001521533595763941,0.0024632531189331583,0.0035649236776053106,0.009752737450113114,0.0041823638091483765,4.5040929649260793e-05,0.27483417060589665,0.28272866412278497,0.004176495598685204,0.011226060525064155,0.00058558218224932,0.0014515263829775124,0.00023877717358305415,0.19318801029839117,0.010526700947803148,0.001095305317480305,2.865562577337194e-05,0.006001066301345159,0.00011527057793458536,0.0035261061260530324,0.0028783670294057055,0.010293633585218825,4.309886555067137e-05,0.14335793462510527,3.981157143684853e-05,0.0012979212107224326,9.330411274169524e-05,0.0023104437090589154,0.002234554707940111,0.000100365462299158,0.0005554360255124804,0.0005302898379001375
3,GTEX-1H23P-2926-SM-9WYU8,0.0008983062037097511,0.005023144455420274,0.0021052487113616086,0.00662462552883277,0.0006778232402477724,0.0015792412103313167,0.0008992666425536779,0.0013116442618865433,0.0011276272613602407,0.0039016939122468917,0.002707676727289385,4.809401058714276e-05,0.3121333837644647,0.3443862522342278,0.002103826933000418,0.005546020381193905,0.0005439124284184243,0.001044487153700415,0.00015901225164573966,0.18004076037332728,0.009870635824686114,0.0010429009272404622,2.59053889978236e-05,0.003405299116485874,9.514499981631018e-05,0.0018995324250808666,0.001769448739169096,0.009111134811286134,3.452653449831597e-05,0.09446459553710473,3.966771516299396e-05,0.0005373706075501665,8.408415950044205e-05,0.0025447273536389646,0.0011821951951917606,0.00012085271268474008,0.0005600354420140813,0.0003498948240853346
4,GTEX-13N2G-0011-R10a-SM-5MR34,0.004510055021742287,0.007208673234468311,0.0009739559365318157,0.01689726329294933,0.008225766253828391,0.0039596058235495555,0.003968901383532469,0.006444718203571342,0.006628774315001068,0.02272009227863569,0.007352391362554863,3.463385857494403e-05,0.18383636105434867,0.28930667029890633,0.014923509903731529,0.026135601659396743,0.0023242914508629976,0.0020006307878270052,0.0004434386847652169,0.1596485568879675,0.020141092963201983,0.001237197203540345,4.772585889455452e-05,0.025522953192208264,7.823732253286251e-05,0.01230704345456188,2.0954299081705355e-05,0.010265431823997497,6.322943794966953e-05,0.1516034365309196,6.115478554452615e-05,0.00367266051437878,6.394394116062594e-05,0.0030290681132508182,0.0023208747483445757,9.03416415435565e-05,0.0008841050737979409,0.001046657402344631
5,GTEX-13NZA-0011-R1b-SM-5LUAF,0.0014151617836817652,0.00451340359348848,0.004835069672176105,0.009579547670966172,0.0022986416813864496,0.002925100271989131,0.0014740705108421,0.0020196225284013544,0.0028703097720904716,0.0065219834071995435,0.003820919502449875,4.185515517276837e-05,0.19590561781691102,0.19295931471924765,0.00496567666955578,0.008603937507095765,0.0012220333243539295,0.00112065742684259,0.0002464139873114834,0.42401049784074185,0.010768271505695733,0.0015553118112435127,5.976021788927979e-05,0.007538298962961855,0.00011195188374979813,0.0036172476798125262,0.004328603567025337,0.010863678238550046,5.342093626919178e-05,0.08491208438648913,5.000832694363665e-05,0.0011080200411689126,7.80990718142579e-05,0.0012284669155963718,0.0013358748917063664,6.649520111431164e-05,0.0004559941594877107,0.0005185773605778149
6,GTEX-1A8G6-0011-R6b-SM-7P8PE,0.0013416170912960497,0.00758120725546353,0.0008669436335630498,0.0103954664159014,0.0008361082651547745,0.0022786949893788024,0.0012260655172781233,0.0030033157134695355,0.002652263167344704,0.009691185932025467,0.004365635077314879,8.473647991159757e-05,0.32461784135554855,0.24533585793903745,0.0034203081101720737,0.00926276521113999,0.0014912187999180909,0.0014519223887845285,0.0003838221127197327,0.21671066042006487,0.011588784941878084,0.0016857882785362376,0.00036152324221503995,0.005066723321327357,0.00011821329467218673,0.0028125413839145386,0.00046977581866419223,0.01067804828267656,7.214888045557959e-05,0.11289808750003623,0.00011719405932269341,0.0011811794750220322,0.00010482631570025094,0.0022215858943308367,0.0019127660492337154,0.00014703873440523503,0.0010427963967011796,0.0005233422554211703
7,GTEX-13S7M-0011-R9a-SM-5O9DW,0.0011834510502869472,0.0030041275675685803,0.005767188815730209,0.007019340867698061,0.0036898658669323337,0.0018451427403449743,0.0013578699505906156,0.002071830346483654,0.004275646343965002,0.007340921258755757,0.0029025761023769863,2.3849275628989445e-05,0.18274740250930274,0.18169105316339473,0.005654606310765766,0.008201449984920556,0.0005692814202563772,0.000802608069789748,0.00031420537635832245,0.4910183988726693,0.004891773327376183,0.0012243746296411763,2.297135021424568e-05,0.006565275964161286,5.741369043703842e-05,0.003052891028548128,0.003192851892017147,0.006171154181103873,2.5656152840975776e-05,0.06017336139540232,2.7333499361267513e-05,0.0009855283338677664,4.3649243576829505e-05,0.00048271068329926934,0.0009280671791126128,4.114441650219565e-05,0.00028071327691390715,0.00035231386180380154
8,GTEX-1HBPM-0011-R9b-SM-ARL7C,0.0010656440974851401,0.0021570713338019314,0.008394161785758027,0.006387411095426979,0.005273863822896381,0.0015595273727730698,0.0014241680236721714,0.0019168959494477358,0.00386311088065198,0.008209692311017333,0.0026248915612493862,1.6344841626816028e-05,0.15115519764321364,0.19168915223273014,0.006246404186477922,0.007962110236990899,0.00041548610924694695,0.0005541267269078257,0.00015527673373410636,0.5132792730689921,0.003872493121000686,0.0007605165623522946,1.5098890811722037e-05,0.007420657468234181,4.650266440619558e-05,0.0027126938983478652,0.003961272903419134,0.004695751184284768,2.1240184988760075e-05,0.059619286335023884,1.9891932933988082e-05,0.0007612252777423054,3.05894301032187e-05,0.00046777071133872084,0.0007189453454000944,2.637585834790793e-05,0.00021037279103612195,0.00028950542612769835
9,GTEX-1A3MX-0011-R1b-SM-7P8PH,0.0010841750849244576,0.0040997406655620666,0.004947011968374299,0.007166868883176574,0.001807996526031385,0.0014331966884658153,0.0011500551557117268,0.0018813473140394197,0.0019630444221056965,0.005378287098966893,0.0025797626113142637,3.801418642528226e-05,0.29207251167363896,0.32274476389088147,0.003398846236522992,0.006945781547507593,0.0005362735850531152,0.000831996461203202,0.00019562980416170536,0.21110746448137957,0.009453179062722496,0.0010413875483327934,3.441304513863119e-05,0.004657581335904422,0.00010764723767557296,0.0025411675885657252,0.00396873242392823,0.007185482313793912,4.152885661280695e-05,0.09483511376320174,3.9676719626187915e-05,0.0007367029446160086,7.708402419491671e-05,0.0020447147221426282,0.0009627552637409864,7.4694031516588e-05,0.0004353101853784337,0.0004000606474613184
