i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50
0,GTEX-1KWVE-2326-SM-D4P3N,0.0005438436309036024,0.001927754659324866,0.0003952143518499523,0.00029399490768348925,4.094930873736587e-05,2.6507099554509166e-05,0.0007097816023667263,5.94533135484501e-05,0.0009119371466966722,0.00022977073237578167,0.0007459807878529823,0.00010965482077867932,0.1335971848908291,0.15870784075681593,0.00028602790007912436,0.0011867656214350384,1.940159120580094e-05,0.000819608514125603,0.0008150800179781137,0.15003096672904617,0.0007882703709242198,0.0005060806203395492,2.197078231775385e-05,0.00017660329793998456,0.0007279202079691948,0.0003172035462303612,0.0004671305894357048,0.007722434801155038,0.001193551253092883,0.010724476479021331,6.672297781499785e-05,0.0003594621131883084,0.0012239100426390947,0.0004051634600995744,0.001294467768021535,0.5109115280954757,0.001699689578405465,3.763353947912278e-05,0.0004337063471752568,0.0002278230904465911,0.00036976340456734035,3.5364259655963094e-05,0.0037209799721231703,0.00010917145719836183,6.470444742187935e-05,0.0005152054642406296,0.0011171830103269538,0.002924763515487676,0.0002945812993358888,8.481582528259121e-05
1,GTEX-1H23P-0011-R6b-SM-A9G1H,0.005056027999295206,0.003880248195278883,0.005811355013080677,0.0011517759489219736,6.43715204659113e-05,6.244915161929688e-05,0.0050007276674612355,0.0003271187419691023,0.0048181478012,0.0009119305225962399,0.003538497923750689,0.00033983394191817177,0.06681809028536054,0.09479731756519479,0.0030455599900806973,0.005404296714396092,6.113510810022008e-05,0.0017835623780367738,0.002184113678339624,0.22836981922708852,0.0016069756057001425,0.001743427586975539,5.68764596964728e-05,0.0007005078742367771,0.0016035938096247747,0.000775893656079394,0.10233982968395591,0.008066147601756555,0.0013467619471272318,0.018434034035828138,0.0001339616491820447,0.0014573160955165094,0.004866322817307342,0.00039403748365645866,0.0025726731063396634,0.38079839446630237,0.004418586801999249,7.175265724953442e-05,0.005641978842184319,0.002139207629648453,0.0023365182968686196,8.077656211102124e-05,0.0062577975775673905,0.00017974972440938915,8.940263880759361e-05,0.0033651360353423726,0.002785449031516471,0.00861183633124285,0.0035912704906432297,0.00010740412696940602
2,GTEX-14C39-0011-R5b-SM-5ZZV1,0.005089383090773815,0.004428910024315765,0.005338883815315921,0.001257470956465136,6.569370682503527e-05,4.0407080113351216e-05,0.004624160369110515,0.00023702644462401864,0.0045722381912609664,0.0011675017382301658,0.002744230088756534,0.0002612296733353008,0.09862683280629268,0.1549911770201674,0.0019918004971832093,0.005185043366737375,2.9222323203952146e-05,0.0012929209199336433,0.0022044273788703215,0.15894499676141496,0.0017876746176975374,0.00113458129857336,3.052401981529709e-05,0.0005139393159616657,0.002341064620384691,0.0008917974919253836,0.005568612685973666,0.01055597801525595,0.0015873807429434119,0.022347545215131805,9.77492463540544e-05,0.0010545516633483753,0.0051163925313544726,0.0004885392763734821,0.002595977445216753,0.4538962995962379,0.004174032700702499,6.892035698967465e-05,0.004312767087533919,0.0020364006348716837,0.0020974539924006027,5.1833896550273234e-05,0.007866870770914459,0.00018738461449872843,7.017343595198809e-05,0.002651321497076409,0.002314402653575408,0.007840396035841942,0.003104176877356147,0.00012170141025832935
3,GTEX-1H23P-2926-SM-9WYU8,0.0018225213125860234,0.0031246793419872658,0.0017617163575020132,0.0006791975537512007,6.911151629197695e-05,3.75310359007146e-05,0.0020580635196630515,0.00014210394214676634,0.0023555645534649615,0.0004304302814406215,0.0018885881396529245,0.0002041106553225874,0.1109087106550398,0.13799172135037668,0.0010896499598530352,0.0027898125685410892,2.512753111542662e-05,0.001250646447780165,0.0014992175802720446,0.17320705002614156,0.0013071885408713114,0.00109128058705146,3.0808309617117074e-05,0.0003405704268065539,0.001116609859241119,0.00047768384885126045,0.003640803539412357,0.008968215549955522,0.001472221288454019,0.014343234436033116,9.646771532353453e-05,0.0007945729646977864,0.0027254494572673408,0.0005951298306890798,0.0020494798851364623,0.49535216795454595,0.002948525061286585,5.4872102931421374e-05,0.0019006361551847015,0.0007790511231885605,0.0010487285231677971,5.114765988527509e-05,0.005184644323313741,0.0001538276090108258,7.034787687043249e-05,0.0015522950843103352,0.0019561731720893595,0.005372983273114529,0.0010868902516123346,0.00010243926125011862
4,GTEX-13N2G-0011-R10a-SM-5MR34,0.012452947735085693,0.005004451703977682,0.017710933379806372,0.0013832836800792597,4.3223993061558166e-05,5.461167555360609e-05,0.009091168469941752,0.0004900299818463611,0.00918555397040065,0.0025458474755479976,0.006008699060214334,0.00035179726245098303,0.07668638336662144,0.1726005859995757,0.004579850509350512,0.013393344525662406,4.277655204365637e-05,0.0023564371710915956,0.004069709063882307,0.14459055100454943,0.0018264394022941596,0.0011115864660095013,7.838584841310055e-05,0.0008698160009560154,0.01679294403417233,0.0031327900507880754,3.884208368027689e-05,0.008836132656054431,0.0029356338814134093,0.03390836068043854,0.00016399485277958915,0.0017337574953289613,0.008778685088840723,0.0013498627149776384,0.0037406600246810014,0.3560328739068521,0.008573866707079752,3.124156812399779e-05,0.016854700550632713,0.002491291715943796,0.005522773046094527,7.384389987762473e-05,0.005196810889405349,0.00015546209954329994,7.992942288995008e-05,0.0057861327159029015,0.007645927594681009,0.015451042459190047,0.00807918105820701,8.484450400487362e-05
5,GTEX-13NZA-0011-R1b-SM-5LUAF,0.0036501423461960092,0.003089357600779346,0.00418085418509663,0.0007644514064639479,4.29745101548944e-05,5.49263456634468e-05,0.0039355570112049616,0.0002499889971937108,0.003093964147526474,0.0009153563073150021,0.002901459725145022,0.00022624624562895594,0.06139645454402585,0.07104879961753044,0.0024061123447827355,0.0047964742273602454,6.895081071296892e-05,0.002020358647826621,0.002328740170102441,0.3837533539128415,0.001444127351635052,0.0014376536841666293,5.657998818125716e-05,0.0005422414636271258,0.003893034614811685,0.001007403816219946,0.008007086068064639,0.009586185208899626,0.001045337326962853,0.024760906213080216,9.591643150706728e-05,0.0010420733213355239,0.004447908506998294,0.00024843469636681,0.002802018141392694,0.3538133404113823,0.004019984607399317,4.992214844674824e-05,0.0031955316737045584,0.0016060815581516086,0.0016343391277799445,6.225379571162994e-05,0.005649747936285228,0.00011647759683585742,5.722035156302741e-05,0.0026470080174169027,0.003446431422005745,0.009160550497921126,0.0031282121124630007,7.146880613237109e-05
6,GTEX-1A8G6-0011-R6b-SM-7P8PE,0.00415742059449524,0.004555248292551878,0.0025164873267991494,0.0012376905003461047,0.00012072445239753395,0.00012825006478100323,0.004096715362793246,0.0003306453452754814,0.0042266478200709825,0.0008136077956895085,0.0028695048671898322,0.0005277623906321318,0.08707094078817457,0.12978270592242797,0.001461922342689593,0.005053890826719832,0.000398097827387816,0.0016761976905084444,0.0023843740431791676,0.18175613467462323,0.0018477736803399955,0.0016332259463927384,0.00036503785398182923,0.0007915197409528736,0.0012055025069147025,0.0006605480096092077,0.0008876808012665963,0.00900556219583806,0.001537239324586099,0.021493965376376496,0.0002783432181902114,0.0018608261225452085,0.0049214984789074795,0.00047120224989767085,0.0028578446605448905,0.47870782690946534,0.004361642568212397,8.613625132692739e-05,0.003258340804026986,0.0016185388865640371,0.0022179418747510283,0.00015926201738528892,0.007249292889260252,0.0001889545155362498,9.503108363635169e-05,0.002877820600738198,0.0024844299487588144,0.008914148880907847,0.002674529510694384,0.0001233641636591539
7,GTEX-13S7M-0011-R9a-SM-5O9DW,0.005023911283343112,0.0020077040555399853,0.007365512408594497,0.0006477259685257437,2.310176217155596e-05,2.8780666718417273e-05,0.0043106463004344165,0.00033327214239398106,0.002998055588378736,0.0008230474732355159,0.0022794989019826882,0.00022495435275752824,0.052104722406435836,0.05594921542117805,0.0021779673814252766,0.004211082171174934,2.35588553888158e-05,0.0008344262949907677,0.0017430639005559206,0.4377762684408689,0.0008514604508759804,0.0010341695244869763,2.3725522407949745e-05,0.0004984701325961347,0.006726903345644185,0.0006747007643300492,0.006757552502253317,0.00567406794084858,0.0004952795026626127,0.01533187471699522,5.641306936106445e-05,0.0008225420108791813,0.0029604392921858116,0.00017575567642311193,0.001564008381326484,0.34614747934854817,0.003216186368198724,2.509768720545289e-05,0.004290284321360034,0.0019508671648419762,0.001458485449909973,3.1635569891310206e-05,0.003953424980629356,6.680385898241545e-05,2.644729262004307e-05,0.002069539912968172,0.0017106642993229935,0.006295463696562092,0.004186341140715371,3.740029887240817e-05
8,GTEX-1HBPM-0011-R9b-SM-ARL7C,0.005786642520372541,0.0015360960616226814,0.011440582955135047,0.0005286854824318162,1.540561562024686e-05,2.1162484663669334e-05,0.004458096745287617,0.0002191859274187026,0.002747488370669225,0.000629581160098405,0.0019355320441717602,8.856794133529217e-05,0.046722730152528744,0.057629766836018066,0.0021647102556938843,0.004129231888428552,1.5320012724236286e-05,0.0006264763515317569,0.0013737499050115063,0.48489051168037406,0.0005999756249805262,0.000657277418291042,1.6047193366010806e-05,0.00029903541408464793,0.010849499679164067,0.00042540689859985325,0.008682657397146994,0.004203511525262475,0.0003983705764706154,0.014369265781385011,4.085918658808932e-05,0.00045511801821232614,0.002675970468531275,0.00011988305085636644,0.0011989135574064901,0.3009285088672508,0.002586238869107353,1.7043196223936997e-05,0.005578335966693529,0.0015591840130007397,0.0013265715489433742,2.3143664345593073e-05,0.0031818958311206277,4.823441238325756e-05,2.1639273050998306e-05,0.0018399769186515742,0.0014122992748556815,0.0055401782781387115,0.0039595763206389635,2.5857384111273255e-05
9,GTEX-1A3MX-0011-R1b-SM-7P8PH,0.002977987408329404,0.0027741835868787777,0.004480451770804959,0.0006359062014583132,4.790505364587873e-05,3.952407226214866e-05,0.003061050314138502,0.00023295270610465847,0.0027548726517555183,0.0005875386414171276,0.002016587518125937,0.00019278926319629854,0.09312624794519432,0.12653608554919557,0.0015473409662146696,0.0033990611648670073,3.405114084270175e-05,0.0010010895880767918,0.0014301610010418553,0.19424896541644177,0.0010552365001219564,0.0010364181426599994,3.936387099481347e-05,0.00039381902036501285,0.0033852745873984,0.0006045498479544995,0.007845149721663024,0.006835848537865595,0.0012025682552520324,0.014150112822329761,8.589800706019093e-05,0.0009730404239651906,0.0029384802238599916,0.0003416594569928049,0.0017257897000146165,0.4909341421916977,0.003090194650706817,4.922140017701701e-05,0.003434334105995168,0.0011164525591956418,0.001372058188396648,4.9907124189662265e-05,0.004208488259281734,0.00013131383494678514,6.334611532423673e-05,0.001882405728093921,0.002085838107127684,0.005708403865763601,0.0020465742445876815,8.935854602546644e-05
