Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
ENSG00000123329,ENSG00000168785,ENSG00000115935,ENSG00000076944,ENSG00000108515
ENSG00000126860,ENSG00000145335,ENSG00000139832,ENSG00000117676,ENSG00000111245
ENSG00000136490,ENSG00000160781,ENSG00000153395,ENSG00000156711,ENSG00000105048
ENSG00000089639,ENSG00000084731,ENSG00000182511,ENSG00000099849,ENSG00000198125
ENSG00000128340,ENSG00000170915,ENSG00000122694,ENSG00000168528,ENSG00000036448
ENSG00000077420,ENSG00000242265,ENSG00000164125,ENSG00000149418,ENSG00000173991
ENSG00000076944,ENSG00000101210,ENSG00000136193,ENSG00000166145,ENSG00000092054
ENSG00000013810,ENSG00000001461,ENSG00000065308,ENSG00000073350,ENSG00000139914
ENSG00000173559,ENSG00000174938,ENSG00000109814,ENSG00000102890,ENSG00000160808
ENSG00000117676,ENSG00000137285,ENSG00000130635,ENSG00000178078,ENSG00000156885
ENSG00000112297,ENSG00000174939,ENSG00000164949,ENSG00000006453,ENSG00000239474
ENSG00000204397,ENSG00000169169,ENSG00000166147,ENSG00000102554,ENSG00000197616
ENSG00000141298,ENSG00000166922,ENSG00000167123,ENSG00000115884,ENSG00000124701
ENSG00000110876,ENSG00000184524,ENSG00000184500,ENSG00000039068,ENSG00000138100
ENSG00000247774,ENSG00000104435,ENSG00000091986,ENSG00000180921,ENSG00000197893
ENSG00000153310,ENSG00000167733,ENSG00000213949,ENSG00000189334,ENSG00000158022
ENSG00000146094,ENSG00000182272,ENSG00000152952,ENSG00000052344,ENSG00000010282
ENSG00000081320,ENSG00000110076,ENSG00000162458,ENSG00000142675,ENSG00000129170
ENSG00000171700,ENSG00000110881,ENSG00000099250,ENSG00000132698,ENSG00000155657
ENSG00000168237,ENSG00000155980,ENSG00000244486,ENSG00000112655,ENSG00000164309
ENSG00000151651,ENSG00000136002,ENSG00000154175,ENSG00000096696,ENSG00000077009
ENSG00000186517,ENSG00000198300,ENSG00000165757,ENSG00000105357,ENSG00000154358
ENSG00000189159,ENSG00000108830,ENSG00000126603,ENSG00000155066,ENSG00000122477
ENSG00000113368,ENSG00000135643,ENSG00000136854,ENSG00000184363,
ENSG00000242114,,,ENSG00000117595,
ENSG00000064012,,,,
