,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
ENSG00000123329,0.0013121,5.50667e-05,8.89704e-05,3.24863e-05,1.27237e-12
ENSG00000126860,0.00129522,0.000728566,4.44293e-05,3.53305e-12,2.24712e-14
ENSG00000136490,0.00125272,0.000603091,9.77831e-05,1.67406e-06,4.78191e-07
ENSG00000089639,0.00124584,6.10456e-17,0.000173034,0.00088691,5.44655e-17
ENSG00000128340,0.00123711,3.04855e-05,0.000466864,0.000352217,2.39533e-05
ENSG00000077420,0.00123258,9.97331e-05,0.000278697,1.17229e-12,1.04308e-13
ENSG00000076944,0.00122281,2.37846e-05,0.000205248,0.00118955,1.57956e-10
ENSG00000013810,0.00122128,1.04118e-05,2.37704e-05,0.000385002,9.19568e-05
ENSG00000173559,0.00121044,1.89439e-17,0.000161264,0.000109689,1.91848e-05
ENSG00000117676,0.00120229,0.000411131,1.37382e-05,0.00118506,1.33375e-05
ENSG00000112297,0.00120047,3.04669e-18,6.81302e-05,0.000744022,
ENSG00000204397,0.00119097,8.70407e-14,0.000305395,0.000342574,4.97123e-05
ENSG00000141298,0.00118588,0.000125955,0.000268789,4.49987e-05,0.00107254
ENSG00000110876,0.00118429,0.000302039,0.000279962,5.0015e-07,1.96668e-07
ENSG00000247774,0.0011842,7.90132e-05,3.10859e-05,1.01437e-08,
ENSG00000153310,0.00117652,0.000984556,0.000370413,0.000649847,0.000898678
ENSG00000146094,0.00117549,3.22176e-13,2.50379e-05,1.18219e-10,1.92464e-05
ENSG00000081320,0.00117108,2.95735e-05,0.000353089,0.000431758,4.04839e-05
ENSG00000171700,0.00116929,0.000187587,0.000511611,0.000164581,2.46552e-05
ENSG00000168237,0.00116795,,0.000153327,0.000180831,0.000243096
ENSG00000151651,0.00116133,9.85107e-06,1.30201e-05,1.31981e-05,7.29259e-15
ENSG00000186517,0.00115267,1.79959e-14,0.000143697,0.000608051,6.81964e-14
ENSG00000189159,0.00115265,0.000996051,0.000135753,0.000717177,0.000830682
ENSG00000113368,0.00115224,0.000175499,1.38853e-07,0.000349042,4.11814e-05
ENSG00000242114,0.00115018,0.000382893,0.000266201,0.000627146,0.00117103
ENSG00000064012,0.00114705,1.12313e-12,3.86018e-06,8.57626e-05,
ENSG00000072786,0.00114699,0.000172389,0.000493935,0.000339603,0.000223694
ENSG00000159399,0.00114182,2.66094e-05,0.000368272,0.000773789,0.000770761
ENSG00000105639,0.00113277,3.25e-05,0.00011159,9.11955e-06,5.15133e-07
ENSG00000023892,0.00112905,9.09324e-05,3.69688e-07,0.000964494,1.86243e-21
ENSG00000104894,0.00112835,0.000106211,0.000366029,0.000109516,6.70227e-11
ENSG00000137841,0.00112278,0.000339025,0.000320268,2.88381e-05,2.8472e-05
ENSG00000134516,0.00112205,2.74781e-14,1.26596e-08,1.72901e-16,
ENSG00000254087,0.00111973,9.34873e-05,0.000129304,0.00013769,2.2247e-13
ENSG00000137752,0.00111814,9.82917e-10,0.000454154,0.000696916,2.31177e-05
