i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24
0,GTEX-WEY5-1926-SM-3GIL8,0.135841170324,0.0783699059561,0.1421107628,0.00104493207941,0.0271682340648,0.00104493207941,0.00417972831766,0.0,0.0,0.0,0.0637408568443,0.28631138976,0.00104493207941,0.166144200627,0.0073145245559,0.00522466039707,0.0585161964472,0.00104493207941,0.00208986415883,0.0,0.0114942528736,0.00626959247649,0.0,0.00104493207941
1,GTEX-1HB9E-0526-SM-ARZNM,0.132863613488,0.0538500251636,0.0759939607448,0.00201308505284,0.0090588827378,0.00150981378963,0.00201308505284,0.00100654252642,0.0,0.000503271263211,0.0654252642174,0.358329139406,0.00150981378963,0.104680422748,0.0171112229492,0.00352289884248,0.145445395068,0.00301962757927,0.00100654252642,0.00150981378963,0.0125817815803,0.00503271263211,0.0,0.00201308505284
2,GTEX-1POEN-1626-SM-EVYC2,0.125486381323,0.0924124513619,0.110894941634,0.0,0.022373540856,0.00291828793774,0.00583657587549,0.000972762645914,0.0,0.00194552529183,0.0544747081712,0.310311284047,0.00583657587549,0.147859922179,0.0126459143969,0.00194552529183,0.0836575875486,0.00486381322957,0.00194552529183,0.0,0.011673151751,0.00194552529183,0.0,0.0
3,GTEX-1EKGG-1426-SM-7PBY2,0.133333333333,0.0867579908676,0.134246575342,0.000913242009132,0.0228310502283,0.00547945205479,0.0027397260274,0.000913242009132,0.0,0.0027397260274,0.0547945205479,0.265753424658,0.0027397260274,0.161643835616,0.027397260274,0.00639269406393,0.0575342465753,0.00730593607306,0.0027397260274,0.0,0.0173515981735,0.00182648401826,0.00182648401826,0.0027397260274
4,GTEX-1E2YA-0226-SM-9MQLY,0.168253968254,0.068253968254,0.110317460317,0.0015873015873,0.0285714285714,0.000793650793651,0.00396825396825,0.0,0.000793650793651,0.0,0.047619047619,0.319841269841,0.0015873015873,0.14126984127,0.00634920634921,0.000793650793651,0.084126984127,0.000793650793651,0.0015873015873,0.000793650793651,0.00714285714286,0.00555555555556,0.0,0.0
5,GTEX-1AYCT-2226-SM-7SB98,0.140801644399,0.0585817060637,0.149023638232,0.00205549845838,0.0195272353546,0.00513874614594,0.00205549845838,0.00308324768756,0.00102774922919,0.0,0.0883864337102,0.261048304214,0.00411099691675,0.162384378212,0.0123329907503,0.00205549845838,0.0565262076053,0.00102774922919,0.0,0.00513874614594,0.0123329907503,0.00719424460432,0.00102774922919,0.00513874614594
6,GTEX-14E1K-2126-SM-793DU,0.132567849687,0.0615866388309,0.135699373695,0.00208768267223,0.0156576200418,0.00104384133612,0.0,0.0,0.0,0.0,0.0918580375783,0.274530271399,0.00208768267223,0.19624217119,0.0062630480167,0.00208768267223,0.0636743215031,0.00104384133612,0.00104384133612,0.00104384133612,0.00417536534447,0.00521920668058,0.00104384133612,0.00104384133612
7,GTEX-RWSA-0226-SM-2XCBA,0.174277016743,0.0639269406393,0.131659056317,0.00152207001522,0.041095890411,0.00532724505327,0.00684931506849,0.0,0.00076103500761,0.0,0.0532724505327,0.266362252664,0.00837138508371,0.145357686454,0.0152207001522,0.00304414003044,0.0646879756469,0.00228310502283,0.00152207001522,0.00228310502283,0.00608828006088,0.00608828006088,0.0,0.0
8,GTEX-13O21-1526-SM-5K7W4,0.164967562558,0.0685820203892,0.136237256719,0.0,0.0231696014829,0.00185356811863,0.000926784059314,0.0,0.000926784059314,0.0,0.0676552363299,0.288229842447,0.00185356811863,0.156626506024,0.0120481927711,0.00278035217794,0.0546802594995,0.000926784059314,0.00278035217794,0.000926784059314,0.0064874884152,0.00741427247451,0.0,0.000926784059314
9,GTEX-111FC-0226-SM-5N9B8,0.112887112887,0.047952047952,0.144855144855,0.000999000999001,0.037962037962,0.004995004995,0.000999000999001,0.000999000999001,0.0,0.0,0.0689310689311,0.303696303696,0.001998001998,0.178821178821,0.00999000999001,0.002997002997,0.0679320679321,0.001998001998,0.000999000999001,0.000999000999001,0.004995004995,0.004995004995,0.0,0.0
