i_doc,doc,Topic 1,Topic 2
0,GTEX-WEY5-1926-SM-3GIL8,0.972831765935,0.0271682340648
1,GTEX-1HB9E-0526-SM-ARZNM,0.969300452944,0.0306995470559
2,GTEX-1POEN-1626-SM-EVYC2,0.970817120623,0.0291828793774
3,GTEX-1EKGG-1426-SM-7PBY2,0.958904109589,0.041095890411
4,GTEX-1E2YA-0226-SM-9MQLY,0.977777777778,0.0222222222222
5,GTEX-1AYCT-2226-SM-7SB98,0.959917780062,0.0400822199383
6,GTEX-14E1K-2126-SM-793DU,0.983298538622,0.0167014613779
7,GTEX-RWSA-0226-SM-2XCBA,0.972602739726,0.027397260274
8,GTEX-13O21-1526-SM-5K7W4,0.978683966636,0.0213160333642
9,GTEX-111FC-0226-SM-5N9B8,0.983016983017,0.016983016983
10,GTEX-14A5H-0526-SM-5TDCN,0.920443587271,0.079556412729
11,GTEX-16BQI-0526-SM-6PAM8,0.98150887574,0.0184911242604
12,GTEX-1QW4Y-0826-SM-DTXE1,0.969488939741,0.0305110602593
13,GTEX-17MFQ-1126-SM-7LT9O,0.965578635015,0.0344213649852
14,GTEX-Y9LG-1226-SM-4VBQA,0.974662162162,0.0253378378378
15,GTEX-12584-0226-SM-5EQL5,0.981634527089,0.0183654729109
16,GTEX-1S82P-0226-SM-E6CI6,0.982352941176,0.0176470588235
17,GTEX-P78B-0226-SM-3NB1Z,0.967611336032,0.0323886639676
18,GTEX-13OVL-0326-SM-5IJCS,0.976744186047,0.0232558139535
19,GTEX-16MTA-1326-SM-6PALX,0.934747145188,0.0652528548124
20,GTEX-1HCU7-2026-SM-A9G2B,0.974755700326,0.0252442996743
21,GTEX-XPVG-2726-SM-4B66W,0.965460526316,0.0345394736842
22,GTEX-14PN3-0326-SM-6EU1X,0.973367697595,0.0266323024055
23,GTEX-1B996-0126-SM-7PBYF,0.982965931864,0.0170340681363
24,GTEX-1MA7X-1026-SM-DKPQ8,0.966026587888,0.0339734121123
25,GTEX-144GM-1926-SM-5LUAN,0.970267591675,0.0297324083251
26,GTEX-1B8KZ-1026-SM-73KYN,0.962987886945,0.0370121130552
27,GTEX-ZQUD-0526-SM-57WG4,0.979148566464,0.0208514335361
28,GTEX-1399T-1326-SM-5PNVH,0.969144460028,0.0308555399719
29,GTEX-1QP2A-0226-SM-EVYBC,0.976331360947,0.0236686390533
30,GTEX-13O3P-0226-SM-5KM3Z,0.97571942446,0.0242805755396
31,GTEX-1F6I4-0226-SM-9MQMA,0.978204010462,0.0217959895379
32,GTEX-WYJK-0226-SM-EYYV8,0.981215469613,0.0187845303867
33,GTEX-15SKB-1626-SM-6PAL6,0.968683274021,0.0313167259786
34,GTEX-ZF3C-0226-SM-4WWB3,0.97713950762,0.0228604923798
35,GTEX-12WSD-0226-SM-59HKO,0.974683544304,0.0253164556962
36,GTEX-1JKYR-1226-SM-CM2S7,0.974887892377,0.0251121076233
37,GTEX-1JJEA-0226-SM-COH2X,0.950143815916,0.0498561840844
38,GTEX-1A3MX-0826-SM-72D64,0.952868852459,0.047131147541
39,GTEX-146FH-2026-SM-5SI9I,0.977835723598,0.0221642764016
40,GTEX-1GF9X-1926-SM-ADEIC,0.974311926606,0.0256880733945
41,GTEX-18465-0226-SM-7LG5M,0.978193146417,0.0218068535826
42,GTEX-12ZZZ-0526-SM-5DUX6,0.976784178848,0.0232158211522
43,GTEX-ZPU1-2426-SM-4WWFM,0.972081218274,0.0279187817259
44,GTEX-15ER7-0426-SM-6PAM3,0.982456140351,0.0175438596491
