Topic 1,Topic 2
ENSG00000244734,ENSG00000167880
ENSG00000160213,ENSG00000198336
ENSG00000120708,ENSG00000159166
ENSG00000143546,ENSG00000105409
ENSG00000130222,ENSG00000170439
ENSG00000147454,ENSG00000165215
ENSG00000198744,ENSG00000070808
ENSG00000211594,ENSG00000174407
ENSG00000197119,ENSG00000121742
ENSG00000020129,ENSG00000181418
ENSG00000133026,ENSG00000134571
ENSG00000180353,ENSG00000130294
ENSG00000121966,ENSG00000141579
ENSG00000130755,ENSG00000163032
ENSG00000143369,ENSG00000151948
ENSG00000111245,ENSG00000237289
ENSG00000213654,ENSG00000184925
ENSG00000143119,ENSG00000134240
ENSG00000063180,ENSG00000124429
ENSG00000090382,ENSG00000089199
ENSG00000121316,ENSG00000174871
ENSG00000229344,ENSG00000188505
ENSG00000059728,ENSG00000188373
ENSG00000090104,ENSG00000054938
ENSG00000160307,ENSG00000005961
ENSG00000225972,ENSG00000088002
ENSG00000104267,ENSG00000124507
ENSG00000166825,ENSG00000136883
ENSG00000172005,ENSG00000108244
ENSG00000260549,ENSG00000197632
ENSG00000066336,ENSG00000250978
ENSG00000133048,ENSG00000092051
ENSG00000160255,ENSG00000016602
ENSG00000211595,ENSG00000172995
ENSG00000277734,ENSG00000100427
ENSG00000211593,ENSG00000043039
ENSG00000162998,ENSG00000184221
ENSG00000197971,ENSG00000157119
ENSG00000100365,ENSG00000005001
ENSG00000143320,ENSG00000205678
ENSG00000211675,ENSG00000166869
ENSG00000115271,ENSG00000188910
ENSG00000118785,ENSG00000136541
ENSG00000136999,ENSG00000124935
ENSG00000243649,ENSG00000164089
ENSG00000123975,ENSG00000189280
ENSG00000000938,ENSG00000100285
ENSG00000158825,ENSG00000148798
ENSG00000181458,ENSG00000125869
ENSG00000132965,ENSG00000178919
ENSG00000162551,ENSG00000108878
ENSG00000211772,ENSG00000133742
ENSG00000211896,ENSG00000116983
ENSG00000012779,ENSG00000234883
ENSG00000021300,ENSG00000233041
ENSG00000171345,ENSG00000149043
ENSG00000176533,ENSG00000110436
ENSG00000183036,ENSG00000094796
ENSG00000185862,ENSG00000213578
ENSG00000081041,ENSG00000113196
ENSG00000197405,ENSG00000167755
ENSG00000046653,ENSG00000163623
ENSG00000198417,ENSG00000249138
ENSG00000123560,ENSG00000134765
ENSG00000105048,ENSG00000105613
ENSG00000196735,ENSG00000187094
ENSG00000161249,ENSG00000204655
ENSG00000118849,ENSG00000105697
ENSG00000102096,ENSG00000086570
ENSG00000104894,ENSG00000096006
ENSG00000053438,ENSG00000183072
ENSG00000211679,ENSG00000132872
ENSG00000209082,ENSG00000157087
ENSG00000112214,ENSG00000152463
ENSG00000115956,ENSG00000141837
ENSG00000163661,ENSG00000100362
ENSG00000105649,ENSG00000162040
ENSG00000158050,ENSG00000152977
ENSG00000116701,ENSG00000157765
ENSG00000119535,ENSG00000185847
ENSG00000165272,ENSG00000170162
ENSG00000110876,ENSG00000169562
ENSG00000018280,ENSG00000133055
ENSG00000101336,ENSG00000171124
ENSG00000211890,ENSG00000183379
ENSG00000128656,ENSG00000134827
ENSG00000239951,ENSG00000163586
ENSG00000210144,ENSG00000272021
ENSG00000143226,ENSG00000163630
ENSG00000137462,ENSG00000091138
ENSG00000105664,ENSG00000138435
ENSG00000079435,ENSG00000167941
ENSG00000131771,ENSG00000118271
ENSG00000211893,ENSG00000243709
ENSG00000160781,ENSG00000198759
ENSG00000211899,ENSG00000181656
ENSG00000129244,ENSG00000148826
ENSG00000139970,ENSG00000171431
ENSG00000125740,ENSG00000105143
ENSG00000178531,ENSG00000060718
ENSG00000100055,ENSG00000134343
ENSG00000147394,ENSG00000197273
ENSG00000169442,ENSG00000002726
ENSG00000015285,ENSG00000221986
ENSG00000186847,ENSG00000138829
ENSG00000147168,ENSG00000143167
ENSG00000105696,ENSG00000131668
ENSG00000138207,ENSG00000174992
ENSG00000271503,ENSG00000075886
ENSG00000121552,ENSG00000163735
ENSG00000172508,ENSG00000197888
ENSG00000142347,ENSG00000142408
ENSG00000111404,ENSG00000079112
ENSG00000133169,ENSG00000016490
ENSG00000163221,ENSG00000173702
ENSG00000054690,ENSG00000205116
ENSG00000269981,ENSG00000187550
ENSG00000077943,ENSG00000113722
ENSG00000166819,ENSG00000101405
ENSG00000185482,ENSG00000165828
ENSG00000081237,ENSG00000099834
ENSG00000283992,ENSG00000163217
ENSG00000197249,ENSG00000103375
ENSG00000119927,ENSG00000196260
ENSG00000151651,ENSG00000198788
ENSG00000123329,ENSG00000118245
ENSG00000135480,ENSG00000234965
ENSG00000175206,ENSG00000139540
ENSG00000132465,ENSG00000198758
ENSG00000152154,ENSG00000140297
ENSG00000146094,ENSG00000124875
ENSG00000171617,ENSG00000281383
ENSG00000171051,ENSG00000137634
ENSG00000185133,ENSG00000127831
ENSG00000172724,ENSG00000174963
ENSG00000164879,ENSG00000139767
ENSG00000211900,ENSG00000160401
ENSG00000211666,ENSG00000156234
ENSG00000173110,ENSG00000109943
ENSG00000108405,ENSG00000279353
ENSG00000127324,ENSG00000071203
ENSG00000163563,ENSG00000007171
ENSG00000111913,ENSG00000112077
ENSG00000155850,ENSG00000244355
ENSG00000140678,ENSG00000120088
ENSG00000204482,ENSG00000044012
ENSG00000143318,ENSG00000117983
ENSG00000211644,ENSG00000235263
ENSG00000211897,ENSG00000242515
ENSG00000105374,ENSG00000180745
ENSG00000115590,ENSG00000131096
ENSG00000101447,ENSG00000165556
ENSG00000120729,ENSG00000104321
