,Topic 1,Topic 2
ENSG00000268903,0.001473651351520515,0.0
ENSG00000269981,0.001829387618634876,0.0
ENSG00000250575,1.7430284802930823e-05,0.0
ENSG00000225972,0.0027270472859858134,0.0
ENSG00000229344,0.0027848841401046293,0.0
ENSG00000198744,0.003234902402289389,0.0
ENSG00000205116,0.0,0.0026557964301154964
ENSG00000178821,0.0008667605261093782,0.0
ENSG00000233542,0.00011488142256477133,0.0
ENSG00000187730,0.0005221162584150642,0.0
ENSG00000169717,0.0,5.404236921746649e-05
ENSG00000226374,0.0,0.00029337286146624667
ENSG00000232208,3.4860569605861645e-05,0.0
ENSG00000235263,0.0,0.0020227286764251747
ENSG00000171819,0.0011519833683391553,0.0
ENSG00000242349,0.0008144696717005857,0.0
ENSG00000175206,0.0017628356221145946,0.0
ENSG00000120937,0.0007312796760502341,0.0
ENSG00000283789,0.0,2.316101537891421e-05
ENSG00000204518,2.9314569895838204e-05,0.0
ENSG00000188984,3.169142691441968e-05,0.0
ENSG00000157330,0.0,0.0002316101537891421
ENSG00000162438,0.00011329685121905035,0.0
ENSG00000142615,0.00019410998985082054,0.0
ENSG00000215704,3.089914124155919e-05,0.0
ENSG00000277344,2.376857018581476e-06,0.0
ENSG00000142623,0.00038029712297303614,0.0
ENSG00000142619,0.00014181913544202807,0.0
ENSG00000159339,0.000549053971292321,0.0
ENSG00000158748,5.4667711427373945e-05,0.0
ENSG00000188784,1.5053427784349347e-05,0.0
ENSG00000117215,2.535314153153574e-05,0.0
ENSG00000158816,0.0,0.0002084491384102279
ENSG00000158825,0.0023618035907971265,0.0
ENSG00000162551,0.002292874737258264,0.0
ENSG00000219073,0.0002828459852111956,0.0
ENSG00000142789,0.0006869116783700466,0.0
ENSG00000278124,5.545999710023444e-06,0.0
ENSG00000227868,0.0,3.860169229819035e-05
ENSG00000230023,1.8222570475791314e-05,0.0
ENSG00000158055,0.0005332082578351111,0.0
ENSG00000264443,6.655199652028133e-05,0.0
ENSG00000020633,0.0012652802195582057,0.0
ENSG00000233755,1.901485614865181e-05,0.0
ENSG00000284309,4.5160283353048044e-05,0.0
ENSG00000158022,0.0014047224979816522,0.0
ENSG00000169442,0.0019315924704338793,0.0
ENSG00000000938,0.002365765019161429,0.0
ENSG00000169403,0.0011876362236178774,0.0
ENSG00000260386,1.7430284802930823e-05,0.0
ENSG00000284543,1.8222570475791314e-05,0.0
ENSG00000182866,0.0010030336618413829,0.0
ENSG00000121905,0.0005918373976267875,0.0
ENSG00000176256,0.0,6.176270767710456e-05
ENSG00000231163,0.0,2.316101537891421e-05
ENSG00000189280,0.0,0.0062534741523068375
ENSG00000188910,0.0,0.006585448706071274
ENSG00000020129,0.003064560982624383,0.0
ENSG00000119535,0.0020868804623145358,0.0
ENSG00000223944,1.188428509290738e-05,0.0
ENSG00000116983,0.0,0.005929219937002038
ENSG00000188800,0.0,4.632203075782842e-05
ENSG00000044012,0.0,0.0020227286764251747
ENSG00000197273,0.0,0.003072694706935952
ENSG00000117399,0.0009998645191499407,0.0
ENSG00000229444,0.0005094396876492963,0.0
ENSG00000171872,0.0,0.0005790253844728553
ENSG00000117472,0.0013088559315655327,0.0
ENSG00000250719,0.0,4.632203075782842e-05
ENSG00000162456,2.456085585867525e-05,0.0
ENSG00000186118,0.0,9.264406151565684e-05
ENSG00000142700,3.882199797016411e-05,0.0
ENSG00000225030,2.6937712877256727e-05,0.0
ENSG00000226938,0.0,1.544067691927614e-05
ENSG00000143006,0.0,5.404236921746649e-05
ENSG00000211452,0.0005054782592849938,0.0
ENSG00000203985,9.507428074325904e-06,0.0
ENSG00000162398,0.0,0.0014437032919523193
ENSG00000157131,0.0,5.404236921746649e-05
ENSG00000184292,0.0016004170591781938,0.0
ENSG00000162598,4.3575712007327055e-05,0.0
ENSG00000132855,1.4261142111488855e-05,0.0
ENSG00000172410,0.0,0.0005249830152553888
ENSG00000275678,1.3468856438628363e-05,0.0
ENSG00000162594,2.376857018581476e-05,0.0
ENSG00000116745,3.644514095158263e-05,0.0
ENSG00000229639,2.376857018581476e-06,0.0
ENSG00000235782,3.327599826014066e-05,0.0
ENSG00000154007,0.0,2.316101537891421e-05
ENSG00000234184,0.0001085431371818874,0.0
ENSG00000233290,1.0299713747186395e-05,0.0
ENSG00000153898,0.0005197394013964827,0.0
ENSG00000137975,0.0005569768280209258,0.0
ENSG00000016490,0.0,0.0026943981224136866
ENSG00000016602,0.0,0.006925143598295349
ENSG00000224466,0.0,0.0001544067691927614
ENSG00000224235,0.0,0.00019300846149095176
ENSG00000154451,0.0006163982534854628,0.0
ENSG00000183347,0.0003026531270327079,0.0
ENSG00000143032,7.605942459460723e-05,0.0
ENSG00000225446,3.169142691441968e-05,0.0
ENSG00000137948,0.0,3.088135383855228e-05
ENSG00000228504,0.0,2.316101537891421e-05
ENSG00000228971,0.0,0.001088567722808968
ENSG00000269998,7.130571055744427e-05,0.0
ENSG00000181656,0.0,0.003366067568402199
ENSG00000231671,4.2783426334466564e-05,0.0
ENSG00000060718,0.0,0.003103576060774504
ENSG00000243480,0.00013548085005914414,0.0
ENSG00000203897,0.0,4.632203075782842e-05
ENSG00000179902,0.00025115455829677596,0.0
ENSG00000221986,0.0,0.0030418133530974
ENSG00000198758,0.0,0.0023624235686492494
ENSG00000186150,1.98071418215123e-05,0.0
ENSG00000143119,0.0028173678526919096,0.0
ENSG00000064886,0.0011892207949635984,0.0
ENSG00000134216,4.040656931588509e-05,0.0
ENSG00000116748,0.0006488819660727429,0.0
ENSG00000134200,7.92285672860492e-05,0.0
ENSG00000134258,9.428199507039854e-05,0.0
ENSG00000239216,6.89288535388628e-05,0.0
ENSG00000116882,0.0,0.0005172626767957507
ENSG00000203859,8.635913834179362e-05,0.0
ENSG00000203858,0.0,0.00012352541535420912
ENSG00000203857,3.4068283933001154e-05,0.0
ENSG00000134240,0.0,0.008492372305601877
ENSG00000134193,0.0,0.0006176270767710456
ENSG00000228826,0.0,0.00037057624606262737
ENSG00000277918,4.832942604449001e-05,0.0
ENSG00000275064,0.0,0.0003474152306837132
ENSG00000168509,0.0008691373831279597,0.0
ENSG00000201558,4.832942604449001e-05,0.0
ENSG00000274428,2.059942749437279e-05,0.0
ENSG00000206791,2.456085585867525e-05,0.0
ENSG00000206585,3.169142691441968e-05,0.0
ENSG00000199879,1.5053427784349347e-05,0.0
ENSG00000228626,2.6145427204396236e-05,0.0
ENSG00000203814,0.000795454815551934,0.0
ENSG00000143369,0.0028997655626694006,0.0
ENSG00000163141,0.0009190513805181706,0.0
ENSG00000163154,0.001241511649372391,0.0
ENSG00000163157,0.000839030527559261,0.0
ENSG00000196407,0.0006401668236712775,0.0
ENSG00000182898,1.3468856438628363e-05,0.0
ENSG00000159450,0.0,0.0011503304304860725
ENSG00000143631,0.0005482616856194605,0.0
ENSG00000143520,0.0005062705449578544,0.0
ENSG00000143536,0.0007399948184516995,0.0
ENSG00000186207,0.00032008341183563876,0.0
ENSG00000169509,0.0007732708167118401,0.0
ENSG00000163202,0.00038188169431875715,0.0
ENSG00000185962,4.2783426334466564e-05,0.0
ENSG00000187223,0.00034068283933001155,0.0
ENSG00000187180,0.00038742769402878055,0.0
ENSG00000159455,0.0004706176896791322,0.0
ENSG00000187173,0.00032087569750849923,0.0
ENSG00000187170,5.149856873593198e-05,0.0
ENSG00000198854,0.0005078551163035754,0.0
ENSG00000203786,0.000549053971292321,0.0
ENSG00000240386,0.0003232525545270807,0.0
ENSG00000172155,0.0002765076998283117,0.0
ENSG00000197084,0.0004888402601549236,0.0
ENSG00000196734,0.00038188169431875715,0.0
ENSG00000186844,0.0004135731212331768,0.0
ENSG00000235942,0.0003517748387500584,0.0
ENSG00000163206,0.0,0.00035513556914335123
ENSG00000163207,0.0007122648199015823,0.0
ENSG00000283227,0.0003280062685642437,0.0
ENSG00000184148,0.0002875996992483586,0.0
ENSG00000169474,0.0009444045220497064,0.0
ENSG00000163209,0.0009547042357968928,0.0
ENSG00000252920,3.327599826014066e-05,0.0
ENSG00000234262,0.00014974199217063298,0.0
ENSG00000169469,0.0009705499492541026,0.0
ENSG00000163216,0.0006520511087641849,0.0
ENSG00000241794,0.0006092676824297183,0.0
ENSG00000196805,0.00031136826943417334,0.0
ENSG00000203785,0.0009158822378267287,0.0
ENSG00000244094,0.0002844305565569166,0.0
ENSG00000229035,0.00028839198492121906,0.0
ENSG00000159516,0.0005403388288908555,0.0
ENSG00000203784,2.1391713167233282e-05,0.0
ENSG00000203783,0.0,0.001088567722808968
ENSG00000203782,0.0007677248170018167,0.0
