i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68,Topic 69,Topic 70,Topic 71,Topic 72,Topic 73,Topic 74,Topic 75,Topic 76,Topic 77,Topic 78,Topic 79,Topic 80,Topic 81,Topic 82,Topic 83,Topic 84,Topic 85,Topic 86,Topic 87,Topic 88,Topic 89,Topic 90,Topic 91,Topic 92,Topic 93,Topic 94,Topic 95,Topic 96,Topic 97,Topic 98,Topic 99,Topic 100,Topic 101,Topic 102,Topic 103,Topic 104,Topic 105,Topic 106,Topic 107,Topic 108,Topic 109,Topic 110,Topic 111,Topic 112,Topic 113,Topic 114,Topic 115,Topic 116,Topic 117,Topic 118,Topic 119,Topic 120,Topic 121,Topic 122,Topic 123,Topic 124,Topic 125,Topic 126,Topic 127,Topic 128,Topic 129,Topic 130,Topic 131,Topic 132,Topic 133,Topic 134,Topic 135,Topic 136,Topic 137,Topic 138,Topic 139,Topic 140,Topic 141,Topic 142,Topic 143,Topic 144,Topic 145,Topic 146,Topic 147,Topic 148,Topic 149,Topic 150,Topic 151,Topic 152,Topic 153,Topic 154,Topic 155,Topic 156,Topic 157,Topic 158,Topic 159,Topic 160,Topic 161,Topic 162,Topic 163,Topic 164,Topic 165,Topic 166,Topic 167,Topic 168,Topic 169,Topic 170,Topic 171,Topic 172,Topic 173,Topic 174,Topic 175,Topic 176,Topic 177,Topic 178,Topic 179,Topic 180,Topic 181,Topic 182,Topic 183,Topic 184,Topic 185,Topic 186,Topic 187,Topic 188,Topic 189,Topic 190,Topic 191,Topic 192,Topic 193
0,GTEX-111CU-1426-SM-5GZYP,0.0,0.0,0.008281573498964804,0.0,0.0,0.0,0.0,0.0,0.0,0.002070393374741201,0.0,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,0.0,0.0,0.010351966873706004,0.008281573498964804,0.0,0.0,0.0,0.004140786749482402,0.008281573498964804,0.0,0.0,0.004140786749482402,0.0,0.0,0.0,0.20910973084886128,0.09109730848861283,0.012422360248447204,0.0,0.022774327122153208,0.0,0.002070393374741201,0.0,0.0,0.002070393374741201,0.039337474120082816,0.0,0.0,0.0,0.0,0.0,0.0,0.008281573498964804,0.002070393374741201,0.002070393374741201,0.004140786749482402,0.0,0.0,0.0,0.002070393374741201,0.0,0.0,0.002070393374741201,0.0,0.0,0.0,0.0,0.004140786749482402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002070393374741201,0.0,0.0,0.022774327122153208,0.0,0.024844720496894408,0.002070393374741201,0.0,0.0,0.0,0.0,0.0,0.002070393374741201,0.0,0.002070393374741201,0.010351966873706004,0.004140786749482402,0.0,0.0,0.031055900621118012,0.06418219461697723,0.08902691511387163,0.07039337474120083,0.024844720496894408,0.0,0.0,0.004140786749482402,0.012422360248447204,0.0,0.0,0.0,0.004140786749482402,0.0,0.0,0.002070393374741201,0.010351966873706004,0.008281573498964804,0.0,0.002070393374741201,0.0,0.0,0.0,0.0,0.004140786749482402,0.008281573498964804,0.0,0.0,0.0,0.012422360248447204,0.0,0.0,0.0,0.002070393374741201,0.0,0.002070393374741201,0.0,0.002070393374741201,0.0,0.002070393374741201,0.006211180124223602,0.0,0.0,0.002070393374741201,0.002070393374741201,0.002070393374741201,0.0,0.002070393374741201,0.018633540372670808,0.0,0.0,0.002070393374741201,0.0,0.0,0.004140786749482402,0.0,0.002070393374741201,0.002070393374741201,0.006211180124223602,0.0,0.0,0.0,0.002070393374741201,0.0,0.002070393374741201,0.0,0.0,0.0,0.0,0.0,0.002070393374741201,0.002070393374741201,0.002070393374741201,0.006211180124223602,0.0,0.0,0.0,0.002070393374741201,0.002070393374741201,0.0,0.002070393374741201,0.002070393374741201,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.002070393374741201,0.004140786749482402,0.006211180124223602,0.0,0.0,0.004140786749482402,0.008281573498964804,0.0,0.0,0.0,0.002070393374741201,0.0,0.002070393374741201
1,GTEX-111FC-0226-SM-5N9B8,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.0,0.0,0.02142857142857143,0.04285714285714286,0.02142857142857143,0.007142857142857143,0.0,0.0,0.014285714285714285,0.02142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.0,0.02142857142857143,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.02142857142857143,0.014285714285714285,0.007142857142857143,0.02142857142857143,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.0,0.0,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.0,0.014285714285714285,0.0,0.04285714285714286,0.007142857142857143,0.007142857142857143,0.0,0.007142857142857143,0.03571428571428571,0.014285714285714285,0.007142857142857143,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.007142857142857143,0.007142857142857143,0.014285714285714285,0.02857142857142857,0.0,0.007142857142857143,0.0,0.0,0.04285714285714286,0.0,0.02142857142857143,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.0,0.014285714285714285,0.0,0.007142857142857143,0.007142857142857143,0.0,0.014285714285714285,0.007142857142857143,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.02142857142857143,0.0,0.014285714285714285,0.0,0.0,0.007142857142857143,0.007142857142857143,0.0,0.007142857142857143,0.02142857142857143,0.007142857142857143,0.0,0.007142857142857143,0.0,0.007142857142857143,0.0,0.0,0.014285714285714285,0.014285714285714285,0.0,0.007142857142857143,0.0,0.0,0.014285714285714285,0.0,0.0,0.007142857142857143,0.0,0.0,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,GTEX-111YS-0006-SM-5NQBE,0.010075566750629723,0.010075566750629723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025188916876574307,0.0,0.0,0.0,0.0,0.0,0.0,0.15869017632241814,0.0,0.010075566750629723,0.007556675062972292,0.005037783375314861,0.0,0.020151133501259445,0.037783375314861464,0.03526448362720403,0.0,0.012594458438287154,0.0,0.0,0.04534005037783375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0327455919395466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05037783375314862,0.0,0.012594458438287154,0.007556675062972292,0.0,0.005037783375314861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022670025188916875,0.10579345088161209,0.0,0.0,0.007556675062972292,0.0,0.0,0.030226700251889168,0.0,0.0,0.0025188916876574307,0.0,0.0,0.0,0.0025188916876574307,0.010075566750629723,0.0,0.0,0.0,0.0,0.03526448362720403,0.0025188916876574307,0.010075566750629723,0.010075566750629723,0.015113350125944584,0.005037783375314861,0.0,0.0,0.0,0.0025188916876574307,0.0025188916876574307,0.0,0.017632241813602016,0.022670025188916875,0.007556675062972292,0.0,0.0,0.012594458438287154,0.0,0.0,0.012594458438287154,0.0,0.0,0.0,0.0,0.0,0.0,0.005037783375314861,0.0,0.0,0.022670025188916875,0.0,0.0025188916876574307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025188916876574307,0.030226700251889168,0.0,0.0,0.0,0.0,0.0,0.010075566750629723,0.0025188916876574307,0.0,0.0025188916876574307,0.005037783375314861,0.0,0.015113350125944584,0.022670025188916875,0.0,0.0,0.0,0.0,0.007556675062972292,0.0,0.0,0.017632241813602016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015113350125944584,0.0,0.0025188916876574307,0.0,0.0,0.0,0.005037783375314861,0.005037783375314861,0.0,0.0,0.0,0.012594458438287154,0.0025188916876574307,0.0025188916876574307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005037783375314861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025188916876574307,0.0,0.0,0.0,0.0,0.0,0.0
3,GTEX-111YS-0326-SM-5GZZ3,0.0,0.0,0.041666666666666664,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.125,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.14583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.010416666666666666,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.010416666666666666,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.010416666666666666,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.020833333333333332,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.052083333333333336,0.0,0.03125,0.0,0.0,0.010416666666666666,0.020833333333333332,0.0,0.0,0.0,0.010416666666666666,0.0,0.052083333333333336,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.010416666666666666
4,GTEX-111YS-2426-SM-5GZZQ,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.006802721088435374,0.0,0.0,0.013605442176870748,0.04081632653061224,0.027210884353741496,0.0,0.0,0.0,0.0,0.034013605442176874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027210884353741496,0.0,0.006802721088435374,0.0,0.013605442176870748,0.027210884353741496,0.013605442176870748,0.027210884353741496,0.006802721088435374,0.0,0.0,0.0,0.0,0.006802721088435374,0.006802721088435374,0.0,0.006802721088435374,0.0,0.0,0.0,0.034013605442176874,0.02040816326530612,0.013605442176870748,0.0,0.0,0.04081632653061224,0.034013605442176874,0.013605442176870748,0.013605442176870748,0.034013605442176874,0.0,0.0,0.0,0.006802721088435374,0.006802721088435374,0.0,0.0,0.013605442176870748,0.0,0.0,0.0,0.0,0.0,0.0,0.07482993197278912,0.0,0.0,0.0,0.013605442176870748,0.006802721088435374,0.027210884353741496,0.006802721088435374,0.006802721088435374,0.006802721088435374,0.0,0.013605442176870748,0.0,0.027210884353741496,0.0,0.0,0.0,0.0,0.013605442176870748,0.0,0.006802721088435374,0.013605442176870748,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.013605442176870748,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.006802721088435374,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.0,0.05442176870748299,0.0,0.0,0.006802721088435374,0.0,0.006802721088435374,0.0,0.006802721088435374,0.0,0.006802721088435374,0.0,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.006802721088435374,0.0,0.0,0.0,0.006802721088435374
5,GTEX-1122O-0005-SM-5O99J,0.009009009009009009,0.02027027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022522522522522522,0.0,0.0,0.0,0.0,0.0,0.0,0.14864864864864866,0.0,0.009009009009009009,0.006756756756756757,0.0022522522522522522,0.0,0.013513513513513514,0.04054054054054054,0.036036036036036036,0.0,0.015765765765765764,0.0,0.0,0.04054054054054054,0.0,0.0,0.0,0.0,0.0022522522522522522,0.0,0.0,0.0,0.0,0.0,0.0,0.02927927927927928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04504504504504504,0.0,0.01126126126126126,0.006756756756756757,0.0,0.0045045045045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024774774774774775,0.09684684684684684,0.0,0.0,0.006756756756756757,0.0,0.0,0.02927927927927928,0.0,0.0,0.0022522522522522522,0.0,0.0,0.0,0.0022522522522522522,0.01126126126126126,0.0,0.0,0.0,0.0,0.033783783783783786,0.0045045045045045045,0.009009009009009009,0.009009009009009009,0.015765765765765764,0.009009009009009009,0.02927927927927928,0.009009009009009009,0.0,0.015765765765765764,0.0022522522522522522,0.0,0.013513513513513514,0.02027027027027027,0.006756756756756757,0.0,0.0,0.013513513513513514,0.0,0.0,0.018018018018018018,0.0,0.0,0.0,0.0,0.0,0.0,0.0022522522522522522,0.0,0.0,0.02252252252252252,0.0,0.0022522522522522522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022522522522522522,0.02027027027027027,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.0045045045045045045,0.0,0.0022522522522522522,0.0045045045045045045,0.0022522522522522522,0.013513513513513514,0.02252252252252252,0.0,0.0,0.0,0.0,0.0045045045045045045,0.0,0.0,0.015765765765765764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.0022522522522522522,0.0,0.0,0.0,0.006756756756756757,0.0022522522522522522,0.0,0.0,0.0,0.01126126126126126,0.0022522522522522522,0.0022522522522522522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022522522522522522,0.0,0.0,0.0022522522522522522,0.0,0.0,0.0022522522522522522,0.0,0.0,0.0022522522522522522,0.0,0.0,0.0,0.0,0.0,0.0
6,GTEX-1122O-0426-SM-5H12G,0.0,0.0,0.015748031496062992,0.0,0.0,0.0,0.0,0.0,0.0,0.023622047244094488,0.0,0.0,0.0,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,0.0,0.007874015748031496,0.007874015748031496,0.0,0.0,0.0,0.047244094488188976,0.0,0.0,0.0,0.0,0.015748031496062992,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007874015748031496,0.0,0.0,0.03937007874015748,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,0.0,0.007874015748031496,0.007874015748031496,0.0,0.007874015748031496,0.0,0.0,0.0,0.015748031496062992,0.015748031496062992,0.0,0.023622047244094488,0.0,0.015748031496062992,0.0,0.007874015748031496,0.007874015748031496,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,0.0,0.015748031496062992,0.0,0.015748031496062992,0.023622047244094488,0.015748031496062992,0.0,0.0,0.047244094488188976,0.047244094488188976,0.007874015748031496,0.0,0.03937007874015748,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0,0.015748031496062992,0.0,0.0,0.0,0.0,0.0,0.0,0.023622047244094488,0.0,0.0,0.0,0.007874015748031496,0.015748031496062992,0.031496062992125984,0.007874015748031496,0.0,0.007874015748031496,0.0,0.03937007874015748,0.023622047244094488,0.0,0.0,0.0,0.0,0.0,0.007874015748031496,0.0,0.007874015748031496,0.0,0.0,0.0,0.0,0.007874015748031496,0.015748031496062992,0.0,0.015748031496062992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007874015748031496,0.0,0.03937007874015748,0.007874015748031496,0.0,0.015748031496062992,0.007874015748031496,0.007874015748031496,0.0,0.007874015748031496,0.007874015748031496,0.007874015748031496,0.0,0.015748031496062992,0.0,0.0,0.007874015748031496,0.0,0.007874015748031496,0.0,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,0.007874015748031496,0.0,0.0,0.007874015748031496,0.023622047244094488,0.0,0.0,0.007874015748031496,0.0,0.0,0.007874015748031496,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.015748031496062992,0.007874015748031496
7,GTEX-1122O-0626-SM-5N9B9,0.0,0.0,0.03278688524590164,0.0,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.11475409836065574,0.10655737704918032,0.0,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.00819672131147541,0.00819672131147541,0.0,0.13934426229508196,0.0,0.0,0.0,0.0,0.0,0.0,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00819672131147541,0.0,0.00819672131147541,0.0,0.0,0.0,0.0,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.00819672131147541,0.0,0.0,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00819672131147541,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.00819672131147541,0.0,0.0,0.0,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.00819672131147541,0.03278688524590164,0.0,0.00819672131147541,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.09836065573770492,0.0,0.0,0.0,0.0,0.0,0.00819672131147541,0.0,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.0,0.0,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.00819672131147541,0.01639344262295082,0.0,0.00819672131147541,0.0,0.00819672131147541,0.0,0.0,0.0,0.0,0.02459016393442623,0.0,0.0,0.0,0.0,0.00819672131147541,0.040983606557377046,0.0,0.01639344262295082,0.0,0.0,0.01639344262295082,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.06557377049180328,0.0,0.0,0.00819672131147541,0.0,0.0,0.0,0.0,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.00819672131147541,0.0,0.00819672131147541
8,GTEX-1122O-1026-SM-9WYSF,0.00625,0.0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003125,0.14375,0.0,0.009375,0.184375,0.003125,0.0,0.0,0.00625,0.0,0.003125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.028125,0.0,0.0,0.0,0.0,0.0,0.003125,0.096875,0.0,0.009375,0.0,0.003125,0.01875,0.0,0.028125,0.0,0.0,0.00625,0.00625,0.0,0.003125,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.0,0.003125,0.0,0.015625,0.040625,0.0,0.009375,0.003125,0.0,0.00625,0.0,0.0,0.00625,0.0,0.0,0.0,0.0125,0.00625,0.01875,0.0,0.003125,0.0,0.0,0.0,0.0,0.0,0.003125,0.0,0.00625,0.015625,0.0,0.0,0.0,0.00625,0.0,0.0,0.003125,0.009375,0.0,0.0,0.0,0.0,0.0,0.00625,0.0,0.003125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003125,0.0,0.0,0.0,0.0,0.003125,0.0,0.00625,0.0,0.003125,0.0,0.0,0.0,0.0,0.0,0.00625,0.0,0.03125,0.015625,0.00625,0.003125,0.0,0.00625,0.00625,0.00625,0.0,0.003125,0.0,0.0,0.009375,0.0,0.0,0.003125,0.003125,0.0,0.003125,0.003125,0.0,0.00625,0.0,0.0,0.028125,0.0,0.003125,0.0,0.003125,0.0,0.009375,0.0,0.0,0.015625,0.0,0.003125,0.003125,0.0,0.009375,0.003125,0.0,0.0,0.0,0.0,0.0,0.0,0.003125
9,GTEX-1122O-1526-SM-5N9CL,0.0022522522522522522,0.0,0.006756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,0.0022522522522522522,0.0,0.0,0.0,0.0,0.0,0.0022522522522522522,0.0022522522522522522,0.0,0.0,0.009009009009009009,0.009009009009009009,0.0,0.0,0.0,0.009009009009009009,0.009009009009009009,0.0,0.0,0.0045045045045045045,0.0,0.0,0.0,0.24549549549549549,0.08783783783783784,0.0,0.0,0.02702702702702703,0.0,0.0022522522522522522,0.0,0.0,0.0022522522522522522,0.04054054054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.01126126126126126,0.0022522522522522522,0.0,0.0045045045045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022522522522522522,0.0,0.0,0.0045045045045045045,0.0045045045045045045,0.0,0.0,0.0,0.0022522522522522522,0.0,0.0,0.0022522522522522522,0.0,0.0,0.024774774774774775,0.0,0.02702702702702703,0.0045045045045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022522522522522522,0.0022522522522522522,0.006756756756756757,0.0,0.0022522522522522522,0.024774774774774775,0.05630630630630631,0.06756756756756757,0.06306306306306306,0.02927927927927928,0.0,0.0,0.006756756756756757,0.01126126126126126,0.0,0.0,0.0,0.0045045045045045045,0.0,0.0,0.0,0.01126126126126126,0.009009009009009009,0.0,0.0022522522522522522,0.0,0.0,0.0,0.0,0.0045045045045045045,0.009009009009009009,0.0022522522522522522,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.0,0.0022522522522522522,0.0022522522522522522,0.0022522522522522522,0.0,0.0022522522522522522,0.018018018018018018,0.0,0.0,0.0022522522522522522,0.0,0.0,0.0045045045045045045,0.0,0.0022522522522522522,0.0045045045045045045,0.0045045045045045045,0.0,0.0,0.0,0.0,0.0,0.0022522522522522522,0.0022522522522522522,0.0,0.0,0.0,0.0,0.0,0.0022522522522522522,0.0022522522522522522,0.0045045045045045045,0.0,0.0,0.0,0.0022522522522522522,0.0,0.0,0.0022522522522522522,0.0022522522522522522,0.0,0.0,0.0,0.015765765765765764,0.0,0.0,0.0,0.0,0.0045045045045045045,0.006756756756756757,0.0,0.0,0.0045045045045045045,0.009009009009009009,0.0,0.0,0.0,0.0022522522522522522,0.0,0.0022522522522522522
