subtissue,tissue,l0,l1,l2,l3
Brain - Cortex,Brain,1,1,1,0
Brain - Caudate (basal ganglia),Brain,2,1,1,0
Brain - Caudate (basal ganglia),Brain,2,1,1,0
Brain - Nucleus accumbens (basal ganglia),Brain,3,1,1,0
Brain - Anterior cingulate cortex (BA24),Brain,4,1,1,0
Brain - Anterior cingulate cortex (BA24),Brain,4,1,1,0
Brain - Caudate (basal ganglia),Brain,5,1,1,0
Brain - Nucleus accumbens (basal ganglia),Brain,6,1,1,0
Brain - Nucleus accumbens (basal ganglia),Brain,6,1,1,0
Brain - Caudate (basal ganglia),Brain,7,1,1,0
Brain - Frontal Cortex (BA9),Brain,8,1,1,0
Brain - Frontal Cortex (BA9),Brain,8,1,1,0
Brain - Cortex,Brain,9,1,1,0
Brain - Cortex,Brain,10,1,1,0
Brain - Frontal Cortex (BA9),Brain,10,1,1,0
Brain - Cortex,Brain,11,1,1,0
Brain - Caudate (basal ganglia),Brain,12,1,1,0
Brain - Anterior cingulate cortex (BA24),Brain,13,1,1,0
Brain - Caudate (basal ganglia),Brain,14,1,1,0
Brain - Anterior cingulate cortex (BA24),Brain,15,1,1,0
Brain - Anterior cingulate cortex (BA24),Brain,16,1,1,0
Brain - Frontal Cortex (BA9),Brain,16,1,1,0
Brain - Putamen (basal ganglia),Brain,17,1,1,0
Brain - Caudate (basal ganglia),Brain,18,1,1,0
Brain - Hypothalamus,Brain,19,2,1,0
Brain - Nucleus accumbens (basal ganglia),Brain,19,2,1,0
Brain - Caudate (basal ganglia),Brain,20,2,1,0
Brain - Cortex,Brain,21,2,1,0
Brain - Hippocampus,Brain,22,2,1,0
Brain - Nucleus accumbens (basal ganglia),Brain,23,2,1,0
Brain - Putamen (basal ganglia),Brain,23,2,1,0
Brain - Spinal cord (cervical c-1),Brain,24,2,1,0
Brain - Hippocampus,Brain,25,2,1,0
Brain - Hippocampus,Brain,25,2,1,0
Brain - Putamen (basal ganglia),Brain,26,2,1,0
Brain - Hypothalamus,Brain,27,2,1,0
Brain - Hippocampus,Brain,28,2,1,0
Brain - Hippocampus,Brain,29,2,1,0
Brain - Caudate (basal ganglia),Brain,30,2,1,0
Brain - Caudate (basal ganglia),Brain,31,2,1,0
Brain - Amygdala,Brain,32,2,1,0
Brain - Nucleus accumbens (basal ganglia),Brain,33,2,1,0
Brain - Hypothalamus,Brain,34,2,1,0
Brain - Amygdala,Brain,35,2,1,0
Brain - Hypothalamus,Brain,36,2,1,0
Brain - Anterior cingulate cortex (BA24),Brain,37,2,1,0
Brain - Substantia nigra,Brain,38,2,1,0
Brain - Putamen (basal ganglia),Brain,39,2,1,0
Brain - Amygdala,Brain,40,2,1,0
Brain - Cortex,Brain,41,2,1,0
Brain - Spinal cord (cervical c-1),Brain,42,2,1,0
Brain - Frontal Cortex (BA9),Brain,43,2,1,0
Brain - Caudate (basal ganglia),Brain,44,2,1,0
Brain - Hypothalamus,Brain,45,2,1,0
Brain - Hypothalamus,Brain,46,2,1,0
Brain - Hippocampus,Brain,47,2,1,0
Brain - Amygdala,Brain,48,2,1,0
Brain - Amygdala,Brain,49,2,1,0
Brain - Amygdala,Brain,49,2,1,0
Brain - Caudate (basal ganglia),Brain,49,2,1,0
Brain - Hippocampus,Brain,49,2,1,0
Brain - Hypothalamus,Brain,50,2,1,0
