i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22
0,GTEX-1KWVE-2326-SM-D4P3N,0.464843115449,0.316693116073,0.151049020955,0.0268034538343,0.000849713221788,0.0397615804666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,GTEX-1H23P-0011-R6b-SM-A9G1H,0.433549432739,0.268046378257,0.0803515771101,0.0140568507667,0.000280513651664,0.203715247475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,GTEX-14C39-0011-R5b-SM-5ZZV1,0.467278758224,0.275826048711,0.116462330713,0.0190408122125,0.00045815236315,0.120933897777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,GTEX-1H23P-2926-SM-9WYU8,0.463726795645,0.310268661393,0.124383175374,0.0234667502154,0.000971254014256,0.0771833633587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,GTEX-13N2G-0011-R10a-SM-5MR34,0.451128586437,0.34275776955,0.0873188294932,0.0168395499934,0.000367185826627,0.101475883031,0.0,0.0,0.0,0.0,0.0,0.0,0.000112195669247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,GTEX-13NZA-0011-R1b-SM-5LUAF,0.486795825405,0.329902554345,0.090295796575,0.0171827250187,0.000317130830883,0.0755059678256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,GTEX-1A8G6-0011-R6b-SM-7P8PE,0.516800800255,0.257127267767,0.0877097258219,0.0165507206839,0.000363752102942,0.12144773337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,GTEX-13S7M-0011-R9a-SM-5O9DW,0.524483538266,0.292764889894,0.0765013782637,0.0155015950692,0.000340694397126,0.09040790411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,GTEX-1HBPM-0011-R9b-SM-ARL7C,0.517929109139,0.295653779723,0.0690659048198,0.0149798494411,0.00065177009896,0.101719586778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,GTEX-1A3MX-0011-R1b-SM-7P8PH,0.464767866458,0.308920187793,0.115138236828,0.019071465832,0.000667709963485,0.0914345331247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,GTEX-1445S-0011-R7b-SM-5PNUG,0.454884246189,0.266007905138,0.0888386975343,0.0154526632788,0.000451722190853,0.174364765669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,GTEX-Q2AG-2826-SM-2HMJQ,0.448008959188,0.309944302392,0.165923371192,0.0449148678916,0.000455887891221,0.0307427008384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9106063309e-06,0.0,0.0,0.0,0.0,0.0,0.0
