i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
0,GTEX-1GZ2Q-0011-R6a-SM-9OSWM,0.025272601291,0.739032128661,0.214178913971,0.0214434192772,0.0,7.29368002626e-05,0.0,0.0,0.0,0.0,0.0
1,GTEX-RU72-0011-R5A-SM-2TF6U,0.0196000731573,0.770407852222,0.186642687313,0.0232579406206,0.0,9.14466865817e-05,0.0,0.0,0.0,0.0,0.0
2,GTEX-WHSE-0011-R3A-SM-3P5ZM,0.0217926734217,0.731816056118,0.239282930631,0.00698363211224,0.0,0.00012470771629,0.0,0.0,0.0,0.0,0.0
3,GTEX-14PQA-0011-R1b-SM-6EU1G,0.0190692579219,0.841035420132,0.135838033026,0.00397614314115,0.0,8.11457783909e-05,0.0,0.0,0.0,0.0,0.0
4,GTEX-13CF2-0011-R1a-SM-5LZY1,0.0161989908825,0.835797114278,0.142692750288,0.00504558732407,0.0,0.000265557227583,0.0,0.0,0.0,0.0,0.0
5,GTEX-1B8L1-0011-R10b-SM-7P8Q4,0.00901290648208,0.699185233254,0.280721993895,0.0109356598649,0.0,0.000144206503713,0.0,0.0,0.0,0.0,0.0
6,GTEX-1445S-3026-SM-5O9BR,0.078998904637,0.674876356756,0.242838649716,0.00321970325622,0.0,6.63856341488e-05,0.0,0.0,0.0,0.0,0.0
7,GTEX-1B8SF-0011-R8b-SM-7P8SX,0.0197524303018,0.692752275294,0.27861555836,0.0087468721628,0.0,0.000132863880954,0.0,0.0,0.0,0.0,0.0
8,GTEX-15ER7-0011-R7a-SM-6M46N,0.0117377185927,0.785444037299,0.180534453481,0.0222539994638,0.0,2.97911639408e-05,0.0,0.0,0.0,0.0,0.0
9,GTEX-14ASI-0011-R5b-SM-6EU2M,0.301044204664,0.535607379046,0.150678733032,0.0121475809259,0.0,0.000522102332057,0.0,0.0,0.0,0.0,0.0
10,GTEX-OHPN-0011-R1A-SM-2I5GB,0.0857400722022,0.747570119411,0.158914190503,0.00770619272424,0.0,6.94251596779e-05,0.0,0.0,0.0,0.0,0.0
11,GTEX-11DYG-0011-R5a-SM-DO928,0.120909131946,0.69746761161,0.161197129057,0.0203358461608,0.0,9.0281226019e-05,0.0,0.0,0.0,0.0,0.0
12,GTEX-1B933-0011-R10b-SM-9OSVN,0.010403321995,0.714361443654,0.265450368865,0.00960816362592,0.0,0.000176701859787,0.0,0.0,0.0,0.0,0.0
13,GTEX-1IKK5-0011-R5b-SM-CL55B,0.14634198762,0.70570409216,0.134478163686,0.0121432255846,0.0,0.00133253094911,0.0,0.0,0.0,0.0,0.0
14,GTEX-1IY9M-0011-R7a-SM-D4P49,0.0133687882706,0.768973677149,0.191115122832,0.0265180161499,0.0,2.43955990339e-05,0.0,0.0,0.0,0.0,0.0
15,GTEX-ZE9C-3026-SM-4WKHB,0.0162331943874,0.748811131333,0.226736335349,0.00798450067516,0.0,0.000234838255152,0.0,0.0,0.0,0.0,0.0
16,GTEX-1MJK2-3026-SM-EV7A5,0.0111355539549,0.686432923862,0.292502968832,0.00776763291607,0.0,0.0021609204353,0.0,0.0,0.0,0.0,0.0
17,GTEX-144GL-0011-R11b-SM-5P9F6,0.00912760753276,0.675184441307,0.308529043292,0.00614472925408,0.0,0.00101417861475,0.0,0.0,0.0,0.0,0.0
18,GTEX-13FXS-0011-R9a-SM-5K7UI,0.0136061068702,0.883358778626,0.098027480916,0.00410381679389,0.0,0.000903816793893,0.0,0.0,0.0,0.0,0.0
19,GTEX-11ZVC-0011-R1b-SM-5BC6M,0.0164259416596,0.831846502407,0.142523364486,0.00559331634098,0.0,0.0036108751062,0.0,0.0,0.0,0.0,0.0
20,GTEX-P44G-0011-R7A-SM-2I3F9,0.0195152792413,0.767502634352,0.193213909378,0.0197681770285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,GTEX-14C39-0011-R3b-SM-5YYA3,0.0208184679958,0.754417628541,0.220104931794,0.00457502623295,0.0,8.39454354669e-05,0.0,0.0,0.0,0.0,0.0
22,GTEX-1GF9V-0011-R10b-SM-CKZNP,0.00924980862465,0.732095772731,0.250212639279,0.00831419579825,0.0,0.000127583567237,0.0,0.0,0.0,0.0,0.0
23,GTEX-NPJ7-0011-R9a-SM-2TC5R,0.0511829947838,0.857559950864,0.0878567232202,0.00320450054298,0.0,0.000195830588738,0.0,0.0,0.0,0.0,0.0
24,GTEX-1313W-0011-R7b-SM-5DUWL,0.0169773426222,0.785947404757,0.173696102429,0.0233477687818,0.0,3.13814096529e-05,0.0,0.0,0.0,0.0,0.0
25,GTEX-13QJC-0011-R8b-SM-5S2U6,0.0274921528304,0.866976945557,0.101201428726,0.00422123606451,0.0,0.000108236822167,0.0,0.0,0.0,0.0,0.0
26,GTEX-Z93S-0011-R7b-SM-4RGNK,0.0362641242938,0.751059322034,0.195621468927,0.0170550847458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,GTEX-1HSMO-0011-R2a-SM-CL553,0.0339593335216,0.821707615551,0.134354702062,0.0050127082745,0.0,0.00496564059117,0.0,0.0,0.0,0.0,0.0
28,GTEX-1B996-0011-R10b-SM-CJI3T,0.0326038973324,0.679605221669,0.275272750205,0.0120136217443,0.0,0.000504509049631,0.0,0.0,0.0,0.0,0.0
29,GTEX-1B933-0011-R2b-SM-7IGNM,0.0136999802878,0.819386950522,0.148630001971,0.00820520402129,0.0,0.0100778631973,0.0,0.0,0.0,0.0,0.0
30,GTEX-1GZHY-3026-SM-7MXVA,0.0147448965344,0.693121840878,0.284677036499,0.00650674411461,0.0,0.000949481973805,0.0,0.0,0.0,0.0,0.0
31,GTEX-131YS-3126-SM-5KLYT,0.0140465976953,0.708610199905,0.266576947879,0.0105980317941,0.0,0.00016822272689,0.0,0.0,0.0,0.0,0.0
32,GTEX-WL46-2826-SM-3LK81,0.00920550521766,0.679326497025,0.302461432731,0.00680013744959,0.0,0.00220642757673,0.0,0.0,0.0,0.0,0.0
