Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
ENSG00000244734.3,ENSG00000143546.9,ENSG00000172005.10,ENSG00000172995.16,ENSG00000270232.1,ENSG00000166866.12,ENSG00000203985.10,ENSG00000256797.1,ENSG00000234918.1,ENSG00000227765.4,ENSG00000234426.1
ENSG00000111245.14,ENSG00000042832.11,ENSG00000125780.11,ENSG00000157087.17,ENSG00000283789.1,ENSG00000129654.7,,ENSG00000255221.3,ENSG00000206776.1,ENSG00000259587.2,
ENSG00000175206.10,ENSG00000160213.6,ENSG00000132639.12,ENSG00000133055.8,,ENSG00000142319.17,,ENSG00000172967.7,ENSG00000243365.3,,
ENSG00000171401.14,ENSG00000131095.12,ENSG00000159516.8,ENSG00000102854.15,,ENSG00000256943.1,,ENSG00000243572.1,ENSG00000251504.1,,
ENSG00000170477.12,ENSG00000120708.16,ENSG00000186832.8,ENSG00000211946.3,,ENSG00000019186.9,,,ENSG00000241168.1,,
ENSG00000186847.5,ENSG00000121552.3,ENSG00000204936.9,ENSG00000002726.20,,ENSG00000152611.11,,,,,
ENSG00000211594.2,ENSG00000123560.13,ENSG00000179914.4,ENSG00000282122.1,,ENSG00000184385.2,,,,,
ENSG00000105048.16,ENSG00000197971.14,ENSG00000148346.11,ENSG00000142405.21,,ENSG00000253763.1,,,,,
ENSG00000163209.14,ENSG00000086506.2,ENSG00000008516.16,ENSG00000150656.14,,ENSG00000234165.1,,,,,
ENSG00000211890.3,ENSG00000115705.20,ENSG00000135480.15,ENSG00000210154.1,,ENSG00000144820.7,,,,,
ENSG00000172867.3,ENSG00000233041.8,ENSG00000133048.12,ENSG00000147689.16,,ENSG00000259846.1,,,,,
ENSG00000205420.10,ENSG00000239839.6,ENSG00000127585.11,ENSG00000187550.8,,ENSG00000143954.12,,,,,
ENSG00000106631.8,ENSG00000163661.3,ENSG00000119888.10,ENSG00000242349.5,,ENSG00000267683.1,,,,,
ENSG00000180209.11,ENSG00000124102.4,ENSG00000105388.15,ENSG00000124469.11,,ENSG00000274252.1,,,,,
ENSG00000188508.10,ENSG00000125618.16,ENSG00000181418.7,ENSG00000171711.2,,ENSG00000260187.1,,,,,
ENSG00000143536.7,ENSG00000171345.13,ENSG00000165215.6,ENSG00000265142.8,,ENSG00000198535.5,,,,,
ENSG00000197616.11,ENSG00000165272.14,ENSG00000065618.18,ENSG00000230051.1,,ENSG00000171201.10,,,,,
ENSG00000163221.8,ENSG00000160307.9,ENSG00000016602.9,ENSG00000134343.12,,ENSG00000225840.2,,,,,
ENSG00000225972.1,ENSG00000184292.6,ENSG00000069011.15,ENSG00000160886.13,,ENSG00000235254.3,,,,,
ENSG00000211595.2,ENSG00000240237.1,ENSG00000101405.3,ENSG00000198759.11,,ENSG00000258345.1,,,,,
ENSG00000178372.7,ENSG00000166819.11,ENSG00000275395.4,ENSG00000235263.1,,ENSG00000204787.8,,,,,
ENSG00000164879.6,ENSG00000128422.15,ENSG00000159166.13,ENSG00000161905.12,,,,,,,
ENSG00000211593.2,ENSG00000136999.4,ENSG00000009765.14,ENSG00000186526.12,,,,,,,
ENSG00000120937.8,ENSG00000187288.10,ENSG00000136352.17,ENSG00000166391.14,,,,,,,
ENSG00000211675.2,ENSG00000162747.9,ENSG00000184363.9,ENSG00000188175.9,,,,,,,
ENSG00000119535.17,ENSG00000087250.8,ENSG00000117472.9,ENSG00000124875.9,,,,,,,
ENSG00000109061.9,ENSG00000171747.8,ENSG00000107984.9,ENSG00000156575.2,,,,,,,
ENSG00000140519.12,ENSG00000136689.18,ENSG00000134760.5,ENSG00000138083.4,,,,,,,
ENSG00000090382.6,ENSG00000162896.5,ENSG00000181885.18,ENSG00000175874.9,,,,,,,
ENSG00000211896.7,ENSG00000181092.9,ENSG00000137440.4,ENSG00000156234.7,,,,,,,
ENSG00000203782.5,ENSG00000137699.16,ENSG00000257017.8,ENSG00000204010.3,,,,,,,
ENSG00000211899.9,ENSG00000158578.18,ENSG00000127324.8,ENSG00000182698.11,,,,,,,
ENSG00000161634.11,ENSG00000183036.10,ENSG00000229344.1,ENSG00000227300.12,,,,,,,
ENSG00000169474.4,ENSG00000133710.15,ENSG00000167880.7,ENSG00000221957.8,,,,,,,
ENSG00000196296.13,ENSG00000196754.10,ENSG00000094796.4,ENSG00000206047.2,,,,,,,
ENSG00000161249.20,ENSG00000133026.12,ENSG00000176387.6,ENSG00000104321.10,,,,,,,
ENSG00000125414.18,ENSG00000171346.15,ENSG00000188176.11,ENSG00000204933.3,,,,,,,
ENSG00000203785.8,ENSG00000130222.10,ENSG00000101447.14,ENSG00000147571.4,,,,,,,
ENSG00000169469.8,ENSG00000175315.2,ENSG00000174697.4,ENSG00000225613.2,,,,,,,
ENSG00000188404.8,ENSG00000131771.13,ENSG00000250978.5,ENSG00000244025.4,,,,,,,
ENSG00000105427.9,ENSG00000118785.13,ENSG00000105409.16,ENSG00000146360.8,,,,,,,
ENSG00000171051.8,ENSG00000198744.5,ENSG00000108405.3,ENSG00000250361.7,,,,,,,
ENSG00000158022.6,ENSG00000105664.10,ENSG00000153446.15,ENSG00000279353.1,,,,,,,
ENSG00000198336.9,ENSG00000103569.9,ENSG00000131746.12,ENSG00000240247.7,,,,,,,
ENSG00000239951.1,ENSG00000138207.13,ENSG00000173705.8,ENSG00000254029.1,,,,,,,
ENSG00000077009.13,ENSG00000166825.13,ENSG00000134762.16,ENSG00000211891.5,,,,,,,
ENSG00000240045.1,ENSG00000101200.5,ENSG00000104140.6,ENSG00000121053.5,,,,,,,
ENSG00000241794.1,ENSG00000172399.5,ENSG00000161896.11,ENSG00000112077.15,,,,,,,
