,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
ENSG00000268903.1,0.0003602791495606181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000269981.1,0.0005512352504126113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000250575.1,1.0450749827714165e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000225972.1,0.005803322280829331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000229344.1,0.0,0.0,0.006649132955753164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198744.5,0.0,0.0046631095471512535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000205116.3,0.0,0.0001420027127181712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000178821.12,0.00023915495905741093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000233542.1,0.0,0.0,0.00038242060172783684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000187730.8,0.0,0.0,0.002445473904789338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169717.6,0.0,0.0,9.69405560510295e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000226374.2,0.0,0.0,1.2068110039005714e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232208.2,1.5467109745016963e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000235263.1,0.0,0.0,0.0,0.013510025920398568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171819.4,0.0,0.0,0.0021475300733345415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000242349.5,0.0,0.0,0.0,0.01964788653373579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175206.10,0.031805310389673554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000120937.8,0.005587075365394269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000283789.1,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204518.2,0.0,4.122877427800306e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
