i_doc,doc,MEturquoise,MElightyellow,MEblue,MEpurple,MEmagenta,MEpink,MElightcyan,MEblack,MEmidnightblue,MEgreenyellow,MEred,MEgrey60,MEsalmon,MEbrown,MEgreen,MEcyan,MEdarkgreen,MEdarkred,MEtan,MElightgreen,MEroyalblue,MEdarkturquoise,MEyellow,MEgrey
0,GTEX-1GZ2Q-0011-R6a-SM-9OSWM,-0.000474294251841071,0.0034137348386162197,0.00406176744586015,0.0561002630944338,0.0037783941493240796,0.00859510365258952,-0.0023310586128596103,-0.00980228459039325,-0.00150380308134207,-0.0037240847229591,-0.00215990231662512,-0.00205750128385472,-0.0017348559549435,-0.00359467630368784,-0.00153745586668807,-0.00135510578340354,-0.00908040952576095,0.00264361563478197,-0.0016371245858105901,-0.00406386002148124,-0.00425758489922834,-0.00243693298479788,-0.00669132399851837,-0.000109936468684677
1,GTEX-RU72-0011-R5A-SM-2TF6U,-0.000416517016965662,0.0005178671347562191,0.00680435252097006,0.0556439629386901,0.0066191527105392296,0.0138243136107611,-0.00207054980418719,-0.00968869608040284,-0.000568609582397849,-0.0036219523180523,-0.0017992917839732899,-0.00118746733318491,-0.0039543174587969,-0.00360237922147654,-0.00238452171096049,-0.00141824436944468,-0.00884627342324965,0.00517643911695444,-0.00203522738344163,-0.00407677632441383,-0.00427060962696542,-0.0025849669199502698,-0.0067316579655169705,-0.000129057218818625
2,GTEX-WHSE-0011-R3A-SM-3P5ZM,-0.000655144032890457,0.0105328368507205,0.0123335528988785,0.11709493978020201,0.0019657890640769103,0.010957683422816,-0.00203811618944395,-0.00960901212959465,-0.000538995713112481,-0.0024365343549930803,-0.00222327657992076,0.00103942390137294,-0.0013041612912169699,-0.00311332427786406,-0.00251637375262174,0.000348669053928636,-0.00901654607001271,-0.00115005845471886,-0.0020396999020852,-0.0039757491684863705,-0.00426862316818835,-0.00270184323637056,-0.00688452218395709,-9.29076215958558e-05
3,GTEX-14PQA-0011-R1b-SM-6EU1G,-0.00152785477213063,-0.000650578127782958,0.0009076710416533211,0.0232969311873895,0.00134842886645111,0.0465889978528358,-0.000372419073193427,-0.00980518341684211,-0.0007374990475066441,-0.0035770121592048703,-0.0021022324692272602,0.00191976674093675,-0.0037661337113529397,-0.00314114320840253,-0.0030536169887061104,-0.00255630129179849,-0.0094497773611493,-0.000977321900602854,-0.00248089999573288,-0.004058754359093,-0.00427060962696516,-0.00233725680179563,-0.00683373402303997,-3.67247205085681e-05
4,GTEX-13CF2-0011-R1a-SM-5LZY1,-0.00221231318813011,-0.00125185911197606,-0.0028698109461265803,0.00928835514474735,0.00650860932902416,0.0161131529243181,-0.00133686673781011,-0.009880809212753791,-0.0024886170748727103,-0.0037967080535056203,-0.00212928920280096,-0.000218977947856269,-0.00449527936810237,-0.0051668716246432295,-0.00512296042415261,-0.00270843653161385,-0.00984799445213121,-0.00228010787035407,-0.00240018437592441,-0.00398836672482709,-0.00356610535458234,-0.0026732797361211803,-0.007044832399103,-3.6916917211171506e-05
5,GTEX-1B8L1-0011-R10b-SM-7P8Q4,-0.00030118645363381,0.0218300626643061,0.0231816222033322,0.18819666672264698,0.00240203654264696,0.0131501895003959,-0.00169634308974429,-0.009513617679093679,-0.00188907201571587,-0.0031889805726610697,-0.0021039289340713803,-0.000259315914448874,-0.00409423803865081,-0.00363290471439514,-0.00302256647810192,-0.00118693229913525,-0.008185575189722709,-0.00231020707149364,-0.002035584952029,-0.00407321251928931,-0.00427060962696512,-0.0019244535997710698,-0.00654851996564696,-0.000139447184766319
6,GTEX-1445S-3026-SM-5O9BR,-0.00131009694533778,0.00016091118130314,0.0019572508954714,0.0373143552060274,-0.000898138586921574,0.0266101560315359,-0.00234973168875048,-0.009831291368106041,-3.89416543046259e-05,-0.0034106221804469997,-0.00204992575978087,-0.0017727351536450302,-0.00443737599875401,-0.0035602858747926297,-0.00228244937107085,-0.00222328171861849,-0.00947062130590471,-0.00216907365633068,-0.0024349402763886104,-0.00405534986444321,-0.00426874381108963,-0.00243791987769913,-0.00676052258965009,-4.7286156909958396e-05
7,GTEX-1B8SF-0011-R8b-SM-7P8SX,-0.000993306105877682,0.23661955217415698,0.0010717542240419099,0.0191378853794824,0.00684153756789364,0.0636828787371375,-0.00170627392504214,-0.00986773940667291,-0.00168262725413678,-0.00337485074001011,-0.00214556344029096,0.000550350888160161,-0.00432154947894966,-0.0041388141759768895,-0.00171659437278374,-0.00233740029191188,-0.00935835384717917,-0.000146359087408573,-0.00246940678781013,-0.0040824685185961,-0.00427060962696514,-0.00225018094896017,-0.00677062888337198,-3.3753899049232e-05
8,GTEX-15ER7-0011-R7a-SM-6M46N,-0.000695388886158464,0.00294855756326564,0.00334797584274677,0.0488074164397009,-0.00144529844722838,0.0316518202308608,-0.0025137075428167,-0.009706057690893059,-0.000300803197153576,-0.0037562904204035,-0.0021202725176946396,-0.00166062765405749,-0.0035216660693762397,-0.004254237494836111,-0.00214200408053136,-0.00231517307870804,-0.008934223759157459,0.00336971342421822,-0.00194486041548086,-0.004080573612387979,-0.00426529878601943,-0.00210851138018749,-0.00672450614167841,-0.00011397309061356499
9,GTEX-14ASI-0011-R5b-SM-6EU2M,-0.00158416505450936,-0.000732202385311159,0.0005471927945841231,0.0267371310027597,0.0395913142652621,0.0071816055881877,-0.00224981586013503,-0.009823268136543441,-0.00165122330357058,-0.0037352247196512102,-0.00206021208811218,-0.00208789452683827,-0.0039190936465494704,-0.00446792878448434,-0.00358889168905794,-0.0017071847638263698,-0.00957777790194668,0.000991405535600085,-0.00214938521492957,-0.00408025701679749,-0.00427060962696513,-0.00264784609621502,-0.00689014481918756,-7.71387450576739e-05
