"","MMturquoise","MMlightyellow","MMblue","MMpurple","MMmagenta","MMpink","MMlightcyan","MMblack","MMmidnightblue","MMgreenyellow","MMred","MMgrey60","MMsalmon","MMbrown","MMgreen","MMcyan","MMdarkgreen","MMdarkred","MMtan","MMlightgreen","MMroyalblue","MMdarkturquoise","MMyellow","MMgrey"
"ENSG00000268903.1",0.0189995534558851,-0.0136123843986931,-0.0300113711093449,-0.0547269767695072,-0.00964930416060393,-0.0266154067069278,0.0443661028517115,0.0388764585105914,0.00379005303282574,-0.00191862708681766,-0.0112261923797577,0.039566948165356,0.030037661320689,0.868904565420953,0.851007395503791,0.000719894723201847,-0.0184737851455317,0.0022587544570434,0.038513356910404,-0.00487235211917433,0.0169564560200227,-0.0126700513916705,-0.0209570790700581,-0.0312286872057989
"ENSG00000269981.1",0.0106640979884148,-0.0159656185500637,-0.0325823604175915,-0.0625723426941021,-0.0134657139955319,-0.0304926294618686,0.0292790198037794,0.0575187938774859,0.00828330514314087,0.00123733635537285,-0.00856306893086952,0.0167061927424936,0.0160221873297133,0.810277733388564,0.908334122016659,0.00060620649914016,-0.0099027158173597,0.00438399071327342,0.0239950584211255,-0.00352680676102176,0.0121906330920701,-0.0118910533768624,-0.0142145647798433,-0.0289160614784827
"ENSG00000250575.1",-0.00502041658728901,0.00016813461546066,0.00806077319695339,-0.0172849393942089,0.00167751545004902,0.0122112850096884,0.0289729709564362,-0.0139117237637351,-0.00614815823526279,-0.00547620702012906,0.00527122603142599,0.000501861440554303,0.00472366768850074,0.45971788749375,0.391786486974817,0.0133576277199409,-0.0236775821879258,-0.00247107353958306,-0.000653199998401979,-0.00303734366918179,0.0028643531098643,-0.00648389150271727,-0.0289129530375903,0.00184086849353307
"ENSG00000225972.1",-0.00783110303438729,-0.0140851393132142,-0.0321055685926782,-0.0115627114162216,0.0229222021414762,-0.00996735331077413,0.0210479969592808,-0.0123402401171057,-0.00972335183018649,-0.0235636158231167,-0.0161244477515231,-0.0105644706607882,-0.017645994890734,-0.0204052690664673,-0.0201801407743922,-0.0119724584678421,-0.0493282578367145,-0.017502785899725,-0.0101375169794701,0.0120283359253701,0.0112151049150953,0.0529386102154822,0.0695861859186549,-0.0184238644503982
"ENSG00000229344.1",0.000129082964327045,0.00713980110335384,-0.0129874615505118,-0.0117651229654822,-0.00592105165905284,-0.00350233993794255,-0.0122749881098259,0.0193554947157807,-0.00713526217377293,-0.0111971932948968,-0.0102507422026045,0.00474954220343808,-0.0142290049619377,-0.0124740576167386,-0.0126211865532443,-0.010168787103306,-0.0245799817871758,-0.0140183458816931,-0.00508935030791521,0.00159568059389155,-0.00113547332518364,0.0108331641287916,0.0949040375010512,-0.0277895289986347
"ENSG00000198744.5",-0.00337887264753825,0.033602130481936,-0.0203491157774636,-0.0179611332118973,-0.0145234713780847,-0.0200044823970129,-0.0125008397488496,-0.0419524143808366,-0.00897441912344197,-0.0177113447700008,-0.0125059147204567,0.0251697886387855,0.0148036440742214,-0.0192652325481886,-0.0158012510680915,-0.0136822036527077,-0.0451657291695497,-0.018822602581102,-0.0105808898046467,-0.0170546557352882,-0.0179233294450861,-0.00795960487234049,-0.00121966879461435,-0.0218952819615711
"ENSG00000205116.3",-0.00216598841784195,0.0500171858857427,0.0602757275453951,0.258823529734989,0.242005319366181,0.867894291900976,-0.00568368213817613,-0.0305851842941004,-0.00237456096402858,-0.012838692913308,-0.00680607384065509,-0.00237410098660604,-0.0124488399134443,-0.00754780355486828,-0.00699878714114076,-0.00951644942080234,-0.0451958945452681,-0.0015156759399224,-0.0102369637415475,-0.0216948071339077,-0.0191250262536062,-0.0109364457642438,-0.0313135921148534,-0.0234219049737565
"ENSG00000178821.12",-0.00514460173774847,-0.0244348569033117,-0.0388542768201092,-0.0828594687149101,-0.0342858291723563,-0.0511105561774019,-0.0240853229688872,-0.069564252570111,-0.0181719682310833,-0.0285326229612552,-0.0162822649389703,-0.00971244954735553,-0.0245360745395479,-0.0417573786554203,-0.028778180196592,-0.0211032692930812,-0.0812939652734694,-0.0285303655294634,-0.0156868457842104,-0.0335925336838515,-0.0344717269378128,-0.0195070366225478,-0.0487581741171546,-0.0371005454124691
"ENSG00000233542.1",0.00321053322370604,0.0187313039677802,0.940697452958873,0.541202917549186,0.00202583274276778,0.0504550619788053,-0.00861167558135158,-0.0367034583913496,-0.005226578133183,-0.011536265171282,-0.00440989372361002,0.00545772790673493,-0.00594959919304316,-0.0129011886023813,-0.0057119927088489,-0.00789642451109297,-0.032336553419278,-0.0102010005008403,-0.00371186030529588,-0.0160144997423174,-0.0162852067583028,-0.00873660642740236,-0.0261926910048489,-0.0133862301601395
"ENSG00000187730.8",0.00421200887443276,0.0374919695322461,0.978393450432165,0.736076903172805,0.0360172927220738,0.0858682373705218,-0.0113106032993705,-0.053766184931242,-0.00670207311609089,-0.0169332893073942,-0.00768181643322785,0.00387048204393555,-0.00833208734127425,-0.017599330757032,-0.00924607541361021,-0.00904005683880348,-0.0469698843177362,-0.00710818095552045,-0.00659029350435666,-0.0225716571164512,-0.0225393536058564,-0.0120915167355832,-0.037306549309081,-0.031371711094684
