i_doc,doc,MElightcyan,MEmidnightblue,MEpink,MEred,MEblack,MEmagenta,MElightgreen,MEtan,MEturquoise,MEgreenyellow,MEblue,MEcyan,MEpurple,MEgrey60,MEbrown,MElightyellow,MEsalmon,MEyellow,MEgreen,MEroyalblue,MEgrey
0,GTEX-1KWVE-2326-SM-D4P3N,-0.0046653747397761795,-0.0360252090317243,-0.00841453091650693,-0.01226360780206,0.107286498747542,0.0794135688449405,-0.0256672427411939,-0.0299459551750252,-0.0252051439560716,-0.00786239920678152,-0.0336353710399831,-0.0260003090719762,-0.0245450171953297,-0.0136800504897623,-0.00932502732297422,0.0269067560510939,0.0110363232055828,-0.008143419729489641,-0.0189006605769854,-0.0117213162226025,0.0243131002558289
1,GTEX-1H23P-0011-R6b-SM-A9G1H,-0.00989662168248899,-0.0407942142628803,-0.0167743681740894,-0.0217307060079428,0.0628204894807662,0.031341545755963,-0.032548721414442996,-0.0315770574186183,-0.0300127063726106,-0.0161091073122601,-0.0421082178483879,-0.0333091864810895,0.00334152260946855,-0.0109410177405884,-0.0301928360894844,-0.0338143092324517,-0.0134018382933223,-0.018881974985643996,-0.0270808601837587,-0.0165009365745821,-0.0240143625362925
2,GTEX-14C39-0011-R5b-SM-5ZZV1,-0.010140454996168,-0.0361833594188788,-0.008771168435773259,-0.0139232834916077,0.0883700245166337,0.0573707608440082,-0.0102008996553024,-0.0339805993290953,-0.0223922573612196,-0.0081118876057131,-0.0350851074528241,-0.0294601528094335,-0.0231583458987345,-0.00865980366343582,-0.0176392053613305,-0.01427407216225,-0.0136378224135686,-0.0132839615358548,-0.016733256112084,-0.015202551059341003,0.0077181547979433595
3,GTEX-1H23P-2926-SM-9WYU8,-0.0035682688223194897,-0.0364236184764587,-0.00689056058631977,-0.0132941202399838,0.10014031213236699,0.0673774674430345,-0.0426362815149265,-0.0338476569743603,-0.0254921821485588,-0.0135604585721689,-0.0341537289900231,-0.0212332061931836,-0.0245881168433384,-0.009599733829120721,-0.0161824246794085,0.0017508990435028198,-0.011002273992956998,-0.0124194275498217,-0.0190783956229093,-0.011512041081105,0.0149237937269579
4,GTEX-13N2G-0011-R10a-SM-5MR34,-0.00415150198550626,-0.0231076065652996,-0.00339558887539988,-0.0101237935776698,0.0934480238527939,0.0631376047642305,0.0348069514775096,-0.0309923301051615,0.0031372716817631803,-0.0038819542092013797,-0.0201302322191889,-0.0132047894132968,-0.0182113393967985,0.00013397546179445602,-0.00127855681658028,0.042364961945019,-0.014327519592078999,-0.00675156140848972,-0.0135881001911675,-0.0065933838324678294,0.0349031389806187
5,GTEX-13NZA-0011-R1b-SM-5LUAF,-0.0185398353830023,-0.0374611302821737,-0.019762240764799,-0.022504775081999,0.0538977890406933,0.0251124943813709,-0.0211616026054381,-0.0297267103641554,-0.0285082383838928,-0.0116526849634953,-0.0392710817636772,-0.0364073747522032,0.0201504909856932,-0.0102359059627789,-0.0251083204952734,0.00155914241617234,-0.00473357580196037,-0.0151002324299515,-0.0267314544608888,-0.0165179950711869,-0.0206330285259386
6,GTEX-1A8G6-0011-R6b-SM-7P8PE,-0.0157276939682997,-0.0406008790205466,-0.0180669239986399,-0.0249632908195411,0.0562144480228366,0.0243022658739141,-0.0340860637811953,-0.0335392597814524,-0.0400952025390575,-0.0184523069039065,-0.0473457439998019,-0.0462663663844515,-0.0250115090177795,-0.0180145356008557,-0.0346106353510627,-0.0398457515889497,0.008649910752602071,-0.0149512337495468,-0.0292868368558563,-0.0167869608140441,-0.0376291506650023
7,GTEX-13S7M-0011-R9a-SM-5O9DW,-0.0176199090804225,-0.0272613003359941,-0.0154735567724602,-0.0183981390640473,0.058150770883427995,0.0342730864261352,0.0132134446613808,-0.0150601039845702,-0.0071001483304900595,-0.0025271204812574,-0.0320406774650833,-0.0284170188813129,-0.0180490353932178,-0.0106021151284257,-0.0171258767532216,0.0241383092065729,-0.0144705487163095,-0.0144519840396143,-0.0218682052364004,-0.0157484588766896,-0.00696113137912794
8,GTEX-1HBPM-0011-R9b-SM-ARL7C,-0.0154476145019597,-0.0309270986506995,-0.0141544164554912,-0.016660472660264998,0.0594641068018084,0.036148020486768996,0.0349416792386876,-0.0335505670105383,0.005227276442012489,-0.0033285931562951803,-0.0353154241308974,-0.0297254438647713,-0.0144362072009228,-0.00835927546334656,-0.0121849244378294,0.0217333651837985,-0.0144178908121224,-0.0116329774452463,-0.0226040440040825,-0.0116515789217918,-0.00124731560884637
9,GTEX-1A3MX-0011-R1b-SM-7P8PH,-0.0107426640169548,-0.0372230678748807,-0.0130094111427793,-0.0179990880845902,0.0862360440977185,0.0532467914722074,0.011392475974287,-0.0245974259256132,-0.0188843520671517,-0.014407432751737,-0.0374918081730082,-0.0411003318520392,-0.0251002755502106,-0.0140538564638402,-0.02388518240374,-0.008999560731970991,-0.00568773422828955,-0.0138911559824194,-0.0262889484026265,-0.014186154106360002,-0.00236937698727168
