Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
GTEX-1KWVE-2326-SM-D4P3N,GTEX-1GF9W-0326-SM-9KNUN,GTEX-11DXW-0008-SM-5Q59V,GTEX-ZU9S-1826-SM-5NQ9E,GTEX-131XG-0926-SM-5LZW5,GTEX-ZLV1-0005-SM-4WWAP,GTEX-15DZA-0005-SM-9JGFP,GTEX-1QCLZ-1926-SM-E6CR3,
GTEX-1H23P-0011-R6b-SM-A9G1H,GTEX-17GQL-2026-SM-718BA,GTEX-11LCK-0008-SM-5Q5BB,GTEX-17MF6-1526-SM-7MGW8,GTEX-1R9K4-1126-SM-E9J4G,GTEX-12WSD-0005-SM-5N9FZ,,GTEX-WYJK-2326-SM-4ONDN,
GTEX-14C39-0011-R5b-SM-5ZZV1,GTEX-11EI6-0126-SM-5985R,GTEX-PW2O-0008-SM-48TEB,GTEX-R55G-0926-SM-48FDN,GTEX-1EMGI-1126-SM-9KNUF,GTEX-ZF2S-0006-SM-4WKHF,,GTEX-1GPI7-1726-SM-7P8R1,
GTEX-1H23P-2926-SM-9WYU8,GTEX-1F6IF-0726-SM-7P8TW,GTEX-11OC5-0008-SM-5S2OH,GTEX-1GMR2-1626-SM-9JGHL,GTEX-11EQ8-1326-SM-5EGJQ,GTEX-1GN1W-0006-SM-A9SKL,,GTEX-1R9PM-1526-SM-DPRY8,
GTEX-13N2G-0011-R10a-SM-5MR34,GTEX-1GN1W-0526-SM-9MQJQ,GTEX-XXEK-0008-SM-4BRW7,GTEX-1HKZK-1726-SM-ADEJ9,GTEX-1B8SG-0826-SM-7EWF7,GTEX-132NY-0005-SM-5O9AC,,GTEX-QEL4-1926-SM-D3L8D,
GTEX-13NZA-0011-R1b-SM-5LUAF,GTEX-PWO3-1526-SM-48TCM,GTEX-1GF9X-0008-SM-EAZCX,GTEX-12BJ1-0826-SM-5EQ5P,GTEX-ZAJG-0926-SM-5Q5AB,GTEX-1NUQO-0005-SM-DKPP2,,GTEX-1NSGN-2326-SM-E9U5X,
GTEX-1A8G6-0011-R6b-SM-7P8PE,GTEX-ZVT4-2426-SM-5GIEI,GTEX-1A3MX-0008-SM-EAZDB,,GTEX-14BIL-0926-SM-7DHKN,GTEX-1C6VQ-0005-SM-7P8OR,,GTEX-144GN-1126-SM-5LU33,
GTEX-13S7M-0011-R9a-SM-5O9DW,GTEX-14E6C-2426-SM-5S2NF,GTEX-12BJ1-0008-SM-5TDBZ,,GTEX-17HHY-1426-SM-7EWDQ,GTEX-VUSH-0005-SM-3NB2H,,GTEX-ZP4G-1726-SM-4WWCM,
GTEX-1HBPM-0011-R9b-SM-ARL7C,GTEX-ZVT2-0126-SM-5GIDQ,GTEX-ZDYS-0008-SM-4E3IX,,GTEX-1HCU7-1326-SM-CNPPW,GTEX-T6MO-0006-SM-32QOU,,GTEX-S7SF-1926-SM-4AT5B,
GTEX-1A3MX-0011-R1b-SM-7P8PH,GTEX-Y5V5-2326-SM-4V6GA,GTEX-PSDG-0008-SM-48TE5,,GTEX-11DXX-0526-SM-5PNVR,GTEX-1IDJC-0005-SM-A9G1C,,GTEX-1LG7Z-1426-SM-CXKYV,
GTEX-1445S-0011-R7b-SM-5PNUG,GTEX-1I1GU-2226-SM-CGQFA,GTEX-Q734-0008-SM-48U2I,,GTEX-1211K-0626-SM-5FQUZ,GTEX-XYKS-0005-SM-4BRUD,,GTEX-13S86-1626-SM-5Q5C5,
GTEX-Q2AG-2826-SM-2HMJQ,GTEX-13OVH-0126-SM-5MR4B,GTEX-POYW-0008-SM-48TE4,,GTEX-13JVG-1126-SM-5KM2M,GTEX-X4EP-0005-SM-3P5ZE,,GTEX-R55G-1226-SM-48FDC,
GTEX-1LG7Y-0011-R5a-SM-EZ6MU,GTEX-1JN6P-2926-SM-CL54D,GTEX-15SB6-0008-SM-EAZCE,,GTEX-117YW-0326-SM-5N9CY,GTEX-UTHO-0006-SM-3NMCC,,GTEX-13FTW-1826-SM-5IJEN,
GTEX-N7MS-0011-R2a-SM-2HML6,GTEX-P4PQ-0126-SM-2S1NM,GTEX-Y8E5-0008-SM-57WBA,,GTEX-1HBPM-1026-SM-ARL9D,GTEX-1GZHY-0005-SM-ARZL6,,GTEX-1RAZR-1926-SM-E6CRF,
GTEX-1E2YA-0011-R8a-SM-CKZNG,GTEX-1JMPY-1326-SM-ARL8Y,GTEX-117YW-0008-SM-5QGRD,,GTEX-147F4-1126-SM-5TDDE,GTEX-XBEC-0006-SM-4AT5T,,GTEX-O5YT-1426-SM-3MJHC,
GTEX-14BIM-0011-R11b-SM-5S2RN,GTEX-WQUQ-0426-SM-3MJFU,GTEX-1GMR3-0008-SM-EAZD2,,GTEX-ZVT2-0926-SM-5GICE,GTEX-R3RS-0005-SM-3GAEH,,GTEX-14XAO-2026-SM-69LOI,
GTEX-13CF2-0011-R11b-SM-5LZXO,GTEX-13FHP-0126-SM-5IJBG,GTEX-ZE7O-0008-SM-4E3JQ,,GTEX-WQUQ-1326-SM-3MJFF,GTEX-13OW8-0005-SM-5NQAC,,GTEX-11I78-1226-SM-5A5K6,
GTEX-1LH75-0011-R2b-SM-EYYWQ,GTEX-ZAJG-1526-SM-5CVML,GTEX-11O72-0008-SM-5Q5DN,,GTEX-1LVAN-1726-SM-CNNR1,GTEX-14E7W-0006-SM-5N9GG,,GTEX-1OJC3-1826-SM-DTX93,
GTEX-1JMLX-0011-R6b-SM-EXUT9,GTEX-1QP29-1826-SM-DTX9S,GTEX-131XW-0008-SM-664MJ,,GTEX-Y3IK-1026-SM-51MR7,GTEX-1J8Q3-0005-SM-CNNOY,,GTEX-132AR-2726-SM-5PNVN,
GTEX-QMR6-0011-R1A-SM-32PKW,GTEX-1HFI7-1826-SM-ACKXH,GTEX-ZQUD-0008-SM-4YCCU,,GTEX-14PJ6-0726-SM-69LOL,GTEX-OHPN-0005-SM-2YUML,,GTEX-VJYA-2026-SM-4KL1K,
GTEX-1IDJH-3126-SM-C1YQS,GTEX-18A7A-0126-SM-731AH,GTEX-17HHY-0008-SM-EAZBE,,GTEX-17F9E-0726-SM-793A1,GTEX-1EX96-0006-SM-ARU6J,,GTEX-18D9A-1126-SM-7KFRJ,
GTEX-1313W-0011-R3a-SM-5EGLI,GTEX-1GZ4H-0526-SM-9KNU9,GTEX-OHPK-0008-SM-4E3JL,,GTEX-WFG8-0726-SM-3GILP,GTEX-18A7A-0006-SM-7PC1P,,GTEX-WFON-1426-SM-4LVMT,
GTEX-1F75A-0011-R5a-SM-ARZMJ,GTEX-111VG-1626-SM-5EGIO,GTEX-PLZ6-0008-SM-48TD5,,GTEX-15UF7-1526-SM-6LPI7,GTEX-ZVZQ-0006-SM-51MR8,,GTEX-14JG6-1726-SM-69LPL,
GTEX-15CHQ-0011-R5b-SM-6AJAN,GTEX-1C6WA-0126-SM-7PC2B,GTEX-ZAB4-0008-SM-4RGM6,,GTEX-YB5K-0226-SM-5IFJE,GTEX-1H1DG-0006-SM-ARZL4,,GTEX-1I1GR-2526-SM-CNNQF,
