"","x"
"GTEX-1KWVE-2326-SM-D4P3N",1
"GTEX-1H23P-0011-R6b-SM-A9G1H",1
"GTEX-14C39-0011-R5b-SM-5ZZV1",1
"GTEX-1H23P-2926-SM-9WYU8",1
"GTEX-13N2G-0011-R10a-SM-5MR34",1
"GTEX-13NZA-0011-R1b-SM-5LUAF",1
"GTEX-1A8G6-0011-R6b-SM-7P8PE",1
"GTEX-13S7M-0011-R9a-SM-5O9DW",1
"GTEX-1HBPM-0011-R9b-SM-ARL7C",1
"GTEX-1A3MX-0011-R1b-SM-7P8PH",1
"GTEX-1445S-0011-R7b-SM-5PNUG",1
"GTEX-Q2AG-2826-SM-2HMJQ",1
"GTEX-1LG7Y-0011-R5a-SM-EZ6MU",1
"GTEX-N7MS-0011-R2a-SM-2HML6",1
"GTEX-1E2YA-0011-R8a-SM-CKZNG",1
"GTEX-14BIM-0011-R11b-SM-5S2RN",1
"GTEX-13CF2-0011-R11b-SM-5LZXO",1
"GTEX-1LH75-0011-R2b-SM-EYYWQ",1
"GTEX-1JMLX-0011-R6b-SM-EXUT9",1
"GTEX-QMR6-0011-R1A-SM-32PKW",1
"GTEX-1IDJH-3126-SM-C1YQS",1
"GTEX-1313W-0011-R3a-SM-5EGLI",1
"GTEX-1F75A-0011-R5a-SM-ARZMJ",1
"GTEX-15CHQ-0011-R5b-SM-6AJAN",1
"GTEX-X585-0011-R4B-SM-46MVH",1
"GTEX-1GZHY-0011-R11a-SM-C1YRQ",1
"GTEX-1MA7X-0011-R6a-SM-EYYWR",1
"GTEX-1EX96-0011-R5a-SM-ARU83",1
"GTEX-15UF6-0011-R1a-SM-9QEGH",1
"GTEX-1CB4G-0011-R10a-SM-9QEHS",1
"GTEX-11DXW-0011-R5b-SM-DO11D",1
"GTEX-1GF9W-2626-SM-7P8TA",1
"GTEX-14753-0011-R8b-SM-5S2U1",1
"GTEX-NL4W-0011-R8a-SM-2I3G4",1
"GTEX-11DYG-0011-R5a-SM-DO928",1
"GTEX-QDT8-0011-R4A-SM-32PKM",1
"GTEX-1HFI6-0011-R11b-SM-A96RU",1
"GTEX-1LB8K-0011-R6a-SM-EXURT",1
"GTEX-14PN4-0011-R11a-SM-686ZW",1
"GTEX-1B8L1-0011-R3a-SM-7EPIO",1
"GTEX-1B8L1-3026-SM-7EPHK",1
"GTEX-1GZHY-0011-R8b-SM-9OSWK",1
"GTEX-11OF3-0011-R6b-SM-57WBG",1
"GTEX-11PRG-0011-R4a-SM-DNZZR",1
"GTEX-13NZA-0011-R11b-SM-5KM4W",1
"GTEX-13OW5-0011-R8a-SM-5L3GQ",1
"GTEX-13OW6-0011-R10a-SM-5L3HE",1
"GTEX-TSE9-3026-SM-3DB76",1
"GTEX-14C5O-0011-R8a-SM-5YYAG",1
"GTEX-1H23P-0011-R3b-SM-CL54S",1
"GTEX-1F75W-0011-R11b-SM-AHZ34",1
"GTEX-1I1GV-0011-R2a-SM-ARZLF",1
"GTEX-1I1CD-0011-R7a-SM-CMKHA",1
"GTEX-NPJ8-2626-SM-2D7W2",1
"GTEX-ZAK1-3026-SM-5S2MJ",1
"GTEX-14BIM-0011-R1a-SM-69LQI",1
"GTEX-RNOR-0011-R9A-SM-2TF52",1
"GTEX-1EMGI-0011-R5a-SM-CJI2E",1
"GTEX-XMD1-0011-R9A-SM-4AT49",1
"GTEX-13X6I-0011-R4b-SM-5PNU9",1
"GTEX-1IKK5-0011-R8b-SM-CJI45",1
"GTEX-1C6WA-3026-SM-7P8RQ",1
"GTEX-16NPV-0011-R9b-SM-79ONF",1
"GTEX-1HR9M-0011-R10a-SM-CM2SU",1
"GTEX-13RTJ-0011-R3a-SM-5PNX7",1
"GTEX-13FHP-0011-R5b-SM-5LZY2",1
"GTEX-131YS-0011-R11b-SM-5EGLM",1
"GTEX-14LLW-0011-R5b-SM-5ZZU6",1
"GTEX-1JMPZ-0011-R3a-SM-EYYWX",1
"GTEX-13G51-0011-R11b-SM-5J2NE",1
"GTEX-ZF28-0011-R8a-SM-4WWFW",1
"GTEX-1HBPI-0011-R8a-SM-A9G1S",1
"GTEX-12WSM-0011-R1a-SM-5LZW6",1
"GTEX-1F48J-2726-SM-7P8PW",1
"GTEX-1JJEA-0011-R11a-SM-EXUTE",1
"GTEX-14E7W-2926-SM-5S2R8",1
"GTEX-13SLX-0011-R4a-SM-5O9BJ",1
"GTEX-13OVJ-0011-R8b-SM-5L3FS",1
"GTEX-1E1VI-0011-R5b-SM-9WG5V",1
"GTEX-15DCD-0011-R8b-SM-7KUEF",1
"GTEX-1IKK5-0011-R3b-SM-C1YRY",1
"GTEX-14E7W-0011-R3b-SM-5YYB5",1
"GTEX-T6MN-0011-R10A-SM-32QP7",1
"GTEX-15CHQ-0011-R1a-SM-COH27",1
"GTEX-11EI6-2926-SM-5985U",1
"GTEX-1R46S-0011-R7b-SM-EXUTH",1
"GTEX-N7MS-0011-R3a-SM-33HC6",1
"GTEX-13OW6-0011-R4a-SM-5O9DX",1
"GTEX-13OVJ-0011-R7a-SM-5L3G1",1
"GTEX-WHSE-0011-R7A-SM-3P5YZ",1
"GTEX-16GPK-0011-R11b-SM-7MKFF",1
"GTEX-11EI6-0011-R8a-SM-DO93M",1
"GTEX-1445S-0011-R6b-SM-5PNUF",1
"GTEX-S7SE-0011-R5A-SM-2XCDA",1
"GTEX-147GR-0011-R2b-SM-5S2RQ",1
"GTEX-15SHU-0011-R3a-SM-7IGPS",1
"GTEX-13FHP-0011-R1b-SM-5K7XL",1
"GTEX-PWO3-0011-R3A-SM-2I5EX",1
"GTEX-ZE9C-0011-R4a-SM-4WKH6",1
"GTEX-14E7W-0011-R10a-SM-5YYAX",1
"GTEX-1GF9W-0326-SM-9KNUN",2
"GTEX-11DXW-0008-SM-5Q59V",3
"GTEX-17GQL-2026-SM-718BA",2
"GTEX-11EI6-0126-SM-5985R",2
"GTEX-1F6IF-0726-SM-7P8TW",2
"GTEX-1QP67-1626-SM-EAZ3X",1
"GTEX-1GN1W-0526-SM-9MQJQ",2
"GTEX-PWO3-1526-SM-48TCM",2
"GTEX-ZVT4-2426-SM-5GIEI",2
"GTEX-14E6C-2426-SM-5S2NF",2
"GTEX-ZVT2-0126-SM-5GIDQ",2
"GTEX-11LCK-0008-SM-5Q5BB",3
"GTEX-Y5V5-2326-SM-4V6GA",2
"GTEX-1I1GU-2226-SM-CGQFA",2
"GTEX-13OVH-0126-SM-5MR4B",2
"GTEX-1JN6P-2926-SM-CL54D",2
"GTEX-P4PQ-0126-SM-2S1NM",2
"GTEX-1JMPY-1326-SM-ARL8Y",2
"GTEX-WQUQ-0426-SM-3MJFU",2
"GTEX-13FHP-0126-SM-5IJBG",2
"GTEX-ZAJG-1526-SM-5CVML",2
"GTEX-PW2O-0008-SM-48TEB",3
"GTEX-1QP29-1826-SM-DTX9S",2
"GTEX-1HFI7-1826-SM-ACKXH",2
"GTEX-18A7A-0126-SM-731AH",2
"GTEX-1GZ4H-0526-SM-9KNU9",2
"GTEX-111VG-1626-SM-5EGIO",2
"GTEX-1C6WA-0126-SM-7PC2B",2
"GTEX-16YQH-0126-SM-7DUFJ",2
"GTEX-WK11-2726-SM-3NMAQ",2
"GTEX-13OVI-1426-SM-5L3EY",2
"GTEX-1B97I-0626-SM-73KUZ",2
"GTEX-1IGQW-0126-SM-COH42",2
"GTEX-11LCK-1026-SM-5A5KB",2
"GTEX-S33H-1026-SM-EZ6L6",2
"GTEX-1I1GR-0126-SM-CL55F",2
"GTEX-1F6RS-2026-SM-7RHHC",2
"GTEX-183WM-0326-SM-72D5V",2
"GTEX-1GMRU-0126-SM-9YFLV",2
"GTEX-11OC5-0008-SM-5S2OH",3
"GTEX-XXEK-0008-SM-4BRW7",3
"GTEX-1GF9X-0008-SM-EAZCX",3
"GTEX-1A3MX-0008-SM-EAZDB",3
"GTEX-ZQG8-1626-SM-DHXIT",2
"GTEX-1R46S-0626-SM-E9J41",2
"GTEX-12BJ1-0008-SM-5TDBZ",3
"GTEX-1B8KZ-0326-SM-73KY4",2
"GTEX-13113-5016-SM-7EPIP",2
"GTEX-ZDYS-0008-SM-4E3IX",3
"GTEX-PSDG-0008-SM-48TE5",3
"GTEX-Q734-0008-SM-48U2I",3
"GTEX-1GN73-0226-SM-9WG67",2
"GTEX-RVPV-0126-SM-EAZAW",2
"GTEX-14PHX-2326-SM-62LEM",2
"GTEX-POYW-0008-SM-48TE4",3
"GTEX-15SB6-0008-SM-EAZCE",3
"GTEX-Y8E5-0008-SM-57WBA",3
"GTEX-117YW-0008-SM-5QGRD",3
"GTEX-1GMR3-0008-SM-EAZD2",3
"GTEX-ZE7O-0008-SM-4E3JQ",3
"GTEX-18A6Q-0626-SM-7KFRP",2
"GTEX-1CB4I-0226-SM-79OLH",2
"GTEX-1PPH8-0126-SM-EWRN8",2
"GTEX-11O72-0008-SM-5Q5DN",3
"GTEX-ZWKS-0626-SM-5GIDV",2
"GTEX-1HC8U-1326-SM-9YFMJ",2
"GTEX-131XW-0008-SM-664MJ",3
"GTEX-ZQUD-0008-SM-4YCCU",3
"GTEX-17HHY-0008-SM-EAZBE",3
"GTEX-OHPK-0008-SM-4E3JL",3
"GTEX-PLZ6-0008-SM-48TD5",3
"GTEX-ZAB4-0008-SM-4RGM6",3
"GTEX-1IDJU-2626-SM-CM2RT",2
"GTEX-1HSMQ-2626-SM-A9SML",2
"GTEX-11GS4-0226-SM-5HL77",2
"GTEX-1LGRB-0926-SM-COH3K",2
"GTEX-11VI4-1726-SM-5CVLH",2
"GTEX-X8HC-0008-SM-46MU6",3
"GTEX-13OVL-0126-SM-5L3GJ",2
"GTEX-1F75W-0008-SM-EAZCU",3
"GTEX-Y114-0008-SM-4TT8X",3
"GTEX-1BAJH-0526-SM-793CQ",2
"GTEX-ZU9S-1826-SM-5NQ9E",4
"GTEX-145LS-0126-SM-5QGP1",2
"GTEX-11EI6-2826-SM-5H11D",2
"GTEX-14JFF-0626-SM-5ZZVT",2
"GTEX-1QP66-1726-SM-E8VO1",2
"GTEX-1313W-0008-SM-5YYAP",3
"GTEX-1K2DA-1826-SM-CGQGT",2
"GTEX-S95S-1226-SM-4GICG",2
"GTEX-R55G-2526-SM-2TC6D",2
"GTEX-P44H-0226-SM-2XCEU",2
"GTEX-1O9I2-0226-SM-EYYXD",2
"GTEX-11H98-0126-SM-5EGHG",2
"GTEX-WXYG-2026-SM-4E3IY",2
