Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
GTEX-1117F-2826-SM-5GZXL,GTEX-111CU-1026-SM-5EGIL,GTEX-111CU-0226-SM-5GZXC,GTEX-1117F-0526-SM-5EGHJ,GTEX-1117F-3226-SM-5N9CT,GTEX-111CU-0326-SM-5GZXO,GTEX-111VG-0008-SM-5Q5BG,GTEX-111CU-0626-SM-5EGHL,GTEX-1117F-0426-SM-5EGHI,GTEX-1117F-0226-SM-5GZZ7,GTEX-1117F-0626-SM-5N9CS
GTEX-111CU-0926-SM-5EGIK,GTEX-111CU-1826-SM-5GZYN,GTEX-111FC-1026-SM-5GZX1,GTEX-1117F-2426-SM-5EGGH,GTEX-111CU-0126-SM-5GZWZ,GTEX-111CU-0426-SM-5GZY1,GTEX-111YS-0008-SM-5Q5BH,GTEX-111CU-0826-SM-5EGIJ,GTEX-1117F-0726-SM-5GIEN,GTEX-1117F-2526-SM-5GZY6,GTEX-1117F-1326-SM-5EGHH
GTEX-111CU-1426-SM-5GZYP,GTEX-111CU-2226-SM-5N9G5,GTEX-111VG-0526-SM-5N9BW,GTEX-111CU-0526-SM-5EGHK,GTEX-111FC-0526-SM-5GZZ8,GTEX-111CU-1326-SM-5NQ8L,GTEX-1122O-0008-SM-5QGR2,GTEX-111CU-1226-SM-5EGIN,GTEX-111CU-2026-SM-5GZZC,GTEX-1117F-2926-SM-5GZYI,GTEX-111YS-0526-SM-5GZXJ
GTEX-111FC-2026-SM-5GZYO,GTEX-111FC-0226-SM-5N9B8,GTEX-111YS-0726-SM-5GZY8,GTEX-111CU-1726-SM-5EGHM,GTEX-111FC-1926-SM-5GZYC,GTEX-111FC-1126-SM-5GZWU,GTEX-1128S-0008-SM-5Q5DP,GTEX-111FC-0426-SM-5N9CV,GTEX-111FC-0326-SM-5GZZ1,GTEX-1117F-3026-SM-5GZYU,GTEX-1122O-0426-SM-5H12G
GTEX-111VG-2226-SM-5N9DU,GTEX-111VG-2326-SM-5N9BK,GTEX-1122O-0226-SM-5N9DA,GTEX-111YS-1226-SM-5EGGJ,GTEX-111FC-3126-SM-5GZZ2,GTEX-111FC-1326-SM-5N9D9,GTEX-113IC-0008-SM-5QGRF,GTEX-111YS-0126-SM-5987T,GTEX-111FC-0626-SM-5N9CU,GTEX-111CU-0726-SM-5GZYD,GTEX-1122O-1126-SM-5NQ8X
GTEX-111YS-1126-SM-5GZYQ,GTEX-111YS-1326-SM-5EGGK,GTEX-1128S-0126-SM-5H12S,GTEX-111YS-2026-SM-5EGGL,GTEX-111FC-3326-SM-5GZYV,GTEX-111VG-0726-SM-5GIDC,GTEX-113JC-0008-SM-5QGR6,GTEX-111YS-0826-SM-5GZYK,GTEX-111FC-0826-SM-5GZWO,GTEX-111CU-1126-SM-5EGIM,GTEX-1122O-2326-SM-9YFL9
GTEX-111YS-1426-SM-5GID8,GTEX-111YS-2426-SM-5GZZQ,GTEX-113JC-0126-SM-5EGJW,GTEX-111YS-2126-SM-5EGGM,GTEX-111VG-1926-SM-5GIDO,GTEX-111YS-0006-SM-5NQBE,GTEX-117XS-0008-SM-5Q5DQ,GTEX-111YS-1026-SM-5GZYE,GTEX-111VG-0326-SM-5GZX7,GTEX-111CU-1526-SM-5N9FS,GTEX-1128S-0326-SM-5GZZF
GTEX-111YS-1726-SM-5GIED,GTEX-1122O-0926-SM-9YFLC,GTEX-117XS-0526-SM-5987Q,GTEX-1122O-0726-SM-5GIEV,GTEX-1122O-0326-SM-5H124,GTEX-111YS-0626-SM-5GZXV,GTEX-117YW-0008-SM-5QGRD,GTEX-111YS-1626-SM-5GZZ9,GTEX-111VG-2526-SM-5GZXP,GTEX-111FC-0126-SM-5N9DL,GTEX-1128S-2526-SM-5H11N
GTEX-111YS-1926-SM-5GICC,GTEX-1122O-2026-SM-9YFMG,GTEX-117YW-0126-SM-5EGGN,GTEX-1128S-0826-SM-5GZZI,GTEX-1128S-2626-SM-5H11Z,GTEX-1122O-0003-SM-5Q5DL,GTEX-1192W-0008-SM-5QGRE,GTEX-111YS-1826-SM-5GIEP,GTEX-111VG-2626-SM-5GZY2,GTEX-111FC-2526-SM-5GZXU,GTEX-113IC-0426-SM-5HL5O
GTEX-1122O-1226-SM-5H113,GTEX-1128S-0926-SM-5GZZU,GTEX-117YX-1226-SM-5H11S,GTEX-117YW-0826-SM-5H11O,GTEX-1128S-2726-SM-5H12C,GTEX-1122O-0005-SM-5O99J,GTEX-1192X-0008-SM-5Q5B7,GTEX-111YS-2226-SM-5987P,GTEX-111YS-0326-SM-5GZZ3,GTEX-111FC-2926-SM-5GZY7,GTEX-11DXX-0826-SM-5GZZP
GTEX-1122O-1326-SM-5H11F,GTEX-1128S-2126-SM-5H12U,GTEX-1192W-0126-SM-5EGGS,GTEX-117YW-1526-SM-5EGGP,GTEX-1128S-2826-SM-5N9DI,GTEX-1122O-0126-SM-5GICA,GTEX-11DXW-0008-SM-5Q59V,GTEX-1122O-1426-SM-5H11R,GTEX-111YS-0426-SM-5987O,GTEX-111VG-1626-SM-5EGIO,GTEX-11DXY-0326-SM-5H12F
GTEX-1122O-1526-SM-5N9CL,GTEX-113IC-0226-SM-5HL5C,GTEX-1192X-1126-SM-5EGGU,GTEX-117YX-0126-SM-5EGH5,GTEX-113JC-2826-SM-5EGIT,GTEX-1122O-0526-SM-5N9DM,GTEX-11DXX-0008-SM-5Q5B8,GTEX-1122O-1626-SM-5N9CX,GTEX-111YS-2326-SM-5987L,GTEX-111VG-2426-SM-5GZXD,GTEX-11DXY-1126-SM-5987W
GTEX-1122O-1926-SM-5EGIQ,GTEX-113IC-0526-SM-5HL76,GTEX-11DXX-0226-SM-5P9HL,GTEX-117YX-0226-SM-5EGH6,GTEX-117XS-2026-SM-5GID1,GTEX-1128S-0005-SM-5P9HI,GTEX-11DXY-0008-SM-5QGR4,GTEX-1122O-1826-SM-5EGIP,GTEX-1122O-0626-SM-5N9B9,GTEX-111YS-0926-SM-5EGGI,GTEX-11DXZ-0526-SM-5GU7J
GTEX-1128S-1626-SM-5H12O,GTEX-117XS-1926-SM-5GICO,GTEX-11DXY-0426-SM-5H12R,GTEX-117YX-0526-SM-5EGJH,GTEX-117XS-2926-SM-5N9BX,GTEX-1128S-0726-SM-5N9D6,GTEX-11DYG-0008-SM-5QGR5,GTEX-113JC-0926-SM-5H114,GTEX-1122O-0826-SM-5GICV,GTEX-111YS-1526-SM-5GZYW,GTEX-11DXZ-1426-SM-5H12A
GTEX-117YW-1826-SM-5PNY5,GTEX-117YX-0726-SM-5GIET,GTEX-11DXZ-0926-SM-5N9CG,GTEX-117YX-2626-SM-5EQ53,GTEX-117XS-3026-SM-5N9CA,GTEX-113IC-0006-SM-5NQ9C,GTEX-11DZ1-0008-SM-5QGR3,GTEX-113JC-1026-SM-5H117,GTEX-1122O-2426-SM-5GIDN,GTEX-1122O-1026-SM-9WYSF,GTEX-11DYG-1226-SM-5N9DC
GTEX-117YW-2226-SM-5N9DB,GTEX-117YX-1426-SM-5H12H,GTEX-11DYG-0826-SM-5N9GH,GTEX-11DXX-0426-SM-5EQ5F,GTEX-117XS-3126-SM-5GIDP,GTEX-113JC-0006-SM-5O997,GTEX-11EI6-0008-SM-5QGR7,GTEX-113JC-2226-SM-5EGJG,GTEX-1128S-2426-SM-5H11B,GTEX-1122O-1726-SM-5GICM,GTEX-11EI6-0526-SM-5985S
GTEX-117YX-1026-SM-5H11V,GTEX-117YX-1726-SM-5GZZS,GTEX-11DZ1-2726-SM-5A5KH,GTEX-11DXX-0926-SM-5H112,GTEX-117YW-2826-SM-5H116,GTEX-113JC-0726-SM-5GZZR,GTEX-11EMC-0008-SM-5Q5DR,GTEX-117XS-0426-SM-5GZZN,GTEX-113JC-2726-SM-5EGIS,GTEX-1122O-2126-SM-5EGIR,GTEX-11EM3-0526-SM-5H12N
GTEX-117YX-1526-SM-5H12T,GTEX-117YX-2226-SM-5EGJJ,GTEX-11EI6-0726-SM-59866,GTEX-11DXY-0526-SM-5EGGQ,GTEX-117YX-2026-SM-5GIEF,GTEX-117XS-0005-SM-5PNU6,GTEX-11EQ8-0008-SM-5Q5DJ,GTEX-117XS-2226-SM-5GIE1,GTEX-117XS-0726-SM-5H131,GTEX-1128S-2326-SM-5GZZY,GTEX-11EMC-0926-SM-59863
GTEX-1192X-2326-SM-5987X,GTEX-117YX-2426-SM-5GZZJ,GTEX-11EM3-0126-SM-5985K,GTEX-11DXZ-0126-SM-5EGGY,GTEX-1192W-3026-SM-5GZZV,GTEX-117YW-0005-SM-5NQ8Z,GTEX-11EQ9-0008-SM-5Q5DK,GTEX-117YW-0226-SM-5N9CM,GTEX-117XS-2526-SM-5H11G,GTEX-113IC-0126-SM-5HL6T,GTEX-11EMC-3026-SM-5EQ4R
GTEX-1192X-2526-SM-59868,GTEX-1192X-0326-SM-5H11U,GTEX-11EMC-0226-SM-5EGLP,GTEX-11DXZ-0226-SM-5EGGZ,GTEX-1192X-0011-R10a-SM-DO941,GTEX-117YW-0526-SM-5H11C,GTEX-11GS4-0008-SM-5QGRA,GTEX-117YX-0326-SM-5GICL,GTEX-117YW-0326-SM-5N9CY,GTEX-113JC-1926-SM-5N9GE,GTEX-11EQ8-0426-SM-5N9DP
GTEX-11DXX-1326-SM-5GIDZ,GTEX-11DXW-0326-SM-5H11W,GTEX-11EQ8-0826-SM-5N9FG,GTEX-11DYG-0926-SM-5EGGW,GTEX-1192X-0011-R5a-SM-DNZZA,GTEX-117YX-1326-SM-5H125,GTEX-11GSP-0008-SM-5Q5DM,GTEX-117YX-0826-SM-5H11J,GTEX-117YW-0426-SM-5GZZZ,GTEX-113JC-2326-SM-5EQ4E,GTEX-11GS4-0626-SM-5A5LC
GTEX-11DXX-1426-SM-5GIDU,GTEX-11DXX-2026-SM-5EGJL,GTEX-11EQ9-0626-SM-5A5K1,GTEX-11DYG-1926-SM-5H12I,GTEX-1192X-0011-R6a-SM-DNZZB,GTEX-117YX-2126-SM-5GIEL,GTEX-11H98-0008-SM-5QGR8,GTEX-117YX-1826-SM-5H12K,GTEX-117YW-2426-SM-5Q5AE,GTEX-117XS-2726-SM-5N9BL,GTEX-11GS4-2926-SM-5A5LF
GTEX-11DXX-1626-SM-5H11H,GTEX-11DXX-2326-SM-9YFKS,GTEX-11GS4-0826-SM-5986J,GTEX-11DYG-2026-SM-5EGGX,GTEX-1192X-0011-R7b-SM-DNZZC,GTEX-1192W-0005-SM-5NQBQ,GTEX-11I78-0008-SM-5Q5DI,GTEX-1192X-1826-SM-5GIE2,GTEX-117YX-0626-SM-5EGJI,GTEX-117YW-1426-SM-5EGGO,GTEX-11GSP-1026-SM-9WYSH
GTEX-11DXX-1826-SM-5H126,GTEX-11DXX-2526-SM-5H119,GTEX-11GSO-0626-SM-5A5LW,GTEX-11EM3-0326-SM-5A5KJ,GTEX-1192X-0011-R8b-SM-DO11U,GTEX-1192X-0005-SM-5NQC3,GTEX-11LCK-0008-SM-5Q5BB,GTEX-11DXW-0526-SM-5H127,GTEX-117YX-1126-SM-5H128,GTEX-117YW-1926-SM-5H121,GTEX-11GSP-1126-SM-5A5LM
