Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
ENSG00000162896,ENSG00000166819,ENSG00000042832,ENSG00000219073,ENSG00000131095,ENSG00000163464,ENSG00000113739,ENSG00000075073,ENSG00000197616,ENSG00000126233,ENSG00000162267
ENSG00000211890,ENSG00000079435,ENSG00000125618,ENSG00000168925,ENSG00000074317,ENSG00000008516,ENSG00000107984,ENSG00000162998,ENSG00000155657,ENSG00000203785,ENSG00000134339
ENSG00000132465,ENSG00000187288,ENSG00000115705,ENSG00000142789,ENSG00000104833,ENSG00000162747,ENSG00000104435,ENSG00000136999,ENSG00000109061,ENSG00000169509,ENSG00000257017
ENSG00000211675,ENSG00000138207,ENSG00000168878,ENSG00000168928,ENSG00000087250,ENSG00000196565,ENSG00000163661,ENSG00000129244,ENSG00000125414,ENSG00000178363,ENSG00000105825
ENSG00000211679,ENSG00000204482,ENSG00000251624,ENSG00000137392,ENSG00000124507,ENSG00000008438,ENSG00000103888,ENSG00000132639,ENSG00000086967,ENSG00000172551,ENSG00000172724
ENSG00000211892,ENSG00000119535,ENSG00000242349,ENSG00000175535,ENSG00000130294,ENSG00000239839,ENSG00000166923,ENSG00000105696,ENSG00000077009,ENSG00000169469,ENSG00000140465
ENSG00000171747,ENSG00000169385,ENSG00000163141,ENSG00000204983,ENSG00000155980,ENSG00000213934,ENSG00000196549,ENSG00000110076,ENSG00000180209,ENSG00000178372,ENSG00000187288
ENSG00000211897,ENSG00000105246,ENSG00000198336,ENSG00000172023,ENSG00000168913,ENSG00000112303,ENSG00000120708,ENSG00000155980,ENSG00000258444,ENSG00000169474,ENSG00000132465
ENSG00000164816,ENSG00000000938,ENSG00000012124,ENSG00000142615,ENSG00000184524,ENSG00000100985,ENSG00000123975,ENSG00000176533,ENSG00000111245,ENSG00000137699,ENSG00000108405
ENSG00000229859,ENSG00000244482,ENSG00000054690,ENSG00000115386,ENSG00000174871,ENSG00000214212,ENSG00000166825,ENSG00000087250,ENSG00000159173,ENSG00000241794,ENSG00000164761
ENSG00000211893,ENSG00000142347,ENSG00000127585,ENSG00000170890,ENSG00000008735,ENSG00000085265,ENSG00000184524,ENSG00000168280,ENSG00000182676,ENSG00000171346,ENSG00000118849
ENSG00000211896,ENSG00000257017,ENSG00000021300,ENSG00000240338,ENSG00000221946,ENSG00000188404,ENSG00000134057,ENSG00000130222,ENSG00000138100,ENSG00000188508,ENSG00000018280
ENSG00000088002,ENSG00000171051,ENSG00000122304,ENSG00000179751,ENSG00000132639,ENSG00000124731,ENSG00000260549,ENSG00000153531,ENSG00000183091,ENSG00000161634,ENSG00000186832
ENSG00000108602,ENSG00000215187,ENSG00000171345,ENSG00000158516,ENSG00000197971,ENSG00000150637,ENSG00000105825,ENSG00000105649,ENSG00000158022,ENSG00000203782,ENSG00000211679
ENSG00000181885,ENSG00000140749,ENSG00000196754,ENSG00000091704,ENSG00000168280,ENSG00000115607,ENSG00000174564,ENSG00000063180,ENSG00000165887,ENSG00000143556,ENSG00000081041
ENSG00000119888,ENSG00000118785,ENSG00000161055,ENSG00000187021,ENSG00000099365,ENSG00000163221,ENSG00000088325,ENSG00000185615,ENSG00000172399,ENSG00000133710,ENSG00000211899
ENSG00000159763,ENSG00000169429,ENSG00000160401,ENSG00000215704,ENSG00000160781,ENSG00000076662,ENSG00000163739,ENSG00000186806,ENSG00000240045,ENSG00000188505,ENSG00000169385
ENSG00000184363,ENSG00000139970,ENSG00000152154,ENSG00000153002,ENSG00000105290,ENSG00000101307,ENSG00000160886,ENSG00000152154,ENSG00000196296,ENSG00000204421,ENSG00000211675
ENSG00000164266,ENSG00000100365,ENSG00000185133,ENSG00000172016,ENSG00000108309,ENSG00000187116,ENSG00000196754,ENSG00000160882,ENSG00000163157,ENSG00000172867,ENSG00000160255
ENSG00000171346,ENSG00000105825,ENSG00000143226,ENSG00000162438,ENSG00000137285,ENSG00000248996,ENSG00000153531,ENSG00000021300,ENSG00000124701,ENSG00000143536,ENSG00000162998
ENSG00000165272,ENSG00000066336,ENSG00000166922,ENSG00000132693,ENSG00000120088,ENSG00000112299,ENSG00000013297,ENSG00000137285,ENSG00000106631,ENSG00000205420,ENSG00000166819
