Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
GTEX-1117F-0226-SM-5GZZ7,GTEX-11UD1-0326-SM-5EQKX,GTEX-ZZPU-2726-SM-5NQ8O,GTEX-1F48J-0426-SM-7SB8S,GTEX-178AV-0526-SM-6LPJH,GTEX-WHSE-0011-R7A-SM-3P5YZ,GTEX-13CF2-0011-R2a-SM-5L3DC,GTEX-QESD-0226-SM-447BH,GTEX-1H1ZS-1726-SM-9WYUC,GTEX-14C39-2126-SM-664OH,GTEX-12BJ1-0726-SM-5EGGF
GTEX-1QCLZ-1526-SM-EXUSS,GTEX-139T8-0526-SM-5KLZL,GTEX-13FXS-1326-SM-62LFR,GTEX-T5JC-1226-SM-4DM7C,GTEX-18A7B-2726-SM-7LG56,GTEX-145LU-0011-R9b-SM-5SI66,GTEX-S33H-1326-SM-4AD6A,GTEX-11P7K-1526-SM-5EGI7,GTEX-1399U-0826-SM-5KM1P,GTEX-QMRM-0126-SM-CJI1R,GTEX-1H3VY-0001-SM-EYYVY
GTEX-1CAMQ-2226-SM-7MGWS,GTEX-1212Z-0626-SM-5FQTB,GTEX-1IL2V-0726-SM-ARZMB,GTEX-13NYB-0626-SM-5MR47,GTEX-1C64O-0126-SM-7SB8P,GTEX-1IDJH-0011-R10a-SM-ARZLK,GTEX-1CAV2-0011-R5b-SM-9QEH4,GTEX-U4B1-1126-SM-4DXV3,GTEX-WYJK-2126-SM-4ONDG,GTEX-1M5QR-1026-SM-DHXK9,GTEX-Y5V5-0001-SM-4V6FZ
GTEX-YF7O-2626-SM-5IFHK,GTEX-1CAMS-0126-SM-79396,GTEX-UJHI-1626-SM-3DB9A,GTEX-T6MN-0426-SM-32PMF,GTEX-12KS4-0326-SM-5EQ41,GTEX-1IDJH-0011-R11b-SM-C1YRT,GTEX-1CAV2-0011-R9b-SM-9WG5M,GTEX-1399T-0826-SM-5IFES,GTEX-139TS-2226-SM-5J2N1,GTEX-12WSI-0008-SM-664MD,GTEX-1GMR2-0001-SM-EYYWA
GTEX-15EO6-3126-SM-6LPIQ,GTEX-YFC4-0426-SM-4TT3J,GTEX-13G51-0005-SM-5N9EP,GTEX-T6MN-0326-SM-32PMK,GTEX-145LT-0526-SM-5LUB2,GTEX-1IDJH-0011-R1b-SM-ARU6U,GTEX-15RJ7-1826-SM-7KUMJ,GTEX-13OW6-2626-SM-5IFF2,GTEX-1JMOU-0126-SM-E9U53,GTEX-QLQW-1626-SM-CMKFE,GTEX-ZUA1-0002-SM-4YCF7
GTEX-1HSKV-1726-SM-C1YRO,GTEX-YFC4-0526-SM-5ZZVI,GTEX-17JCI-0005-SM-7P8OL,GTEX-T6MN-0226-SM-32PMD,GTEX-Y9LG-0626-SM-4WWDH,GTEX-1IDJH-0011-R3a-SM-CJI42,GTEX-1ICG6-0226-SM-AHZ2P,GTEX-1EN7A-2026-SM-7MGY4,GTEX-18D9U-1726-SM-7LTA5,GTEX-132QS-0126-SM-5IFH9,GTEX-1PDJ9-0226-SM-DPRYX
GTEX-1CAMQ-2626-SM-7IGNI,GTEX-13OW6-0626-SM-5L3IB,GTEX-1IOXB-0006-SM-CMKFO,GTEX-13NYB-0726-SM-5MR4J,GTEX-1PIGE-1826-SM-E8VOU,GTEX-1IDJH-0011-R5a-SM-CE6SR,GTEX-12WSA-0011-R4a-SM-57WB7,GTEX-X3Y1-0726-SM-3P5YU,GTEX-WYVS-0826-SM-4RTXB,GTEX-1GN1V-3026-SM-9JGH9,GTEX-15DZA-0126-SM-6PAMV
GTEX-WYBS-1126-SM-3NMAM,GTEX-15EOM-5007-SM-793DG,GTEX-13G51-0426-SM-5K7Z5,GTEX-1IKOE-0526-SM-CE6T3,GTEX-QEG4-0726-SM-CNNRF,GTEX-1IDJH-0011-R6a-SM-A9SLZ,GTEX-1CAV2-2726-SM-7IGNN,GTEX-XPVG-0326-SM-4B653,GTEX-WYVS-1126-SM-4SOJX,GTEX-OXRK-0526-SM-3NB2F,GTEX-WH7G-0002-SM-4LVN9
GTEX-1QCLY-1426-SM-E76P8,GTEX-YFC4-1026-SM-5RQJM,GTEX-13G51-0526-SM-5IJCQ,GTEX-1IKOE-0726-SM-CE6T4,GTEX-18A7A-2326-SM-7KFRH,GTEX-1IDJH-0011-R7a-SM-A9SM1,GTEX-1CB4F-0126-SM-9JGGZ,GTEX-11P7K-1626-SM-5GU63,GTEX-1JMLX-2126-SM-CL54B,GTEX-1NV8Z-2226-SM-EXOJ2,GTEX-Y5V5-1126-SM-EVYAR
GTEX-1QCLY-1626-SM-DTXDW,GTEX-1A3MV-2026-SM-718BU,GTEX-1IOXB-0226-SM-CMKHY,GTEX-1IKOE-0826-SM-ARZME,GTEX-Y9LG-1126-SM-4VBQ7,GTEX-X585-3026-SM-46MWF,GTEX-13X6I-2926-SM-5Q5C3,GTEX-12WSD-2326-SM-59HKQ,GTEX-1JMLX-1426-SM-CNNPO,GTEX-1AX9J-0626-SM-72D7L,GTEX-1HC8U-0001-SM-EYYW3
GTEX-1CAMR-0526-SM-7P8RS,GTEX-1QCLZ-0326-SM-DTXG2,GTEX-UJHI-0006-SM-3DB8H,GTEX-13NYB-1826-SM-5J1N3,GTEX-1PIIG-0226-SM-EWRN6,GTEX-1IDJH-0011-R9a-SM-ADEIN,GTEX-YF7O-0126-SM-5IFIR,GTEX-1HCU7-1726-SM-B2LX9,GTEX-1JMLX-1226-SM-CY8HW,GTEX-13OVL-1826-SM-5KLZR,GTEX-QLQW-0126-SM-447BK
GTEX-1CAMR-0626-SM-7DHMI,GTEX-1HSMP-0326-SM-A9SMC,GTEX-17HII-1926-SM-79OLB,GTEX-1IKOE-0926-SM-ARU7X,GTEX-12C56-1726-SM-5EQ61,GTEX-1B8KE-1426-SM-7EWEL,GTEX-12BJ1-1326-SM-5BC5P,GTEX-Y8E4-2426-SM-4WWDN,GTEX-18QFQ-1126-SM-72D6R,GTEX-QLQW-0226-SM-447BJ,GTEX-XGQ4-0126-SM-4AT4H
GTEX-WYBS-0926-SM-3NM94,GTEX-WYJK-1726-SM-3NM9U,GTEX-U8XE-1926-SM-3DB98,GTEX-13NYB-2426-SM-5IFF4,GTEX-12C56-1526-SM-5FQUQ,GTEX-145LU-0011-R6a-SM-5S2V6,GTEX-1CB4G-0011-R8b-SM-9WG7H,GTEX-Y8E4-2326-SM-EAZAZ,GTEX-18QFQ-1526-SM-72D57,GTEX-1RAZQ-0226-SM-EV7BK,GTEX-13N11-0126-SM-5KM2Z
