"","x"
"GTEX-1117F-0226-SM-5GZZ7",1
"GTEX-1117F-0426-SM-5EGHI",2
"GTEX-1117F-0526-SM-5EGHJ",3
"GTEX-1117F-0626-SM-5N9CS",4
"GTEX-1117F-0726-SM-5GIEN",5
"GTEX-1117F-1326-SM-5EGHH",6
"GTEX-1117F-2426-SM-5EGGH",3
"GTEX-1117F-2526-SM-5GZY6",7
"GTEX-1117F-2826-SM-5GZXL",1
"GTEX-1117F-2926-SM-5GZYI",8
"GTEX-1117F-3026-SM-5GZYU",9
"GTEX-1117F-3226-SM-5N9CT",10
"GTEX-111CU-0126-SM-5GZWZ",11
"GTEX-111CU-0226-SM-5GZXC",4
"GTEX-111CU-0326-SM-5GZXO",12
"GTEX-111CU-0426-SM-5GZY1",13
"GTEX-111CU-0526-SM-5EGHK",14
"GTEX-111CU-0626-SM-5EGHL",15
"GTEX-111CU-0726-SM-5GZYD",16
"GTEX-111CU-0826-SM-5EGIJ",17
"GTEX-111CU-0926-SM-5EGIK",18
"GTEX-111CU-1026-SM-5EGIL",19
"GTEX-111CU-1126-SM-5EGIM",20
"GTEX-111CU-1226-SM-5EGIN",11
"GTEX-111CU-1326-SM-5NQ8L",21
"GTEX-111CU-1426-SM-5GZYP",22
"GTEX-111CU-1526-SM-5N9FS",4
"GTEX-111CU-1726-SM-5EGHM",23
"GTEX-111CU-1826-SM-5GZYN",19
"GTEX-111CU-2026-SM-5GZZC",24
"GTEX-111CU-2226-SM-5N9G5",4
"GTEX-111FC-0126-SM-5N9DL",8
"GTEX-111FC-0226-SM-5N9B8",4
"GTEX-111FC-0326-SM-5GZZ1",24
"GTEX-111FC-0426-SM-5N9CV",25
"GTEX-111FC-0526-SM-5GZZ8",26
"GTEX-111FC-0626-SM-5N9CU",27
"GTEX-111FC-0826-SM-5GZWO",28
"GTEX-111FC-1026-SM-5GZX1",4
"GTEX-111FC-1126-SM-5GZWU",29
"GTEX-111FC-1326-SM-5N9D9",30
"GTEX-111FC-1926-SM-5GZYC",31
"GTEX-111FC-2026-SM-5GZYO",1
"GTEX-111FC-2526-SM-5GZXU",8
"GTEX-111FC-2926-SM-5GZY7",9
"GTEX-111FC-3126-SM-5GZZ2",10
"GTEX-111FC-3326-SM-5GZYV",10
"GTEX-111VG-0008-SM-5Q5BG",32
"GTEX-111VG-0326-SM-5GZX7",27
"GTEX-111VG-0526-SM-5N9BW",33
"GTEX-111VG-0726-SM-5GIDC",29
"GTEX-111VG-1626-SM-5EGIO",34
"GTEX-111VG-1926-SM-5GIDO",23
"GTEX-111VG-2226-SM-5N9DU",35
"GTEX-111VG-2326-SM-5N9BK",36
"GTEX-111VG-2426-SM-5GZXD",8
"GTEX-111VG-2526-SM-5GZXP",37
"GTEX-111VG-2626-SM-5GZY2",24
"GTEX-111YS-0006-SM-5NQBE",38
"GTEX-111YS-0008-SM-5Q5BH",32
"GTEX-111YS-0126-SM-5987T",11
"GTEX-111YS-0326-SM-5GZZ3",27
"GTEX-111YS-0426-SM-5987O",28
"GTEX-111YS-0526-SM-5GZXJ",11
"GTEX-111YS-0626-SM-5GZXV",39
"GTEX-111YS-0726-SM-5GZY8",1
"GTEX-111YS-0826-SM-5GZYK",35
"GTEX-111YS-0926-SM-5EGGI",7
"GTEX-111YS-1026-SM-5GZYE",11
"GTEX-111YS-1126-SM-5GZYQ",18
"GTEX-111YS-1226-SM-5EGGJ",14
"GTEX-111YS-1326-SM-5EGGK",3
"GTEX-111YS-1426-SM-5GID8",40
"GTEX-111YS-1526-SM-5GZYW",8
"GTEX-111YS-1626-SM-5GZZ9",11
"GTEX-111YS-1726-SM-5GIED",21
"GTEX-111YS-1826-SM-5GIEP",11
"GTEX-111YS-1926-SM-5GICC",21
"GTEX-111YS-2026-SM-5EGGL",23
"GTEX-111YS-2126-SM-5EGGM",41
"GTEX-111YS-2226-SM-5987P",11
"GTEX-111YS-2326-SM-5987L",24
"GTEX-111YS-2426-SM-5GZZQ",4
"GTEX-1122O-0003-SM-5Q5DL",42
"GTEX-1122O-0005-SM-5O99J",38
"GTEX-1122O-0008-SM-5QGR2",32
"GTEX-1122O-0126-SM-5GICA",43
"GTEX-1122O-0226-SM-5N9DA",4
"GTEX-1122O-0326-SM-5H124",11
"GTEX-1122O-0426-SM-5H12G",4
"GTEX-1122O-0526-SM-5N9DM",44
"GTEX-1122O-0626-SM-5N9B9",27
"GTEX-1122O-0726-SM-5GIEV",14
"GTEX-1122O-0826-SM-5GICV",28
"GTEX-1122O-0926-SM-9YFLC",4
"GTEX-1122O-1026-SM-9WYSF",34
"GTEX-1122O-1126-SM-5NQ8X",4
"GTEX-1122O-1226-SM-5H113",33
"GTEX-1122O-1326-SM-5H11F",40
"GTEX-1122O-1426-SM-5H11R",11
"GTEX-1122O-1526-SM-5N9CL",22
"GTEX-1122O-1626-SM-5N9CX",11
"GTEX-1122O-1726-SM-5GICM",7
"GTEX-1122O-1826-SM-5EGIP",45
"GTEX-1122O-1926-SM-5EGIQ",18
"GTEX-1122O-2026-SM-9YFMG",4
"GTEX-1122O-2126-SM-5EGIR",46
"GTEX-1122O-2326-SM-9YFL9",11
"GTEX-1122O-2426-SM-5GIDN",24
"GTEX-1128S-0005-SM-5P9HI",47
"GTEX-1128S-0008-SM-5Q5DP",32
"GTEX-1128S-0126-SM-5H12S",4
"GTEX-1128S-0326-SM-5GZZF",4
"GTEX-1128S-0726-SM-5N9D6",48
"GTEX-1128S-0826-SM-5GZZI",14
"GTEX-1128S-0926-SM-5GZZU",49
"GTEX-1128S-1626-SM-5H12O",22
"GTEX-1128S-2126-SM-5H12U",4
"GTEX-1128S-2326-SM-5GZZY",8
"GTEX-1128S-2426-SM-5H11B",24
"GTEX-1128S-2526-SM-5H11N",4
"GTEX-1128S-2626-SM-5H11Z",50
"GTEX-1128S-2726-SM-5H12C",10
"GTEX-1128S-2826-SM-5N9DI",10
"GTEX-113IC-0006-SM-5NQ9C",47
"GTEX-113IC-0008-SM-5QGRF",32
"GTEX-113IC-0126-SM-5HL6T",51
"GTEX-113IC-0226-SM-5HL5C",52
"GTEX-113IC-0426-SM-5HL5O",53
"GTEX-113IC-0526-SM-5HL76",21
"GTEX-113JC-0006-SM-5O997",54
"GTEX-113JC-0008-SM-5QGR6",32
"GTEX-113JC-0126-SM-5EGJW",4
