MEbrown,MEpink,MEpurple,MEyellow,MEblue,MEblack,MEred,MEturquoise,MEgreen,MEmagenta,MEgrey
ENSG00000020129,ENSG00000075886,ENSG00000175206,ENSG00000178821,ENSG00000184292,ENSG00000132693,ENSG00000020633,ENSG00000268903,ENSG00000162438,ENSG00000169605,ENSG00000064886
ENSG00000160781,ENSG00000226979,ENSG00000120937,ENSG00000158022,ENSG00000143369,ENSG00000158874,ENSG00000169442,ENSG00000269981,ENSG00000142615,ENSG00000157017,ENSG00000143369
ENSG00000248485,ENSG00000258345,ENSG00000172399,ENSG00000163157,ENSG00000163141,ENSG00000163631,ENSG00000000938,ENSG00000158825,ENSG00000215704,ENSG00000096088,ENSG00000188015
ENSG00000143847,ENSG00000122304,ENSG00000106631,ENSG00000143318,ENSG00000196407,ENSG00000171564,ENSG00000143119,ENSG00000162551,ENSG00000219073,ENSG00000167653,ENSG00000090104
ENSG00000163032,ENSG00000175646,ENSG00000134571,ENSG00000159173,ENSG00000143536,ENSG00000171560,ENSG00000117091,ENSG00000020633,ENSG00000142789,ENSG00000182333,ENSG00000163661
ENSG00000152154,ENSG00000140932,ENSG00000197616,ENSG00000138100,ENSG00000169509,ENSG00000171557,ENSG00000116701,ENSG00000169442,ENSG00000243480,ENSG00000229859,ENSG00000118849
ENSG00000168280,ENSG00000173868,ENSG00000198336,ENSG00000183091,ENSG00000169474,ENSG00000229314,ENSG00000162896,ENSG00000000938,ENSG00000172023,,ENSG00000081041
ENSG00000091428,ENSG00000105679,ENSG00000077009,ENSG00000155657,ENSG00000163209,ENSG00000110245,ENSG00000115956,ENSG00000119535,ENSG00000115386,,ENSG00000120708
ENSG00000128656,ENSG00000011590,,ENSG00000240045,ENSG00000169469,ENSG00000197249,ENSG00000115607,ENSG00000143119,ENSG00000172016,,ENSG00000155850
ENSG00000130294,ENSG00000104951,,ENSG00000145358,ENSG00000241794,ENSG00000257017,ENSG00000121966,ENSG00000163221,ENSG00000153002,,ENSG00000113739
ENSG00000091513,ENSG00000237259,,ENSG00000172399,ENSG00000203785,ENSG00000091583,ENSG00000180353,ENSG00000143546,ENSG00000164266,,ENSG00000243649
