SAMPID,SMATSSCR,SMCENTER,SMPTHNTS,SMRIN,SMTS,SMTSD,SMUBRID,SMTSISCH,SMTSPAX,SMNABTCH,SMNABTCHT,SMNABTCHD,SMGEBTCH,SMGEBTCHD,SMGEBTCHT,SMAFRZE,SMGTC,SME2MPRT,SMCHMPRS,SMNTRART,SMNUMGPS,SMMAPRT,SMEXNCRT,SM550NRM,SMGNSDTC,SMUNMPRT,SM350NRM,SMRDLGTH,SMMNCPB,SME1MMRT,SMSFLGTH,SMESTLBS,SMMPPD,SMNTERRT,SMRRNANM,SMRDTTL,SMVQCFL,SMMNCV,SMTRSCPT,SMMPPDPR,SMCGLGTH,SMGAPPCT,SMUNPDRD,SMNTRNRT,SMMPUNRT,SMEXPEFF,SMMPPDUN,SME2MMRT,SME2ANTI,SMALTALG,SME2SNSE,SMMFLGTH,SME1ANTI,SMSPLTRD,SMBSMMRT,SME1SNSE,SME1PCTS,SMRRNART,SME1MPRT,SMNUM5CD,SMDPMPRT,SME2PCTS
GTEX-111CU-1426-SM-5GZYP,1.0,B1,"6 pieces, predominantly mucosa and submucosa with small portion of muscularis, edema",7.8,Colon,Colon - Transverse,0001157,100.0,609.0,BP-43693,RNA Extraction from Paxgene-derived Lysate Plate Based,09/17/2013,LCSET-4804,03/05/2014,TruSeq.v1,RNASEQ,,0.989352,229793.0,0.9759030000000001,,0.9924799999999999,0.817932,,22970.0,1.0,,76.0,,0.00225654,229.0,0.0,80139500.0,0.0233889,634774.0,80746700.0,10086300.0,,22993.0,39840000.0,,,0.0,0.157971,0.9924799999999999,0.811782,80139500.0,0.0032622,17876700.0,11387200.0,17794400.0,235.0,17849000.0,13405900.0,0.00275778,18057000.0,50.2897,0.0078613,0.995609,,0.0,49.8847
GTEX-111FC-0226-SM-5N9B8,2.0,B1,"2 pieces, larger piece is 30% fibrovascular tissue and nerve, smaller piece ~10%",7.3,Adipose Tissue,Adipose - Subcutaneous,0002190,1040.0,869.0,BP-43989,RNA Extraction from Paxgene-derived Lysate Plate Based,09/26/2013,LCSET-4904,03/22/2014,TruSeq.v1,RNASEQ,,0.9920620000000001,167541.0,0.974332,,0.992977,0.8122189999999999,,23977.0,1.0,,76.0,,0.00280933,282.0,0.0,94641900.0,0.0253254,357934.0,95311300.0,4853830.0,,24018.0,47128600.0,,,0.0,0.162113,0.992977,0.806515,94641900.0,0.00340007,20778300.0,8509160.0,20875200.0,256.0,20831300.0,17554200.0,0.00310443,20911100.0,50.0955,0.00375542,0.993892,,0.0,50.1164
GTEX-111YS-0006-SM-5NQBE,,B1,,8.2,Blood,Whole Blood,0013756,-121.0,,BP-38780,RNA isolation_PAXgene Blood RNA (Manual),05/08/2013,LCSET-4907,03/21/2014,TruSeq.v1,RNASEQ,,0.9815729999999999,565100.0,0.965938,,0.985108,0.810071,,18229.0,1.0,,76.0,,0.00271236,128.0,0.0,79518700.0,0.032954500000000005,224915.0,80720700.0,11154300.0,,18237.0,39500100.0,,,0.0,0.155867,0.985108,0.798007,79518700.0,0.00586091,17750400.0,69342100.0,18023700.0,148.0,18081500.0,17940700.0,0.00428098,17976300.0,49.8542,0.00278633,0.9886440000000001,,0.0,50.382
GTEX-111YS-0326-SM-5GZZ3,1.0,B1,"2 pieces, 1 with 50% external fat; hypertrophied myofibers",8.5,Heart,Heart - Atrial Appendage,0006631,120.0,769.0,BP-43693,RNA Extraction from Paxgene-derived Lysate Plate Based,09/17/2013,LCSET-4804,03/05/2014,TruSeq.v1,RNASEQ,,0.987427,263296.0,0.982231,,0.9903719999999999,0.8360549999999999,,20649.0,1.0,,76.0,,0.00216987,161.0,0.0,72421400.0,0.0174988,1662590.0,73125500.0,8414410.0,,20663.0,35962300.0,,,0.0,0.146176,0.9903719999999999,0.8280059999999999,72421400.0,0.0037906,15416200.0,19062400.0,15467900.0,190.0,15310400.0,11400800.0,0.00297783,15763800.0,50.7295,0.022736199999999998,0.993318,,0.0,50.0837
GTEX-111YS-2426-SM-5GZZQ,0.0,B1,3 small irregular pieces,6.6,Adipose Tissue,Adipose - Subcutaneous,0002190,296.0,593.0,BP-43693,RNA Extraction from Paxgene-derived Lysate Plate Based,09/17/2013,LCSET-4805,02/27/2014,TruSeq.v1,RNASEQ,,0.9904430000000001,250797.0,0.9744520000000001,,0.9928899999999999,0.799713,,21965.0,1.0,,76.0,,0.0021320999999999996,159.0,0.0,68259500.0,0.0252337,457318.0,68748200.0,7724790.0,,21987.0,33965000.0,,,0.0,0.174739,0.9928899999999999,0.794027,68259500.0,0.00339647,15047300.0,9352700.0,15104000.0,165.0,15144200.0,10941600.0,0.00276272,15171800.0,50.0454,0.00665207,0.995338,,0.0,50.0941
GTEX-1122O-0005-SM-5O99J,,B1,,7.6,Blood,Whole Blood,0013756,-77.0,,BP-38883,RNA isolation_PAXgene Blood RNA (Manual),05/10/2013,LCSET-4909,03/20/2014,TruSeq.v1,RNASEQ,,0.986466,912057.0,0.944916,,0.9907440000000001,0.7771560000000001,,18928.0,1.0,,76.0,,0.00230212,124.0,0.0,71748000.0,0.0545957,207142.0,72418300.0,10494900.0,,18944.0,35620300.0,,,0.0,0.16776,0.9907440000000001,0.769962,71748000.0,0.00416304,15356500.0,44305600.0,15562300.0,142.0,15639600.0,13858300.0,0.00322856,15603100.0,49.9416,0.00286035,0.995023,,0.0,50.3328
GTEX-1122O-0426-SM-5H12G,0.0,B1,"2 pieces, both with attachment of adipose tissue and nerve up to 1.45mm thick, atherosclerosis with compromise of the lumen ~40%",7.7,Blood Vessel,Artery - Coronary,0001621,63.0,940.0,BP-43693,RNA Extraction from Paxgene-derived Lysate Plate Based,09/17/2013,LCSET-4805,02/27/2014,TruSeq.v1,RNASEQ,,0.990352,196630.0,0.9761340000000001,,0.993079,0.850295,,21204.0,1.0,,76.0,,0.00193909,143.0,0.0,68256900.0,0.023472299999999998,322122.0,68732600.0,8659840.0,,21220.0,33957400.0,,,0.0,0.125839,0.993079,0.84441,68256900.0,0.00309214,14521300.0,5394420.0,14694400.0,160.0,14690700.0,13967900.0,0.00251403,14703100.0,50.021,0.004686600000000001,0.995806,,0.0,50.2963
GTEX-1122O-0626-SM-5N9B9,0.0,B1,"2 pieces, 30-50% fat, interstitial fibrosis",8.6,Heart,Heart - Atrial Appendage,0006631,60.0,943.0,BP-43989,RNA Extraction from Paxgene-derived Lysate Plate Based,09/26/2013,LCSET-4904,03/22/2014,TruSeq.v1,RNASEQ,,0.992927,244989.0,0.9767549999999999,,0.993655,0.831393,,21671.0,1.0,,76.0,,0.00284322,199.0,0.0,85161800.0,0.022970599999999997,1494210.0,85705600.0,3999750.0,,21689.0,42440200.0,,,0.0,0.145362,0.993655,0.826118,85161800.0,0.00328089,18244400.0,16399000.0,18368000.0,236.0,18211500.0,14677000.0,0.0030618999999999998,18466000.0,50.3469,0.0174342,0.994383,,0.0,50.1687
GTEX-1122O-1026-SM-9WYSF,0.0,B1,"6 pieces, well trimmed",7.5,Skin,Skin - Not Sun Exposed (Suprapubic),0036149,94.0,909.0,BP-61198,RNA Extraction from Paxgene-derived Lysate Plate Based,03/03/2015,LCSET-7430,07/22/2015,TruSeq.v1,RNASEQ,,0.992994,228166.0,0.9688319999999999,,0.9945940000000001,0.7881100000000001,,22690.0,1.0,,76.0,,0.00243091,197.0,0.0,79350500.0,0.030998500000000002,525716.0,79781800.0,5283000.0,,22713.0,39533800.0,,,0.0,0.180722,0.9945940000000001,0.783849,79350500.0,0.00454839,17289100.0,8860820.0,17472400.0,192.0,17448900.0,12589800.0,0.00348795,17437700.0,49.9839,0.00658942,0.996194,,0.0,50.2636
GTEX-1122O-1526-SM-5N9CL,1.0,B1,"6 pieces, predominantly mucosa and submucosa, few with attached portion of muscularis",7.8,Colon,Colon - Transverse,0001157,111.0,892.0,BP-43989,RNA Extraction from Paxgene-derived Lysate Plate Based,09/26/2013,LCSET-4904,03/22/2014,TruSeq.v1,RNASEQ,,0.991552,190647.0,0.972045,,0.992618,0.801453,,22634.0,1.0,,76.0,,0.00313044,197.0,0.0,70426300.0,0.0275368,1141690.0,70950000.0,3670840.0,,22657.0,35074300.0,,,0.0,0.170592,0.992618,0.7955369999999999,70426300.0,0.00362658,15609300.0,9975890.0,15708500.0,171.0,15642600.0,10643900.0,0.00337824,15743400.0,50.1605,0.016091499999999998,0.993684,,0.0,50.1584
