i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32
0,GTEX-111CU-1426-SM-5GZYP,0.030860257343302253,0.03370537596854378,0.03196299360811155,0.031126062192522133,0.0319156662454306,0.010139400242476455,0.030913513629175254,0.031042621700217102,0.03079019520695587,0.0317075940415562,0.03157741382645724,0.031127904108972624,0.033662902228933034,0.030615159542958233,0.033202002280849595,0.03271601241746847,0.030202743660062478,0.0315585618208792,0.03260191418949339,0.03141022223714385,0.031104215864033426,0.03337877608246027,0.032612838581280855,0.03476443824403266,0.03467078112037886,0.030231285095867495,0.0322463826906789,0.030777645218623507,0.031979543633848875,0.031773958825978985,0.031573425301391005,0.032048192849915835
1,GTEX-111FC-0226-SM-5N9B8,0.028869387210890222,0.031120950532594123,0.03039838740560641,0.03396391028210102,0.032412113254564306,0.011100960397793666,0.0290927701709505,0.029857882615096618,0.03448371326867872,0.03472965047356425,0.0326842989250733,0.03141228026750293,0.03194145749875038,0.031432535307014925,0.03734105444015513,0.03457307373897155,0.03481821356346412,0.030946288695940197,0.028421560647357787,0.02729819592747414,0.03265723195516026,0.02955829242308124,0.029195330113354824,0.036036443697811504,0.03488279855033746,0.03445724392987393,0.030518954232877225,0.026629032529005125,0.03258294427614557,0.03225988347491713,0.031724458870777544,0.03259870132311388
2,GTEX-111YS-0006-SM-5NQBE,0.03964591439117295,0.024073871611712035,0.02444097774752287,0.025053490606814284,0.025062449749169765,0.004137946539129219,0.02957046738007923,0.04308482290257404,0.024215613318464804,0.03173112188771128,0.022222100057580924,0.025935625890340968,0.022026166811052243,0.023851001979174783,0.019229095038456216,0.02464679442874645,0.029528012471149834,0.025850837976453545,0.06292296971529347,0.03336824405653604,0.026206684165539885,0.029603769830101496,0.04973198655257228,0.020349694051944495,0.02580921758569606,0.033606399977433955,0.026698860555845767,0.10552913257288928,0.02382034980209079,0.03059862978083617,0.03440538142793759,0.03304236913797728
3,GTEX-111YS-0326-SM-5GZZ3,0.03827282637742415,0.03325398963341557,0.0358103926386857,0.0297963306935047,0.03234028034982757,0.004369409427733032,0.03809052275638966,0.03222315338841791,0.029396020900377913,0.02630331873554763,0.033622065210753116,0.03471967792499426,0.03320567462519485,0.0348055347343119,0.025513107175395584,0.025525055279084222,0.02857439516398269,0.039527197611751254,0.03182739573733351,0.041905329776362944,0.03252407039063374,0.037182965427047875,0.03262256473992014,0.021284240706121844,0.024059372260351264,0.026526458018309763,0.038181393399609145,0.03267834263961402,0.03461657042105593,0.031850817102037916,0.030064111766155747,0.029327414988654415
4,GTEX-111YS-2426-SM-5GZZQ,0.029758907435076462,0.0303945513232397,0.03090585785026782,0.033934539377298956,0.03281405014755476,0.008259785405870468,0.029859904287182125,0.030795037664542474,0.03386844695728845,0.03483533949952843,0.03352097999383348,0.031583274713714686,0.031676468979594204,0.03113570256286796,0.034349044954317266,0.03359108922764585,0.03539816831438454,0.032062028772859165,0.028970961712683877,0.02894741546356806,0.0327750894416203,0.0302937462131112,0.029193846788756167,0.03174671235459638,0.033330383325458415,0.033490730427034036,0.03227655756512041,0.028856063663163317,0.03295708377025456,0.03310553634501842,0.0324525828328371,0.032860112629710926
5,GTEX-1122O-0005-SM-5O99J,0.03933712724074337,0.023620207761747235,0.0243904710170503,0.02533865911409204,0.024744023000744013,0.0035811552327053796,0.028753214266679563,0.043194168716184374,0.024018456358214604,0.03226431337234148,0.023124109915858816,0.026003011956416324,0.021481281010477127,0.022779662859294364,0.017962685876237092,0.025819027655395038,0.03146162732388178,0.026542198997893833,0.05983422995217645,0.03222328494500351,0.026077661327161848,0.02927919072655823,0.048316908015011144,0.01874196240489404,0.0256848246381289,0.03360539305505826,0.027879677203438494,0.11154630861643984,0.022943774083878068,0.031083809835260965,0.0351547664869982,0.03321280703403531
6,GTEX-1122O-0426-SM-5H12G,0.03039737366548834,0.029738653533237732,0.031629994070166964,0.03456706339771958,0.032617572172767194,0.005943058199035361,0.033003718804516476,0.03092916652953318,0.03347914234502951,0.03380184095379274,0.034122318264207016,0.03220075860128765,0.032566896095311555,0.031723509239803695,0.03327481068297724,0.031268992000114314,0.035307559150502626,0.034419060836878235,0.028740873356468473,0.029170753206577353,0.03247346723317058,0.03064293478253275,0.02875094848645814,0.02824631702542205,0.03123728399310452,0.03221468681496436,0.033900147702150614,0.02936265155716169,0.034238717816287165,0.03461914557541274,0.031344861456112635,0.034065722451807515
7,GTEX-1122O-0626-SM-5N9B9,0.03845877296536258,0.033714520531752605,0.035852863514238366,0.029157953532241123,0.032356154149381214,0.004537017261534983,0.0386708032970744,0.03248676407832626,0.028706354502268685,0.026126273470161807,0.03291505335117367,0.0343407326854793,0.0333039470383468,0.035110775646700364,0.025465017620858742,0.02504371518829739,0.027805960639079492,0.039107316791449645,0.03254648340617494,0.04281526942876993,0.03276525206170644,0.037573370677222946,0.03355685529632605,0.021593636067557615,0.024277673765250203,0.026348029107212435,0.037557505215239234,0.03295536388688045,0.03417082480636352,0.0310318638195674,0.030143389422877413,0.029504486775123913
8,GTEX-1122O-1026-SM-9WYSF,0.014753250049089037,0.017395603994360544,0.015088051164940204,0.01623783009939152,0.01611355646921072,0.48318121247101237,0.014025019703552013,0.014888052507481568,0.017376789116381474,0.017603002435525258,0.015779553131633397,0.015924782024279036,0.01650378681536648,0.015456540277490285,0.020432893421963787,0.02051548477874447,0.016150342691817667,0.014684737892513905,0.015825371529229828,0.014312095994879568,0.015667466160187517,0.01579117788865059,0.016024121797933815,0.03001422443159074,0.019811523830043143,0.017443930842435208,0.015263250734209071,0.013494933171351076,0.015215174761572426,0.015657839796752806,0.017310477359381807,0.016057922657028614
9,GTEX-1122O-1526-SM-5N9CL,0.03054165685447609,0.03348244876016074,0.031383292931796,0.031375611119477946,0.031847268513010334,0.010466838095142103,0.031321997545793956,0.03040868910095846,0.031070845824700696,0.032261479026543124,0.03197074724562673,0.03116596704365083,0.03292955914854826,0.031121664979239082,0.03264284420077576,0.0329868990177799,0.0317504333567183,0.03219514469077905,0.031159226940786943,0.03075500820169817,0.030732559628421408,0.03216804479837189,0.031293001840573986,0.033932950470793005,0.034945298645419204,0.03023885834919294,0.03360885191268887,0.030378116822461235,0.03170447431111308,0.03266026372569163,0.031843583765602514,0.033656373132007686
10,GTEX-1122O-2426-SM-5GIDN,0.04575357864716022,0.035835105663005275,0.035796304682948206,0.026562002124523365,0.027803287324264476,0.005034539084898957,0.03953139339627656,0.03352190783901434,0.025622029077351338,0.02161480165232492,0.02854730736328778,0.03464391857183557,0.03286382073863476,0.035041802532602535,0.022088545714239356,0.02134436632434285,0.023667547716256874,0.03448812455490993,0.042432155037623355,0.057809956318350286,0.030369953760971048,0.03967071831428594,0.04391005539400452,0.022169452775585085,0.018531281093214134,0.02606256918915463,0.035049392998747146,0.03953664194153846,0.03146675783200994,0.02764008575463749,0.032859082391673566,0.022731514190327068
11,GTEX-1128S-0005-SM-5P9HI,0.03854347810520167,0.02590309921171303,0.026697911890803817,0.02590008507135755,0.025118784509523925,0.005294807810650779,0.03283226599821461,0.042370586909226356,0.02572673002871467,0.03289601367199125,0.02332288766825764,0.02804845620836836,0.02592612193991714,0.026893187041119673,0.02201561774460814,0.02708875409880673,0.029994283014890006,0.026365369559626328,0.05576348680863129,0.036277875539126155,0.027280060481750655,0.028032614363062817,0.04422871786334669,0.024557862350229904,0.025532576066361556,0.03492410667925284,0.02767301341247588,0.07814365902041664,0.02563062524066298,0.030617488453507223,0.035803037167494604,0.03459643607068903
12,GTEX-113IC-0006-SM-5NQ9C,0.03296868716074051,0.028897344825340288,0.028769286018813747,0.029649322233265284,0.029931702837853853,0.007761171347851538,0.028699468170622643,0.03712756151690837,0.0313091156840499,0.03380279344835949,0.028169288555707963,0.02932962788735365,0.028565874662716706,0.029204181705378786,0.02937746127279047,0.032093227740290484,0.032486652609209285,0.02777579101944245,0.04207301096842229,0.030611119724803123,0.02990937885889196,0.029151215833225334,0.03745947002880042,0.030310578403225624,0.03235152983917088,0.03454990648921041,0.02876794853936739,0.05158534283699733,0.028134472512237975,0.03271365518948818,0.03328749867924259,0.03317631340022115
13,GTEX-117YX-1226-SM-5H11S,0.028404949897378712,0.03058883828010825,0.030476520432072093,0.0340484215004068,0.03377708886298,0.00887254334257853,0.03064577919474011,0.03158915295374526,0.03483191851771678,0.03452663202999879,0.03321425926139005,0.03053447575622624,0.03288794834960228,0.03314902950276749,0.03480228137175837,0.03487510450482947,0.034380921880333926,0.03164425556294557,0.02692153630724916,0.02693658050606542,0.033053036147361076,0.02991699660028109,0.027201684063838803,0.03236431587237152,0.03533872291073841,0.03211535683429272,0.03223150361799561,0.02694371051966076,0.033202992347352786,0.03311901382455213,0.031949333645910134,0.03545509560075167
14,GTEX-117YX-2326-SM-5H12W,0.0192649165592391,0.021097330674404387,0.01926125296935676,0.02013980233583681,0.020220276429188746,0.3571481461962104,0.018567383662371553,0.01957328326898602,0.021231040057530796,0.021946613071425376,0.019775108365250593,0.020083568929818718,0.020366383430799866,0.01954088983664221,0.023799336876379404,0.023705311886418435,0.020118781531047163,0.01924956299881393,0.020182125952511273,0.01852542415104831,0.01998408671183501,0.020028090388493153,0.020395475175129622,0.03189244464251647,0.02350740902742747,0.021429324167873656,0.019520405651022595,0.018309384890682262,0.019453499492542943,0.019831467073702033,0.021601803566432303,0.020250070029062758
15,GTEX-11DXX-2726-SM-5PNXO,0.045160483242369466,0.03604848150442361,0.03666042829570962,0.026507683921174408,0.02808055877237948,0.006179516709618932,0.039755502612872834,0.034133535272469005,0.025148663218823333,0.021009547254190297,0.028299295146071983,0.03500672461392883,0.03170297361450049,0.03620854212989342,0.02139291215753711,0.02060485833114167,0.02290499045484097,0.034663905978880805,0.04221478786249353,0.06054350211260259,0.030580176235064628,0.04096196122623629,0.043438647497452756,0.02182365756486207,0.018221605624821384,0.02583934207709203,0.03512441209426101,0.03922019064292861,0.030862359185021632,0.027680728365384162,0.031385039853115124,0.02263498642783784
16,GTEX-11DXY-0006-SM-5NQ8N,0.03606636830790023,0.025507033264270538,0.026699700194564174,0.02648342431415953,0.025232383179692845,0.0067825308169150375,0.030262455694555254,0.04247901446605218,0.02814094618929286,0.033224391839777156,0.022788886755228166,0.027562161770592106,0.02582593378255718,0.027080734880702576,0.0244948257950089,0.028896565181971347,0.030305305190819497,0.025563795384107912,0.061033496366229095,0.03492734602348527,0.026501651277905398,0.02630776740695297,0.041285181594421516,0.027141479332235294,0.02652041140521288,0.03750654472590278,0.025357836310278093,0.07787576018207541,0.023723805257204283,0.0300920681686431,0.034422063549674704,0.03390813139161193
17,GTEX-11DXY-0826-SM-5EGGR,0.035740271454847865,0.03264328188855993,0.033175670015148935,0.030319284630057314,0.031800542603874576,0.008385057969990678,0.03308412802171997,0.03236894338327951,0.031373301413467704,0.029708219640594,0.03385861171395425,0.03309899781004221,0.03257302973912974,0.03473851521650862,0.02925278151970649,0.029579025110474767,0.03122400267170966,0.036918262609650324,0.03044657053665334,0.03573137377314393,0.03259756956307026,0.032376428459438326,0.03138168252261471,0.027000200852966602,0.02863246817909735,0.029897661585415878,0.03587236103087617,0.030737848480919452,0.03169861227642101,0.03201914156843245,0.029946528654980785,0.03181962510325322
18,GTEX-11DXZ-2426-SM-5N9DT,0.054567849621693344,0.03720087758789423,0.03705359521206782,0.023040662066538195,0.026577646170330343,0.0042806495290604665,0.0418361176611003,0.03322431815322356,0.021277724434660448,0.017788194213972475,0.025644079510842955,0.03609783585423391,0.032463672029449844,0.03720477756278411,0.018746028530561516,0.01654721557484096,0.018463719929979465,0.035124909837851076,0.04763586931459225,0.06747285238977799,0.02957305906340523,0.042564658763546946,0.05479882172258939,0.01888900878465405,0.015018972819177771,0.021996901682913274,0.03423198458574343,0.04432709420747586,0.030573029906263503,0.0248857088464408,0.03204139957963261,0.01885076485270178
19,GTEX-11DYG-0011-R5a-SM-DO928,0.033699781178269765,0.030430263699788646,0.03441835360600036,0.029580996886404646,0.032719232036980746,0.005686299417117487,0.04218428226088592,0.03506207105826211,0.030671425777589082,0.029568807223260316,0.03241888294881829,0.031698268907619745,0.029485330881580278,0.03708519520263172,0.026541209727986247,0.02763548850053796,0.030886783612908152,0.03587737755314941,0.03237464222318108,0.035494244919896854,0.03369783318916964,0.033140050543456714,0.029977500442551132,0.022892920000774194,0.027212642105528304,0.03002937321585111,0.03411834604793076,0.03469984784944994,0.032458845437318425,0.030519957385586848,0.031004405596549028,0.03672934056296512
20,GTEX-11DYG-1326-SM-5N9DO,0.027456264917955085,0.03762808907085908,0.03203720345298296,0.03259786637438011,0.03162264991918809,0.017185891264558776,0.02734773299931389,0.030745035606331253,0.033645098047076556,0.032072486077252924,0.030585884460924403,0.031514593513274056,0.03292758415259984,0.02967538699898347,0.03565266883509739,0.03903999520715579,0.03166274629888431,0.0286345511024691,0.02943634281431655,0.027239630345912723,0.03073927781790292,0.031009955240529616,0.02954498187462218,0.04046261693179138,0.041998601881257744,0.033091897797581656,0.028160879621494155,0.02601787577161697,0.029378368670925296,0.029867449976448187,0.030194427836569955,0.030825965119743493
21,GTEX-11DZ1-0011-R8b-SM-DNZZI,0.03312763625197636,0.030933623132884478,0.0342578442025676,0.030203080640227083,0.032967019356800145,0.0068935045596785465,0.03903065368544851,0.034510024231627884,0.031192953605485726,0.03015031787908997,0.032241180994779906,0.03157783389225753,0.03022516708001668,0.03596904975408424,0.028285003721720443,0.02883729090396461,0.030908658081279735,0.03437205900546698,0.032042897704888,0.03414959626825142,0.03361735887759391,0.032987994745500966,0.030709135249285202,0.025745502760708364,0.028670917017564003,0.03130897723163184,0.03274165195440347,0.033143165164725055,0.032356535148737174,0.030450667404724997,0.030841869138587535,0.03555083035404161
22,GTEX-11EI6-0726-SM-59866,0.02845750837926247,0.03045004464906375,0.030170020963478428,0.03433957368026784,0.033854432328496206,0.009398045860172925,0.030971959394539433,0.031514495032139156,0.034212550432567816,0.03456687491202246,0.032962975405357975,0.03057049642348804,0.032907342344021956,0.03364971278307608,0.03526392386819173,0.034260509773020954,0.034412384034527004,0.031231609223730684,0.027163838271456672,0.026583116840315453,0.03286409290292192,0.029397147882031655,0.027451428782244387,0.033168366720623,0.03540115014943328,0.03309462732035683,0.03169615717610301,0.027483696335966028,0.032619360246146735,0.03286624512024808,0.031340947566880974,0.035675365197846955
23,GTEX-11EM3-0001-SM-5Q5BD,0.03102973803464458,0.03299150210621354,0.03256297162683752,0.03078475612104255,0.032944840505477246,0.012041089332136937,0.029098288493122786,0.030253888103819754,0.032541854233313496,0.03109426640137223,0.02994916094020718,0.03214094086856612,0.033842120824187916,0.03019344300910206,0.03867687738909947,0.03274958254220297,0.028669015427464948,0.026603624931025884,0.033567190937810874,0.03019444155704641,0.03238556698612868,0.03447123856917181,0.03635872412241329,0.0403087791983117,0.035470804772819504,0.03415204810430665,0.025775745282311215,0.028149792458126474,0.032335753422245164,0.029429344130122347,0.031978405114022515,0.027254204455326104
24,GTEX-11EMC-0011-R8b-SM-DO91Z,0.03070273674454015,0.03141441643567084,0.03404093682414198,0.03246893164666617,0.03329883930167075,0.008242279610902762,0.034800411408832804,0.03206165098789169,0.03358604136291461,0.032124313854122004,0.0328175468998465,0.031555405237518826,0.030990226129354176,0.03396924115875042,0.03202463934751492,0.03138089838169833,0.03314757661319126,0.034540012368965214,0.029763479980619706,0.031183674740124998,0.03380426480898545,0.03138716204018207,0.02822566477888732,0.027731011338354112,0.03159625863453396,0.03212145619177922,0.0320220193659213,0.029471693144751045,0.03306713159982249,0.0311377855924119,0.0302819774283413,0.03504031604109175
