,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32
ENSG00000114480,1584.2622003714205,1226.0239660919183,1619.4062792988468,1526.0795722064622,1575.4851754415768,259.55140340758896,1530.9223501060053,1696.1141619894136,1029.781122704613,1117.8132434919014,964.8495943073715,1052.0774123101876,1494.1848600723451,1337.4860700869044,934.8254756189365,908.9948656846561,983.6857732886629,1093.3048550569954,1442.816405125418,1643.8968153811272,1755.564312943971,1336.9020776893256,1218.738102440609,894.9707918249246,797.851330540508,1139.6576056700671,1189.7756282718383,1612.7774774701709,1530.564151332981,1614.293375702145,1103.1923004389719,1160.1683065991135
ENSG00000181915,359.63939518021533,269.8557893017328,358.02567253825106,373.4762583939857,511.5375336443358,214.68169520179447,483.3211499674016,422.0591850915642,407.4723921963046,321.5858580358594,377.74438484407113,427.03756215987363,447.24139672668514,327.27933175544894,487.76733761440966,290.78227203974853,441.3973521468099,349.742786834655,298.73990971657315,429.289040926941,455.04968843906005,377.0636827470071,425.9930782910326,293.2903936465168,334.8593112703603,295.4633416649552,417.0906283924548,421.82507174426894,364.99269934046833,373.3332396964524,277.03643892148517,407.78459174763066
ENSG00000087263,467.5152423455434,439.3516743880027,558.047470122514,445.18286659985915,394.40432987727473,386.1050050512996,353.413368934252,556.0938462239295,488.17505408237247,314.0756983266989,388.0318558778939,486.5491207793009,521.2654236293309,661.0980430692547,375.4410984047963,372.54639061613307,440.6955845318048,375.9631831578537,590.6788615747291,562.3117253703006,452.15018149499554,462.9395182505448,454.6926963583036,361.6994224329267,450.43306468047297,472.0965253107523,560.3198261762363,610.0584047033333,484.24299866061745,342.5613065972548,468.8657021451397,383.1620934121045
ENSG00000181396,332.59000366453324,358.45838758486263,258.44286207454314,350.4542823278607,389.52827595684414,262.0074442786485,307.07634540433344,258.3520609846155,434.04836370240105,423.76913871801275,357.2696335325287,374.1230369663451,411.6861101982706,386.00161601789216,429.31002303963265,418.29907847609707,342.2401303312454,386.32524021920307,315.93748158649373,364.51488434730766,377.30986959617417,391.0108774619278,286.859904132641,338.2290657388527,440.884728869269,373.2993886639153,370.4288222901287,335.9669073700404,351.2970181190056,344.6225347405169,409.8848714328202,476.5641449848433
ENSG00000104325,1937.2563587965356,1127.1596437604294,1311.1752593629078,1145.7729627025524,1733.844356331313,804.2659304773476,1190.2063419945766,1497.192432865769,1388.9134887143705,923.9359063782631,994.577719126136,1658.1444232933118,1230.1367732565202,1358.7782509865365,1025.8033458612388,912.9701558457099,976.2197146056401,1813.6564159667196,1192.2382970055655,1569.4619409570087,1627.0667142554257,1663.8592348961151,1689.4034049053414,1088.7465465634814,1193.0173592344856,1109.9162662567594,1168.3155500101027,1662.13097184327,1288.3479633565253,1303.5216054586042,1494.1797126639206,1242.7002309382228
ENSG00000112667,1133.6465720003937,1229.8411437767227,1371.4422739506438,1281.1061548186392,1350.773915827289,1036.8355769106095,1148.2663587030293,771.1378740451452,1057.038615574856,1129.1643913626708,1017.7496636017601,1147.6261101544867,1081.9833115441004,1589.543745115893,1030.737978210213,706.6989671686181,1034.3585059198824,918.5543845394878,840.5684043524625,1032.8619538822186,927.9964156110358,960.4897853550696,1186.7903028870269,936.5627764776291,1041.0187061479796,1235.931910454912,776.9965747487065,1028.591651551748,1153.1592053792267,1091.2046624921934,1023.7232329606848,819.611239959019
ENSG00000164039,1032.8266932183394,1228.0085143803472,1332.1320639529345,1147.620045270482,1531.6277080542561,876.5009535183161,1215.4704321138117,1428.025095531017,1643.1178527135403,1198.6955862031402,1645.9925932034432,1400.0322384228614,1541.605632298834,1287.131079290157,1528.449134750977,1012.2164719146454,1725.2055673478988,1786.659914568867,968.8293855099072,1054.1534777315676,1482.6339337509858,1234.5247534635562,640.0353172383425,1004.1909539851403,1399.1151422299115,1279.5951809477142,1407.6929205555127,1327.60897554747,1293.3372532521491,1194.476337310954,1389.7522272254666,1450.6220173302643
ENSG00000106049,1514.1416006648851,1167.1253092610982,1257.6650882252934,1039.681020577113,1726.910644100972,574.0417653250639,2008.157323375852,1435.7811162696848,1540.7756702314148,1159.2695484496476,1654.2260809934364,1441.6891351794688,1567.9064161365002,1186.788088992349,1055.7809781223234,1358.9199545633942,1471.3307360153235,1183.714162606808,1134.40515291692,1727.3810954565424,1688.0751449179525,1443.7554015524777,2223.9933197068076,751.2793397552214,1111.1522847655071,1204.7633498038808,1307.8569536885225,1755.6321096525282,1655.7738281789525,1154.9849864192781,1452.8482944280204,1119.5840844668191
ENSG00000198130,352.2964507126103,380.53200163253086,463.3437982096687,350.2141987698286,357.28347085674653,405.247326842429,435.999177162215,454.73577523740005,356.67149883762545,397.2948698449008,376.0743518196233,358.43331580619827,501.5913100169858,407.78674001864204,474.9583581247827,371.940137185704,396.6351833604479,308.13095527047767,326.1610927813139,310.3674023171027,404.48590970527556,315.2198734332445,321.41971199929117,301.2207223600719,457.9303586713591,331.1293334858609,440.22218020405893,379.28203896933906,373.5970360627733,439.2862842999456,301.2073165687066,404.489612020243
ENSG00000119537,423.2671884048122,688.8871643469787,910.5692080256983,985.3631442846761,562.4722980860439,1632.0413365069746,578.2444639343298,657.1811796534469,706.2280640994938,670.3480737898318,729.7741659909391,588.0575756606792,751.124248908776,664.7297748375438,982.1570174367981,717.709994934666,875.8250170382896,655.7458063796894,634.9729386457593,637.102309158897,481.33584216126934,696.1702922263744,667.8072070038105,717.8831808626039,763.7778598517493,667.1093886950176,652.6363500752448,753.5451982390531,627.0433716409016,725.3146141848091,551.5181297463323,612.118253681641
