i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
0,GTEX-111CU-1426-SM-5GZYP,0.16441016345621037,0.1794106120787825,0.17804822750504204,0.17765893556166168,0.17533928768361942,0.12513277371468398
1,GTEX-111FC-0226-SM-5N9B8,0.16247632090815667,0.17461359033711318,0.16912067759988644,0.17903323416240363,0.17358733889777028,0.1411688380946697
2,GTEX-111YS-0006-SM-5NQBE,0.21720688934120877,0.1578176954006676,0.1230837234811559,0.2802668253862686,0.14671729615773357,0.07490757023296532
3,GTEX-111YS-0326-SM-5GZZ3,0.21017150001635412,0.17892140673884266,0.20474380499073275,0.15084532783987095,0.18093090129036898,0.07438705912383027
4,GTEX-111YS-2426-SM-5GZZQ,0.16936490605894378,0.1752674188814918,0.17289888934975325,0.18436897541820121,0.17729040954518246,0.1208094007464275
5,GTEX-1122O-0005-SM-5O99J,0.21721189323219256,0.15953273179834335,0.11915438720853537,0.29199088772818577,0.14247792376047508,0.06963217627226796
6,GTEX-1122O-0426-SM-5H12G,0.1738203640320019,0.1790316994270153,0.18385414755705817,0.18489198644056345,0.17627847073958658,0.10212333180377459
7,GTEX-1122O-0626-SM-5N9B9,0.20915916283459743,0.17776816391082734,0.20503706158469112,0.14933861291072892,0.1831171708099755,0.07557982794917968
8,GTEX-1122O-1026-SM-9WYSF,0.06643731615267044,0.07472956446009,0.0662555441057453,0.06966191339628999,0.0713157951629775,0.6515998667222268
9,GTEX-1122O-1526-SM-5N9CL,0.16531405438816074,0.18029525680520828,0.16962364812209918,0.1787247030243417,0.17584844368229874,0.13019389397789133
10,GTEX-1122O-2426-SM-5GIDN,0.24391123876599904,0.18809981922655963,0.19259344154002286,0.1293304963569255,0.16960758755328606,0.07645741655720696
11,GTEX-1128S-0005-SM-5P9HI,0.22021312566400664,0.1667940459733888,0.13940511357052995,0.2326741932397494,0.15082721558929973,0.09008630596302558
12,GTEX-113IC-0006-SM-5NQ9C,0.18206559741383413,0.16860132310157253,0.15054477322631002,0.21960027942456883,0.1671361177127349,0.11205190912097963
13,GTEX-117YX-1226-SM-5H11S,0.1627306199182195,0.1756603160465537,0.16919522681412652,0.18440162250850026,0.1832658699577665,0.12474634475483358
14,GTEX-117YX-2326-SM-5H12W,0.09095140926229364,0.09814072486056749,0.09073213454582904,0.09379643071543291,0.0943812157971539,0.5319980848187229
15,GTEX-11DXX-2726-SM-5PNXO,0.2387333899804193,0.18548337557742048,0.19680327949468995,0.13025156444197744,0.17297545102782835,0.07575293947766439
16,GTEX-11DXY-0006-SM-5NQ8N,0.21009790316278415,0.15869806866271646,0.13874773167172658,0.23879132158526642,0.15195725381892777,0.1017077210985785
17,GTEX-11DXY-0826-SM-5EGGR,0.19667501888807795,0.1744443142967881,0.18165550517714085,0.15960375850666791,0.1809973820741004,0.10662402105722478
18,GTEX-11DXZ-2426-SM-5N9DT,0.28585067061028246,0.17887055277891778,0.20087717526481788,0.10730504301247831,0.1616384333340306,0.06545812499947315
19,GTEX-11DYG-0011-R5a-SM-DO928,0.18182550952960191,0.17146404385735514,0.19221090549407555,0.15913862641931614,0.20486651389065447,0.09049440080899677
20,GTEX-11DYG-1326-SM-5N9DO,0.14435047379072605,0.17760408034528477,0.1701507715320269,0.17606167164660005,0.16713519468483326,0.16469780800052883
21,GTEX-11DZ1-0011-R8b-SM-DNZZI,0.1782991512712641,0.1707997977206042,0.18787758248870584,0.16120704696702387,0.20077216313239288,0.10104425842000897
22,GTEX-11EI6-0726-SM-59866,0.160863497546062,0.1746776927848773,0.1659028293951771,0.18621077799107374,0.18402530299183772,0.12831989929097223
23,GTEX-11EM3-0001-SM-5Q5BD,0.1667255676265694,0.167352704602044,0.1847724134728303,0.16362107955637986,0.17447543582630898,0.14305279891586736
24,GTEX-11EMC-0011-R8b-SM-DO91Z,0.16524392561370904,0.17327981566786996,0.18467686492609792,0.16627652207836946,0.1939883510884068,0.11653452062554678
25,GTEX-11EMC-0926-SM-59863,0.17128685104613822,0.17901766388903875,0.17373293958618014,0.18576089171232477,0.17383898044075022,0.11636267332556782
26,GTEX-11EMC-2226-SM-5A5JW,0.12834963799938298,0.18565785000335097,0.18070440373161406,0.17973338101960276,0.15396692086588248,0.17158780638016663
27,GTEX-11EQ8-0006-SM-5P9HJ,0.20148559692556503,0.1836747111927151,0.14775799678556292,0.2122599693370651,0.1638628738037156,0.0909588519553762
28,GTEX-11EQ9-1426-SM-5987G,0.1707370254592357,0.17650003314415466,0.17643124290595869,0.18186857771111548,0.17742741997958164,0.11703570079995389
29,GTEX-11GS4-0226-SM-5HL77,0.04772806143319715,0.05326624676119714,0.048060869538231375,0.050734406231981465,0.051500189283903396,0.7487102267514895
30,GTEX-11GS4-0526-SM-5A5KQ,0.20920387734042142,0.1778961505402655,0.1914695368288701,0.15356831290242148,0.18168857373051364,0.08617354865750779
31,GTEX-11GS4-2926-SM-5A5LF,0.17320738676750952,0.182839135941944,0.17711474623501022,0.19188033986054442,0.16944681710788828,0.1055115740871036
32,GTEX-11GSP-0011-R1a-SM-9QEJ3,0.1743937549294909,0.1722342341880674,0.18540062355948603,0.16764433903978,0.20290854228572855,0.09741850599744716
33,GTEX-11GSP-0011-R5a-SM-57WBE,0.17684422959842416,0.17399442784908142,0.18526913849935914,0.1661888352500836,0.20312344507383923,0.09457992372921246
34,GTEX-11GSP-1726-SM-5A5LI,0.1701661211886446,0.17526277803080548,0.16994428354968585,0.18126659549406626,0.18041359389843883,0.12294662783835905
35,GTEX-11I78-0001-SM-5Q5BE,0.16039860044240947,0.16543701437577185,0.1787266981636547,0.16575067293326803,0.17350344495264328,0.1561835691322527
36,GTEX-11LCK-0926-SM-5A5KA,0.23374322478461348,0.17519039350225096,0.2046381269075183,0.13783734294625824,0.1791091961976594,0.06948171566169982
37,GTEX-11NSD-0008-SM-5Q5BC,0.16238564034944014,0.17556931588284944,0.18610035140442271,0.17979398713440328,0.18321652759924345,0.11293417762964102
38,GTEX-11NSD-1626-SM-5986U,0.16615117996154175,0.17603673246182963,0.17520055505290283,0.177382130170217,0.17953047994952392,0.1256989224039849
39,GTEX-11NV4-0526-SM-5N9BF,0.1719220877855165,0.18082452949801683,0.1861723304420262,0.18368803034464112,0.1709368589951899,0.10645616293460955
40,GTEX-11OF3-2526-SM-5P9JL,0.2834252621230377,0.1742439922573036,0.21675882388678647,0.10520194865003431,0.1689473446701046,0.05142262841273345
41,GTEX-11ONC-0126-SM-5PNW6,0.19424689799503728,0.17352685306434215,0.17764569654972748,0.15713668105908718,0.18002059499465484,0.11742327633715088
42,GTEX-11ONC-2026-SM-5HL61,0.16981100807668062,0.17492882513172126,0.17385625045547567,0.17764532287001888,0.18054172419727393,0.12321686926882959
43,GTEX-11P7K-1226-SM-5HL4X,0.17978331306837503,0.17668379824686442,0.1843423642713569,0.17590294047287372,0.1783901484952626,0.10489743544526732
44,GTEX-11P81-1126-SM-5GU5G,0.1697348449379315,0.17438192685251783,0.17661520904330813,0.17724885846025212,0.181773756964089,0.12024540374190125
45,GTEX-11P81-2726-SM-59876,0.17085035043901947,0.17623316027939892,0.17672562869628633,0.1774501466319254,0.1732877973486978,0.1254529166046721
46,GTEX-11P82-0006-SM-5N9FY,0.21288396853835836,0.162895314021323,0.13405182116874484,0.2561777353961533,0.15117797369388147,0.08281318718153895
47,GTEX-11TT1-1126-SM-5P9GV,0.16255861518250736,0.17815295442287774,0.1777712700803184,0.19144813682131145,0.18922958437967688,0.10083943911330821
48,GTEX-11TT1-1326-SM-5PNYM,0.22759238924330422,0.17333173329310553,0.20819496410410906,0.14397856072324458,0.1774333033031088,0.06946904933312771
49,GTEX-11TUW-0926-SM-5EQMW,0.1711464893971046,0.1795669896115488,0.17909802927913263,0.188658581267436,0.1757165303180302,0.10581338012674783
50,GTEX-11TUW-1226-SM-5GU7C,0.16959174334026983,0.17618180232415642,0.1696176562544019,0.18679911757109685,0.17857022335370368,0.11923945715637124
51,GTEX-11TUW-2026-SM-5EQL8,0.1696271480748237,0.17527955219686445,0.17254737276304352,0.18649465529441933,0.17938144892396088,0.11666982274688806
52,GTEX-11UD2-0626-SM-5GU6L,0.16115326573169708,0.17812075667590357,0.16563400292684916,0.19131483524480417,0.1830683854025495,0.12070875401819664
53,GTEX-11VI4-1526-SM-5EQKC,0.16269024406007648,0.17685204767995438,0.17432086409169573,0.17637305663275865,0.17627543694605846,0.13348835058945638
54,GTEX-11VI4-1926-SM-5CVLI,0.231838240378531,0.1836429796833987,0.20304623897486443,0.13135360286641432,0.174470858411548,0.07564807968524336
55,GTEX-11WQC-2426-SM-5EQKQ,0.16895781727050596,0.1771976911159754,0.17253818521394612,0.18523556344518927,0.1778085300053607,0.11826221294902255
56,GTEX-11WQC-2626-SM-5CVLF,0.2682287991505468,0.17807912593664083,0.20943212458723057,0.11280970383021585,0.1698665806970933,0.06158366579827263
57,GTEX-11WQK-0008-SM-5SI6T,0.16138076358361186,0.17729092105013275,0.190324228856434,0.17659637820984833,0.17879942484342504,0.11560828345654808
58,GTEX-11ZTS-1126-SM-5LU9X,0.16307853494028496,0.17663929870511455,0.16312518958334735,0.18791239543550964,0.1827494921989436,0.12649508913679983
59,GTEX-11ZTS-2726-SM-5EQLU,0.1720910084928377,0.17598289026424335,0.17181436459188773,0.17954500854287342,0.18141360606263024,0.11915312204552751
60,GTEX-11ZTT-2626-SM-5EQKK,0.24229088766095744,0.1837702005300156,0.20053051865450292,0.1272692776441398,0.174279524574596,0.07185959093578817
61,GTEX-11ZU8-0005-SM-5PNU5,0.2750924408873936,0.13298161652228083,0.11023560315639121,0.28546634460159886,0.1203597260227923,0.07586426880954328
62,GTEX-11ZUS-0008-SM-5S2UO,0.16469650493876575,0.17597240602522685,0.19943966573457167,0.17696503382988446,0.18099122369888493,0.10193516577266627
63,GTEX-11ZVC-0011-R1b-SM-5BC6M,0.16916836884722897,0.17486050335815942,0.18616367508544285,0.16648957686015706,0.19746325430196945,0.10585462154704237
64,GTEX-1211K-0006-SM-5MR53,0.22617381927264055,0.16075960233803654,0.12133366669653513,0.2840623978368136,0.1419585205243923,0.06571199333158195
65,GTEX-1211K-1026-SM-5EQ4B,0.1751316277790799,0.17562214617634436,0.17779952515058486,0.18062103922130737,0.177027668175814,0.11379799349686961
66,GTEX-1211K-1826-SM-5EGJ2,0.1746394882325016,0.17636138770574022,0.17868435732714658,0.17977904326372188,0.1794734354184992,0.11106228805239067
67,GTEX-1211K-2026-SM-5EQ4Z,0.09454069018140386,0.09959566215285849,0.09051845662550038,0.09481912596490805,0.09581576767194633,0.524710297403383
68,GTEX-12126-0426-SM-5Q5AP,0.1707080513769105,0.17414746342692125,0.1774489852354877,0.1820642463782681,0.18090354667602376,0.11472770690638863
69,GTEX-12584-0226-SM-5EQL5,0.1660345866261715,0.17430003911298203,0.16849680131714598,0.18105648777492694,0.17577834364274775,0.13433374152602562
70,GTEX-12696-0008-SM-5TDBX,0.16067710127433987,0.1755818059402167,0.20187987308242264,0.17563996822728428,0.18155879033297437,0.10466246114276227
71,GTEX-12696-2826-SM-5FQTY,0.23610564828645153,0.1831536693434519,0.19226829537377935,0.12903271917441883,0.1691669918439143,0.09027267597798416
72,GTEX-1269C-0005-SM-5N9CJ,0.23812879576356596,0.1539745416617788,0.1282960363149657,0.25547153321564314,0.14154733397719013,0.08258175906685629
73,GTEX-1269C-0226-SM-5EGKS,0.162999870204493,0.17687017022850904,0.16559531503027403,0.18894694271284468,0.18394383794979283,0.12164386387408642
74,GTEX-12BJ1-0008-SM-5TDBZ,0.16289903379258291,0.17432183054056505,0.2069671845008447,0.17471699952248085,0.18251259293624958,0.09858235870727701
75,GTEX-12KS4-0326-SM-5EQ41,0.056900919716361194,0.0624650255038297,0.057152093865526124,0.05885436244354487,0.05940802628786421,0.7052195721828738
76,GTEX-12KS4-1026-SM-5FQTD,0.16650297916608886,0.17706404569857412,0.17298942748631155,0.17933275568738752,0.17319673296041835,0.13091405900121963
77,GTEX-12WSA-0726-SM-5FQU2,0.20376915456614272,0.17434484828206484,0.18467620892513015,0.14465098509385704,0.17352843069082324,0.11903037244198192
78,GTEX-12WSC-0011-R9a-SM-5GU4U,0.16811128119701513,0.175097945465565,0.18560123849685345,0.17075327802026136,0.19448835576042864,0.10594790105987638
79,GTEX-12WSD-0226-SM-59HKO,0.16619196091646168,0.17542553407531608,0.1700766677694589,0.18159176238876493,0.176543240297994,0.13017083455200437
80,GTEX-12WSD-0526-SM-5EQ6F,0.2591228756551507,0.17848255584394235,0.2104440620684039,0.11490117463268683,0.17108051177363864,0.06596882002617774
81,GTEX-12WSF-1526-SM-6PAN6,0.16391108633226095,0.1760776277124785,0.17102852030717777,0.18327128336929802,0.17664403118079813,0.12906745109798673
82,GTEX-12WSF-1626-SM-7KUG5,0.11390382475246619,0.12381846671555423,0.1141249745792096,0.11810258997692226,0.12192427675131348,0.4081258672245343
83,GTEX-12WSG-1226-SM-5EQ4C,0.20383537578672636,0.17868413747154466,0.1975052050049857,0.1560025427444794,0.1823734690959913,0.08159926989627259
84,GTEX-12WSH-0005-SM-5NQ9P,0.20403296571046786,0.16655812498297526,0.13255015535605158,0.2543968008608354,0.15849791268807747,0.08396404040159247
85,GTEX-12WSJ-1826-SM-5GCNY,0.07376591495257771,0.0783820630807308,0.07016713252241741,0.0744333306883639,0.07464732067895923,0.6286042380769509
86,GTEX-12WSL-1626-SM-5GCMU,0.17130968508241254,0.1770501654550939,0.1793290193636367,0.17725092148414592,0.1801173163388234,0.11494289227588751
87,GTEX-12WSL-2526-SM-5GCNJ,0.06871945733542877,0.07537001525230647,0.07077462501351126,0.07376203371052727,0.0720720659655627,0.6393018027226636
88,GTEX-12WSM-0011-R11a-SM-5DUX8,0.17473190611417488,0.1699594509458737,0.18078760158898255,0.169081453963655,0.199162880057316,0.10627670732999775
89,GTEX-12WSM-0526-SM-5GCO8,0.17629322200757688,0.18070515938734544,0.18501543548556604,0.18513130810868486,0.16913675328593944,0.10371812172488741
90,GTEX-12ZZW-2426-SM-5DUWE,0.17443072321552872,0.17486271278130944,0.1736344199498326,0.17776845586930934,0.18377883116434954,0.11552485701967026
91,GTEX-12ZZX-0011-R10b-SM-5DUWK,0.18095667622205502,0.17076497391678944,0.19529413489120806,0.1637390535200454,0.20581058854574721,0.08343457290415476
92,GTEX-12ZZX-0326-SM-5DUVH,0.27003510004874187,0.17888784727755241,0.20375230587651205,0.11412416423893629,0.16791796199658024,0.06528262056167715
93,GTEX-12ZZZ-0526-SM-5DUX6,0.16578247350071432,0.17594093379446388,0.16802754683241553,0.1822274542839733,0.17399113744047137,0.13403045414796164
94,GTEX-12ZZZ-2426-SM-5GCNN,0.16764719463848418,0.17421642639165838,0.17501596610967537,0.180185501524499,0.18066956967816503,0.12226534165751812
95,GTEX-1313W-0011-R7b-SM-5DUWL,0.1777729952275137,0.17316681779397597,0.18727131374301884,0.16472385465854994,0.20284245377685095,0.09422256480009045
96,GTEX-1313W-0726-SM-5EGK1,0.1614919595076165,0.17490939600082436,0.16424924091147627,0.18537544344288845,0.18445622550125912,0.1295177346359354
97,GTEX-131XE-0006-SM-5P9F9,0.22255894789523606,0.15810973120903338,0.13220695809592,0.2501499082448299,0.14801269044623155,0.08896176410874916
98,GTEX-131XE-0526-SM-5K7YT,0.20568238975742686,0.17784545166284854,0.1933960488434729,0.15832331794505244,0.18192108680740968,0.0828317049837896
99,GTEX-131XG-0006-SM-5O9CE,0.21551026439247303,0.16176904347901278,0.12725698425687312,0.26164273305919455,0.14696967171523928,0.08685130309720711
100,GTEX-131XG-0226-SM-5IFG1,0.16517799449554535,0.17825963644431086,0.17201924841895183,0.18702280254825102,0.18478657928368367,0.11273373880925729
101,GTEX-131XH-0006-SM-5O98V,0.24302729562802267,0.14474042062440512,0.12072269558560723,0.2757397630584263,0.1318048731285923,0.08396495197494645
102,GTEX-131XH-2226-SM-5DUXJ,0.03581319446083068,0.039549193110644296,0.035799290483760786,0.03594695152275105,0.037371288849662385,0.8155200815723508
103,GTEX-131YS-2926-SM-5EGKI,0.1716716834215615,0.17308874232550353,0.17538777529999997,0.1789247321332803,0.18103428014309741,0.11989278667655724
104,GTEX-131YS-3126-SM-5KLYT,0.18247377649235505,0.17013438453781857,0.19033366808266627,0.16394968779257535,0.20436793684416454,0.08874054625042017
105,GTEX-132AR-0008-SM-62LDH,0.16269857925118444,0.1761975016916835,0.1941207597733559,0.1762283276822073,0.1809317076322171,0.1098231239693517
106,GTEX-132AR-1126-SM-5P9GA,0.159860530871987,0.17548250262011844,0.17372745626435482,0.19319921134358792,0.1904220187038031,0.10730828019614874
107,GTEX-132AR-1926-SM-5EGK5,0.1959629480851911,0.1773292013918958,0.20136558584527395,0.16197813580308768,0.1895556489209559,0.07380847995359555
108,GTEX-132NY-0326-SM-5IJBL,0.05525120509753897,0.05915607880669288,0.05455284643540328,0.05550056073152804,0.057030277853195345,0.7185090310756415
109,GTEX-132NY-1426-SM-5J1MJ,0.21031821027535838,0.1780417634215018,0.19930837668947898,0.15148499798980128,0.18005124784085022,0.08079540378300934
110,GTEX-132NY-1726-SM-5EGKK,0.24223420309033353,0.17522324645711387,0.2063243520101098,0.13035571959240766,0.17943139461790938,0.06643108423212565
111,GTEX-1339X-2626-SM-5K7YX,0.1719017436045118,0.17839536993664237,0.1849030192790048,0.18691989726153735,0.17083818501312073,0.10704178490518292
112,GTEX-133LE-0326-SM-5P9G4,0.1625214485389007,0.17624600978998065,0.1717853409150353,0.19013211354256693,0.18524543850248704,0.11406964871102948
113,GTEX-133LE-1526-SM-5IFEN,0.16271446765938385,0.1765904836796577,0.1727282365958532,0.1776810301952406,0.17675576498439663,0.1335300168854681
114,GTEX-133LE-1826-SM-5J1MV,0.051857232847788794,0.05758039619898004,0.050876085006050044,0.05416886680447137,0.054891565374288714,0.730625853768421
115,GTEX-1399R-2626-SM-5KLZ7,0.16883143646680815,0.1779509435004087,0.16778628056111808,0.18664842195577427,0.1733119132731484,0.12547100424274227
116,GTEX-1399S-0926-SM-5PNVQ,0.17459940250401484,0.17933966025260764,0.17356665637385557,0.18939209614511057,0.17209056401542355,0.1110116207089879
