Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
ENSG00000111640,ENSG00000150991,ENSG00000111640,ENSG00000132589,ENSG00000111640,ENSG00000186395
ENSG00000022840,ENSG00000111640,ENSG00000123416,ENSG00000111640,ENSG00000130402,ENSG00000178585
ENSG00000160213,ENSG00000136942,ENSG00000111669,ENSG00000071127,ENSG00000157514,ENSG00000143753
ENSG00000140416,ENSG00000117450,ENSG00000196230,ENSG00000140416,ENSG00000108465,ENSG00000139433
ENSG00000108298,ENSG00000221978,ENSG00000109971,ENSG00000161960,ENSG00000009307,ENSG00000111640
ENSG00000143549,ENSG00000142541,ENSG00000009307,ENSG00000104823,ENSG00000196262,ENSG00000163472
ENSG00000102144,ENSG00000186395,ENSG00000181163,ENSG00000105835,ENSG00000132507,ENSG00000136942
ENSG00000161960,ENSG00000181163,ENSG00000087460,ENSG00000148303,ENSG00000148672,ENSG00000109971
ENSG00000117450,ENSG00000084234,ENSG00000186468,ENSG00000171858,ENSG00000108298,ENSG00000119862
ENSG00000145901,ENSG00000137409,ENSG00000265681,ENSG00000122406,ENSG00000074800,ENSG00000108578
ENSG00000156467,ENSG00000173486,ENSG00000101182,ENSG00000064932,ENSG00000005022,ENSG00000135404
ENSG00000107372,ENSG00000125503,ENSG00000166333,ENSG00000144118,ENSG00000100412,ENSG00000164733
ENSG00000105835,ENSG00000265681,ENSG00000140416,ENSG00000135926,ENSG00000203879,ENSG00000123416
ENSG00000182154,ENSG00000177879,ENSG00000143621,ENSG00000159720,ENSG00000108518,ENSG00000142541
ENSG00000100201,ENSG00000100941,ENSG00000128272,ENSG00000108298,ENSG00000110651,ENSG00000175416
ENSG00000178719,ENSG00000171858,ENSG00000102054,ENSG00000130522,ENSG00000233276,ENSG00000072210
ENSG00000120265,ENSG00000111897,ENSG00000179218,ENSG00000089597,ENSG00000033627,ENSG00000069667
ENSG00000115758,ENSG00000105193,ENSG00000074800,ENSG00000117984,ENSG00000239779,ENSG00000137154
ENSG00000140374,ENSG00000089220,ENSG00000083845,ENSG00000137154,ENSG00000175215,ENSG00000179218
ENSG00000134294,ENSG00000049245,ENSG00000131828,ENSG00000143549,ENSG00000108107,ENSG00000198034
ENSG00000247596,ENSG00000244038,ENSG00000173726,ENSG00000100412,ENSG00000181222,ENSG00000141503
