,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
ENSG00000114480,8573.534937706927,6903.685676564512,8896.633968093553,6184.841684278389,7450.475360588436,2340.8565528944673
ENSG00000181915,2091.090594409326,1662.0354875753223,2048.3323169797545,1904.0039735447635,2910.8573163933625,1400.1382213813179
ENSG00000087263,2756.355915275857,2641.40877914371,3133.336551232531,2109.736884246034,2242.7221566430444,1770.6055430412548
ENSG00000181396,2125.9495969133536,2401.4053988125693,1564.9900314428903,1884.0730493553165,2207.4461101805505,1446.931475462954
ENSG00000104325,10796.39404033163,5963.8175031803385,7118.579599851189,5734.089017775629,8883.987650345874,3800.053058624751
ENSG00000112667,5295.706846295886,6065.894263172158,6257.263877527252,5520.77367462953,6485.2906835424255,4441.087554498173
ENSG00000164039,6404.247340043969,8205.170312511777,7398.817238093624,5719.2029762241755,8095.423105194941,5839.030129994106
ENSG00000106049,9462.06108122326,7479.614319832201,7559.562790634903,5088.511706032609,9783.59585410544,4676.033532139976
ENSG00000198130,2038.3075759057172,2247.2738036428455,2512.801062273299,1722.5184800697023,1874.9303569398978,1833.3465303984008
ENSG00000119537,2272.3324577289864,3956.3627464744036,4623.548731576418,4383.31846138839,2653.082197709301,5053.42047950093
ENSG00000162813,1724.9037804262148,1719.6471445998468,2243.377800987782,2151.9363885866387,2523.094240499667,1912.9205959957162
ENSG00000138363,6433.066102408228,6696.540457535773,5372.827212729598,8303.71723976034,6086.728325313146,3906.73024721581
ENSG00000163512,3758.4101556053433,3909.5098146299792,3255.126837501593,3008.872365394958,2400.491464048671,2171.0631323562993
ENSG00000116984,2817.518735296785,2706.335331949282,3250.689027337107,3094.985449059774,2589.085614854112,2624.1596171267306
ENSG00000114127,1587.3558072043818,1645.170859136083,1581.5624947422705,2015.3033926244684,1537.2890768211034,1639.4842405796703
ENSG00000088930,8959.624443931127,8434.686947392876,6017.396195109595,12659.44646311351,7928.950615918575,6265.67090784809
ENSG00000178425,1526.8162453508373,1980.7251254019616,2015.5294384908632,1482.850289908516,1430.3826455562544,1386.1452626547477
ENSG00000076685,6004.146588119589,5373.178194858096,5516.289904470248,6619.550223614629,4914.982716202821,3574.7308056465577
