i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
0,GTEX-111CU-1426-SM-5GZYP,0.0173368,67.7108,0.0332931,144.111,0.0160503,223.31799999999998,564.939,0.012999200000000002
1,GTEX-111FC-0226-SM-5N9B8,0.0173368,0.0105647,820.735,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,179.312
2,GTEX-111YS-0006-SM-5NQBE,0.0173368,1000.01,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
3,GTEX-111YS-0326-SM-5GZZ3,531.694,0.0105647,385.06800000000004,0.030206900000000002,83.3048,0.0245798,0.013169899999999998,0.012999200000000002
4,GTEX-111YS-2426-SM-5GZZQ,21.048000000000002,0.0105647,479.397,0.030206900000000002,0.0160503,278.759,0.013169899999999998,220.88400000000001
5,GTEX-1122O-0005-SM-5O99J,0.0173368,1000.01,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
6,GTEX-1122O-0426-SM-5H12G,0.0173368,0.0105647,1000.03,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
7,GTEX-1122O-0626-SM-5N9B9,535.354,0.0105647,383.36800000000005,0.030206900000000002,81.3447,0.0245798,0.013169899999999998,0.012999200000000002
8,GTEX-1122O-1026-SM-9WYSF,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,793.193,206.833
9,GTEX-1122O-1526-SM-5N9CL,0.0173368,116.05,0.0332931,272.759,0.0160503,51.5505,559.719,0.012999200000000002
10,GTEX-1122O-2426-SM-5GIDN,1000.02,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
11,GTEX-1128S-0005-SM-5P9HI,0.0173368,892.061,0.0332931,58.4648,0.0160503,0.0245798,0.013169899999999998,49.5279
12,GTEX-113IC-0006-SM-5NQ9C,0.0173368,830.097,0.0332931,0.030206900000000002,0.0160503,87.8989,0.013169899999999998,82.052
13,GTEX-117YX-1226-SM-5H11S,0.0173368,0.0105647,0.0332931,1000.03,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
14,GTEX-117YX-2326-SM-5H12W,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,780.932,219.09400000000002
15,GTEX-11DXX-2726-SM-5PNXO,1000.02,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
16,GTEX-11DXY-0006-SM-5NQ8N,0.0173368,1000.01,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
17,GTEX-11DXY-0826-SM-5EGGR,169.588,0.0105647,0.0332931,670.9730000000001,159.503,0.0245798,0.013169899999999998,0.012999200000000002
18,GTEX-11DXZ-2426-SM-5N9DT,1000.02,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
19,GTEX-11DYG-0011-R5a-SM-DO928,0.0173368,0.0105647,0.0332931,0.030206900000000002,1000.02,0.0245798,0.013169899999999998,0.012999200000000002
20,GTEX-11DYG-1326-SM-5N9DO,0.0173368,0.0105647,0.0332931,296.377,0.0160503,175.55,528.141,0.012999200000000002
21,GTEX-11DZ1-0011-R8b-SM-DNZZI,0.0173368,0.0105647,0.0332931,0.030206900000000002,1000.02,0.0245798,0.013169899999999998,0.012999200000000002
22,GTEX-11EI6-0726-SM-59866,0.0173368,0.0105647,0.0332931,1000.03,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
23,GTEX-11EM3-0001-SM-5Q5BD,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,1000.02,0.013169899999999998,0.012999200000000002
24,GTEX-11EMC-0011-R8b-SM-DO91Z,0.0173368,0.0105647,0.0332931,0.030206900000000002,1000.02,0.0245798,0.013169899999999998,0.012999200000000002
25,GTEX-11EMC-0926-SM-59863,0.0173368,0.0105647,834.1260000000001,165.938,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
26,GTEX-11EMC-2226-SM-5A5JW,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,159.31,840.727,0.012999200000000002
