Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
ENSG00000110435,ENSG00000140350,ENSG00000095321,ENSG00000131368,ENSG00000123472,ENSG00000104325,ENSG00000108179,ENSG00000185946
ENSG00000123472,ENSG00000120063,ENSG00000097033,ENSG00000090266,ENSG00000161981,ENSG00000106588,ENSG00000137216,ENSG00000135473
ENSG00000128609,ENSG00000144711,ENSG00000182768,ENSG00000006282,ENSG00000102181,ENSG00000115233,ENSG00000034152,ENSG00000165819
ENSG00000196850,ENSG00000079277,ENSG00000108861,ENSG00000161013,ENSG00000179364,ENSG00000064726,ENSG00000180992,ENSG00000105397
ENSG00000156709,ENSG00000100605,ENSG00000206418,ENSG00000135473,ENSG00000174775,ENSG00000137547,ENSG00000079459,ENSG00000185246
ENSG00000154719,ENSG00000136280,ENSG00000124098,ENSG00000213930,ENSG00000166974,ENSG00000173418,ENSG00000111275,ENSG00000134186
ENSG00000139842,ENSG00000105656,ENSG00000111275,ENSG00000197586,ENSG00000067836,ENSG00000004455,ENSG00000198911,ENSG00000168137
ENSG00000196535,ENSG00000116691,ENSG00000116473,ENSG00000094631,ENSG00000121766,ENSG00000163938,ENSG00000105355,ENSG00000095564
ENSG00000122477,ENSG00000144136,ENSG00000110880,ENSG00000178188,ENSG00000089486,ENSG00000143549,ENSG00000180900,ENSG00000117360
ENSG00000025039,ENSG00000121060,ENSG00000123384,ENSG00000104957,ENSG00000248487,ENSG00000074695,ENSG00000110880,ENSG00000127511
ENSG00000144674,ENSG00000111802,ENSG00000198909,ENSG00000113504,ENSG00000144711,ENSG00000147649,ENSG00000006625,ENSG00000185619
ENSG00000161981,ENSG00000167578,ENSG00000239697,ENSG00000172432,ENSG00000100605,ENSG00000165732,ENSG00000173848,
ENSG00000163110,ENSG00000181788,ENSG00000164040,ENSG00000105397,ENSG00000107863,ENSG00000089006,ENSG00000104522,
ENSG00000136143,ENSG00000099331,ENSG00000106397,ENSG00000099326,ENSG00000101152,ENSG00000164163,ENSG00000136026,
ENSG00000106554,ENSG00000160908,ENSG00000115091,ENSG00000100299,ENSG00000119185,ENSG00000090520,ENSG00000167114,
ENSG00000164967,ENSG00000133961,ENSG00000148484,ENSG00000068745,ENSG00000167645,ENSG00000082153,ENSG00000100304,
ENSG00000119812,ENSG00000136279,ENSG00000134072,ENSG00000132635,ENSG00000148218,ENSG00000006625,ENSG00000139433,
ENSG00000158828,ENSG00000172890,,ENSG00000243708,ENSG00000068971,ENSG00000113583,ENSG00000109787,
ENSG00000145349,ENSG00000135365,,ENSG00000185324,ENSG00000167220,ENSG00000088205,ENSG00000136754,
,,,,ENSG00000100417,ENSG00000159128,ENSG00000167702,
,,,,ENSG00000162729,ENSG00000120889,ENSG00000106367,
,,,,ENSG00000103260,ENSG00000113460,,
,,,,,ENSG00000075142,,
,,,,,ENSG00000198833,,
