,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
ENSG00000110435,0.00132841,,,6.01729e-12,0.000275736,1.17605e-05,2.10765e-24,
ENSG00000123472,0.0013143,,0.000125791,1.42914e-05,0.00111033,7.35463e-05,2.77396e-06,
ENSG00000128609,0.00131063,,1.36071e-05,9.6227e-05,0.000883731,3.15797e-09,4.84744e-22,
ENSG00000196850,0.00130565,0.000152031,0.000113111,6.81178e-08,2.5689e-05,0.000396347,0.000371309,0.00101009
ENSG00000156709,0.001302,3.9035e-10,,2.08928e-05,2.60198e-10,0.000275912,0.000213445,
ENSG00000154719,0.00129341,,0.000188456,2.2405e-07,0.000105236,0.000822642,0.000500577,
ENSG00000139842,0.0012701,1.45611e-05,0.000204081,6.53207e-07,2.57748e-12,0.000443563,0.000493002,
ENSG00000196535,0.0012653,5.14819e-05,8.62697e-06,1.19315e-09,9.23438e-05,6.99826e-13,0.000366461,
ENSG00000122477,0.00125998,,,4.30222e-05,1.4276e-07,1.17999e-13,1.6488e-16,
ENSG00000025039,0.00125422,0.000147059,,7.71281e-06,0.000184793,8.00487e-05,9.19511e-05,
ENSG00000144674,0.0012488,,8.85086e-05,0.000272509,1.41543e-12,0.000180607,0.000675594,
ENSG00000161981,0.00124675,1.34298e-05,4.66908e-05,1.06533e-05,0.00118819,0.000232356,1.85279e-10,
ENSG00000163110,0.00123759,,0.000593261,1.39408e-05,4.61172e-05,3.93517e-05,0.000136771,
ENSG00000136143,0.00123059,,0.000196233,,0.000728866,0.000223482,5.5e-06,
ENSG00000106554,0.00121895,0.000168193,0.00058283,9.00504e-05,5.35609e-05,0.0010224,2.03543e-05,
ENSG00000164967,0.00121869,0.000575465,6.39934e-06,8.9645e-05,0.000551209,9.10763e-05,0.000285804,
ENSG00000119812,0.00120867,,0.000189665,4.49445e-05,0.000642338,0.000745939,6.83966e-05,
ENSG00000158828,0.00120778,0.000829143,0.000230384,5.98655e-09,0.000926774,4.6627e-09,0.000131722,0.000231425
ENSG00000145349,0.00120671,,0.00021475,6.99006e-07,0.000328442,0.000371106,1.44835e-05,
ENSG00000131069,0.00120498,0.000584613,0.000575413,0.000122327,1.71834e-05,0.000269451,0.00096254,0.000853614
ENSG00000141385,0.0012014,1.11895e-10,0.000184165,0.000402473,0.000331223,0.000807831,0.0010673,0.000578731
ENSG00000086015,0.00119887,1.38336e-10,0.000742191,0.000252144,4.52883e-05,1.6864e-06,0.000176617,
ENSG00000150768,0.00119623,,,,4.49132e-05,0.000251671,5.35018e-05,
ENSG00000183605,0.00118958,,1.84262e-07,0.000667984,0.00013724,9.22894e-05,7.8571e-05,5.80796e-05
ENSG00000122873,0.00118117,,1.61924e-06,,0.000505331,9.82557e-06,2.28033e-13,
ENSG00000119471,0.00117444,0.000725941,0.000688829,3.44369e-05,0.000740381,0.000661575,0.00054419,
ENSG00000112531,0.00117413,0.000111663,5.85899e-05,9.77794e-09,0.000806298,0.000281527,6.28302e-19,
ENSG00000138796,0.00117266,,0.000663775,9.54343e-05,3.77047e-09,0.000422613,0.000120304,
ENSG00000173153,0.00116699,0.000955105,0.000298207,0.000717728,0.000521516,0.000305173,0.000980741,0.000842386
ENSG00000125967,0.00116305,,5.35983e-05,0.000745613,0.000392084,3.25924e-11,8.34837e-11,
ENSG00000119929,0.00115915,0.00056688,0.000417007,1.69376e-06,0.000157136,0.00059526,6.24454e-05,
ENSG00000091140,0.00114419,0.000188278,0.000571132,0.000234252,0.00058921,0.00102847,0.000459013,0.000195856
ENSG00000164182,0.00114293,,0.000726475,6.86848e-07,0.00056175,0.000529974,8.41455e-10,
