i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68
0,GTEX-111CU-1426-SM-5GZYP,0.01953519703603907,0.016503873358033008,0.044796227686089596,0.019872010778039743,0.02963960929605928,0.04513304142809026,0.010104412260020209,0.02155607948804311,0.06332098349612664,0.018861569552037723,0.02054563826204109,0.029976423038059953,0.030313236780060628,0.010441226002020883,0.008420343550016841,0.02593465813405187,0.019872010778039743,0.06332098349612664,0.009430784776018861,0.006736274840013472,0.013135735938026272,0.009430784776018861,0.02694509936005389,0.02795554058605591,0.012462108454024925,0.003368137420006736,0.008083529808016167,0.022903334456045806,0.008083529808016167,0.0057258336140114515,0.01481980464802964,0.006399461098012799,0.0030313236780060626,0.025597844392051195,0.007073088582014146,0.010778039744021556,0.026608285618053215,0.014146177164028292,0.02155607948804311,0.03873358033007747,0.026271471876052544,0.0020208824520040417,0.013472549680026945,0.007746716066015493,0.009093971034018189,0.015493432132030987,0.008083529808016167,0.024587403166049175,0.001684068710003368,0.002694509936005389,0.019872010778039743,0.010778039744021556,0.006399461098012799,0.002694509936005389,0.0020208824520040417,0.0006736274840013472,0.003368137420006736,0.0003368137420006736,0.003368137420006736,0.006399461098012799,0.007073088582014146,0.0010104412260020209,0.0003368137420006736,0.0013472549680026945,0.0003368137420006736,0.0010104412260020209,0.0003368137420006736,0.0003368137420006736
1,GTEX-111FC-0226-SM-5N9B8,0.019758874748827863,0.01640991292699263,0.044876088412592094,0.020093770931011386,0.029470864032150032,0.04554588077695914,0.010046885465505693,0.021768251841929,0.06296048225050234,0.018754186202277295,0.02042866711319491,0.029805760214333555,0.03014065639651708,0.010381781647689216,0.008372404554588079,0.026121902210314803,0.019758874748827863,0.06363027461486939,0.009377093101138647,0.006697923643670462,0.013060951105157401,0.009377093101138647,0.02679169457468185,0.027796383121232417,0.012391158740790355,0.003348961821835231,0.008037508372404554,0.023107836570663093,0.008037508372404554,0.0056932350971198925,0.014735432016075016,0.006697923643670462,0.003014065639651708,0.02578700602813128,0.007032819825853985,0.010716677829872739,0.026456798392498326,0.014400535833891493,0.021433355659745478,0.038513060951105155,0.026456798392498326,0.0020093770931011385,0.013730743469524447,0.007702612190221032,0.009377093101138647,0.015405224380442064,0.008037508372404554,0.024447421299397188,0.0016744809109176155,0.0026791694574681848,0.019758874748827863,0.010716677829872739,0.006363027461486939,0.003014065639651708,0.0020093770931011385,0.0006697923643670462,0.003348961821835231,0.0003348961821835231,0.003348961821835231,0.006363027461486939,0.007032819825853985,0.0010046885465505692,0.0003348961821835231,0.0013395847287340924,0.0003348961821835231,0.0010046885465505692,0.0003348961821835231,0.0003348961821835231
2,GTEX-111YS-0006-SM-5NQBE,0.020524515393386546,0.01710376282782212,0.04522995058912961,0.021664766248574687,0.029266438616495628,0.03838844545800076,0.010262257696693273,0.02242493348536678,0.06499429874572406,0.020144431774990496,0.023185100722158875,0.027366020524515394,0.0338274420372482,0.01178259217027746,0.008361839604713038,0.029646522234891677,0.02090459901178259,0.06157354618015964,0.008741923223109084,0.005321170657544659,0.014823261117445839,0.00798175598631699,0.02888635499809958,0.026985936906119345,0.010642341315089319,0.003040668947168377,0.009122006841505131,0.017863930064614217,0.009122006841505131,0.003800836183960471,0.013683010262257697,0.005321170657544659,0.002280501710376283,0.026225769669327253,0.007221588749524895,0.012162675788673508,0.02888635499809958,0.012162675788673508,0.020144431774990496,0.03800836183960471,0.026985936906119345,0.002280501710376283,0.015583428354237932,0.008741923223109084,0.008361839604713038,0.01596351197263398,0.009122006841505131,0.01710376282782212,0.0015203344735841885,0.0019004180919802356,0.02242493348536678,0.012162675788673508,0.006081337894336754,0.0034207525655644243,0.0026605853287723297,0.0007601672367920942,0.0034207525655644243,0.0003800836183960471,0.003800836183960471,0.005321170657544659,0.007601672367920942,0.0011402508551881414,0.0003800836183960471,0.0015203344735841885,0.0003800836183960471,0.0011402508551881414,0.0003800836183960471,0.0003800836183960471
3,GTEX-111YS-0326-SM-5GZZ3,0.0199055330634278,0.016531713900134953,0.04487179487179487,0.020242914979757085,0.029689608636977057,0.04554655870445344,0.010121457489878543,0.021592442645074223,0.06342780026990553,0.018893387314439947,0.02058029689608637,0.030364372469635626,0.030364372469635626,0.010458839406207827,0.008434547908232119,0.02564102564102564,0.020242914979757085,0.06309041835357625,0.009446693657219974,0.006747638326585695,0.013157894736842105,0.009109311740890687,0.02699055330634278,0.028002699055330635,0.012483130904183536,0.0033738191632928477,0.008097165991902834,0.02260458839406208,0.008097165991902834,0.005060728744939271,0.014844804318488529,0.00641025641025641,0.003036437246963563,0.02564102564102564,0.00708502024291498,0.010796221322537112,0.026653171390013497,0.014507422402159244,0.02125506072874494,0.037786774628879895,0.026653171390013497,0.0020242914979757085,0.01349527665317139,0.00775978407557355,0.009446693657219974,0.0155195681511471,0.008097165991902834,0.024291497975708502,0.0016869095816464238,0.0020242914979757085,0.019568151147098516,0.010796221322537112,0.00641025641025641,0.003036437246963563,0.0020242914979757085,0.0006747638326585695,0.0033738191632928477,0.00033738191632928474,0.0033738191632928477,0.00641025641025641,0.00708502024291498,0.0010121457489878543,0.00033738191632928474,0.001349527665317139,0.00033738191632928474,0.0010121457489878543,0.00033738191632928474,0.00033738191632928474
4,GTEX-111YS-2426-SM-5GZZQ,0.019785378940308518,0.01643192488262911,0.04493628437290409,0.02012072434607646,0.029510395707578806,0.04560697518443997,0.01006036217303823,0.021797451374916163,0.06304493628437291,0.018779342723004695,0.0204560697518444,0.030181086519114688,0.030181086519114688,0.01039570757880617,0.008383635144198525,0.026156941649899398,0.019785378940308518,0.06371562709590879,0.009389671361502348,0.00670690811535882,0.013078470824949699,0.009389671361502348,0.02682763246143528,0.027833668678739102,0.012407780013413815,0.00335345405767941,0.008048289738430584,0.023138832997987926,0.008048289738430584,0.005700871898054996,0.014755197853789403,0.006371562709590879,0.00335345405767941,0.025486250838363516,0.007042253521126761,0.010731052984574111,0.026156941649899398,0.014419852448021462,0.021462105969148222,0.03789403085177733,0.02649228705566734,0.002012072434607646,0.01341381623071764,0.0077129443326626424,0.009725016767270288,0.015425888665325285,0.008048289738430584,0.02448021462105969,0.001676727028839705,0.0026827632461435278,0.019450033534540577,0.010731052984574111,0.006371562709590879,0.0030181086519114686,0.002012072434607646,0.0006706908115358819,0.00335345405767941,0.00033534540576794097,0.00335345405767941,0.006371562709590879,0.007042253521126761,0.001006036217303823,0.00033534540576794097,0.0013413816230717639,0.00033534540576794097,0.001006036217303823,0.00033534540576794097,0.00033534540576794097
5,GTEX-1122O-0005-SM-5O99J,0.019826964671953856,0.016222062004325882,0.046142754145638065,0.021629416005767843,0.029920692141312183,0.0418168709444845,0.00973323720259553,0.021629416005767843,0.06380677721701514,0.01910598413842826,0.02198990627253064,0.028478731074260993,0.032444124008651765,0.011175198269646719,0.007930785868781542,0.028118240807498196,0.02090843547224225,0.06488824801730353,0.008651766402307137,0.005407354001441961,0.014059120403749098,0.00829127613554434,0.0273972602739726,0.028478731074260993,0.010454217736121124,0.003604902667627974,0.008651766402307137,0.019826964671953856,0.008651766402307137,0.004325883201153569,0.013338139870223503,0.005046863734679163,0.0032444124008651765,0.02631578947368421,0.00684931506849315,0.011535688536409516,0.0277577505407354,0.012977649603460706,0.02090843547224225,0.03713049747656813,0.027036770007209804,0.0021629416005767843,0.014780100937274693,0.00829127613554434,0.009012256669069935,0.015501081470800288,0.008651766402307137,0.020187454938716654,0.0014419610670511895,0.0021629416005767843,0.021268925739005046,0.011535688536409516,0.006488824801730353,0.0032444124008651765,0.0025234318673395817,0.0007209805335255948,0.003604902667627974,0.0003604902667627974,0.003604902667627974,0.0061283345349675555,0.007570295602018745,0.0010814708002883922,0.0003604902667627974,0.0014419610670511895,0.0003604902667627974,0.0010814708002883922,0.0003604902667627974,0.0003604902667627974
6,GTEX-1122O-0426-SM-5H12G,0.019792016101979202,0.016101979201610196,0.04495135860449514,0.020127474002012747,0.02952029520295203,0.04562227440456223,0.010063737001006373,0.021804763502180476,0.06340154310634015,0.018785642401878563,0.020462931902046292,0.030191211003019122,0.030191211003019122,0.01039919490103992,0.008386447500838645,0.02616571620261657,0.020127474002012747,0.0637370010063737,0.009392821200939282,0.006709158000670915,0.013082858101308286,0.009057363300905737,0.02683663200268366,0.0278430057027843,0.012411942301241194,0.0033545790003354577,0.008050989600805098,0.02314659510231466,0.008050989600805098,0.0057027843005702785,0.014760147601476014,0.00637370010063737,0.0030191211003019122,0.02549480040254948,0.007044615900704461,0.010734652801073465,0.026501174102650116,0.01442468970144247,0.02146930560214693,0.03790674270379067,0.026501174102650116,0.0020127474002012745,0.01341831600134183,0.007715531700771553,0.009392821200939282,0.015431063401543106,0.008050989600805098,0.024488426702448843,0.0016772895001677288,0.0023482053002348204,0.019792016101979202,0.010734652801073465,0.00637370010063737,0.0030191211003019122,0.0020127474002012745,0.0006709158000670916,0.0033545790003354577,0.0003354579000335458,0.0033545790003354577,0.00637370010063737,0.007044615900704461,0.0010063737001006373,0.0003354579000335458,0.0013418316001341832,0.0003354579000335458,0.0010063737001006373,0.0003354579000335458,0.0003354579000335458
7,GTEX-1122O-0626-SM-5N9B9,0.01983860121049092,0.01647612642905178,0.04505716207128446,0.020174848688634835,0.029589778076664425,0.04572965702757229,0.010087424344317418,0.021856086079354405,0.06355077336919973,0.01882985877605918,0.02051109616677875,0.03026227303295225,0.03026227303295225,0.010423671822461332,0.008406186953597848,0.026227303295225286,0.020174848688634835,0.06287827841291191,0.00941492938802959,0.006724949562878279,0.013113651647612643,0.009078681909885675,0.0265635507733692,0.027908540685944856,0.012441156691324815,0.0033624747814391394,0.008069939475453935,0.022864828513786146,0.008069939475453935,0.005379959650302623,0.014794889038332213,0.006388702084734364,0.003026227303295225,0.025554808338937456,0.0070611970410221925,0.010759919300605245,0.026227303295225286,0.014458641560188298,0.02151983860121049,0.03799596503026227,0.0265635507733692,0.0020174848688634837,0.013449899125756557,0.00773369199731002,0.009751176866173503,0.01546738399462004,0.008069939475453935,0.0242098184263618,0.0016812373907195697,0.0020174848688634837,0.01983860121049092,0.010759919300605245,0.006388702084734364,0.003026227303295225,0.0020174848688634837,0.0006724949562878278,0.0033624747814391394,0.0003362474781439139,0.0033624747814391394,0.006388702084734364,0.0070611970410221925,0.0010087424344317419,0.0003362474781439139,0.0013449899125756557,0.0003362474781439139,0.0010087424344317419,0.0003362474781439139,0.0003362474781439139
8,GTEX-1122O-1026-SM-9WYSF,0.019805303793219202,0.016448472641826115,0.04498153742866734,0.02014098690835851,0.029540114132259147,0.045652903658945955,0.010070493454179255,0.02181940248405505,0.0634441087613293,0.018462571332661968,0.020476670023497817,0.030211480362537766,0.030211480362537766,0.010406176569318564,0.008056394763343404,0.026183282980866064,0.019805303793219202,0.06377979187646861,0.009399127223900638,0.006377979187646861,0.013091641490433032,0.009734810339039947,0.02685464921114468,0.027861698556562606,0.012420275260154415,0.003356831151393085,0.008056394763343404,0.023162134944612285,0.008056394763343404,0.005706612957368244,0.014770057066129574,0.00671366230278617,0.003356831151393085,0.025176233635448138,0.007049345417925478,0.010741859684457872,0.026518966096005372,0.013763007720711649,0.021483719368915744,0.038267875125881166,0.026183282980866064,0.002014098690835851,0.013763007720711649,0.007720711648204095,0.009399127223900638,0.01544142329640819,0.008056394763343404,0.02416918429003021,0.0016784155756965425,0.002685464921114468,0.019469620678079894,0.010741859684457872,0.006377979187646861,0.0030211480362537764,0.002014098690835851,0.000671366230278617,0.003356831151393085,0.0003356831151393085,0.003356831151393085,0.006377979187646861,0.007049345417925478,0.0010070493454179255,0.0003356831151393085,0.001342732460557234,0.0003356831151393085,0.0010070493454179255,0.0003356831151393085,0.0003356831151393085
9,GTEX-1122O-1526-SM-5N9CL,0.019515477792732168,0.01648721399730821,0.04475100942126514,0.020188425302826378,0.029609690444145357,0.04576043068640646,0.010094212651413189,0.021534320323014805,0.0635935397039031,0.018842530282637954,0.020524899057873486,0.03028263795423957,0.03028263795423957,0.010430686406460296,0.008075370121130552,0.026244952893674293,0.019851951547779273,0.0639300134589502,0.009421265141318977,0.006729475100942127,0.013122476446837146,0.009421265141318977,0.026917900403768506,0.027927321668909825,0.012113055181695828,0.0033647375504710633,0.008075370121130552,0.02288021534320323,0.008075370121130552,0.005383580080753701,0.014468371467025572,0.00639300134589502,0.003028263795423957,0.02557200538358008,0.0070659488559892325,0.010767160161507403,0.0265814266487214,0.014131897711978465,0.021534320323014805,0.03835800807537012,0.026244952893674293,0.002018842530282638,0.013458950201884253,0.007738896366083445,0.00908479138627187,0.015141318977119785,0.008075370121130552,0.02456258411843876,0.0016823687752355316,0.0026917900403768506,0.019851951547779273,0.010767160161507403,0.00639300134589502,0.003028263795423957,0.002018842530282638,0.0006729475100942127,0.0033647375504710633,0.00033647375504710633,0.0033647375504710633,0.00639300134589502,0.0070659488559892325,0.001009421265141319,0.00033647375504710633,0.0013458950201884253,0.00033647375504710633,0.001009421265141319,0.00033647375504710633,0.00033647375504710633
