i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
0,GTEX-111CU-1426-SM-5GZYP,0.45907713034691816,0.2943752105085887,0.11215897608622431,0.10542270124621085,0.018524755810037048,0.007073088582014146,0.003368137420006736
1,GTEX-111FC-0226-SM-5N9B8,0.4591426657736102,0.29437374413931683,0.11252511721366376,0.10515740120562625,0.018419290020093772,0.007032819825853985,0.003348961821835231
2,GTEX-111YS-0006-SM-5NQBE,0.46256176358798934,0.29456480425693654,0.10224249334853668,0.11402508551881414,0.015583428354237932,0.008361839604713038,0.0026605853287723297
3,GTEX-111YS-0326-SM-5GZZ3,0.460863697705803,0.2935222672064777,0.11234817813765183,0.10560053981106612,0.01788124156545209,0.00708502024291498,0.002699055330634278
4,GTEX-111YS-2426-SM-5GZZQ,0.45942320590207913,0.2937625754527163,0.11267605633802817,0.10496311200536552,0.018779342723004695,0.007042253521126761,0.00335345405767941
5,GTEX-1122O-0005-SM-5O99J,0.4610670511896179,0.29704397981254504,0.10454217736121124,0.10922855082912761,0.017303532804614274,0.007930785868781542,0.002883922134102379
6,GTEX-1122O-0426-SM-5H12G,0.4595773230459577,0.29453203622945323,0.11204293861120429,0.10533378061053338,0.01845018450184502,0.007044615900704461,0.0030191211003019122
7,GTEX-1122O-0626-SM-5N9B9,0.4603227975790182,0.2935440484196368,0.11264290517821117,0.10558170813718896,0.01815736381977135,0.0070611970410221925,0.0026899798251513113
8,GTEX-1122O-1026-SM-9WYSF,0.4588788183954347,0.29506545820745217,0.11178247734138973,0.10506881503860356,0.018798254447801276,0.007049345417925478,0.003356831151393085
9,GTEX-1122O-1526-SM-5N9CL,0.45962314939434723,0.2950874831763122,0.1117092866756393,0.10497981157469717,0.01816958277254374,0.0070659488559892325,0.0033647375504710633
10,GTEX-1122O-2426-SM-5GIDN,0.46017699115044247,0.29543907420013615,0.1123213070115725,0.10517358747447243,0.01735874744724302,0.007147719537100068,0.002382573179033356
11,GTEX-1128S-0005-SM-5P9HI,0.46078431372549017,0.294480755265069,0.10820624546114742,0.10965867828612927,0.016339869281045753,0.007625272331154684,0.002904865649963689
12,GTEX-113IC-0006-SM-5NQ9C,0.46106973595125256,0.2962085308056872,0.11069735951252539,0.10392687880839539,0.01794177386594448,0.0071090047393364926,0.003046716316858497
13,GTEX-117YX-1226-SM-5H11S,0.4591426657736102,0.29437374413931683,0.11252511721366376,0.10515740120562625,0.018419290020093772,0.007032819825853985,0.003348961821835231
14,GTEX-117YX-2326-SM-5H12W,0.4592964824120603,0.29447236180904524,0.11256281407035176,0.10485762144053601,0.018425460636515914,0.007035175879396985,0.0033500837520938024
15,GTEX-11DXX-2726-SM-5PNXO,0.4603501544799176,0.29351184346035014,0.11259869550291796,0.10641949879848953,0.017851012701682115,0.007209062821833162,0.0020597322348094747
16,GTEX-11DXY-0006-SM-5NQ8N,0.4615663524292966,0.2958665699782451,0.10551124002900653,0.10949963741841914,0.01704133430021755,0.007614213197969543,0.0029006526468455403
17,GTEX-11DXY-0826-SM-5EGGR,0.4652061855670103,0.2774914089347079,0.11254295532646048,0.11554982817869416,0.01804123711340206,0.00902061855670103,0.002147766323024055
18,GTEX-11DXZ-2426-SM-5N9DT,0.45991706979958535,0.2954388389771942,0.11264685556323428,0.1050449205252246,0.017277125086385625,0.007256392536281963,0.0024187975120939877
19,GTEX-11DYG-0011-R5a-SM-DO928,0.4603825136612022,0.2926912568306011,0.11407103825136612,0.10484972677595629,0.017759562841530054,0.007172131147540984,0.0030737704918032786
20,GTEX-11DYG-1326-SM-5N9DO,0.45935095349615257,0.29441284710605553,0.11241217798594848,0.1050518568082971,0.01840080294412847,0.00702576112412178,0.0033456005352960855
21,GTEX-11DZ1-0011-R8b-SM-DNZZI,0.46041454298335033,0.29187903499830103,0.11348963642541625,0.10567448182127082,0.01834862385321101,0.007135575942915392,0.0030581039755351682
22,GTEX-11EI6-0726-SM-59866,0.45917001338688085,0.29451137884872824,0.11244979919678715,0.10508701472556894,0.018406961178045515,0.007028112449799197,0.0033467202141900937
23,GTEX-11EM3-0001-SM-5Q5BD,0.46309646412633027,0.30106419498798487,0.10744936491589427,0.10161345691726742,0.017164435290078956,0.006865774116031583,0.0027463096464126332
24,GTEX-11EMC-0011-R8b-SM-DO91Z,0.4642857142857143,0.2871287128712871,0.11527581329561527,0.10537482319660538,0.01768033946251768,0.007425742574257425,0.002828854314002829
25,GTEX-11EMC-0926-SM-59863,0.4592418651459242,0.29453203622945323,0.11237839651123784,0.10533378061053338,0.01845018450184502,0.007044615900704461,0.0030191211003019122
26,GTEX-11EMC-2226-SM-5A5JW,0.4592418651459242,0.29486749412948676,0.11204293861120429,0.10499832271049983,0.01845018450184502,0.007044615900704461,0.0033545790003354577
27,GTEX-11EQ8-0006-SM-5P9HJ,0.46080652469415495,0.2822836429542365,0.10693248753964658,0.12279111916628908,0.014952424105120073,0.0095151789759855,0.002718622564567286
28,GTEX-11EQ9-1426-SM-5987G,0.45847287340924314,0.29437374413931683,0.11286001339584728,0.10515740120562625,0.018754186202277295,0.007032819825853985,0.003348961821835231
29,GTEX-11GS4-0226-SM-5HL77,0.4597585513078471,0.2944332662642522,0.11167002012072434,0.10496311200536552,0.018779342723004695,0.007042253521126761,0.00335345405767941
30,GTEX-11GS4-0526-SM-5A5KQ,0.4642857142857143,0.28823953823953824,0.11291486291486291,0.10678210678210678,0.018037518037518036,0.007575757575757576,0.0021645021645021645
31,GTEX-11GS4-2926-SM-5A5LF,0.4592418651459242,0.29453203622945323,0.11237839651123784,0.10533378061053338,0.01845018450184502,0.007044615900704461,0.0030191211003019122
32,GTEX-11GSP-0011-R1a-SM-9QEJ3,0.4594227504244482,0.2937181663837012,0.11307300509337861,0.10526315789473684,0.01833616298811545,0.007130730050933786,0.0030560271646859084
33,GTEX-11GSP-0011-R5a-SM-57WBE,0.4604026845637584,0.2929530201342282,0.11342281879194631,0.10469798657718121,0.018120805369127517,0.007046979865771812,0.003355704697986577
34,GTEX-11GSP-1726-SM-5A5LI,0.4597585513078471,0.2937625754527163,0.11267605633802817,0.10496311200536552,0.018443997317236754,0.007042253521126761,0.00335345405767941
35,GTEX-11I78-0001-SM-5Q5BE,0.46301369863013697,0.2996575342465753,0.10821917808219178,0.10171232876712329,0.01780821917808219,0.00684931506849315,0.0027397260273972603
36,GTEX-11LCK-0926-SM-5A5KA,0.45991847826086957,0.29415760869565216,0.11209239130434782,0.10597826086956522,0.018002717391304348,0.007133152173913043,0.002717391304347826
37,GTEX-11NSD-0008-SM-5Q5BC,0.4601412714429869,0.2946518668012109,0.11099899091826437,0.10561722166162126,0.018163471241170535,0.007063572149344097,0.003363605785401951
38,GTEX-11NSD-1626-SM-5986U,0.4592964824120603,0.29380234505862646,0.11256281407035176,0.1051926298157454,0.018760469011725293,0.007035175879396985,0.0033500837520938024
39,GTEX-11NV4-0526-SM-5N9BF,0.4608139926000673,0.2943155062226707,0.11167171207534476,0.10460813992600067,0.01849983181971073,0.007063572149344097,0.0030272452068617556
40,GTEX-11OF3-2526-SM-5P9JL,0.4606585788561525,0.2953206239168111,0.11126516464471403,0.10537261698440208,0.017677642980935875,0.007279029462738302,0.0024263431542461003
41,GTEX-11ONC-0126-SM-5PNW6,0.4660848869496232,0.2820309401031337,0.11424038080126933,0.1082903609678699,0.019040063466878223,0.008330027766759222,0.0019833399444664813
42,GTEX-11ONC-2026-SM-5HL61,0.45880776959142666,0.2937039517749498,0.11319490957803081,0.10515740120562625,0.018754186202277295,0.007032819825853985,0.003348961821835231
43,GTEX-11P7K-1226-SM-5HL4X,0.46024823884602484,0.29419657832941964,0.11170748071117075,0.10533378061053338,0.018114726601811473,0.007044615900704461,0.0033545790003354577
44,GTEX-11P81-1126-SM-5GU5G,0.4591426657736102,0.2937039517749498,0.11286001339584728,0.10515740120562625,0.018754186202277295,0.007032819825853985,0.003348961821835231
45,GTEX-11P81-2726-SM-59876,0.45996649916247906,0.29413735343383585,0.11222780569514237,0.1051926298157454,0.018425460636515914,0.007035175879396985,0.003015075376884422
46,GTEX-11P82-0006-SM-5N9FY,0.4630177514792899,0.2943786982248521,0.10281065088757396,0.11242603550295859,0.016272189349112426,0.008136094674556213,0.0029585798816568047
47,GTEX-11TT1-1126-SM-5P9GV,0.4591426657736102,0.29437374413931683,0.11252511721366376,0.10515740120562625,0.018419290020093772,0.007032819825853985,0.003348961821835231
48,GTEX-11TT1-1326-SM-5PNYM,0.46051735874744726,0.29373723621511233,0.11198093941456773,0.10585432266848196,0.018039482641252554,0.007147719537100068,0.002722940776038121
49,GTEX-11TUW-0926-SM-5EQMW,0.459214501510574,0.29439409197717353,0.11278952668680765,0.10506881503860356,0.018462571332661968,0.007049345417925478,0.0030211480362537764
