,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
ENSG00000114480,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000181915,0.0007364175182655324,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000087263,0.0007356744127980596,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000181396,0.0,0.0011581146591709297,0.0,0.0,0.0,0.0,0.0
ENSG00000104325,0.0,0.0011639343308250548,0.0,0.0,0.0,0.0,0.0
ENSG00000112667,0.0007416192565378419,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164039,0.0007304726745257501,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106049,0.0007371606237330052,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198130,0.0,0.0,0.0029892624957590986,0.0,0.0,0.0,0.0
ENSG00000119537,0.0007334450963956412,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162813,0.0007356744127980596,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000138363,0.0,0.0011639343308250548,0.0,0.0,0.0,0.0,0.0
ENSG00000163512,0.0007386468346679508,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116984,0.0,0.0011127212202687523,0.0,0.0,0.0,0.0,0.0
ENSG00000114127,0.0007356744127980596,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000088930,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000178425,0.0007230416198510222,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000076685,0.0007423623620053147,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130313,0.0,0.0,0.0,0.0032295569047926624,0.0,0.0,0.0
ENSG00000121057,0.0,0.0,0.0030167710463335686,0.0,0.0,0.0,0.0
ENSG00000011243,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131043,0.0007423623620053147,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173137,0.0,0.0011627703964942298,0.0,0.0,0.0,0.0,0.0
ENSG00000144827,0.0007408761510703691,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106077,0.0,0.0,0.003056505619385581,0.0,0.0,0.0,0.0
ENSG00000100997,0.0,0.0,0.003053449113766196,0.0,0.0,0.0,0.0
ENSG00000248487,0.0,0.0,0.003053449113766196,0.0,0.0,0.0,0.0
ENSG00000100439,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000011198,0.0007356744127980596,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127220,0.0,0.0,0.003053449113766196,0.0,0.0,0.0,0.0
ENSG00000136754,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000097007,0.0007408761510703691,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143322,0.0,0.0,0.0,0.0030874564009817852,0.0,0.0,0.0
ENSG00000102977,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000120437,0.0,0.0,0.0030137145407141833,0.0,0.0,0.0,0.0
ENSG00000278540,0.0007022346667617842,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162836,0.0006933174011521107,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000140350,0.0,0.0,0.0,0.0032295569047926624,0.0,0.0,0.0
ENSG00000136938,0.0,0.0011639343308250548,0.0,0.0,0.0,0.0,0.0
ENSG00000143401,0.0,0.0011639343308250548,0.0,0.0,0.0,0.0,0.0
ENSG00000182551,0.0,0.0,0.003056505619385581,0.0,0.0,0.0,0.0
ENSG00000122729,0.0,0.0,0.0,0.0031262110838392973,0.0,0.0,0.0
ENSG00000100412,0.0,0.0011639343308250548,0.0,0.0,0.0,0.0,0.0
ENSG00000136518,0.0,0.0011592785935017546,0.0,0.0,0.0,0.0,0.0
ENSG00000241685,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163466,0.0,0.0,0.0,0.0032295569047926624,0.0,0.0,0.0
ENSG00000111229,0.0,0.0,0.0,0.0032295569047926624,0.0,0.0,0.0
ENSG00000241553,0.0,0.0,0.0,0.0032295569047926624,0.0,0.0,0.0
ENSG00000115091,0.0,0.0,0.0,0.0032295569047926624,0.0,0.0,0.0
ENSG00000130402,0.0,0.0,0.0,0.0,0.018786751582783822,0.0,0.0
ENSG00000112249,0.0007014915612943114,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115966,0.0007408761510703691,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000128272,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000213676,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170653,0.0007423623620053147,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000158321,0.0,0.0,0.002885341304699989,0.0,0.0,0.0,0.0
ENSG00000115170,0.0,0.0,0.0,0.0031229815269345046,0.0,0.0,0.0
ENSG00000135503,0.0007334450963956412,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000121989,0.0,0.0,0.0,0.0,0.01690807642450544,0.0,0.0
ENSG00000182827,0.0,0.0011627703964942298,0.0,0.0,0.0,0.0,0.0
ENSG00000111271,0.0,0.0,0.0030473361025274244,0.0,0.0,0.0,0.0
ENSG00000151498,0.0007423623620053147,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000177646,0.0,0.0,0.003056505619385581,0.0,0.0,0.0,0.0
ENSG00000072778,0.0,0.0,0.003056505619385581,0.0,0.0,0.0,0.0
ENSG00000087008,0.0007401330456028964,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000167107,0.0,0.0,0.0030351100800498822,0.0,0.0,0.0,0.0
ENSG00000068366,0.0,0.0,0.0,0.0032263273478878697,0.0,0.0,0.0
ENSG00000154930,0.0,0.0,0.00305039260814681,0.0,0.0,0.0,0.0
ENSG00000131069,0.0,0.0011627703964942298,0.0,0.0,0.0,0.0,0.0
ENSG00000006530,0.0007371606237330052,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170634,0.0,0.0,0.0029067368440356877,0.0,0.0,0.0,0.0
ENSG00000137845,0.0007416192565378419,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143537,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000151694,0.000734188201863114,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168615,0.0007408761510703691,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136044,0.0007423623620053147,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000138660,0.0007200691979811311,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106367,0.0007423623620053147,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000183020,0.0,0.0,0.003056505619385581,0.0,0.0,0.0,0.0
ENSG00000042753,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000177879,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000242802,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198931,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160710,0.0,0.0,0.0,0.0032295569047926624,0.0,0.0,0.0
ENSG00000065457,0.0007200691979811311,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000156110,0.0,0.001148803184524329,0.0,0.0,0.0,0.0,0.0
ENSG00000101444,0.0,0.0,0.003056505619385581,0.0,0.0,0.0,0.0
ENSG00000168710,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000123505,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004455,0.0,0.0011639343308250548,0.0,0.0,0.0,0.0,0.0
ENSG00000239900,0.0,0.0011604425278325798,0.0,0.0,0.0,0.0,0.0
ENSG00000130706,0.0,0.0011639343308250548,0.0,0.0,0.0,0.0,0.0
ENSG00000087884,0.0,0.001105737614283802,0.0,0.0,0.0,0.0,0.0
ENSG00000159346,0.0,0.0,0.0,0.0,0.0,0.04756242568370987,0.0
ENSG00000006831,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168374,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000165527,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101199,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000242247,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000124198,0.0,0.0011359999068852535,0.0,0.0,0.0,0.0,0.0
ENSG00000164144,0.0007408761510703691,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000120805,0.0007297295690582773,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169379,0.0006249516981446143,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102931,0.0007245278307859678,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000138175,0.0007364175182655324,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000165997,0.0007289864635908046,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143862,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170222,0.0,0.0011604425278325798,0.0,0.0,0.0,0.0,0.0
ENSG00000144843,0.0,0.001105737614283802,0.0,0.0,0.0,0.0,0.0
ENSG00000139154,0.0,0.0,0.0,0.0,0.01833586954479701,0.0,0.0
ENSG00000172493,0.0,0.0,0.003056505619385581,0.0,0.0,0.0,0.0
ENSG00000072364,0.0007416192565378419,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000141385,0.0,0.0011616064621634047,0.0,0.0,0.0,0.0,0.0
ENSG00000119844,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135334,0.0,0.0,0.0,0.0032295569047926624,0.0,0.0,0.0
ENSG00000105221,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000094914,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000124608,0.0007334450963956412,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000197894,0.0,0.0,0.0,0.0032295569047926624,0.0,0.0,0.0
ENSG00000111275,0.0,0.0,0.003056505619385581,0.0,0.0,0.0,0.0
ENSG00000072210,0.0007416192565378419,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000119711,0.000709665721436512,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143149,0.0,0.0,0.003056505619385581,0.0,0.0,0.0,0.0
ENSG00000117448,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000085662,0.0,0.0011639343308250548,0.0,0.0,0.0,0.0,0.0
ENSG00000033011,0.0007312157799932229,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175548,0.0005580722060720634,0.0,0.0,0.0,0.0,0.0,0.0
