i_doc,doc,doc,MEgrey
0,0,0.0001554038231649,0.0035601343301553
1,1,0.0269328193768204,0.0242603143806751
2,2,-0.0542793449808718,-0.0330991855423588
3,3,-0.0223927562122851,-0.0285915145797822
4,4,0.011448391977263,0.008055158794799
5,5,-0.039160490212194,-0.0104211124503154
6,6,0.021553458514366,0.0213180229375844
7,7,-0.0147023166069758,-0.0166865461026783
8,8,0.0170331426469694,0.0146349561819038
9,9,-0.0011114500985221,0.0041583184046023
10,10,-0.0077733652757026,-0.0145067904686647
11,11,-0.0430150309441001,-0.0246992010213598
12,12,0.0054554021292809,0.0150805334883512
13,13,0.0315957467827772,0.0284206161040188
14,14,0.0110356720902434,0.0158778407143182
15,15,-0.0197150185584246,-0.0185613495132293
16,16,-0.04804928613375,-0.0424174872161883
17,17,-0.0917276912818537,-0.114476024157512
18,18,-0.0308358216710209,-0.0348306725188903
19,19,-0.0301239688092642,-0.0215451874454818
20,20,0.0343551662058484,0.0313341796455212
21,21,-0.0268980320077817,-0.0187643419471783
22,22,0.0357101843060166,0.0438252720180148
23,23,0.0392282888991901,0.0146857023944373
24,24,-0.0583951594514224,-0.0679600640765915
25,25,0.024382989637491,0.0267510687569061
26,26,0.0240764840645153,0.0195506139519783
27,27,-0.0801500981827883,-0.0755307642636828
28,28,0.0163943037384413,0.0140741990605921
29,29,0.0167769737678858,0.0173596716863697
30,30,-0.0646869178417626,-0.0787107814318254
31,31,0.0143502232176237,0.0200826322295137
32,32,-0.0300536596815523,-0.0279604463624116
33,33,-0.0074439955402567,0.0037190387079433
34,34,0.0067737427835609,0.00774565620061
35,35,0.0457493312761646,0.0211349909211928
36,36,-0.0345733186018619,-0.0355245203481501
37,37,0.0448124943518727,0.0356234234771579
38,38,0.0108072243435299,0.0096103916165273
39,39,0.0209886762756371,0.0220063374159292
40,40,-0.0360700982558598,-0.0363119922091903
41,41,-0.0743741056606299,-0.0829166338507332
42,42,0.010858689767834,0.0076235737092875
43,43,0.0117791666398681,0.0131713941676504
44,44,0.0274309621036288,0.0237255575622613
45,45,0.0222132149344503,0.0212593225450355
46,46,-0.0495757143270389,-0.0309412565435287
47,47,0.0272295949118017,0.0296887826118682
48,48,-0.0269694713378085,-0.0312125538959001
49,49,0.030211826855081,0.0266776517145937
50,50,0.0003988498190331,-0.0084472813375376
51,51,0.0200701782702106,0.0118443635693697
52,52,0.0358295877280894,0.0330200348712878
53,53,0.0011565470553342,-0.0035432860327941
54,54,-0.0060105808741694,-0.0081887097558658
55,55,0.0171735594923518,0.0140805743632952
56,56,-0.0251045383757413,-0.0254979986754698
