Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
GTEX-XAJ8-0826-SM-47JY6,GTEX-1GF9X-0726-SM-7SB7V,GTEX-1GZ2Q-0011-R6a-SM-9OSWM,GTEX-13CF2-0011-R1a-SM-5LZY1,GTEX-1LGOU-0326-SM-D3LAM,GTEX-OIZI-0005-SM-2XCED,GTEX-1JJEA-0006-SM-DHXJ2,GTEX-11ZU8-0005-SM-5PNU5,GTEX-1MJK2-3026-SM-EV7A5,GTEX-15G1A-0008-SM-E76Q5,GTEX-P44H-1426-SM-E9U4O,GTEX-WRHK-0001-SM-4WWDD
GTEX-15RIG-0226-SM-7KFTL,GTEX-SSA3-0226-SM-32QPN,GTEX-RU72-0011-R5A-SM-2TF6U,GTEX-OHPN-0011-R1A-SM-2I5GB,GTEX-ZDXO-0726-SM-57WBT,GTEX-WRHU-0006-SM-3MJF6,GTEX-1PBJJ-0005-SM-CKZND,GTEX-1H1CY-0005-SM-A9G15,GTEX-144GL-0011-R11b-SM-5P9F6,GTEX-R53T-0008-SM-48FEW,GTEX-12KS4-1026-SM-5FQTD,GTEX-ZEX8-0004-SM-4WKFQ
GTEX-12KS4-0326-SM-5EQ41,GTEX-1F6I4-0226-SM-9MQMA,GTEX-WHSE-0011-R3A-SM-3P5ZM,GTEX-11ZVC-0011-R1b-SM-5BC6M,GTEX-13FXS-1026-SM-62LFQ,GTEX-13U4I-0006-SM-5N9CI,GTEX-1LBAC-0005-SM-DIPEE,GTEX-1B933-0006-SM-7P8OP,GTEX-1GZHY-3026-SM-7MXVA,GTEX-QXCU-0008-SM-48FCH,GTEX-1NV8Z-2026-SM-E8VMD,GTEX-WYVS-0004-SM-4ONDT
GTEX-13CF3-2426-SM-5IFGX,GTEX-147JS-0426-SM-5TDD2,GTEX-14PQA-0011-R1b-SM-6EU1G,GTEX-13QJC-0011-R8b-SM-5S2U6,GTEX-O5YV-0326-SM-2I5H2,GTEX-18A6Q-0005-SM-9KNVX,GTEX-XMD3-0006-SM-4AT5X,GTEX-1HR98-0005-SM-A9SKM,GTEX-WL46-2826-SM-3LK81,GTEX-ZVZP-0008-SM-51MSX,GTEX-1HBPM-1526-SM-A9G3H,GTEX-1H2FU-0004-SM-EYYW8
GTEX-12WSJ-1826-SM-5GCNY,GTEX-ZYW4-2226-SM-5GZYG,GTEX-1B8L1-0011-R10b-SM-7P8Q4,GTEX-1HR9M-0011-R5a-SM-ARU72,GTEX-1JMPZ-1426-SM-CJI3C,GTEX-N7MT-0007-SM-3GACQ,GTEX-13OVL-0006-SM-5O996,GTEX-131XH-0006-SM-5O98V,GTEX-13VXU-3026-SM-5LU3K,GTEX-P4PP-0008-SM-48TDV,GTEX-13CF3-1726-SM-5LU9E,GTEX-XYKS-0002-SM-4BRWN
GTEX-V1D1-2226-SM-3NMAX,GTEX-12WSD-0226-SM-59HKO,GTEX-1445S-3026-SM-5O9BR,GTEX-13IVO-0011-R10a-SM-5LZY3,GTEX-WHPG-1026-SM-3NMBA,GTEX-1GPI7-0005-SM-A9G13,GTEX-R53T-0005-SM-3GADK,GTEX-1P4AB-0005-SM-CY8GM,GTEX-12WSM-0011-R11a-SM-5DUX8,GTEX-YEC4-0008-SM-4W1YR,GTEX-ZY6K-0526-SM-5GZY9,GTEX-11I78-0001-SM-5Q5BE
GTEX-1LKK1-2626-SM-DKPQE,GTEX-1A8FM-0126-SM-7SB7P,GTEX-1B8SF-0011-R8b-SM-7P8SX,GTEX-1EN7A-0011-R6b-SM-9QEHW,GTEX-1GMR3-0426-SM-7PC17,GTEX-15D1Q-0006-SM-9KNTN,GTEX-ZUA1-0005-SM-4YCEV,GTEX-1HR9M-0005-SM-AHZ26,GTEX-1PIIG-2826-SM-DTX7O,GTEX-X5EB-0008-SM-46MU3,GTEX-1O97I-1826-SM-EXUS9,GTEX-X638-0003-SM-47JZ1
GTEX-16MT8-0426-SM-7KUEY,GTEX-13S7M-0226-SM-5S2UG,GTEX-15ER7-0011-R7a-SM-6M46N,GTEX-ZDXO-0011-R2b-SM-4WKFG,GTEX-1HSGN-1126-SM-CJI4G,GTEX-14ICL-0006-SM-5SIAB,GTEX-1HCVE-0006-SM-ADEH2,GTEX-1A3MX-0005-SM-7MGW7,GTEX-1GZHY-0011-R11a-SM-C1YRQ,GTEX-NL3H-0008-SM-4E3HU,GTEX-1RNTQ-1126-SM-E9TK9,GTEX-1HBPN-0002-SM-EYYW2
GTEX-1LB8K-0726-SM-D5OV2,GTEX-1A3MX-0826-SM-72D64,GTEX-14ASI-0011-R5b-SM-6EU2M,GTEX-11EMC-0011-R8b-SM-DO91Z,GTEX-1HSGN-0926-SM-CNNQM,GTEX-14DAQ-0005-SM-5NQ7B,GTEX-1J8Q2-0006-SM-CNNOZ,,GTEX-1JJ6O-0011-R11b-SM-EXUS2,GTEX-12696-0008-SM-5TDBX,GTEX-11P7K-1226-SM-5HL4X,GTEX-SNOS-0003-SM-3NMAO
GTEX-15SKB-2826-SM-6PAMH,GTEX-12126-0426-SM-5Q5AP,GTEX-11DYG-0011-R5a-SM-DO928,GTEX-1EN7A-0011-R5a-SM-9QEH6,GTEX-14PHX-2126-SM-6EU2U,GTEX-Y114-0006-SM-4TT76,GTEX-1GN1W-0006-SM-A9SKL,,GTEX-Q2AG-0011-R11A-SM-2HMKZ,GTEX-15CHC-0008-SM-E9U4J,GTEX-14PK6-1126-SM-5YY93,GTEX-Y5LM-0003-SM-4V6G1
