i_doc,doc,Topic 1
0,GTEX-1GZ2Q-0011-R6a-SM-9OSWM,1.0
1,GTEX-RU72-0011-R5A-SM-2TF6U,1.0
2,GTEX-WHSE-0011-R3A-SM-3P5ZM,1.0
3,GTEX-14PQA-0011-R1b-SM-6EU1G,1.0
4,GTEX-13CF2-0011-R1a-SM-5LZY1,1.0
5,GTEX-1B8L1-0011-R10b-SM-7P8Q4,1.0
6,GTEX-1445S-3026-SM-5O9BR,1.0
7,GTEX-1B8SF-0011-R8b-SM-7P8SX,1.0
8,GTEX-15ER7-0011-R7a-SM-6M46N,1.0
9,GTEX-14ASI-0011-R5b-SM-6EU2M,1.0
10,GTEX-OHPN-0011-R1A-SM-2I5GB,1.0
11,GTEX-11DYG-0011-R5a-SM-DO928,1.0
12,GTEX-1B933-0011-R10b-SM-9OSVN,1.0
13,GTEX-1IKK5-0011-R5b-SM-CL55B,1.0
14,GTEX-1IY9M-0011-R7a-SM-D4P49,1.0
15,GTEX-ZE9C-3026-SM-4WKHB,1.0
16,GTEX-1MJK2-3026-SM-EV7A5,1.0
17,GTEX-144GL-0011-R11b-SM-5P9F6,1.0
18,GTEX-13FXS-0011-R9a-SM-5K7UI,1.0
19,GTEX-11ZVC-0011-R1b-SM-5BC6M,1.0
20,GTEX-P44G-0011-R7A-SM-2I3F9,1.0
21,GTEX-14C39-0011-R3b-SM-5YYA3,1.0
22,GTEX-1GF9V-0011-R10b-SM-CKZNP,1.0
23,GTEX-NPJ7-0011-R9a-SM-2TC5R,1.0
24,GTEX-1313W-0011-R7b-SM-5DUWL,1.0
25,GTEX-13QJC-0011-R8b-SM-5S2U6,1.0
26,GTEX-Z93S-0011-R7b-SM-4RGNK,1.0
27,GTEX-1HSMO-0011-R2a-SM-CL553,1.0
28,GTEX-1B996-0011-R10b-SM-CJI3T,1.0
29,GTEX-1B933-0011-R2b-SM-7IGNM,1.0
30,GTEX-1GZHY-3026-SM-7MXVA,1.0
31,GTEX-131YS-3126-SM-5KLYT,1.0
32,GTEX-WL46-2826-SM-3LK81,1.0
33,GTEX-13G51-0011-R1a-SM-5LZYR,1.0
34,GTEX-1HR9M-0011-R5a-SM-ARU72,1.0
35,GTEX-11GSP-0011-R5a-SM-57WBE,1.0
36,GTEX-16YQH-0011-R10b-SM-7LT8U,1.0
37,GTEX-13IVO-0011-R10a-SM-5LZY3,1.0
38,GTEX-13VXU-3026-SM-5LU3K,1.0
39,GTEX-1HGF4-0011-R5b-SM-CM2ST,1.0
40,GTEX-1EN7A-0011-R6b-SM-9QEHW,1.0
41,GTEX-1B8SF-0011-R6b-SM-7MXUD,1.0
42,GTEX-13JUV-0011-R1a-SM-5LZY4,1.0
43,GTEX-16YQH-0011-R5b-SM-7938U,1.0
44,GTEX-12WSC-0011-R9a-SM-5GU4U,1.0
45,GTEX-ZDXO-0011-R2b-SM-4WKFG,1.0
46,GTEX-12WSM-0011-R11a-SM-5DUX8,1.0
47,GTEX-13FLV-0011-R10b-SM-5LZZ2,1.0
48,GTEX-1PIIG-2826-SM-DTX7O,1.0
49,GTEX-14JIY-0011-R8a-SM-6AJAP,1.0
50,GTEX-ZAB4-0011-R9a-SM-4SOKG,1.0
51,GTEX-1GZHY-0011-R11a-SM-C1YRQ,1.0
52,GTEX-18464-0011-R10a-SM-72D6X,1.0
53,GTEX-145LS-0011-R5a-SM-5SI65,1.0
54,GTEX-13N1W-0011-R4a-SM-5MR52,1.0
55,GTEX-X4XY-3026-SM-EWRM9,1.0
56,GTEX-11GSP-0011-R1a-SM-9QEJ3,1.0
57,GTEX-11DZ1-0011-R8b-SM-DNZZI,1.0
58,GTEX-11EMC-0011-R8b-SM-DO91Z,1.0
59,GTEX-13OW5-0011-R6b-SM-5O9BW,1.0
60,GTEX-17EVQ-2826-SM-7IGQK,1.0
61,GTEX-1EN7A-0011-R5a-SM-9QEH6,1.0
62,GTEX-13N2G-0011-R2a-SM-5MR4Q,1.0
63,GTEX-1JJ6O-0011-R11b-SM-EXUS2,1.0
64,GTEX-15CHQ-0011-R1a-SM-COH27,1.0
65,GTEX-1H3NZ-0011-R6b-SM-A9G1N,1.0
66,GTEX-1F52S-0011-R7b-SM-9QEH8,1.0
67,GTEX-1H4P4-0011-R1b-SM-CL54V,1.0
68,GTEX-14ABY-0011-R9a-SM-5PNZK,1.0
69,GTEX-Q2AG-0011-R11A-SM-2HMKZ,1.0
70,GTEX-14BIN-0011-R11a-SM-5SI79,1.0
71,GTEX-WZTO-0011-R4A-SM-3NMC7,1.0
72,GTEX-17MF6-0011-R5a-SM-731BA,1.0
73,GTEX-147GR-0011-R2b-SM-5S2RQ,1.0
