Cluster 1,Cluster 2,Cluster 3,Cluster 4
GTEX-1JJEA-0006-SM-DHXJ2,GTEX-12WSM-0011-R11a-SM-5DUX8,GTEX-1GZ2Q-0011-R6a-SM-9OSWM,GTEX-XAJ8-0826-SM-47JY6
GTEX-1PBJJ-0005-SM-CKZND,GTEX-ZAB4-0011-R9a-SM-4SOKG,GTEX-RU72-0011-R5A-SM-2TF6U,GTEX-15RIG-0226-SM-7KFTL
GTEX-WRHU-0006-SM-3MJF6,GTEX-1JJ6O-0011-R11b-SM-EXUS2,GTEX-WHSE-0011-R3A-SM-3P5ZM,GTEX-12KS4-0326-SM-5EQ41
GTEX-1LBAC-0005-SM-DIPEE,GTEX-Q2AG-0011-R11A-SM-2HMKZ,GTEX-14PQA-0011-R1b-SM-6EU1G,GTEX-13CF3-2426-SM-5IFGX
GTEX-XMD3-0006-SM-4AT5X,GTEX-15SHU-3026-SM-6LPIB,GTEX-13CF2-0011-R1a-SM-5LZY1,GTEX-15G1A-0008-SM-E76Q5
GTEX-13OVL-0006-SM-5O996,GTEX-1F75B-0011-R5a-SM-9QEHC,GTEX-1B8L1-0011-R10b-SM-7P8Q4,GTEX-12WSJ-1826-SM-5GCNY
GTEX-R53T-0005-SM-3GADK,GTEX-P44H-1426-SM-E9U4O,GTEX-1445S-3026-SM-5O9BR,GTEX-R53T-0008-SM-48FEW
GTEX-11ZU8-0005-SM-5PNU5,GTEX-12KS4-1026-SM-5FQTD,GTEX-1B8SF-0011-R8b-SM-7P8SX,GTEX-QXCU-0008-SM-48FCH
GTEX-13U4I-0006-SM-5N9CI,GTEX-1HBPM-1526-SM-A9G3H,GTEX-15ER7-0011-R7a-SM-6M46N,GTEX-ZVZP-0008-SM-51MSX
GTEX-ZUA1-0005-SM-4YCEV,GTEX-13CF3-1726-SM-5LU9E,GTEX-14ASI-0011-R5b-SM-6EU2M,GTEX-V1D1-2226-SM-3NMAX
GTEX-1HCVE-0006-SM-ADEH2,GTEX-ZY6K-0526-SM-5GZY9,GTEX-OHPN-0011-R1A-SM-2I5GB,GTEX-1LKK1-2626-SM-DKPQE
GTEX-1J8Q2-0006-SM-CNNOZ,GTEX-1O97I-1826-SM-EXUS9,GTEX-11DYG-0011-R5a-SM-DO928,GTEX-16MT8-0426-SM-7KUEY
GTEX-1GN1W-0006-SM-A9SKL,GTEX-1RNTQ-1126-SM-E9TK9,GTEX-1B933-0011-R10b-SM-9OSVN,GTEX-P4PP-0008-SM-48TDV
GTEX-1S5ZU-0005-SM-CYPS3,GTEX-11P7K-1226-SM-5HL4X,GTEX-1IKK5-0011-R5b-SM-CL55B,GTEX-1LB8K-0726-SM-D5OV2
GTEX-13FTX-0005-SM-5N9F6,GTEX-14PK6-1126-SM-5YY93,GTEX-1IY9M-0011-R7a-SM-D4P49,GTEX-15SKB-2826-SM-6PAMH
GTEX-1C6VR-0005-SM-7MKF7,GTEX-1IDJF-1326-SM-A9G2R,GTEX-ZE9C-3026-SM-4WKHB,GTEX-17EUY-0426-SM-793BD
GTEX-11P82-0006-SM-5N9FY,GTEX-14BIN-2626-SM-5YY8U,GTEX-1MJK2-3026-SM-EV7A5,GTEX-YEC4-0008-SM-4W1YR
GTEX-Y5V6-0005-SM-4V6FD,GTEX-NFK9-1226-SM-3LK79,GTEX-144GL-0011-R11b-SM-5P9F6,GTEX-1H1DG-0126-SM-9WYU2
GTEX-1PPH7-0005-SM-CKZNE,GTEX-1AMEY-0326-SM-72D5T,GTEX-13FXS-0011-R9a-SM-5K7UI,GTEX-14A6H-2026-SM-5Q5DD
GTEX-18A6Q-0005-SM-9KNVX,GTEX-17F9E-1026-SM-7DUF1,GTEX-11ZVC-0011-R1b-SM-5BC6M,GTEX-1IE54-0126-SM-CMKHW
GTEX-1HCU8-0005-SM-A96RL,GTEX-1AX8Z-1826-SM-73KW6,GTEX-P44G-0011-R7A-SM-2I3F9,GTEX-14XAO-1226-SM-6EU1C
GTEX-1CB4H-0006-SM-A96RE,GTEX-11ZTS-2726-SM-5EQLU,GTEX-14C39-0011-R3b-SM-5YYA3,GTEX-X5EB-0008-SM-46MU3
GTEX-R55C-0005-SM-3GAE9,GTEX-ZA64-0526-SM-5HL9I,GTEX-1GF9V-0011-R10b-SM-CKZNP,GTEX-NL3H-0008-SM-4E3HU
GTEX-OIZH-0005-SM-2HMJN,GTEX-1JMLX-2126-SM-CL54B,GTEX-NPJ7-0011-R9a-SM-2TC5R,GTEX-133LE-1826-SM-5J1MV
GTEX-1LSNM-0005-SM-CXZIW,GTEX-OXRL-0726-SM-3NM9A,GTEX-1313W-0011-R7b-SM-5DUWL,GTEX-12696-0008-SM-5TDBX
GTEX-WHPG-0006-SM-3NMBV,GTEX-1I1GR-1426-SM-CY8H8,GTEX-13QJC-0011-R8b-SM-5S2U6,GTEX-1LB8K-0226-SM-EWRNW
GTEX-N7MT-0007-SM-3GACQ,GTEX-1NHNU-1726-SM-E76R1,GTEX-Z93S-0011-R7b-SM-4RGNK,GTEX-15CHC-0008-SM-E9U4J
GTEX-1QW4Y-0005-SM-DO93W,GTEX-1C6VQ-2026-SM-79OOH,GTEX-1HSMO-0011-R2a-SM-CL553,GTEX-XQ8I-0426-SM-4BOPO
GTEX-ZG7Y-0006-SM-4WWEA,GTEX-1211K-1026-SM-5EQ4B,GTEX-1B996-0011-R10b-SM-CJI3T,GTEX-ZT9X-1526-SM-5DUXD
GTEX-1HSMP-0006-SM-AHZ25,GTEX-14C5O-1726-SM-5RQI9,GTEX-1B933-0011-R2b-SM-7IGNM,GTEX-147F3-1726-SM-5SIAW
