i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4
0,GTEX-1GZ2Q-0011-R6a-SM-9OSWM,0.00019904864915435707,0.3834701906875745,0.5314270920539176,0.08490366860935361
1,GTEX-RU72-0011-R5A-SM-2TF6U,0.0001333425933434936,0.3775625298943365,0.540530583579091,0.08177354393322896
2,GTEX-WHSE-0011-R3A-SM-3P5ZM,0.00014474964983552462,0.35404730694147396,0.5731783717096769,0.0726295716990134
3,GTEX-14PQA-0011-R1b-SM-6EU1G,9.785192909828859e-05,0.39623081935848214,0.48923048302772826,0.11444084568469139
4,GTEX-13CF2-0011-R1a-SM-5LZY1,0.00021782278461927128,0.36058772818261875,0.5563441728955584,0.08285027613720357
5,GTEX-1B8L1-0011-R10b-SM-7P8Q4,9.131907350606961e-05,0.30122331500672245,0.6397542857127617,0.058931080207009844
6,GTEX-1445S-3026-SM-5O9BR,0.013939546826289806,0.35036800715790684,0.5614559086729517,0.07423653734285156
7,GTEX-1B8SF-0011-R8b-SM-7P8SX,0.0005365356096332605,0.3258702410753768,0.5923835552378429,0.08120966807714704
8,GTEX-15ER7-0011-R7a-SM-6M46N,8.582584103649712e-05,0.2751737389025418,0.6718999891973546,0.05284044605906707
9,GTEX-14ASI-0011-R5b-SM-6EU2M,0.00017784213948603318,0.31483019219396036,0.6140926930387951,0.07089927262775858
10,GTEX-OHPN-0011-R1A-SM-2I5GB,0.0071201305108113955,0.3149328003500762,0.5586674514119458,0.11927961772716648
11,GTEX-11DYG-0011-R5a-SM-DO928,0.00012205733053259058,0.29663994405371885,0.6514047018342907,0.05183329678145783
12,GTEX-1B933-0011-R10b-SM-9OSVN,9.262996715627134e-05,0.3271904200538797,0.6121847121553032,0.06053223782366075
13,GTEX-1IKK5-0011-R5b-SM-CL55B,0.0002161387985891138,0.3589876744162404,0.5610968114754548,0.0796993753097157
14,GTEX-1IY9M-0011-R7a-SM-D4P49,0.00010223880685743685,0.29564755174216883,0.6487812882121986,0.05546892123877513
15,GTEX-ZE9C-3026-SM-4WKHB,0.00012880868055100298,0.3415476073948503,0.5906908987671644,0.06763268515743434
16,GTEX-1MJK2-3026-SM-EV7A5,7.364529829871611e-05,0.40210669561832807,0.4341270188405693,0.1636926402428038
17,GTEX-144GL-0011-R11b-SM-5P9F6,7.787260506571966e-05,0.39940158536918985,0.43184292890070214,0.1686776131250424
18,GTEX-13FXS-0011-R9a-SM-5K7UI,5.4364238810213646e-05,0.387003285339351,0.5378536283325414,0.07508872208929726
19,GTEX-11ZVC-0011-R1b-SM-5BC6M,0.00016953015390135318,0.40137478924215103,0.4791946949362814,0.11926098566766624
20,GTEX-P44G-0011-R7A-SM-2I3F9,0.00017882283680681642,0.30418588249665346,0.6356700579560439,0.05996523671049588
21,GTEX-14C39-0011-R3b-SM-5YYA3,0.00011497416572562838,0.3886307542186403,0.5075645827018487,0.10368968891378537
22,GTEX-1GF9V-0011-R10b-SM-CKZNP,0.00010042946725396833,0.2837712753338501,0.6645658889353949,0.05156240626350104
23,GTEX-NPJ7-0011-R9a-SM-2TC5R,0.000814226555773654,0.35359250610105397,0.5620705681154724,0.08352269922770003
24,GTEX-1313W-0011-R7b-SM-5DUWL,0.0001381695734557044,0.2770405251964161,0.6769629859639393,0.04585831926618891
25,GTEX-13QJC-0011-R8b-SM-5S2U6,0.0005495926799432212,0.354118829360574,0.5033624271775561,0.1419691507819268
26,GTEX-Z93S-0011-R7b-SM-4RGNK,0.001458057139163125,0.28119031729447624,0.6618946707074029,0.055456954858957776
27,GTEX-1HSMO-0011-R2a-SM-CL553,0.00045233807235151653,0.378145834167126,0.5347580536221935,0.08664377413832892
28,GTEX-1B996-0011-R10b-SM-CJI3T,0.00010749588651333663,0.3251690722131188,0.5807219794804586,0.0940014524199093
29,GTEX-1B933-0011-R2b-SM-7IGNM,9.206119708640726e-05,0.44232062020474755,0.4553419311419466,0.10224538745621937
30,GTEX-1GZHY-3026-SM-7MXVA,0.00012006545160712203,0.399666968833512,0.4385905079119222,0.1616224578029588
31,GTEX-131YS-3126-SM-5KLYT,8.34690645818845e-05,0.3020509141358494,0.642266463180129,0.055599153619439554
32,GTEX-WL46-2826-SM-3LK81,7.642985168038554e-05,0.41250706823325867,0.423553683616764,0.16386281829829716
33,GTEX-13G51-0011-R1a-SM-5LZYR,6.158109721323165e-05,0.40928564751296836,0.5072949231012398,0.08335784828857862
34,GTEX-1HR9M-0011-R5a-SM-ARU72,0.0006088092023848935,0.41267174778092214,0.45612773900691583,0.13059170400977713
35,GTEX-11GSP-0011-R5a-SM-57WBE,0.00013240922052881778,0.3320410871499073,0.583963002960566,0.08386350066899788
36,GTEX-16YQH-0011-R10b-SM-7LT8U,9.3536808718858e-05,0.3456081014710016,0.5782871075329242,0.07601125418735535
37,GTEX-13IVO-0011-R10a-SM-5LZY3,0.0003270040722441381,0.3508620873321511,0.5627068678848288,0.08610404071077607
38,GTEX-13VXU-3026-SM-5LU3K,7.447415912653774e-05,0.39911748400217134,0.4292239292534456,0.17158411258525647
39,GTEX-1HGF4-0011-R5b-SM-CM2ST,0.00012505066365047372,0.35375391275183765,0.5551919750686752,0.09092906151583663
40,GTEX-1EN7A-0011-R6b-SM-9QEHW,0.0018169825758272242,0.3863260889332553,0.5060525085409113,0.10580441995000614
41,GTEX-1B8SF-0011-R6b-SM-7MXUD,0.00011607467591040256,0.3523027544351269,0.5587100642258988,0.08887110666306398
42,GTEX-13JUV-0011-R1a-SM-5LZY4,8.104891695563703e-05,0.4024274798331456,0.5073444376492658,0.09014703360063296
43,GTEX-16YQH-0011-R5b-SM-7938U,7.724084169324014e-05,0.30086725811398,0.6392768740234059,0.05977862702092075
44,GTEX-12WSC-0011-R9a-SM-5GU4U,9.726529876070239e-05,0.36190553368242995,0.5454119936587362,0.09258520736007318
45,GTEX-ZDXO-0011-R2b-SM-4WKFG,0.00021799811030779855,0.35706065181079133,0.5820036546407067,0.06071769543819417
46,GTEX-12WSM-0011-R11a-SM-5DUX8,5.772381661492061e-05,0.4240236023972186,0.41069432198112604,0.1652243518050404
47,GTEX-13FLV-0011-R10b-SM-5LZZ2,7.322763394440647e-05,0.3359837969158998,0.5966269135404118,0.06731606190974396
48,GTEX-1PIIG-2826-SM-DTX7O,0.00016358468036920988,0.3988591208116602,0.43752397269104437,0.16345332181692634
49,GTEX-14JIY-0011-R8a-SM-6AJAP,0.00022886053570746545,0.38362241834279587,0.5242225161605067,0.09192620496098994
50,GTEX-ZAB4-0011-R9a-SM-4SOKG,0.00013980513448384705,0.6045879036120811,0.3427049214172856,0.05256736983614939
51,GTEX-1GZHY-0011-R11a-SM-C1YRQ,0.00019130354816675806,0.37831683769567853,0.4446369854403913,0.17685487331576336
52,GTEX-18464-0011-R10a-SM-72D6X,6.567951169935434e-05,0.344354030210622,0.5910206641525813,0.06455962612509748
53,GTEX-145LS-0011-R5a-SM-5SI65,0.0004288628076075352,0.3156375419737889,0.6150111579018739,0.06892243731672962
54,GTEX-13N1W-0011-R4a-SM-5MR52,0.00014132958544922237,0.3460685164723141,0.5718062060455694,0.08198394789666713
55,GTEX-X4XY-3026-SM-EWRM9,0.00047160121995288114,0.26186014432898147,0.6742747226595153,0.06339353179155048
56,GTEX-11GSP-0011-R1a-SM-9QEJ3,0.00025184918494528213,0.3743829012274528,0.5444675247479537,0.08089772483964816
57,GTEX-11DZ1-0011-R8b-SM-DNZZI,0.00017925535008896424,0.35117029133482836,0.5488077532339116,0.09984270008117097
58,GTEX-11EMC-0011-R8b-SM-DO91Z,0.00339141328793615,0.2467947187481186,0.7085955196823976,0.04121834828154759
59,GTEX-13OW5-0011-R6b-SM-5O9BW,0.0002763019103084263,0.4028136712386727,0.46709082116109774,0.1298192056899212
