Topic 1,Topic 2,Topic 3,Topic 4
ENSG00000188536,ENSG00000133392,ENSG00000188536,ENSG00000211445
ENSG00000142937,ENSG00000121769,ENSG00000211445,ENSG00000133392
ENSG00000083845,ENSG00000130595,ENSG00000142937,ENSG00000130595
ENSG00000211445,ENSG00000107317,ENSG00000133392,ENSG00000159516
ENSG00000145824,ENSG00000125414,ENSG00000083845,ENSG00000196616
ENSG00000107317,ENSG00000211445,ENSG00000204628,ENSG00000125414
ENSG00000196616,ENSG00000182253,ENSG00000100201,ENSG00000145824
ENSG00000271503,ENSG00000186439,ENSG00000187479,ENSG00000121769
ENSG00000071082,ENSG00000198668,ENSG00000118418,ENSG00000124107
ENSG00000173868,ENSG00000100412,ENSG00000071082,ENSG00000131981
ENSG00000141480,ENSG00000172403,ENSG00000143742,ENSG00000071967
ENSG00000131981,ENSG00000082641,ENSG00000196616,ENSG00000172201
ENSG00000133392,ENSG00000133878,ENSG00000185624,ENSG00000172403
ENSG00000204628,ENSG00000077157,ENSG00000141480,ENSG00000185432
ENSG00000198668,ENSG00000163126,ENSG00000134884,ENSG00000082641
ENSG00000100201,ENSG00000071967,ENSG00000143248,ENSG00000132475
ENSG00000198736,ENSG00000196616,ENSG00000023734,ENSG00000100201
ENSG00000140678,ENSG00000125166,ENSG00000110696,ENSG00000187266
ENSG00000132475,ENSG00000100201,ENSG00000135720,ENSG00000143416
ENSG00000140932,ENSG00000142937,ENSG00000172201,ENSG00000185624
ENSG00000185624,ENSG00000185432,ENSG00000271503,ENSG00000142937
