i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
0,GTEX-1GZ2Q-0011-R6a-SM-9OSWM,0.03792289918903808,0.03773655953844319,0.03543742968457285,0.016219862811055627,0.009708227680169507,0.11244177228440079,0.0015767038778625763,0.7241708680407244,0.01680774250733887,0.00797793438639393
1,GTEX-RU72-0011-R5A-SM-2TF6U,0.03496341079780099,0.03504507470832147,0.03117354725246855,0.01503242355032672,0.008901170643459461,0.1036309479050744,0.0006914280897123389,0.7486611175661846,0.014463630976112432,0.007437248510539245
2,GTEX-WHSE-0011-R3A-SM-3P5ZM,0.03437866640220525,0.03428674839232881,0.032823722937636156,0.01372090844153161,0.007336490525680578,0.07120873733529022,0.0005619870499374738,0.7822446030446637,0.015358908293965239,0.008079227576760994
3,GTEX-14PQA-0011-R1b-SM-6EU1G,0.047277881358802155,0.050984336437102144,0.05057260995993835,0.023417570566776295,0.016221340754664765,0.13628222850591046,0.0001930631036316605,0.6376959432572457,0.026463084410870582,0.010891941645057851
4,GTEX-13CF2-0011-R1a-SM-5LZY1,0.034589782987796205,0.03973690863711616,0.03841929582592336,0.01622312367863971,0.010280161234119426,0.1070288952135134,0.0005233643511290842,0.7246968855409258,0.01916745814306711,0.00933412438776974
5,GTEX-1B8L1-0011-R10b-SM-7P8Q4,0.026577152190629776,0.025289085349696264,0.02309672241012531,0.010725791277961045,0.005400371106780933,0.05945734258680275,9.832480461201295e-05,0.8335185801899108,0.010409564383505326,0.005427065699975764
6,GTEX-1445S-3026-SM-5O9BR,0.0325117599162558,0.033103503103491805,0.033002307384804565,0.01502866356858729,0.009457593185257351,0.14679141587917655,0.04337656458467072,0.6637346607583856,0.016951514336550094,0.006042017282820174
7,GTEX-1B8SF-0011-R8b-SM-7P8SX,0.034807957773342835,0.039144824791188956,0.04083845490528329,0.01690618190296901,0.01215949365778304,0.11381787786252982,0.0073255140659472875,0.7055903489879458,0.02007454609268267,0.009334799960327184
8,GTEX-15ER7-0011-R7a-SM-6M46N,0.022296517648105557,0.022817333019992433,0.019700947266374055,0.009593359818051794,0.00517381995541891,0.061960542814761994,7.354326732256076e-05,0.8427260796722337,0.009138176085467221,0.00651968045227185
9,GTEX-14ASI-0011-R5b-SM-6EU2M,0.030514418610121045,0.03106578880011872,0.028185257731310826,0.013074847666389338,0.007451032085682821,0.07276838354765414,0.0006734426144137322,0.7950998312399791,0.013512392319405913,0.007654605384924266
10,GTEX-OHPN-0011-R1A-SM-2I5GB,0.057453407927029417,0.053848378268375706,0.06224624922561951,0.027012516455158495,0.018946988285858977,0.08404632187981351,0.02981746702717556,0.6197186347269161,0.03575316016818668,0.011156876035866122
11,GTEX-11DYG-0011-R5a-SM-DO928,0.023817530263283808,0.022418865202190254,0.021651707234459958,0.009674235670319635,0.004869484739587573,0.0704584325337095,0.0003567218543710146,0.8329823345431053,0.009400685924408483,0.004370002034564496
12,GTEX-1B933-0011-R10b-SM-9OSVN,0.026868738721486894,0.02601585260148546,0.024147779495722933,0.010786785371004302,0.00550877608157406,0.06989980213521303,0.00016669796869969513,0.8205973358249535,0.010712895400540708,0.005295336399319323
13,GTEX-1IKK5-0011-R5b-SM-CL55B,0.03508739081018009,0.03699228196599011,0.03529155403040681,0.015730919508026093,0.010085210847096389,0.11800034452025902,0.0020797238501250254,0.72176877562448,0.0177074111211614,0.007256387722275188
14,GTEX-1IY9M-0011-R7a-SM-D4P49,0.02613952038174368,0.023352841688716812,0.022645041773046725,0.01055698820235033,0.0058410498431906415,0.08464050025456475,0.00015987428673514063,0.8113234787493068,0.010846945362153106,0.004493759458192128
15,GTEX-ZE9C-3026-SM-4WKHB,0.030057101520508053,0.028592142606788377,0.02859836786656572,0.012251159052552892,0.006419178613860528,0.09574524238621943,0.0005030132798678347,0.7795106369260786,0.013152831174973435,0.005170326572585024
16,GTEX-1MJK2-3026-SM-EV7A5,0.07898417911818635,0.07295231339283037,0.07999907648336432,0.03213243839331925,0.017400771809823502,0.05732380661042173,8.11907723828241e-05,0.61046452806844,0.03917328918337975,0.011488406167852004
17,GTEX-144GL-0011-R11b-SM-5P9F6,0.08011841354584184,0.0744620861600254,0.08081304303397109,0.03267664819109235,0.018404229566577075,0.06173282319583176,0.00011835142407241219,0.5996736843258393,0.04069214416301337,0.011308576393735507
