Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
ENSG00000188581,ENSG00000133392,ENSG00000268751,ENSG00000211445,ENSG00000211445,ENSG00000121769,ENSG00000188536,ENSG00000154146,ENSG00000132465,ENSG00000133392
ENSG00000006059,ENSG00000143248,ENSG00000211445,ENSG00000159516,ENSG00000196616,ENSG00000130595,ENSG00000141480,ENSG00000021300,ENSG00000244437,ENSG00000143248
ENSG00000111669,ENSG00000164949,ENSG00000145824,ENSG00000124107,ENSG00000004799,ENSG00000125414,ENSG00000140678,ENSG00000020129,ENSG00000171431,ENSG00000182253
ENSG00000137575,ENSG00000182253,ENSG00000133392,ENSG00000196616,ENSG00000204628,ENSG00000107317,ENSG00000271503,ENSG00000107317,ENSG00000211905,ENSG00000187479
ENSG00000130066,ENSG00000114790,ENSG00000004799,ENSG00000185624,ENSG00000132465,ENSG00000004799,ENSG00000015285,ENSG00000129244,ENSG00000214711,ENSG00000049323
ENSG00000241233,ENSG00000187479,ENSG00000203786,ENSG00000163207,ENSG00000131386,ENSG00000186439,ENSG00000173868,ENSG00000160781,ENSG00000132475,ENSG00000077157
ENSG00000154146,ENSG00000077157,ENSG00000139926,ENSG00000278978,ENSG00000010319,ENSG00000100412,ENSG00000012779,ENSG00000104112,ENSG00000211972,ENSG00000197702
ENSG00000170484,ENSG00000198668,ENSG00000132465,ENSG00000145824,ENSG00000124107,ENSG00000125166,ENSG00000140932,ENSG00000078018,ENSG00000282639,ENSG00000077782
ENSG00000084234,ENSG00000112759,ENSG00000185624,ENSG00000198668,ENSG00000130707,ENSG00000163126,ENSG00000100055,ENSG00000137267,ENSG00000271503,ENSG00000172403
ENSG00000189169,ENSG00000084636,ENSG00000121900,ENSG00000172403,ENSG00000101230,ENSG00000082641,ENSG00000142669,ENSG00000167964,ENSG00000159516,ENSG00000164949
ENSG00000185624,ENSG00000167941,ENSG00000160781,ENSG00000131981,ENSG00000187479,ENSG00000130600,ENSG00000198736,ENSG00000160469,ENSG00000130592,ENSG00000163297
ENSG00000082641,ENSG00000150991,ENSG00000187479,ENSG00000050767,ENSG00000131981,ENSG00000133878,ENSG00000211445,ENSG00000178233,ENSG00000172382,ENSG00000167941
ENSG00000142507,ENSG00000049323,ENSG00000172403,ENSG00000071967,ENSG00000142937,ENSG00000134020,ENSG00000104894,ENSG00000092964,ENSG00000240671,ENSG00000213145
ENSG00000149968,ENSG00000163297,ENSG00000111669,ENSG00000137312,ENSG00000145824,ENSG00000178104,ENSG00000101307,ENSG00000144369,ENSG00000178078,ENSG00000132481
ENSG00000211445,ENSG00000172403,ENSG00000198668,ENSG00000185432,ENSG00000198668,ENSG00000174429,ENSG00000115956,ENSG00000159409,ENSG00000276566,ENSG00000160191
ENSG00000198053,ENSG00000069535,ENSG00000172382,ENSG00000130707,ENSG00000154146,ENSG00000078814,ENSG00000189067,ENSG00000007516,ENSG00000186806,ENSG00000198753
ENSG00000076928,ENSG00000213145,ENSG00000143416,ENSG00000082641,ENSG00000276980,ENSG00000187486,ENSG00000115165,ENSG00000105255,ENSG00000154165,ENSG00000130037
ENSG00000198668,ENSG00000100302,ENSG00000143367,ENSG00000137309,ENSG00000143248,ENSG00000165912,ENSG00000130592,ENSG00000159784,ENSG00000244094,ENSG00000112759
ENSG00000163162,ENSG00000144655,ENSG00000157426,ENSG00000198369,ENSG00000163660,ENSG00000107537,ENSG00000257335,ENSG00000167680,ENSG00000105369,ENSG00000184743
ENSG00000143416,ENSG00000100201,ENSG00000172201,ENSG00000150991,ENSG00000083845,ENSG00000133315,ENSG00000142937,ENSG00000169783,ENSG00000157601,ENSG00000114790
ENSG00000137309,ENSG00000255026,ENSG00000189280,ENSG00000204628,ENSG00000071967,ENSG00000117054,ENSG00000163162,ENSG00000187957,ENSG00000225523,ENSG00000205795
