i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33
0,GTEX-1GZ2Q-0011-R6a-SM-9OSWM,0.01832489754165671,0.016943990638434447,0.013270717692961561,0.004532549489688353,0.005882641457944003,0.021350962280329257,0.00026951799668219445,0.7385095915722157,0.009570794167403687,0.008333412205771659,0.013237962555800797,0.011862588151401206,0.0003348867765043185,0.00036808002270878034,0.010997179022685318,0.008928857601317347,0.008097374236676783,0.007638599203348915,0.008720750374748901,0.008869715351953805,0.0011231738051128849,0.003979750646206429,0.005799360087480409,0.009714296835305027,0.00672589480778527,0.00605475963453379,0.003875261590755046,0.005328082712194437,0.010257675533447733,0.004429697623512813,0.01016545172102031,0.0030501961094433574,0.013451330552968743
1,GTEX-RU72-0011-R5A-SM-2TF6U,0.017020606524992737,0.01617103719866953,0.011811609678208004,0.004874950937525527,0.005233667839078558,0.01932766954901469,0.00013166987416551968,0.7588553836840288,0.008381620716346665,0.007711083278312363,0.012579381753211822,0.010393714019185409,0.00016063240451939532,0.00018084568751736602,0.010939003427557535,0.008006344906175645,0.007557197818500572,0.006312386136646022,0.008295283649713702,0.007830741785313162,0.0012531075899202752,0.003740946420691666,0.004766205528552056,0.009066405572996981,0.006071617660024003,0.0050623555044119525,0.003862129943819287,0.004895413115646338,0.009482355556942166,0.0042761645316744005,0.00951039114031814,0.0029610307117030918,0.0132770458546165
2,GTEX-WHSE-0011-R3A-SM-3P5ZM,0.01791088561396686,0.01639958492339011,0.0122860056789712,0.004238452794292008,0.005373133987562836,0.018530699916454153,0.0001035621401465326,0.7595881474709231,0.00951610338699199,0.007555208699479127,0.011375530694054859,0.011603781160600972,0.00012921798112489177,0.00015469167981046954,0.009587142764167245,0.008284159132139856,0.006456098080951115,0.00850794146476057,0.006835340882059177,0.007829401116907142,0.001106079648249899,0.0031715041610694294,0.007016307560650434,0.008251995077751763,0.006283885525969608,0.005977000872251721,0.002851718117173769,0.004541007936801883,0.00897046231218159,0.003682175963166903,0.00936717947645935,0.0023321342142614714,0.014183459565258003
3,GTEX-14PQA-0011-R1b-SM-6EU1G,0.021040371165548598,0.02205598899189296,0.02030419291176552,0.006851637598108858,0.009166141201814082,0.029253689974122036,7.877852100652164e-05,0.646389105310579,0.013947961238786014,0.010951665987204698,0.01777368174378572,0.017947799160554865,8.85797922196445e-05,0.00010378577437692797,0.014484573784657801,0.010723929843600957,0.01236766900144216,0.008723091203746787,0.012204324138546612,0.012539825981607081,0.0018538113573404642,0.005805499945135194,0.004702007126681306,0.012726540170023743,0.01024479308425688,0.00920805369576,0.0055748570169763065,0.00813362370856167,0.013844580288419495,0.006485118296622142,0.013790055755511364,0.004679671473271878,0.015954594756072825
4,GTEX-13CF2-0011-R1a-SM-5LZY1,0.01605692965441035,0.01759057779003167,0.01639395765062801,0.004048840886692978,0.006406326660868932,0.02186296826209619,0.00022068664874583848,0.7245217918077916,0.010721047281408918,0.009052835519544847,0.01376460288404338,0.014116645312779732,0.00024136734597623598,0.00027086460519314836,0.010962485598344772,0.00873662693007783,0.008348594296575721,0.010636886061523822,0.009354284189171853,0.00950530110839293,0.0014803103506438743,0.004412518531881695,0.00531575676569407,0.009824020513373572,0.008592396828098514,0.006899616967571681,0.004004514122977369,0.006087081962867509,0.01045924150019412,0.0055193308475383505,0.01029120487587738,0.003261871276452517,0.011038514962530435
5,GTEX-1B8L1-0011-R10b-SM-7P8Q4,0.01486264910340734,0.013049738580913376,0.008740949309093025,0.003526104054482081,0.004139285815825224,0.019213181163289517,4.46003840420172e-05,0.813005384175409,0.0068933581903870035,0.005624968750489227,0.008778737145656837,0.008016416672637867,4.816265852097065e-05,5.110765954344696e-05,0.008182799745118575,0.005585219079073718,0.004903330160814573,0.005096609114086381,0.005239195072395198,0.0054690471681565255,0.0007947979661942482,0.0022428409955659837,0.005038390334300248,0.006061422600686855,0.004577114405963023,0.003830028461794577,0.002431255078366269,0.0034294089768619174,0.00700466709692179,0.0024403024113262557,0.007493708386902424,0.0016183601094548713,0.012566859172319686
6,GTEX-1445S-3026-SM-5O9BR,0.014985640196744612,0.015061084989808045,0.013560588538253404,0.004189641373190226,0.005268762137229894,0.031527852570024675,0.013506321358420018,0.701656532880483,0.00943313785925229,0.0073922728062084195,0.01282325290170408,0.01264587011013379,0.013223746444768782,0.012074694378337603,0.0100586867349752,0.007828819968120895,0.008102018710709086,0.005335369986659024,0.00871653407025253,0.00847097025428685,0.000997701081328446,0.003970472204196796,0.011295799970028062,0.009136573450393856,0.006670941961118122,0.006169345996288634,0.0040124044248348685,0.004882307312532318,0.009264786203318602,0.004707637307217819,0.009020952739383147,0.003403852009395769,0.01060542707040095
7,GTEX-1B8SF-0011-R8b-SM-7P8SX,0.01609559518931138,0.01741660023913485,0.018406684385209635,0.004389553413101532,0.007902540268886725,0.02081597743495145,0.001652989853542744,0.7087582311076948,0.011239114277743887,0.009052432244043333,0.013437531644211402,0.016345400903244368,0.0018725832168913462,0.0020151764920189478,0.01096819639908146,0.008457529984325743,0.009516409372243833,0.009748626673263087,0.009530408576658236,0.010267758316717298,0.0016703677044547034,0.004787122604341842,0.0073875013627370464,0.010136869808670254,0.009119358723980212,0.007544014785628094,0.0041113800398685325,0.0064434077931471365,0.011153602875771027,0.004015464829842574,0.010899536826556094,0.003402071675939822,0.011439960976786588
8,GTEX-15ER7-0011-R7a-SM-6M46N,0.011770649792332756,0.011182189772472992,0.008322114500331136,0.003367773412200193,0.003507197085057866,0.01042472043146198,4.984345140797975e-05,0.8323908756116706,0.0060884959172218785,0.005585299404120695,0.008470981948130072,0.007258584678000312,5.2308089599987614e-05,5.4896969922245754e-05,0.007682048820366131,0.005528396427523707,0.004931073975345576,0.0066147538181410654,0.005572518260252542,0.005575507444355539,0.0014976855889984094,0.002518708591083248,0.005166447265590424,0.006030788406109852,0.004182328192711358,0.0036467528063932084,0.0025038986488529814,0.003594052926092682,0.006388670760666869,0.002630260679082713,0.006427628731436685,0.0018909603307124716,0.009091587262353835
9,GTEX-14ASI-0011-R5b-SM-6EU2M,0.015247701864062498,0.014310222745684848,0.011307216504760376,0.003762672673614468,0.005005096357616796,0.013087407697268998,0.00015337941862456623,0.7788990863763089,0.008283408035740519,0.007413717734634023,0.011521614420211159,0.010124747272639751,0.0001784937377594673,0.00019948487459337658,0.009602328988039657,0.007338496934550974,0.006199496091475653,0.00866798655900276,0.007292579772978877,0.007473014792383611,0.0012146058091581113,0.003545502404520054,0.006941508882175584,0.008351214078888643,0.00592269895596182,0.00526847413523908,0.0032458583009318163,0.004571640449027613,0.008975559794283319,0.003929547701848528,0.008738855409976145,0.0026004897060104082,0.010625891520027745
