Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
ENSG00000113889.11,ENSG00000170423.12,ENSG00000122852.14,ENSG00000206177.6,ENSG00000196344.11,ENSG00000256713.7,ENSG00000151365.2,ENSG00000253230.8,ENSG00000138829.11,ENSG00000240338.5,ENSG00000182591.5,ENSG00000129170.8,ENSG00000180483.6,ENSG00000147606.8
ENSG00000122194.18,ENSG00000188505.4,ENSG00000168878.16,ENSG00000163464.7,ENSG00000204544.5,ENSG00000229859.9,ENSG00000112214.10,ENSG00000178233.17,ENSG00000134200.3,ENSG00000168925.10,ENSG00000139648.6,ENSG00000170807.11,ENSG00000228075.4,ENSG00000165409.16
ENSG00000183747.11,ENSG00000125780.11,ENSG00000164265.8,ENSG00000159339.13,ENSG00000198643.6,ENSG00000171209.3,ENSG00000126545.13,ENSG00000105695.14,ENSG00000166923.10,ENSG00000170890.13,ENSG00000212899.2,ENSG00000168334.8,ENSG00000187003.6,ENSG00000240237.1
ENSG00000066813.14,ENSG00000166535.19,ENSG00000076662.9,ENSG00000158578.18,ENSG00000167916.4,ENSG00000183607.9,ENSG00000174697.4,ENSG00000132872.11,ENSG00000204941.13,ENSG00000219073.7,ENSG00000212901.3,ENSG00000197893.13,ENSG00000147081.14,ENSG00000009765.14
ENSG00000163586.9,ENSG00000163216.6,ENSG00000185303.16,ENSG00000008438.4,ENSG00000136694.8,ENSG00000204385.10,ENSG00000130173.13,ENSG00000204655.11,ENSG00000105825.11,ENSG00000169347.16,ENSG00000171446.6,ENSG00000077009.13,ENSG00000176256.10,ENSG00000166589.12
ENSG00000079557.4,ENSG00000134757.4,ENSG00000008516.16,ENSG00000126262.4,ENSG00000185873.7,ENSG00000134216.18,ENSG00000115705.20,ENSG00000168314.17,ENSG00000107984.9,ENSG00000142615.7,ENSG00000221880.3,ENSG00000168530.15,ENSG00000185594.4,ENSG00000165215.6
ENSG00000110244.6,ENSG00000188100.8,ENSG00000183019.7,ENSG00000163421.8,ENSG00000189377.8,ENSG00000169605.5,ENSG00000176194.17,ENSG00000121905.9,ENSG00000131808.10,ENSG00000187021.14,ENSG00000197079.8,ENSG00000197616.11,ENSG00000186143.10,ENSG00000185974.6
ENSG00000113492.13,ENSG00000197641.11,ENSG00000158517.13,ENSG00000162747.9,ENSG00000203688.4,ENSG00000160182.2,ENSG00000172724.11,ENSG00000107295.9,ENSG00000106128.18,ENSG00000175535.6,ENSG00000131738.10,ENSG00000155657.26,ENSG00000169717.6,ENSG00000220598.1
ENSG00000153086.13,ENSG00000197353.3,ENSG00000186431.18,ENSG00000105205.6,ENSG00000168631.12,ENSG00000117983.17,ENSG00000162267.12,ENSG00000104722.13,ENSG00000163735.6,ENSG00000137392.9,ENSG00000188581.8,ENSG00000125414.18,ENSG00000170950.5,ENSG00000258117.2
ENSG00000197408.8,ENSG00000178363.4,ENSG00000164761.8,ENSG00000128383.12,ENSG00000105388.15,ENSG00000109205.16,ENSG00000185739.13,ENSG00000125869.9,ENSG00000135346.8,ENSG00000168928.12,ENSG00000240871.5,ENSG00000115593.14,ENSG00000184560.7,ENSG00000237396.1
ENSG00000110245.11,ENSG00000134760.5,ENSG00000131400.7,ENSG00000239839.6,ENSG00000186474.15,ENSG00000171199.10,ENSG00000047457.13,ENSG00000165023.6,ENSG00000069482.6,ENSG00000254647.6,ENSG00000212722.7,ENSG00000174407.13,ENSG00000177143.4,ENSG00000259167.2
ENSG00000131482.9,ENSG00000134762.16,ENSG00000163464.7,ENSG00000196565.13,ENSG00000153802.11,ENSG00000186009.4,ENSG00000181541.5,ENSG00000164076.16,ENSG00000171951.4,ENSG00000142789.19,ENSG00000204873.4,ENSG00000186439.12,ENSG00000175520.8,ENSG00000186146.1
ENSG00000241119.1,ENSG00000143556.8,ENSG00000100453.12,ENSG00000123405.13,ENSG00000007306.14,ENSG00000124664.10,ENSG00000236961.1,ENSG00000277586.2,ENSG00000254300.1,ENSG00000172023.7,ENSG00000198090.3,ENSG00000111046.3,ENSG00000148156.7,ENSG00000227121.1
ENSG00000187048.12,ENSG00000203786.6,ENSG00000104918.7,ENSG00000110203.8,ENSG00000171711.2,ENSG00000134812.7,ENSG00000105825.11,ENSG00000174460.3,ENSG00000239739.1,ENSG00000153002.11,ENSG00000161850.2,ENSG00000163092.19,ENSG00000105428.5,ENSG00000280362.1
ENSG00000113905.4,ENSG00000185479.5,ENSG00000149021.6,ENSG00000118113.11,ENSG00000213606.3,ENSG00000215182.8,ENSG00000179914.4,ENSG00000167619.11,ENSG00000174325.4,ENSG00000162438.11,ENSG00000214518.3,ENSG00000148377.5,ENSG00000123171.6,ENSG00000229457.1
ENSG00000080910.11,ENSG00000175121.11,ENSG00000160883.10,ENSG00000164821.4,ENSG00000214711.9,ENSG00000256916.1,ENSG00000127324.8,ENSG00000187730.8,ENSG00000064835.10,ENSG00000266200.6,ENSG00000241595.2,ENSG00000158022.6,ENSG00000166118.7,ENSG00000283766.1
ENSG00000157131.10,ENSG00000205076.4,ENSG00000118113.11,ENSG00000213934.6,ENSG00000183347.14,ENSG00000168631.12,ENSG00000130595.17,ENSG00000064787.13,ENSG00000196549.10,ENSG00000158516.11,ENSG00000186860.4,ENSG00000091482.5,ENSG00000273111.5,ENSG00000167749.11
ENSG00000101981.10,ENSG00000163202.4,ENSG00000244482.10,ENSG00000105501.12,ENSG00000196260.4,ENSG00000160181.8,ENSG00000124253.10,ENSG00000132702.12,ENSG00000222022.1,ENSG00000204787.8,ENSG00000213417.3,ENSG00000086967.9,ENSG00000177673.3,ENSG00000167751.12
ENSG00000167798.17,ENSG00000186832.8,ENSG00000115607.9,ENSG00000183019.7,ENSG00000117983.17,ENSG00000229183.8,ENSG00000276980.1,ENSG00000171246.5,ENSG00000136488.14,ENSG00000250591.3,ENSG00000197683.4,ENSG00000159173.18,ENSG00000181786.4,ENSG00000159763.3
ENSG00000117601.13,ENSG00000159516.8,ENSG00000105501.12,ENSG00000124469.11,ENSG00000198074.9,ENSG00000196188.10,ENSG00000196136.17,ENSG00000136541.14,ENSG00000136487.17,ENSG00000215704.9,ENSG00000173908.8,ENSG00000180209.11,ENSG00000203784.2,ENSG00000115705.20
ENSG00000140093.9,ENSG00000142623.9,ENSG00000111732.10,ENSG00000169877.9,ENSG00000226601.1,ENSG00000135222.6,ENSG00000129988.5,ENSG00000170231.15,ENSG00000238266.1,ENSG00000172016.15,ENSG00000213416.3,ENSG00000109061.9,ENSG00000188800.5,ENSG00000125618.16
