Topic 1,Topic 2
ENSG00000168314.17,ENSG00000243466.1
ENSG00000121905.9,ENSG00000211949.3
ENSG00000204655.11,ENSG00000211673.2
ENSG00000164076.16,ENSG00000241351.3
ENSG00000181418.7,ENSG00000211653.2
ENSG00000070808.15,ENSG00000211679.2
ENSG00000172995.16,ENSG00000132465.10
ENSG00000253230.8,ENSG00000211666.2
ENSG00000089199.9,ENSG00000211660.3
ENSG00000178233.17,ENSG00000211900.2
ENSG00000167619.11,ENSG00000211598.2
ENSG00000105695.14,ENSG00000186832.8
ENSG00000176840.11,ENSG00000244437.1
ENSG00000043355.11,ENSG00000211668.2
ENSG00000104722.13,ENSG00000211938.2
ENSG00000170807.11,ENSG00000211945.2
ENSG00000107295.9,ENSG00000224373.3
ENSG00000138100.13,ENSG00000211947.2
ENSG00000211679.2,ENSG00000242472.1
ENSG00000132872.11,ENSG00000278196.3
ENSG00000165023.6,ENSG00000211663.2
