Cluster 1,Cluster 2,Cluster 3,Cluster 4
GTEX-15CHC-0008-SM-E9U4J,GTEX-1GZ2Q-0011-R6a-SM-9OSWM,GTEX-15G1A-0008-SM-E76Q5,GTEX-XAJ8-0826-SM-47JY6
GTEX-18QFQ-0008-SM-EAZD7,GTEX-RU72-0011-R5A-SM-2TF6U,GTEX-R53T-0008-SM-48FEW,GTEX-15RIG-0226-SM-7KFTL
GTEX-18A7B-0008-SM-EAZBQ,GTEX-WHSE-0011-R3A-SM-3P5ZM,GTEX-ZVZP-0008-SM-51MSX,GTEX-12KS4-0326-SM-5EQ41
GTEX-RVPV-0008-SM-47JYW,GTEX-14PQA-0011-R1b-SM-6EU1G,GTEX-YEC4-0008-SM-4W1YR,GTEX-13CF3-2426-SM-5IFGX
GTEX-1AYCT-2226-SM-7SB98,GTEX-13CF2-0011-R1a-SM-5LZY1,GTEX-X5EB-0008-SM-46MU3,GTEX-12WSJ-1826-SM-5GCNY
GTEX-OIZI-0005-SM-2XCED,GTEX-1B8L1-0011-R10b-SM-7P8Q4,GTEX-NL3H-0008-SM-4E3HU,GTEX-QXCU-0008-SM-48FCH
GTEX-WRHK-0001-SM-4WWDD,GTEX-1445S-3026-SM-5O9BR,GTEX-XPT6-0008-SM-4B64Q,GTEX-V1D1-2226-SM-3NMAX
GTEX-1JJEA-0006-SM-DHXJ2,GTEX-1B8SF-0011-R8b-SM-7P8SX,GTEX-1GMR2-0008-SM-EAZD1,GTEX-1LKK1-2626-SM-DKPQE
GTEX-ZEX8-0004-SM-4WKFQ,GTEX-15ER7-0011-R7a-SM-6M46N,GTEX-11WQK-0008-SM-5SI6T,GTEX-16MT8-0426-SM-7KUEY
GTEX-1PBJJ-0005-SM-CKZND,GTEX-14ASI-0011-R5b-SM-6EU2M,GTEX-12BJ1-0008-SM-5TDBZ,GTEX-P4PP-0008-SM-48TDV
GTEX-WRHU-0006-SM-3MJF6,GTEX-OHPN-0011-R1A-SM-2I5GB,GTEX-11ZUS-0008-SM-5S2UO,GTEX-1LB8K-0726-SM-D5OV2
GTEX-1LBAC-0005-SM-DIPEE,GTEX-11DYG-0011-R5a-SM-DO928,GTEX-16MTA-0008-SM-EAZC6,GTEX-15SKB-2826-SM-6PAMH
GTEX-XMD3-0006-SM-4AT5X,GTEX-1B933-0011-R10b-SM-9OSVN,GTEX-WYVS-0008-SM-4ONDY,GTEX-17EUY-0426-SM-793BD
GTEX-13OVL-0006-SM-5O996,GTEX-1IKK5-0011-R5b-SM-CL55B,GTEX-16A39-0008-SM-EAZC9,GTEX-1H1DG-0126-SM-9WYU2
