i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4
0,GTEX-1GZ2Q-0011-R6a-SM-9OSWM,0.0435615,1000.02,0.07063430000000001,0.08158
1,GTEX-RU72-0011-R5A-SM-2TF6U,0.0435615,1000.02,0.07063430000000001,0.08158
2,GTEX-WHSE-0011-R3A-SM-3P5ZM,0.0435615,1000.02,0.07063430000000001,0.08158
3,GTEX-14PQA-0011-R1b-SM-6EU1G,0.0435615,1000.02,0.07063430000000001,0.08158
4,GTEX-13CF2-0011-R1a-SM-5LZY1,0.0435615,1000.02,0.07063430000000001,0.08158
5,GTEX-1B8L1-0011-R10b-SM-7P8Q4,0.0435615,1000.02,0.07063430000000001,0.08158
6,GTEX-1445S-3026-SM-5O9BR,0.0435615,1000.02,0.07063430000000001,0.08158
7,GTEX-1B8SF-0011-R8b-SM-7P8SX,0.0435615,925.672,74.4183,0.08158
8,GTEX-15ER7-0011-R7a-SM-6M46N,0.0435615,1000.02,0.07063430000000001,0.08158
9,GTEX-14ASI-0011-R5b-SM-6EU2M,0.0435615,1000.02,0.07063430000000001,0.08158
10,GTEX-OHPN-0011-R1A-SM-2I5GB,102.554,897.5089999999999,0.07063430000000001,0.08158
11,GTEX-11DYG-0011-R5a-SM-DO928,0.0435615,1000.02,0.07063430000000001,0.08158
12,GTEX-1B933-0011-R10b-SM-9OSVN,0.0435615,1000.02,0.07063430000000001,0.08158
13,GTEX-1IKK5-0011-R5b-SM-CL55B,0.0435615,1000.02,0.07063430000000001,0.08158
14,GTEX-1IY9M-0011-R7a-SM-D4P49,0.0435615,1000.02,0.07063430000000001,0.08158
15,GTEX-ZE9C-3026-SM-4WKHB,0.0435615,1000.02,0.07063430000000001,0.08158
16,GTEX-1MJK2-3026-SM-EV7A5,0.0435615,1000.02,0.07063430000000001,0.08158
17,GTEX-144GL-0011-R11b-SM-5P9F6,0.0435615,1000.02,0.07063430000000001,0.08158
18,GTEX-13FXS-0011-R9a-SM-5K7UI,0.0435615,842.0419999999999,0.07063430000000001,158.06
19,GTEX-11ZVC-0011-R1b-SM-5BC6M,0.0435615,1000.02,0.07063430000000001,0.08158
20,GTEX-P44G-0011-R7A-SM-2I3F9,0.0435615,1000.02,0.07063430000000001,0.08158
21,GTEX-14C39-0011-R3b-SM-5YYA3,0.0435615,1000.02,0.07063430000000001,0.08158
22,GTEX-1GF9V-0011-R10b-SM-CKZNP,0.0435615,1000.02,0.07063430000000001,0.08158
23,GTEX-NPJ7-0011-R9a-SM-2TC5R,152.804,625.707,221.623,0.08158
24,GTEX-1313W-0011-R7b-SM-5DUWL,0.0435615,1000.02,0.07063430000000001,0.08158
25,GTEX-13QJC-0011-R8b-SM-5S2U6,0.0435615,1000.02,0.07063430000000001,0.08158
26,GTEX-Z93S-0011-R7b-SM-4RGNK,0.0435615,1000.02,0.07063430000000001,0.08158
27,GTEX-1HSMO-0011-R2a-SM-CL553,13.0026,892.837,0.07063430000000001,94.3058
28,GTEX-1B996-0011-R10b-SM-CJI3T,0.0435615,917.346,82.7443,0.08158
29,GTEX-1B933-0011-R2b-SM-7IGNM,0.0435615,1000.02,0.07063430000000001,0.08158
30,GTEX-1GZHY-3026-SM-7MXVA,0.0435615,1000.02,0.07063430000000001,0.08158
31,GTEX-131YS-3126-SM-5KLYT,0.0435615,1000.02,0.07063430000000001,0.08158
32,GTEX-WL46-2826-SM-3LK81,0.0435615,1000.02,0.07063430000000001,0.08158
