,Topic 1,Topic 2,Topic 3,Topic 4
ENSG00000117586,0.00113934,0.000941066,0.000832969,0.000230032
ENSG00000196787,0.00112744,3.9367e-05,0.000210276,0.000169467
ENSG00000272825,0.00111426,0.000282073,0.000143282,0.000179315
ENSG00000274020,0.00110619,0.00104153,0.000408252,0.000691655
ENSG00000188765,0.00108497,0.000399491,0.000555677,0.000287418
ENSG00000073861,0.00108305,3.63649e-10,0.00010782,0.000355321
ENSG00000246582,0.00106525,,2.79311e-07,0.000719775
ENSG00000139187,0.00106264,0.00101082,0.000989292,0.000270208
ENSG00000096996,0.0010624,0.000219758,5.03766e-05,0.000364646
ENSG00000236383,0.0010599,1.55895e-05,0.000392464,0.000461191
ENSG00000255443,0.00105271,2.48411e-05,0.000127551,0.00101599
ENSG00000236675,0.0010523,0.00060562,0.000307299,0.000362016
ENSG00000185955,0.00105134,0.00106902,0.000471242,0.000327744
ENSG00000105255,0.00104848,0.00115996,6.32415e-06,0.000191878
ENSG00000105369,0.00103896,,0.000133192,0.000459635
ENSG00000145779,0.00103493,3.17409e-05,0.000824332,0.00106383
ENSG00000112137,0.00103238,0.00100063,0.000813123,0.000537644
ENSG00000144554,0.00103099,0.000178477,0.000538365,0.000942814
ENSG00000196866,0.00102897,0.000157989,0.000199277,0.000474723
ENSG00000137804,0.00102543,0.000455467,0.000867377,0.000848034
ENSG00000271614,0.00102472,0.0010201,0.000828253,0.000705207
ENSG00000160117,0.00102268,0.000919912,0.000736298,0.000468041
ENSG00000229124,0.00102256,0.00026417,0.000915332,0.000913231
ENSG00000157193,0.00101905,0.000964879,0.000668845,0.000944924
ENSG00000263528,0.00101859,0.000905058,0.000735799,0.00105742
ENSG00000235119,0.00101697,0.000108568,0.00045872,0.000680814
ENSG00000203497,0.00101166,0.000871436,0.000831889,0.00103868
ENSG00000279491,0.00101163,0.00078441,0.000206596,0.000383199
ENSG00000064012,0.00100895,0.000386637,0.00100563,0.00101224
