i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68,Topic 69,Topic 70,Topic 71,Topic 72,Topic 73,Topic 74,Topic 75,Topic 76,Topic 77,Topic 78,Topic 79,Topic 80,Topic 81,Topic 82,Topic 83,Topic 84,Topic 85,Topic 86,Topic 87,Topic 88,Topic 89,Topic 90,Topic 91,Topic 92,Topic 93,Topic 94,Topic 95,Topic 96,Topic 97,Topic 98,Topic 99,Topic 100,Topic 101,Topic 102,Topic 103,Topic 104,Topic 105,Topic 106,Topic 107,Topic 108,Topic 109,Topic 110,Topic 111,Topic 112,Topic 113,Topic 114,Topic 115,Topic 116,Topic 117,Topic 118,Topic 119,Topic 120,Topic 121,Topic 122,Topic 123,Topic 124,Topic 125,Topic 126,Topic 127
0,GTEX-111CU-1426-SM-5GZYP,0.005017667844522968,0.00017667844522968197,0.003992932862190813,0.0012367491166077739,0.001978798586572438,0.00021201413427561838,0.0022614840989399294,0.08250883392226148,0.001342756183745583,0.040530035335689045,0.0180565371024735,0.01332155477031802,0.006007067137809187,0.003674911660777385,0.11250883392226148,0.01597173144876325,3.53356890459364e-05,0.0,0.011236749116607775,0.0006007067137809187,0.0003180212014134276,0.0029681978798586574,0.0004946996466431095,0.00042402826855123676,0.0,0.0,0.00042402826855123676,0.021130742049469964,0.001978798586572438,0.0012367491166077739,0.0006007067137809187,0.09109540636042403,0.0,0.003109540636042403,0.00010600706713780919,0.007102473498233216,0.0004593639575971731,0.007809187279151943,0.00010600706713780919,0.018374558303886925,0.0003180212014134276,0.0107773851590106,0.00038869257950530035,0.00038869257950530035,0.0001413427561837456,0.0012367491166077739,0.002685512367491166,0.0,0.0001413427561837456,0.0007420494699646643,0.015724381625441698,7.06713780918728e-05,7.06713780918728e-05,0.0,0.0061130742049469965,0.0014487632508833922,0.0008480565371024735,0.004240282685512367,0.00010600706713780919,0.0021908127208480565,3.53356890459364e-05,7.06713780918728e-05,0.00901060070671378,0.015017667844522967,0.0001413427561837456,3.53356890459364e-05,0.0006007067137809187,0.0006360424028268552,0.0011307420494699647,0.0006007067137809187,0.026925795053003534,0.04106007067137809,0.04166077738515901,0.0,0.010459363957597173,7.06713780918728e-05,3.53356890459364e-05,0.008692579505300353,0.0007420494699646643,0.0008833922261484099,0.004169611307420495,0.004240282685512367,0.0007773851590106007,0.0887279151943463,0.03282685512367491,0.0003180212014134276,0.0006007067137809187,0.00017667844522968197,0.002756183745583039,0.006289752650176678,0.0017314487632508833,0.07130742049469965,0.0005300353356890459,0.007455830388692579,0.002402826855123675,0.02127208480565371,3.53356890459364e-05,0.005406360424028269,0.0029681978798586574,0.0,0.008939929328621908,0.0006360424028268552,0.00480565371024735,0.0010954063604240282,0.0025441696113074207,0.0020848056537102473,0.009964664310954064,0.00035335689045936394,0.0003180212014134276,0.00024734982332155476,0.0006007067137809187,3.53356890459364e-05,0.004169611307420495,0.00265017667844523,0.0,3.53356890459364e-05,0.0010954063604240282,0.0015901060070671379,0.004134275618374558,0.0,0.0010247349823321555,0.0003180212014134276,0.0005653710247349824,0.0002826855123674912,0.00010600706713780919,0.0013780918727915195,0.013180212014134276
1,GTEX-111FC-0226-SM-5N9B8,0.011379511059371362,0.00023282887077997672,0.011903376018626309,0.00020372526193247962,0.0002910360884749709,0.001018626309662398,0.0008731082654249127,0.09062863795110594,0.013969732246798603,0.09257857974388824,0.021449359720605354,0.006926658905704307,0.006402793946449359,0.012485448195576251,0.13827124563445867,0.04295692665890571,0.000989522700814901,0.0,0.02168218859138533,0.00014551804423748544,0.0006111757857974389,0.0036961583236321304,0.00011641443538998836,0.0003492433061699651,0.0,2.910360884749709e-05,2.910360884749709e-05,0.009545983701979045,8.731082654249127e-05,0.002619324796274738,8.731082654249127e-05,0.0879511059371362,0.0,0.010360884749708964,0.00023282887077997672,0.002008149010477299,0.0010768335273573923,0.00014551804423748544,0.0014260768335273575,0.017578579743888243,0.00040745052386495924,0.015133876600698487,0.004307334109429569,0.00043655413271245633,0.000960419091967404,0.00014551804423748544,0.00040745052386495924,2.910360884749709e-05,0.0003492433061699651,0.00011641443538998836,0.023166472642607683,0.001658905704307334,2.910360884749709e-05,2.910360884749709e-05,0.002910360884749709,0.001629802095459837,0.0003783469150174622,0.005820721769499418,2.910360884749709e-05,0.0011059371362048894,0.0007566938300349244,2.910360884749709e-05,0.004860302677532014,0.0007275902211874273,0.0015715948777648427,0.00040745052386495924,0.004074505238649592,0.00046565774155995343,0.0005529685681024447,0.0023573923166472642,0.016268917345750873,0.0005820721769499418,0.004918509895227009,0.000640279394644936,0.012077997671711293,0.00017462165308498254,0.0021245634458672874,0.02418509895227008,0.0034924330616996507,0.0009022118742724098,0.0047147846332945284,0.009022118742724098,0.001658905704307334,0.00014551804423748544,0.00023282887077997672,0.0009313154831199069,0.00014551804423748544,0.001280558789289872,0.015337601862630966,0.010564610011641443,0.0054423748544819555,0.020721769499417928,0.0011059371362048894,0.0032305005820721768,0.00020372526193247962,0.005878928987194412,0.0005529685681024447,0.0005238649592549476,0.01821885913853318,0.0007857974388824214,0.013416763678696158,0.001629802095459837,0.0034924330616996507,0.0011350407450523865,0.019906868451688008,0.052561117578579744,0.015133876600698487,0.00043655413271245633,0.0018626309662398137,0.0015715948777648427,0.00020372526193247962,0.0023864959254947613,0.0027939464493597207,0.0,5.820721769499418e-05,0.0013678696158323633,0.0006111757857974389,0.010681024447031432,0.00011641443538998836,0.0007275902211874273,0.0,0.003870779976717113,0.0002910360884749709,0.0015133876600698488,0.00017462165308498254,0.0007275902211874273,0.010069848661233992
2,GTEX-111YS-0006-SM-5NQBE,0.00042089313523296435,4.208931352329643e-05,1.0522328380824108e-05,0.0,0.0,5.2611641904120544e-05,0.0,0.038406498590008,0.0,0.006850035775916495,0.0018203628098825708,0.002314912243781304,7.365629866576877e-05,0.0005155940906603813,0.01643587693084726,0.0003998484784713161,0.0,1.0522328380824108e-05,0.0065133212677301235,0.00015783492571236164,4.208931352329643e-05,3.156698514247233e-05,0.0,0.00212551033292647,0.00021044656761648217,0.0,0.0,0.0006208173744686224,0.00014731259733153753,0.00029462519466307507,0.0,0.014457679195252326,0.0,0.0,0.0,0.0031461761858664087,0.0,0.0,0.0,0.021086746075171515,0.0003051475230438992,0.0005682057325645019,0.0,0.0005682057325645019,0.0,4.208931352329643e-05,0.001052232838082411,0.0,0.0,0.00026305820952060273,0.002136032661307294,0.0,0.0,1.0522328380824108e-05,0.002020287049118229,2.1044656761648216e-05,0.00032619217980554735,0.01062755166463235,0.008417862704659287,0.005408476787743592,0.0,0.0,0.010353971126730923,0.0,0.004766614756513321,0.0,0.0,6.313397028494466e-05,9.470095542741698e-05,0.00018940191085483395,0.004040574098236458,4.208931352329643e-05,0.0003577591649480197,0.0,0.006839513447535671,4.208931352329643e-05,4.208931352329643e-05,4.208931352329643e-05,0.00019992423923565806,0.0001157456121890652,0.00230438991540048,0.001957153078833284,0.023064943810766448,0.0,2.1044656761648216e-05,0.00442990024832695,2.1044656761648216e-05,0.002514836483016962,0.0,0.002157077318068942,4.208931352329643e-05,0.0011258891367481795,0.0,0.00860726461551412,4.208931352329643e-05,5.2611641904120544e-05,0.0,0.00230438991540048,1.0522328380824108e-05,0.7237467906898438,0.009196515004840271,0.01541521107790732,0.00028410286628225096,0.0003788038217096679,0.0,0.0,0.000978576539416642,3.156698514247233e-05,3.156698514247233e-05,0.0,0.0,0.0,0.012605749400227283,3.156698514247233e-05,0.0,0.0,0.00014731259733153753,0.00041037080685214024,0.0012100677637947724,0.0,1.0522328380824108e-05,0.0036617702765267897,0.0012521570773180689,0.0,0.00032619217980554735,0.0,0.006481754282587651
3,GTEX-111YS-0326-SM-5GZZ3,0.013262337918453878,0.0,0.004240003944189715,9.860474288813292e-05,0.00014790711433219938,0.0003451166001084652,0.00389488734408125,0.06014889316176108,0.004782330030074447,0.025587930779470493,0.017157225262535127,0.005078144258738845,0.013410245032786077,0.004190701572745649,0.10003451166001084,0.02593304737957896,0.0020213972292067246,0.0,0.004831632401518513,0.0003451166001084652,0.0006902332002169304,0.004387911058521915,0.00014790711433219938,4.930237144406646e-05,0.0,0.0014297687718779273,0.0005423260858847311,0.04698515998619534,4.930237144406646e-05,0.005324656115959178,4.930237144406646e-05,0.07893309668195041,0.0,0.004930237144406646,0.0009367450574372627,0.0005916284573287975,0.0005916284573287975,9.860474288813292e-05,0.0008381403145491298,0.005768377458955776,9.860474288813292e-05,0.007839077059606568,0.001281861657545728,0.00029581422866439876,9.860474288813292e-05,9.860474288813292e-05,4.930237144406646e-05,0.0,0.00029581422866439876,0.0010846521717694621,0.010895824089138688,0.09500566977271607,0.01084652171769462,0.0,0.003451166001084652,0.015776758862101267,0.001183256914657595,0.002908839915199921,0.0,0.00019720948577626584,0.00014790711433219938,0.0,0.012029778632352215,9.860474288813292e-05,0.00029581422866439876,0.0,0.006853029630725238,0.0003451166001084652,0.00029581422866439876,0.0006902332002169304,0.024552580979145096,0.0003944189715525317,0.0008381403145491298,0.002662328057979589,0.003845584972637184,4.930237144406646e-05,0.0011339545432135286,0.0657200611349406,0.07281960262288616,0.0003944189715525317,0.0009860474288813292,0.006409308287728639,0.0002465118572203323,0.0,0.0,9.860474288813292e-05,9.860474288813292e-05,0.0010353498003253957,0.010895824089138688,0.0035990731154168514,0.009416752945816695,0.00389488734408125,0.0003451166001084652,0.0013311640289897944,4.930237144406646e-05,0.0035004683725287184,0.0025144209436473892,0.0002465118572203323,0.002662328057979589,0.00044372134299659814,0.01015628851747769,0.00029581422866439876,0.09175171325740768,0.0013804664004338609,0.007691169945274368,4.930237144406646e-05,0.02154513632105704,0.00014790711433219938,0.0062120988019523735,0.0018734901148745255,0.0014790711433219938,0.001725583000542326,0.002662328057979589,0.0,0.005965586944732042,0.0017748853719863926,0.0003451166001084652,0.0008874426859931963,0.0002465118572203323,0.0,0.0004930237144406646,0.0,0.00029581422866439876,0.003007444658088054,0.0004930237144406646,0.001281861657545728,0.008036286545382833
4,GTEX-111YS-2426-SM-5GZZQ,0.008981438360721176,3.326458652118954e-05,0.008914909187678796,3.326458652118954e-05,0.0001663229326059477,0.0012640542878052025,0.0014969063934535294,0.08089947441953296,0.023085623045705543,0.05388863016432706,0.01889428514403566,0.0070520923424921824,0.004790100459051294,0.009114496706805935,0.1186215155345619,0.034495376222473555,0.0009979375956356863,0.0,0.010511609340695895,6.652917304237908e-05,0.0007650854899873595,0.0035260461712460912,9.979375956356863e-05,0.00023285210564832678,0.0,0.0,0.0,0.011043842725034928,0.00029938127869070586,0.0021289335373561305,3.326458652118954e-05,0.07780586787306233,0.0,0.007451267380746457,0.0001663229326059477,0.0026279023351739737,0.001729758499101856,0.00036591045173308496,0.0003991750382542745,0.014603153482802209,0.00019958751912713726,0.01596700153017098,0.0040582795555851245,0.0002661166921695163,0.00019958751912713726,3.326458652118954e-05,0.0004989687978178432,0.0,0.001230789701284013,0.00013305834608475815,0.029605482003858694,6.652917304237908e-05,9.979375956356863e-05,0.0,0.004124808728627504,0.0028607544408223006,0.00013305834608475815,0.005089481737742,9.979375956356863e-05,0.001530170979974719,0.0,0.00013305834608475815,0.01167586986893753,0.00036591045173308496,0.00023285210564832678,0.0005654979708602222,0.0018295522586654247,0.001031202182156876,0.0002661166921695163,0.002594637748652784,0.015068857694098863,0.00046570421129665357,0.003426252411682523,9.979375956356863e-05,0.009679994677666157,3.326458652118954e-05,0.0002661166921695163,0.1456988889628102,0.0008316146630297386,0.0008316146630297386,0.005521921362517464,0.006785975650322667,0.001729758499101856,6.652917304237908e-05,0.0008316146630297386,0.0005654979708602222,9.979375956356863e-05,0.001596700153017098,0.048898942186148625,0.00874858625507285,0.009014702947242366,0.010711196859823033,0.0018628168451866143,0.0027276960947375424,0.00023285210564832678,0.012208103253276563,0.00023285210564832678,0.0005322333843390326,0.001596700153017098,0.0015634355664959085,0.012607278291530835,0.001530170979974719,0.03253276561772337,0.006985563169449803,0.01160934069589515,0.01157607610937396,0.015567826491916705,0.0009979375956356863,0.0007650854899873595,0.0013971126338899608,0.00013305834608475815,0.0013305834608475816,0.0022952564699620782,0.0,0.0,0.0006652917304237908,0.0003326458652118954,0.0006985563169449804,0.0014969063934535294,0.0006320271439026013,0.0,0.0003991750382542745,0.0004989687978178432,0.00023285210564832678,6.652917304237908e-05,0.00036591045173308496,0.011875457388064666
5,GTEX-1122O-0005-SM-5O99J,0.0004929088342706069,0.00011202473506150159,2.2404947012300316e-05,0.0,0.0,8.961978804920126e-05,0.0,0.05731185445746421,0.0,0.004839468554656869,0.002397329330316134,0.0030806802141912933,0.0001568346290861022,0.000851387986467412,0.023894875988618287,0.000851387986467412,0.0,0.0,0.015380996123944167,0.00038088409920910535,7.84173145430511e-05,3.360742051845048e-05,0.0,0.0008177805659489616,0.0004032890462214057,0.0,3.360742051845048e-05,0.0006721484103690095,0.0007953756189366612,0.0002912643111599041,0.0,0.02196805054556046,0.0,0.0,2.2404947012300316e-05,0.0066542692626531934,0.0,1.1202473506150158e-05,0.0,0.02626980037192212,0.0004032890462214057,0.0009410077745166133,0.0,0.0007729706719243609,0.0,6.721484103690095e-05,0.001053032509578115,0.0,0.0,0.0005601236753075079,0.0037080187305357022,0.0,0.0,0.0,0.0038536508861156545,1.1202473506150158e-05,0.0003920865727152555,0.020746980933390093,0.012927654426097283,0.010194250890596643,0.0,1.1202473506150158e-05,0.011023233930051755,0.0,0.005097125445298322,0.0,0.0,8.961978804920126e-05,0.0001568346290861022,0.00028006183765375394,0.0037416261510541528,2.2404947012300316e-05,0.0002912643111599041,0.0,0.009298053010104631,0.0001344296820738019,8.961978804920126e-05,5.601236753075079e-05,5.601236753075079e-05,0.00019044204960455267,0.004380167140904711,0.002901440638092891,0.03765151345417068,0.0,0.0002912643111599041,0.00913001590751238,2.2404947012300316e-05,0.004929088342706069,0.0,0.0026997961149821882,6.721484103690095e-05,0.0009746151950350637,1.1202473506150158e-05,0.01487688481616741,4.480989402460063e-05,8.961978804920126e-05,1.1202473506150158e-05,0.0025317590123899356,3.360742051845048e-05,0.5926220509488495,0.013969484462169246,0.016590863262608384,0.00024645441713530347,0.000212846996616853,1.1202473506150158e-05,0.0,0.0012882844532072682,0.0001344296820738019,8.961978804920126e-05,0.0,0.0,0.0,0.01845047386462931,1.1202473506150158e-05,0.0,0.0,0.0005265162547890575,0.00045930141375215646,0.0016915734994286738,0.0,2.2404947012300316e-05,0.006463827213048641,0.0026661886944637377,1.1202473506150158e-05,0.0007169583043936101,0.0,0.009085206013487779
6,GTEX-1122O-0426-SM-5H12G,0.013918080688983443,0.00010252729789306403,0.008663556671963911,5.1263648946532017e-05,0.00020505459578612807,0.0003588455426257241,0.0015379094683959603,0.08796842159224894,0.004024196442302763,0.03985748705592864,0.01783974983339314,0.006433587942789767,0.007176910852514482,0.012380171220587481,0.11506126006049111,0.037345568257548575,7.689547341979802e-05,0.0,0.011329266417183575,0.00017942277131286204,0.0004870046649920541,0.006689906187522428,7.689547341979802e-05,0.00017942277131286204,5.1263648946532017e-05,0.0017429640641820885,5.1263648946532017e-05,0.00879171579433024,0.0002819500692059261,0.002563182447326601,0.00043574101604552213,0.07897165120213256,0.0,0.02055672322755934,0.00015379094683959604,0.003409032654944379,0.0003332137181524581,0.0,0.0016917004152355564,0.010047675193520275,0.00017942277131286204,0.011688111959809299,0.006971856256728354,0.00017942277131286204,0.0005126364894653202,5.1263648946532017e-05,0.00015379094683959604,0.0010765366278771722,0.0012303275747167683,0.0002819500692059261,0.013892448864510175,0.004459937458348285,0.0006151637873583842,0.0,0.0024350233249602706,0.0023837596760137385,0.0005639001384118522,0.0019992823089147486,0.0,0.0005126364894653202,0.00041010919157225613,0.00015379094683959604,0.0039216691444096995,7.689547341979802e-05,0.002819500692059261,0.0,0.009406879581688624,0.0007689547341979802,0.00043574101604552213,0.0009227456810375763,0.01663505408314964,0.0006151637873583842,0.003844773670989901,0.004357410160455221,0.005177628543599733,2.5631824473266008e-05,7.689547341979802e-05,0.0634131337468601,0.005023837596760138,0.0004870046649920541,0.0026400779207463986,0.006382324293843236,0.0007433229097247142,0.0,0.00043574101604552213,0.0002819500692059261,7.689547341979802e-05,0.0005382683139385861,0.0220946326959553,0.006049110575690778,0.0015891731173424924,0.003485928128364177,0.0010509048034039062,0.003178346234684985,0.00017942277131286204,0.002563182447326601,0.0002819500692059261,0.002332496027067207,0.12603168093504896,0.0003844773670989901,0.010534679858512329,0.0005895319628851181,0.00930435228379556,0.0009996411544573743,0.04334341518429282,0.0013328548726098323,0.01335418055057159,0.0,0.006843697134362024,0.0047931511765007435,0.00020505459578612807,0.0003332137181524581,0.005049469421233403,0.0,0.0004870046649920541,0.0010252729789306404,0.0006151637873583842,0.013815553391090378,7.689547341979802e-05,0.00023068642025939406,0.00012815912236633004,0.00020505459578612807,0.0002563182447326601,0.01868560004101092,0.0002819500692059261,2.5631824473266008e-05,0.018378018147331726
7,GTEX-1122O-0626-SM-5N9B9,0.017675768368289144,4.396957305544563e-05,0.004089170294156444,0.00026381743833267377,0.00021984786527722816,0.0003957261574990107,0.0023303873719386185,0.06705359890955459,0.0040012311480455524,0.029899309677703028,0.019390581717451522,0.004880622609154465,0.014422019962186167,0.004572835597766346,0.11040759794222398,0.02818449632854065,0.0030339005408257487,0.0,0.004045200721100998,0.0003957261574990107,0.00048366530360990196,0.004792683463043574,0.00017587829222178252,0.0,0.0,0.0006595435958316845,0.0009673306072198039,0.04849843908015653,4.396957305544563e-05,0.004440926878600009,4.396957305544563e-05,0.09216022512421404,0.0,0.004704744316932683,0.0007474827419425758,0.002374356944994064,0.0006155740227762388,0.00013190871916633689,0.0012311480455524776,0.008793914611089127,8.793914611089126e-05,0.00734291870025942,0.0009673306072198039,0.00017587829222178252,8.793914611089126e-05,8.793914611089126e-05,0.00017587829222178252,0.0,0.0004396957305544563,0.001319087191663369,0.011344149848304973,0.09932726553225169,0.007430857846370311,0.0,0.00312183968693664,0.010420788814140615,0.002374356944994064,0.0023303873719386185,4.396957305544563e-05,0.00026381743833267377,8.793914611089126e-05,4.396957305544563e-05,0.007430857846370311,0.00013190871916633689,0.0005716044497207932,0.0,0.005847953216374269,0.0006155740227762388,0.00026381743833267377,0.0008793914611089126,0.032449544914918874,0.00048366530360990196,0.002022600360550499,0.004089170294156444,0.004440926878600009,0.0,0.0010992393263861409,0.05302730510486743,0.10574682319834675,0.00021984786527722816,0.0017148133491623797,0.007694675284702986,0.0004396957305544563,0.0,0.0,0.00013190871916633689,0.0,0.0011432088994415865,0.005012531328320802,0.00422107901332278,0.008837884184144572,0.006287648946928725,0.0003077870113881194,0.0020665699336059446,8.793914611089126e-05,0.004704744316932683,0.001187178472497032,0.0003077870113881194,0.003473596271380205,0.000835421888053467,0.010596667106362397,0.0004396957305544563,0.013762476366354482,0.0018027524952732709,0.0036055049905465418,0.0,0.019170733852174295,0.00017587829222178252,0.007782614430813877,0.002638174383326738,0.0016268742030514883,0.003341687552213868,0.0029019918216594115,0.0,0.0110803324099723,0.0021984786527722818,0.00048366530360990196,0.0032537484061029767,8.793914611089126e-05,0.0,0.0007035131688871301,0.00021984786527722816,0.00035175658444356505,0.002506265664160401,0.00035175658444356505,0.0009233610341643582,0.008574066745811898
8,GTEX-1122O-1026-SM-9WYSF,0.0069539525834114,0.0006845860056208114,0.002233912228867911,3.603084240109534e-05,0.0005044317936153348,0.0037111767673128197,0.00043237010881314405,0.07696187936873965,0.002774374864884341,0.1275852129422786,0.024645096202349212,0.011349715356345031,0.0037111767673128197,0.009223895654680406,0.15316711104705627,0.019456654896591482,0.0001801542120054767,0.039922173380413636,0.02929307487209051,0.0012610794840383368,0.0005404626360164301,0.005008287093752252,0.0024861281256755782,0.0,0.00010809252720328601,0.0,0.00021618505440657203,0.01066512935072422,3.603084240109534e-05,0.001297110326439432,0.0,0.11018231606254954,0.007566476904230021,0.003314837500900771,0.0011529869568350508,0.0018375729624558622,0.0012250486416372415,0.003278806658499676,0.0020897888592635297,0.008971679757872738,0.0003603084240109534,0.010557036823520934,0.00843121712185631,7.206168480219068e-05,0.0019096346472580528,0.007458384377026735,0.00634142826259278,0.0,0.0011169561144339555,0.0002522158968076674,0.01599769402608633,0.0001801542120054767,3.603084240109534e-05,0.0,0.00749441521942783,0.0019096346472580528,0.0002882467392087627,0.004215608560928155,0.0,0.000324277581609858,0.0,0.00039633926641204873,0.0036030842401095337,3.603084240109534e-05,7.206168480219068e-05,0.0,0.0001801542120054767,0.002233912228867911,0.017727174461338906,0.00021618505440657203,0.01848382215176191,0.008323124594653022,0.0009368019024284788,3.603084240109534e-05,0.009512142393889169,0.0047560711969445845,0.0002522158968076674,0.008215032067449737,0.0009728327448295741,0.00010809252720328601,0.0017294804352525762,0.006557613316999352,0.0005044317936153348,7.206168480219068e-05,0.0,7.206168480219068e-05,0.00021618505440657203,0.0010809252720328602,0.005080348778554442,0.007386322692224544,0.00479210203934568,0.017655112776536714,0.0049722562513511565,0.00425163940332925,0.0013331411688405274,0.010521005981119838,0.0,0.015205015493262232,0.00014412336960438135,0.0037111767673128197,0.015889601498883042,0.00043237010881314405,0.014808676226850184,0.001477264538444909,0.0005044317936153348,0.015781508971679757,0.014556460330042516,0.0001801542120054767,0.00021618505440657203,0.00010809252720328601,3.603084240109534e-05,0.00014412336960438135,0.0034949917129062477,0.002594220652878864,0.0,0.0002882467392087627,0.008719463861065072,0.0018736038048569575,0.0,0.0007926785328240975,0.0031346832888952945,0.0016213879080492902,0.0002882467392087627,0.00010809252720328601,0.0,0.00014412336960438135,0.010448944296317647
9,GTEX-1122O-1526-SM-5N9CL,0.004993419524657428,0.000464504141828598,0.004257954633428815,0.0005032128203143145,0.0022838120306572732,0.00019354339242858248,0.002477355423085856,0.09363629325694821,0.0012773863900286445,0.04412789347371681,0.02245103352171557,0.012309359758457846,0.005961136486800341,0.003638615777657351,0.12394518851126422,0.019199504528915383,3.87086784857165e-05,0.0,0.008554617945343346,0.000464504141828598,0.00042579546334288145,0.002593481458543005,0.000619338855771464,0.001083842997600062,0.0,3.87086784857165e-05,0.0008902996051714794,0.024231632732058528,0.0011999690330572114,0.0017418905318572423,0.00038708678485716496,0.09530076643183402,0.0,0.002593481458543005,0.000232252070914299,0.00441278934737168,0.00019354339242858248,0.010915847332972052,7.7417356971433e-05,0.01660602307037238,0.0005032128203143145,0.014244793682743671,0.00019354339242858248,0.0008128822482000465,3.87086784857165e-05,0.001393512425485794,0.0022838120306572732,0.0,0.0001161260354571495,0.0011225516760857784,0.018502748316172487,0.000154834713942866,0.0001161260354571495,0.0001161260354571495,0.0050708368816288615,0.001858016567314392,0.001238677711542928,0.00452891538282883,0.0003483781063714485,0.0011612603545714949,7.7417356971433e-05,3.87086784857165e-05,0.0157157234652009,0.011535186188743517,7.7417356971433e-05,0.0,0.0005032128203143145,0.0005806301772857474,0.0014322211039715105,0.0009677169621429124,0.0232252070914299,0.03317333746225904,0.06294031121777502,0.0,0.014786715181543703,3.87086784857165e-05,0.0,0.008554617945343346,0.0005032128203143145,0.0013548037470000774,0.005845010451343191,0.004722458775257413,0.0011999690330572114,0.05918556940466053,0.01803824417434389,0.0003483781063714485,0.0003483781063714485,0.00019354339242858248,0.002593481458543005,0.006309514593171789,0.0021289773167144075,0.05527599287760316,0.000541921498800031,0.009677169621429125,0.000619338855771464,0.014670589146086552,0.0,0.002941859564914454,0.0020515599597429744,0.00019354339242858248,0.01037392583417202,0.001470929782457227,0.005574049701943176,0.001625764496400093,0.0012773863900286445,0.0027483161724858713,0.009638460942943407,0.00038708678485716496,0.0003483781063714485,0.000541921498800031,0.0011999690330572114,3.87086784857165e-05,0.002941859564914454,0.0059224278083146245,0.0,7.7417356971433e-05,0.0005806301772857474,0.0015483471394286599,0.007083688162886119,0.0,0.0012773863900286445,0.000309669427885732,0.00042579546334288145,0.00019354339242858248,7.7417356971433e-05,0.0030192769218858866,0.010799721297514903
