Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
GTEX-1H3NZ-1326-SM-9JGHI,GTEX-1EU9M-0326-SM-7RHGF,GTEX-14E6E-0006-SM-5MR5N,GTEX-ZZPU-0926-SM-5GZYT,GTEX-1RLM8-0726-SM-E6CRH,GTEX-14JIY-0426-SM-62LF7,GTEX-WYVS-0008-SM-4ONDY,GTEX-1GZHY-0011-R11a-SM-C1YRQ,GTEX-WXYG-0226-SM-3NB2Y,GTEX-OIZG-0426-SM-3LK5W
GTEX-R55D-1826-SM-48FEF,GTEX-1IDJF-1826-SM-CKZOE,GTEX-13U4I-0006-SM-5N9CI,GTEX-13O3P-1426-SM-5L3DT,GTEX-1M4P7-0226-SM-DIPEV,GTEX-13S7M-0326-SM-5S2PH,GTEX-R53T-0008-SM-48FEW,GTEX-13FLV-0011-R6a-SM-5KLZ4,GTEX-QXCU-0326-SM-2TC63,GTEX-U3ZN-2526-SM-3DB7V
GTEX-1LGRB-1426-SM-CNNPT,GTEX-13QBU-0626-SM-5J2OG,GTEX-1I1CD-0005-SM-ADEGY,GTEX-13OW6-0926-SM-5L3GM,GTEX-1MCYP-1026-SM-DPRYB,GTEX-13U4I-1826-SM-5IJD2,GTEX-1IDJH-1026-SM-E9TKH,GTEX-1B8L1-0011-R10b-SM-7P8Q4,GTEX-14A5H-0526-SM-5TDCN,GTEX-WFON-2526-SM-3LK7P
GTEX-1LSVX-1726-SM-DHXJP,GTEX-1IDJH-2826-SM-CJI49,GTEX-1HGF4-0002-SM-EZ6M7,GTEX-RWS6-0326-SM-2XCAP,GTEX-QDT8-0126-SM-48TZ1,GTEX-1LGRB-2626-SM-CNPPR,GTEX-RVPV-0008-SM-47JYW,GTEX-13CF2-0011-R11b-SM-5LZXO,GTEX-1GMR2-2526-SM-9MQKW,GTEX-1JK1U-0426-SM-CYPSP
GTEX-1MA7W-0626-SM-EV79Z,GTEX-13OW5-2826-SM-5KM1G,GTEX-15D1Q-0006-SM-9KNTN,GTEX-13PVR-0926-SM-5S2RB,GTEX-XQ8I-1526-SM-4BOOH,GTEX-1B8L1-2726-SM-793AL,GTEX-16MTA-0008-SM-EAZC6,GTEX-WZTO-0011-R4A-SM-3NMC7,GTEX-1HCU9-0226-SM-9WPNT,GTEX-1JKYR-1226-SM-CM2S7
GTEX-1R9PM-1526-SM-DPRY8,GTEX-1IDJH-0826-SM-CE6SY,GTEX-1CB4H-0006-SM-A96RE,GTEX-13RTJ-2626-SM-7DHKR,GTEX-XQ8I-0426-SM-4BOPO,GTEX-1LSNL-0126-SM-EWRNR,GTEX-1I1GV-1326-SM-A96SE,GTEX-13CF2-0011-R1a-SM-5LZY1,GTEX-1B8KZ-1026-SM-73KYN,GTEX-17MFQ-1126-SM-7LT9O
GTEX-1RAZR-1926-SM-E6CRF,GTEX-13OVL-0326-SM-5IJCS,GTEX-P44H-0006-SM-2XCFB,GTEX-13VXT-1126-SM-5LU3A,GTEX-1HUB1-0426-SM-E9U4U,GTEX-XMD1-0626-SM-EZ6MC,GTEX-16A39-0008-SM-EAZC9,GTEX-13FHO-2926-SM-5L3ES,GTEX-13O3P-0226-SM-5KM3Z,GTEX-13O3O-1126-SM-5KM4Q
GTEX-NFK9-2026-SM-3LK5K,GTEX-RM2N-0526-SM-2TF4N,GTEX-1HCVE-0006-SM-ADEH2,GTEX-13W3W-1826-SM-5IJDE,GTEX-1MA7W-0426-SM-E9TJ5,GTEX-1I1GU-2126-SM-CGQF9,GTEX-12BJ1-0008-SM-5TDBZ,GTEX-13FLV-0011-R10b-SM-5LZZ2,GTEX-14753-0926-SM-5Q5BI,GTEX-1JMQK-0126-SM-CM2S3
GTEX-OHPL-2626-SM-2HMJA,GTEX-1IDJF-1326-SM-A9G2R,GTEX-1211K-0006-SM-5MR53,GTEX-13X6I-0926-SM-5LUAB,GTEX-XK95-0226-SM-4AT58,GTEX-QLQW-1326-SM-2S1QS,GTEX-YEC4-0008-SM-4W1YR,GTEX-WL46-2826-SM-3LK81,GTEX-1B932-0926-SM-73KUP,GTEX-1JMQK-1826-SM-CY8I1
GTEX-OHPN-2026-SM-E9TIA,GTEX-SSA3-0226-SM-32QPN,GTEX-131XG-0006-SM-5O9CE,GTEX-QEG5-0926-SM-2TC64,GTEX-1C475-0926-SM-7MKFI,GTEX-XPVG-2526-SM-4B66D,GTEX-WK11-0826-SM-EZ6LH,GTEX-Z93S-0011-R7b-SM-4RGNK,GTEX-15FZZ-0226-SM-6LLI4,GTEX-17HHY-0526-SM-793BZ
GTEX-PLZ6-0926-SM-3P5ZQ,GTEX-13OVJ-1826-SM-5KM2D,GTEX-XGQ4-0005-SM-4AT5U,GTEX-Q2AH-0526-SM-2I3ED,GTEX-13X6I-0626-SM-5QGP9,GTEX-1I1GR-0326-SM-CKZPI,GTEX-15SHU-3026-SM-6LPIB,GTEX-13FXS-0011-R9a-SM-5K7UI,GTEX-17HG3-0226-SM-7EWEA,GTEX-TMMY-0626-SM-33HBD
GTEX-S7SF-1926-SM-4AT5B,GTEX-13OVJ-1426-SM-5K7Z2,GTEX-11ZU8-0005-SM-5PNU5,GTEX-145LS-1326-SM-5Q5EP,GTEX-131XH-2226-SM-5DUXJ,GTEX-1I1GP-2126-SM-CKZPJ,GTEX-15CHC-0008-SM-E9U4J,GTEX-13G51-0011-R1a-SM-5LZYR,GTEX-15RIF-0326-SM-7KUFR,GTEX-R55E-1126-SM-48FDZ
GTEX-ZF29-1826-SM-4WKG8,GTEX-13OVI-2126-SM-5KM3U,GTEX-1ICG6-0006-SM-A96RH,GTEX-PWCY-0526-SM-5P9HG,GTEX-XAJ8-0826-SM-47JY6,GTEX-12ZZX-0326-SM-5DUVH,GTEX-ZAB4-0011-R9a-SM-4SOKG,GTEX-13G51-0011-R7b-SM-5LZXG,GTEX-11UD2-0626-SM-5GU6L,GTEX-1LB8K-1126-SM-DIPEP
GTEX-TML8-1326-SM-4DXTO,GTEX-RWS6-0626-SM-2XCAS,GTEX-1269C-0005-SM-5N9CJ,GTEX-PWCY-0426-SM-48TCW,GTEX-QVJO-1626-SM-2S1QW,GTEX-1LVAO-0526-SM-EWRNS,GTEX-11ZUS-0008-SM-5S2UO,GTEX-WHSE-0011-R3A-SM-3P5ZM,GTEX-U412-0726-SM-EVR2Y,GTEX-13PLJ-0526-SM-5K7VW
GTEX-U3ZM-1126-SM-4DXUB,GTEX-1IDJC-1326-SM-CL53H,GTEX-1HCU8-0005-SM-A96RL,GTEX-145LT-1326-SM-5O9AQ,GTEX-1LSVX-1226-SM-DHXJN,GTEX-XUYS-0326-SM-47JX2,GTEX-QXCU-0008-SM-48FCH,GTEX-WHSE-0011-R10A-SM-EYYVG,GTEX-14PN3-0326-SM-6EU1X,GTEX-S4P3-0326-SM-4AD6P
GTEX-VJYA-2126-SM-4KL1O,GTEX-13O21-1526-SM-5K7W4,GTEX-1P4AB-0005-SM-CY8GM,GTEX-OXRL-0726-SM-3NM9A,GTEX-1ICLZ-0326-SM-ARL82,GTEX-1B996-0326-SM-7DHMU,GTEX-11WQK-0008-SM-5SI6T,GTEX-13IVO-0011-R10a-SM-5LZY3,GTEX-ZAJG-0726-SM-5HL9A,GTEX-S3XE-0326-SM-4AD6L
GTEX-WHSE-2726-SM-EZ6ML,GTEX-1IKJJ-1026-SM-A96SQ,GTEX-ZC5H-0004-SM-4WAXK,GTEX-OXRL-0326-SM-2I3F2,GTEX-12WSL-2526-SM-5GCNJ,GTEX-QCQG-2126-SM-DTXFV,GTEX-QMR6-0011-R2A-SM-32PKV,GTEX-X4XY-3026-SM-EWRM9,GTEX-1C6VQ-0526-SM-7MGWD,GTEX-RWSA-0226-SM-2XCBA
GTEX-WOFM-1926-SM-4OOSP,GTEX-17F9Y-0726-SM-7LT9G,GTEX-1PBJJ-0005-SM-CKZND,GTEX-OXRK-0826-SM-2HMK7,GTEX-12WSJ-1826-SM-5GCNY,GTEX-Y3IK-2626-SM-4WWDK,GTEX-15G1A-0008-SM-E76Q5,GTEX-1B8SF-0011-R6b-SM-7MXUD,GTEX-1PWST-0726-SM-EWRMO,GTEX-13QBU-1326-SM-5LU4K
GTEX-XGQ4-1226-SM-4AT67,GTEX-17F9E-1026-SM-7DUF1,GTEX-XBED-0006-SM-47JXO,GTEX-OOBJ-0326-SM-33HBO,GTEX-X5EB-1926-SM-4E3IW,GTEX-12WSD-0526-SM-5EQ6F,GTEX-1EN7A-0726-SM-7PBXT,GTEX-1B8SF-0011-R8b-SM-7P8SX,GTEX-1PPH7-2026-SM-E9J3N,GTEX-16XZZ-1426-SM-7KUE3
GTEX-XUW1-1926-SM-4BOP1,GTEX-QV31-0726-SM-3GAEG,GTEX-131XH-0006-SM-5O98V,GTEX-14ASI-1126-SM-5QGPN,GTEX-146FQ-1026-SM-5LU8I,GTEX-144GO-1326-SM-5Q5EL,GTEX-ZE7O-0008-SM-4E3JQ,GTEX-1IY9M-0011-R9b-SM-D3L8J,GTEX-RUSQ-1026-SM-2TF6V,GTEX-13S7M-0226-SM-5S2UG
GTEX-Y8E4-2426-SM-4WWDN,GTEX-1IKOE-0826-SM-ARZME,GTEX-147JS-0006-SM-5NQ7K,GTEX-O5YV-0326-SM-2I5H2,GTEX-YEC4-1026-SM-9WG7N,GTEX-12WSA-0726-SM-5FQU2,GTEX-17F9E-0008-SM-EAZB5,GTEX-1IY9M-0011-R7a-SM-D4P49,GTEX-1POEN-1626-SM-EVYC2,GTEX-1JJEA-0726-SM-CYPSN
GTEX-ZDTT-1926-SM-5HL5W,GTEX-QLQ7-1126-SM-CYPRB,GTEX-1HBPN-0002-SM-EYYW2,GTEX-S4Z8-0726-SM-4GICB,GTEX-1HKZK-1426-SM-A96U1,GTEX-1N2DW-0426-SM-E9TK4,GTEX-XPT6-0008-SM-4B64Q,GTEX-1B933-0011-R10b-SM-9OSVN,GTEX-1I6K6-0726-SM-B2LX4,GTEX-WHPG-2326-SM-3NMBP
GTEX-1LGOU-0526-SM-D3LAO,GTEX-QLQ7-0326-SM-DHXIO,GTEX-1EKGG-0001-SM-EAZCL,GTEX-13O3O-1526-SM-5KM1C,GTEX-1211K-2026-SM-5EQ4Z,GTEX-1NHNU-1226-SM-DTX8I,GTEX-13OW5-0011-R6b-SM-5O9BW,GTEX-1B996-0011-R10b-SM-CJI3T,GTEX-1ICLY-0726-SM-A96TB,GTEX-1JJEA-0226-SM-COH2X
GTEX-1KANC-0926-SM-D3LA9,GTEX-QEL4-0326-SM-3GAE5,GTEX-1EKGG-0005-SM-AHZ1Z,GTEX-14BIN-0926-SM-5S2OZ,GTEX-1CB4E-0926-SM-7EPHT,GTEX-12696-2826-SM-5FQTY,GTEX-1B933-0011-R2b-SM-7IGNM,GTEX-131YS-3126-SM-5KLYT,GTEX-13S86-1126-SM-5RQJX,GTEX-1JJE9-1226-SM-CNPOI
GTEX-1IDJU-2026-SM-A9SLM,GTEX-1IKOE-0926-SM-ARU7X,GTEX-15DYW-0006-SM-7RHFR,GTEX-UJMC-0526-SM-3GAE3,GTEX-Y9LG-0626-SM-4WWDH,GTEX-145LV-2326-SM-5LU8Z,GTEX-1A3MX-0011-R8a-SM-7P8PI,GTEX-1IKK5-0011-R5b-SM-CL55B,GTEX-Y9LG-1226-SM-4VBQA,GTEX-1HSKV-0626-SM-CNPPL
