i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32
0,GTEX-111CU-1426-SM-5GZYP,0.14643109540636043,0.0014134275618374558,0.015936395759717316,0.012438162544169611,0.001696113074204947,0.002614840989399293,0.326643109540636,0.011837455830388692,0.2157243816254417,0.00017667844522968197,0.00265017667844523,0.002579505300353357,0.0028268551236749115,0.001872791519434629,0.0004593639575971731,0.10434628975265017,0.011166077738515901,0.0013780918727915195,0.007102473498233216,0.005053003533568905,0.0,7.06713780918728e-05,0.02812720848056537,0.0014134275618374558,0.04106007067137809,0.0,0.011660777385159011,0.03282685512367491,0.002402826855123675,0.0065017667844522965,0.0,0.0015901060070671379
1,GTEX-111FC-0226-SM-5N9B8,0.1820139697322468,0.00043655413271245633,0.030064027939464492,0.0036670547147846333,0.004016298020954598,0.005180442374854482,0.4094295692665891,0.11213620488940629,0.14030849825378347,0.0020663562281722932,0.0,0.003637951105937136,0.0013969732246798604,0.003987194412107101,0.0006111757857974389,0.000960419091967404,0.011845168800931316,0.008469150174621654,0.003579743888242142,0.0011059371362048894,2.910360884749709e-05,0.001658905704307334,0.015075669383003492,0.0011350407450523865,0.0005820721769499418,0.000640279394644936,0.04240395809080326,0.00023282887077997672,0.00020372526193247962,0.001658905704307334,0.0007857974388824214,0.010681024447031432
2,GTEX-111YS-0006-SM-5NQBE,0.02686350435624395,0.0002525358811397786,0.0004524601203754367,0.00022096889599730629,0.00027358053790142684,3.156698514247233e-05,0.07615009049202408,0.0,0.0893871795951008,0.0,4.208931352329643e-05,0.0008207416137042805,0.015120585883244244,5.2611641904120544e-05,1.0522328380824108e-05,0.0,0.05546319289532388,0.0,0.006313397028494466,0.0011890231070331243,0.0,0.0,0.0003577591649480197,0.0,4.208931352329643e-05,0.0,5.2611641904120544e-05,2.1044656761648216e-05,4.208931352329643e-05,0.0026831937371101476,0.7237467906898438,0.00041037080685214024
3,GTEX-111YS-0326-SM-5GZZ3,0.2591825666814574,9.860474288813292e-05,0.036779569097273576,0.0014297687718779273,0.0019720948577626584,0.01779815609130799,0.26470443228319285,0.028348863580338213,0.06182517379085934,0.0023172114578711234,0.0,0.002662328057979589,0.00019720948577626584,0.01809397031997239,0.0030567470295321205,0.00014790711433219938,0.0016269782576541932,0.006754424887837105,0.003944189715525317,0.00044372134299659814,0.0,0.09500566977271607,0.1178819701227629,0.001281861657545728,0.0003944189715525317,0.002662328057979589,0.06838238919292018,0.0,4.930237144406646e-05,0.0016269782576541932,0.00044372134299659814,0.0008874426859931963
4,GTEX-111YS-2426-SM-5GZZQ,0.1749384605149358,6.652917304237908e-05,0.02837469230257468,0.003991750382542745,0.0029605482003858693,0.0035925753442884703,0.33121548799148426,0.10262124941786974,0.11206839198988756,0.0028607544408223006,0.0,0.0037921628634156076,0.0011975251147628234,0.0013305834608475816,0.00023285210564832678,0.00046570421129665357,0.008050029938127869,0.007418002794225268,0.004889894218614863,0.000798350076508549,0.0,6.652917304237908e-05,0.04943117557048766,0.0009314084225933071,0.00046570421129665357,9.979375956356863e-05,0.1472955891158273,0.0008316146630297386,0.00023285210564832678,0.007517796553788836,0.0015634355664959085,0.0006985563169449804
5,GTEX-1122O-0005-SM-5O99J,0.03720341451392468,0.0005153137812829073,0.000571326148813658,0.0008289830394551116,0.0005601236753075079,8.961978804920126e-05,0.10801424954629982,1.1202473506150158e-05,0.1350794255371586,0.0,1.1202473506150158e-05,0.001344296820738019,0.023670826518495284,0.0001344296820738019,4.480989402460063e-05,0.0,0.08265184952837587,1.1202473506150158e-05,0.01135930813523626,0.001277081979701118,0.0,0.0,0.0003472766786906549,0.0,2.2404947012300316e-05,0.0,8.961978804920126e-05,0.0002912643111599041,4.480989402460063e-05,0.0027446060090067885,0.5926220509488495,0.00045930141375215646
6,GTEX-1122O-0426-SM-5H12G,0.16740144563490028,0.00020505459578612807,0.026682729276669915,0.002537550622853335,0.003511559952837443,0.009201824985902496,0.32185881991080123,0.09135182242272005,0.08435433434151843,0.0015379094683959603,0.0,0.0019480186599682165,0.0007433229097247142,0.003947300968882965,0.0003332137181524581,0.0005126364894653202,0.00827907930486492,0.030783821192392473,0.0023837596760137385,0.0006407956118316502,0.0010765366278771722,0.004459937458348285,0.023658173988824523,2.5631824473266008e-05,0.0006151637873583842,0.004357410160455221,0.18944481468190905,0.00043574101604552213,0.00017942277131286204,0.0033321371815245807,0.0003844773670989901,0.013815553391090378
7,GTEX-1122O-0626-SM-5N9B9,0.3089741898606165,0.0003077870113881194,0.03658268478213077,0.0016268742030514883,0.002726113529437629,0.02453502176493866,0.29952073165369564,0.01732401178384558,0.06652596403288924,0.003473596271380205,0.0,0.002770083102493075,0.00021984786527722816,0.014465989535241613,0.0021545090797168358,0.00017587829222178252,0.0043090181594336715,0.006727344677483181,0.004704744316932683,0.0005276348766653475,0.0,0.09932726553225169,0.03473596271380205,0.0009233610341643582,0.00048366530360990196,0.004089170294156444,0.056500901376247636,0.0,8.793914611089126e-05,0.00211053950666139,0.000835421888053467,0.0032537484061029767
8,GTEX-1122O-1026-SM-9WYSF,0.14862722490451827,0.0008287093752251928,0.017042588455718096,0.025293651365568926,0.01120559198674065,0.0007926785328240975,0.46789651942062405,0.027455501909634646,0.12567557829502055,0.0020897888592635297,0.05008287093752252,0.001585357065648195,0.00010809252720328601,0.004900194566548966,0.00021618505440657203,0.00010809252720328601,0.00479210203934568,0.009872450817900122,0.0018375729624558622,0.03152698710095842,0.0,0.0001801542120054767,0.027419471067233553,0.00014412336960438135,0.008323124594653022,3.603084240109534e-05,0.008359155437054119,0.0,0.0013331411688405274,0.01668228003170714,0.0037111767673128197,0.0018736038048569575
9,GTEX-1122O-1526-SM-5N9CL,0.15816366029263762,0.0009677169621429124,0.01668344042734381,0.015483471394286599,0.0013548037470000774,0.002864442207943021,0.35701014167376327,0.010490051869629171,0.22892312456452737,0.000154834713942866,0.0059224278083146245,0.0033676550282573355,0.0029805682434001705,0.002941859564914454,0.001006425640628629,0.0711078423782612,0.008632035302314779,0.0011225516760857784,0.011186808082372067,0.005109545560114578,0.0,0.000154834713942866,0.022605868235658435,0.0030192769218858866,0.03317333746225904,0.0,0.01060617790508632,0.01803824417434389,0.000619338855771464,0.0045676240613145465,0.00019354339242858248,0.0015483471394286599
