i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
0,GTEX-111CU-1426-SM-5GZYP,0.3621554770318021,0.18946996466431096,0.06943462897526502,0.04678445229681979,0.326643109540636,0.005512367491166078,0.0,0.0
1,GTEX-111FC-0226-SM-5N9B8,0.32232246798603026,0.035040745052386496,0.20430733410942956,0.027270081490104774,0.4094295692665891,0.0008149010477299185,2.910360884749709e-05,0.0007857974388824214
2,GTEX-111YS-0006-SM-5NQBE,0.11625068395134476,0.0015783492571236164,0.0009154425691316974,0.0812639420851046,0.07615009049202408,9.470095542741698e-05,0.0,0.7237467906898438
3,GTEX-111YS-0326-SM-5GZZ3,0.3210077404723167,0.12734802544002366,0.27214909037124685,0.011240940689247152,0.26470443228319285,0.0031060494009761868,0.0,0.00044372134299659814
4,GTEX-111YS-2426-SM-5GZZQ,0.2870068525048234,0.021189541613997737,0.3291530836271705,0.029405894484731555,0.33121548799148426,0.00046570421129665357,0.0,0.0015634355664959085
5,GTEX-1122O-0005-SM-5O99J,0.17228284005108327,0.0027334035355006383,0.0011538547711334663,0.12309277888557793,0.10801424954629982,0.00010082226155535142,0.0,0.5926220509488495
6,GTEX-1122O-0426-SM-5H12G,0.25175577997641874,0.06354129286922643,0.3394422514994617,0.021428205259650383,0.32185881991080123,0.0005126364894653202,0.0010765366278771722,0.0003844773670989901
7,GTEX-1122O-0626-SM-5N9B9,0.3755001538935057,0.14197775139603394,0.16369872048542408,0.016224772457459437,0.29952073165369564,0.0022424482258277274,0.0,0.000835421888053467
8,GTEX-1122O-1026-SM-9WYSF,0.2743028031995388,0.025798083159184262,0.08521294227859047,0.09144627801397996,0.46789651942062405,0.05163219716076962,0.0,0.0037111767673128197
9,GTEX-1122O-1526-SM-5N9CL,0.38708678485716497,0.13551908337849347,0.0633273980026322,0.04931485639080282,0.35701014167376327,0.0075481923047147174,0.0,0.00019354339242858248
10,GTEX-1122O-2426-SM-5GIDN,0.2645986948046445,0.05051275531824731,0.417634262790632,0.0344944486820917,0.23160154815379835,0.000988784360256519,0.0,0.00016950589032968896
