,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
ENSG00000271614,0.00018403986884737766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000258725,0.0,0.00017185996225330285,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000177694,0.0,0.0,7.462893588484891e-05,0.0,0.0,0.0,0.0,0.0
ENSG00000261501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000239910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000263974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248559,0.0,0.0,0.0,3.2592416050338985e-05,0.0,0.0,0.0,0.0
ENSG00000279489,0.0,0.001186146212206432,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135407,0.0,0.0,0.0,0.0,0.00043659789604712473,0.0,0.0,0.0
ENSG00000170165,0.0,0.0,6.7844487168044466e-06,0.0,0.0,0.0,0.0,0.0
ENSG00000213757,0.0,0.0,0.0,0.0,9.27964056536331e-05,0.0,0.0,0.0
ENSG00000275936,3.4870711992134714e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000249197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000225738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000216613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000153574,0.0021222702770768657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000267693,0.0,0.0,0.0,1.52776950235964e-06,0.0,0.0,0.0,0.0
ENSG00000270704,0.0,0.0,0.00010176673075206669,0.0,0.0,0.0,0.0,0.0
ENSG00000260912,0.0007976137239929333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000138750,0.0,0.0,0.0,0.0,0.0019224047874043056,0.0,0.0,0.0
ENSG00000147654,0.0,0.0,0.0,0.0,0.0010642073716148664,0.0,0.0,0.0
ENSG00000222421,2.31395156737931e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000278716,0.0,7.81181646605922e-05,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000172057,0.0,0.0,0.0,0.0,0.0033500566841860604,0.0,0.0,0.0
ENSG00000163207,0.0,0.0,0.0,0.0,0.0,0.10114060059624137,0.0,0.0
ENSG00000132475,0.04576888574621978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000215546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143001,0.00016251473798803526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000231660,0.0,0.0,0.0,5.092565007865466e-07,0.0,0.0,0.0,0.0
ENSG00000258741,5.628821719718042e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000186231,0.0,0.0,0.0,0.0006645797335264434,0.0,0.0,0.0,0.0
ENSG00000224965,0.0,0.00017498468883972651,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000151240,0.0,0.0,0.0023142508400655166,0.0,0.0,0.0,0.0,0.0
ENSG00000271519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000226490,0.0,0.0,0.0,5.449044558416049e-05,0.0,0.0,0.0,0.0
ENSG00000273901,1.5713345527319965e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000111412,0.0009452761216880223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000225205,0.0,0.0,0.0,0.0,0.0001391462266214019,0.0,0.0,0.0
ENSG00000175779,0.0,6.249453172847375e-07,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000073861,0.0,0.0,0.0,0.001605176490479195,0.0,0.0,0.0,0.0
ENSG00000251359,0.0,0.0,3.663602307074401e-05,0.0,0.0,0.0,0.0,0.0
ENSG00000073150,0.0,0.004747709575412151,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000284391,0.0,0.0,5.276793446403458e-05,0.0,0.0,0.0,0.0,0.0
ENSG00000224326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000279014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248184,0.0,0.0,0.0,0.0,0.0,0.0003198950529170934,0.0,0.0
ENSG00000260075,7.533795800769846e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000067445,0.0010936918989631883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000236352,0.0,0.0,0.0,0.00011560122567854609,0.0,0.0,0.0,0.0
ENSG00000128513,0.0,0.0,0.0,0.0,0.0006853774152707856,0.0,0.0,0.0
ENSG00000205946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100422,0.0,0.0,0.0,0.0,0.002903975943765572,0.0,0.0,0.0
ENSG00000184588,0.0010386951896175685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100302,0.0,0.011615233667054133,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000227922,0.0,0.0,0.0,5.092565007865466e-07,0.0,0.0,0.0,0.0
ENSG00000154485,1.5067591601539692e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000277969,0.0,0.0,0.0,0.0,0.0002863238418447345,0.0,0.0,0.0
